Dataset,Method,epr@100,epr@500,epr@1000,epr@2000,gt_k,epr@gt
mESC_nonspecific_chipseq_1000,CNNC,0.0,0.0,0.0,0.0,128,0.0
mESC_nonspecific_chipseq_1000,GNE,0.0,0.0,0.002,0.0025,128,0.0
mESC_nonspecific_chipseq_1000,GNNLink,0.0,0.0,0.0,0.0,128,0.0
mESC_nonspecific_chipseq_1000,LEAP,0.0,0.0,0.001,0.001,128,0.0
mESC_nonspecific_chipseq_1000,PIDC,0.0,0.0,0.0,0.0,128,0.0
mESC_nonspecific_chipseq_1000,PPCOR,0.0,0.0,0.0,0.0005,128,0.0
mESC_nonspecific_chipseq_1000,scGREAT,0.0,0.0,0.0,0.0,128,0.0
mESC_nonspecific_chipseq_1000,SINCERITIES,0.0,0.0,0.0,0.0,128,0.0
mESC_nonspecific_chipseq_1000,STGRNS,0.0,0.0,0.0,0.0,128,0.0
mESC_nonspecific_chipseq_1000,GRNFormer,0.0,0.002,0.001,0.0005,128,0.0
mESC_nonspecific_chipseq_500,CNNC,0.0,0.0,0.0,0.0005,40,0.0
mESC_nonspecific_chipseq_500,GNE,0.0,0.0,0.002,0.0015,40,0.0
mESC_nonspecific_chipseq_500,GNNLink,0.0,0.0,0.0,0.0,40,0.0
mESC_nonspecific_chipseq_500,LEAP,0.0,0.0,0.0,0.0005,40,0.0
mESC_nonspecific_chipseq_500,PIDC,0.0,0.0,0.0,0.0,40,0.0
mESC_nonspecific_chipseq_500,PPCOR,0.0,0.002,0.001,0.0005,40,0.0
mESC_nonspecific_chipseq_500,scGREAT,0.0,0.0,0.0,0.0,40,0.0
mESC_nonspecific_chipseq_500,SINCERITIES,0.0,0.0,0.0,0.0,40,0.0
mESC_nonspecific_chipseq_500,STGRNS,0.0,0.0,0.0,0.0005,40,0.0
mESC_nonspecific_chipseq_500,GRNFormer,0.0,0.004,0.004,0.003,40,0.0
mESC_nonspecific_chipseq_tf1000,CNNC,0.0,0.0,0.0,0.0,128,0.0
mESC_nonspecific_chipseq_tf1000,GNE,0.0,0.002,0.002,0.002,128,0.0
mESC_nonspecific_chipseq_tf1000,GNNLink,0.0,0.0,0.0,0.0,128,0.0
mESC_nonspecific_chipseq_tf1000,LEAP,0.0,0.0,0.001,0.001,128,0.0
mESC_nonspecific_chipseq_tf1000,PIDC,0.0,0.0,0.0,0.0,128,0.0
mESC_nonspecific_chipseq_tf1000,PPCOR,0.0,0.0,0.0,0.0005,128,0.0
mESC_nonspecific_chipseq_tf1000,scGREAT,0.0,0.0,0.0,0.0005,128,0.0
mESC_nonspecific_chipseq_tf1000,SINCERITIES,0.0,0.0,0.0,0.0,128,0.0
mESC_nonspecific_chipseq_tf1000,STGRNS,0.0,0.0,0.0,0.0,128,0.0
mESC_nonspecific_chipseq_tf1000,GRNFormer,0.0,0.0,0.002,0.0025,128,0.0
mESC_nonspecific_chipseq_tf500,CNNC,0.0,0.002,0.001,0.0005,40,0.0
mESC_nonspecific_chipseq_tf500,GNE,0.01,0.006,0.004,0.003,40,0.0
mESC_nonspecific_chipseq_tf500,GNNLink,0.0,0.0,0.0,0.0,40,0.0
mESC_nonspecific_chipseq_tf500,LEAP,0.0,0.0,0.0,0.0005,40,0.0
mESC_nonspecific_chipseq_tf500,PIDC,0.0,0.0,0.0,0.0,40,0.0
