Dataset,Method,epr@100,epr@500,epr@1000,epr@2000,gt_k,epr@gt
mESC_nonspecific_chipseq_tf1000,CNNC,0.0,0.0,0.0,0.0,128,0.0
mESC_nonspecific_chipseq_tf1000,GNE,0.0,0.002,0.002,0.002,128,0.0
mESC_nonspecific_chipseq_tf1000,GNNLink,0.0,0.0,0.0,0.0,128,0.0
mESC_nonspecific_chipseq_tf1000,LEAP,0.0,0.0,0.001,0.001,128,0.0
mESC_nonspecific_chipseq_tf1000,PIDC,0.0,0.0,0.0,0.0,128,0.0
mESC_nonspecific_chipseq_tf1000,PPCOR,0.0,0.0,0.0,0.0005,128,0.0
mESC_nonspecific_chipseq_tf1000,scGREAT,0.0,0.0,0.0,0.0005,128,0.0
mESC_nonspecific_chipseq_tf1000,SINCERITIES,0.0,0.0,0.0,0.0,128,0.0
mESC_nonspecific_chipseq_tf1000,STGRNS,0.0,0.0,0.0,0.0,128,0.0
mESC_nonspecific_chipseq_tf1000,GRNFormer,0.0,0.0,0.002,0.0025,128,0.0
