Dataset,Method,epr@100,epr@500,epr@1000,epr@2000,gt_k,epr@gt
mESC_specific_chipseq_500,CNNC,0.0,0.0,0.0,0.0,392,0.0
mESC_specific_chipseq_500,GNE,0.07,0.046,0.036,0.026,392,0.05357142857142857
mESC_specific_chipseq_500,GNNLink,0.0,0.01,0.008,0.006,392,0.01020408163265306
mESC_specific_chipseq_500,LEAP,0.01,0.006,0.007,0.0055,392,0.007653061224489796
mESC_specific_chipseq_500,PIDC,0.0,0.0,0.0,0.0,392,0.0
mESC_specific_chipseq_500,PPCOR,0.0,0.002,0.002,0.002,392,0.002551020408163265
mESC_specific_chipseq_500,scGREAT,0.0,0.004,0.009,0.0085,392,0.002551020408163265
mESC_specific_chipseq_500,SINCERITIES,0.0,0.0,0.0,0.0,392,0.0
mESC_specific_chipseq_500,STGRNS,0.0,0.0,0.0,0.0005,392,0.0
mESC_specific_chipseq_500,GRNFormer,0.02,0.024,0.024,0.0235,392,0.02295918367346939
