Dataset,Method,epr@100,epr@500,epr@1000,epr@2000,gt_k,epr@gt
mESC_string_500,CNNC,0.0,0.002,0.001,0.0005,40,0.0
mESC_string_500,GNE,0.02,0.004,0.003,0.002,40,0.0
mESC_string_500,GNNLink,0.0,0.0,0.0,0.0,40,0.0
mESC_string_500,LEAP,0.01,0.004,0.003,0.0025,40,0.0
mESC_string_500,PIDC,0.0,0.002,0.001,0.001,40,0.0
mESC_string_500,PPCOR,0.0,0.0,0.0,0.0,40,0.0
mESC_string_500,scGREAT,0.0,0.0,0.0,0.0,40,0.0
mESC_string_500,SINCERITIES,0.0,0.0,0.0,0.0,40,0.0
mESC_string_500,STGRNS,0.0,0.0,0.0,0.0,40,0.0
mESC_string_500,GRNFormer,0.03,0.006,0.004,0.0025,40,0.025
