Dataset,Method,epr@100,epr@500,epr@1000,epr@2000,gt_k,epr@gt
mHSC-L_nonspecific_chipseq_1000,CNNC,0.0,0.0,0.0,0.0,125,0.0
mHSC-L_nonspecific_chipseq_1000,GNE,0.0,0.0,0.001,0.001,125,0.0
mHSC-L_nonspecific_chipseq_1000,GNNLink,0.0,0.0,0.0,0.0,125,0.0
mHSC-L_nonspecific_chipseq_1000,LEAP,0.0,0.002,0.003,0.0045,125,0.0
mHSC-L_nonspecific_chipseq_1000,PIDC,0.0,0.01,0.006,0.0055,125,0.0
mHSC-L_nonspecific_chipseq_1000,PPCOR,0.0,0.0,0.0,0.0,125,0.0
mHSC-L_nonspecific_chipseq_1000,scGREAT,0.0,0.0,0.0,0.0,125,0.0
mHSC-L_nonspecific_chipseq_1000,SINCERITIES,0.0,0.0,0.0,0.0,125,0.0
mHSC-L_nonspecific_chipseq_1000,STGRNS,0.0,0.0,0.0,0.0,125,0.0
mHSC-L_nonspecific_chipseq_1000,GRNFormer,0.01,0.002,0.004,0.0075,125,0.008
