Dataset,Method,epr@100,epr@500,epr@1000,epr@2000,gt_k,epr@gt
mHSC-L_specific_chipseq_1000,CNNC,0.0,0.002,0.003,0.0045,1434,0.0041841004184100415
mHSC-L_specific_chipseq_1000,GNE,0.04,0.048,0.044,0.032,1434,0.0397489539748954
mHSC-L_specific_chipseq_1000,GNNLink,0.0,0.0,0.0,0.0,1434,0.0
mHSC-L_specific_chipseq_1000,LEAP,0.0,0.0,0.0,0.0,1434,0.0
mHSC-L_specific_chipseq_1000,PIDC,0.0,0.0,0.0,0.001,1434,0.000697350069735007
mHSC-L_specific_chipseq_1000,PPCOR,0.0,0.0,0.001,0.0015,1434,0.000697350069735007
mHSC-L_specific_chipseq_1000,scGREAT,0.0,0.002,0.001,0.0015,1434,0.000697350069735007
mHSC-L_specific_chipseq_1000,SINCERITIES,0.0,0.0,0.0,0.001,1434,0.0
mHSC-L_specific_chipseq_1000,STGRNS,0.0,0.0,0.0,0.0,1434,0.0
mHSC-L_specific_chipseq_1000,GRNFormer,0.02,0.028,0.034,0.0325,1434,0.03486750348675035
