Dataset,Method,epr@100,epr@500,epr@1000,epr@2000,gt_k,epr@gt
mHSC-L_specific_chipseq_tf500,CNNC,0.15,0.092,0.074,0.06,984,0.0741869918699187
mHSC-L_specific_chipseq_tf500,GNE,0.06,0.052,0.048,0.039,984,0.047764227642276426
mHSC-L_specific_chipseq_tf500,GNNLink,0.0,0.0,0.0,0.0,984,0.0
mHSC-L_specific_chipseq_tf500,LEAP,0.0,0.0,0.003,0.0025,984,0.003048780487804878
mHSC-L_specific_chipseq_tf500,PIDC,0.0,0.002,0.001,0.001,984,0.0010162601626016261
mHSC-L_specific_chipseq_tf500,PPCOR,0.01,0.008,0.007,0.0065,984,0.007113821138211382
mHSC-L_specific_chipseq_tf500,scGREAT,0.0,0.002,0.002,0.0025,984,0.0020325203252032522
mHSC-L_specific_chipseq_tf500,SINCERITIES,0.0,0.0,0.001,0.001,984,0.0010162601626016261
mHSC-L_specific_chipseq_tf500,STGRNS,0.01,0.002,0.001,0.0005,984,0.0010162601626016261
mHSC-L_specific_chipseq_tf500,GRNFormer,0.02,0.024,0.015,0.023,984,0.014227642276422764
