Dataset,Method,epr@100,epr@500,epr@1000,epr@2000,gt_k,epr@gt
mHSC-L_string_1000,CNNC,0.0,0.0,0.0,0.0,81,0.0
mHSC-L_string_1000,GNE,0.05,0.016,0.011,0.0075,81,0.06172839506172839
mHSC-L_string_1000,GNNLink,0.0,0.0,0.0,0.0,81,0.0
mHSC-L_string_1000,LEAP,0.0,0.006,0.01,0.007,81,0.0
mHSC-L_string_1000,PIDC,0.0,0.012,0.008,0.006,81,0.0
mHSC-L_string_1000,PPCOR,0.0,0.0,0.0,0.0,81,0.0
mHSC-L_string_1000,scGREAT,0.0,0.0,0.0,0.0,81,0.0
mHSC-L_string_1000,SINCERITIES,0.0,0.0,0.0,0.0,81,0.0
mHSC-L_string_1000,STGRNS,0.0,0.0,0.0,0.0,81,0.0
mHSC-L_string_1000,GRNFormer,0.0,0.0,0.0,0.0,81,0.0
