Dataset,Method,epr@100,epr@500,epr@1000,epr@2000,gt_k,epr@gt
mHSC-L_string_tf500,CNNC,0.01,0.006,0.003,0.0015,59,0.01694915254237288
mHSC-L_string_tf500,GNE,0.0,0.006,0.008,0.0055,59,0.0
mHSC-L_string_tf500,GNNLink,0.0,0.0,0.0,0.0,59,0.0
mHSC-L_string_tf500,LEAP,0.03,0.01,0.006,0.004,59,0.05084745762711865
mHSC-L_string_tf500,PIDC,0.03,0.014,0.009,0.0045,59,0.05084745762711865
mHSC-L_string_tf500,PPCOR,0.0,0.002,0.001,0.0005,59,0.0
mHSC-L_string_tf500,scGREAT,0.0,0.0,0.0,0.0,59,0.0
mHSC-L_string_tf500,SINCERITIES,0.0,0.0,0.0,0.0,59,0.0
mHSC-L_string_tf500,STGRNS,0.01,0.002,0.002,0.002,59,0.01694915254237288
mHSC-L_string_tf500,GRNFormer,0.0,0.0,0.0,0.0,59,0.0
