TF,Target
MCM6,KDM3A
ID1,CDC20
BMP4,RBMS1
DNMT3B,CTDSPL
ID1,GM21860
ILK,SNORA30
TGIF1,LRRK1
PHC1,ZFP532
EPAS1,DNMT3B
SUZ12,PROS1
RUNX1,GM14567
RBBP7,CDCA7
CCND1,HSPH1
KAT2B,WDFY1
TCF7L2,IFITM2
KAT2B,TPX2
EGR1,SPINK1
EHMT2,MIR669D
SMARCA2,LGALS3
PEG3,GM27640
CBX7,MYCN
KLF2,RPL22L1
MCM6,GM44330
BHLHE40,CLDN6
ETV5,GM23288
CCND1,CTSD
RUNX1,CLIC1
ID2,MRAS
ID1,RPS27RT
BHLHE40,SMS
PHC1,SETX
ELF3,GM44335
TCF7L2,2210409E12RIK
ETS1,GLDC
TFEB,SNHG5
CREB3,RPS25-PS1
UTF1,GM24201
ILK,ZFP532
ZBTB10,SOAT1
NFXL1,HMMR
TCF7L2,HIST1H4K
RLIM,HIST1H2AI
JARID2,HIST1H3H
CREB3,GM44206
ELF3,HTRA1
NANOG,GM26493
ZFP42,HIP1
MCM6,KPNA2
CCND1,GM24494
SOX17,PIPOX
RBPJ,HSPA5
BHLHE40,MIR1949
ID1,MRAS
EED,MARC2
ID1,UBQLN2
BTG2,EPAS1
PEG3,BUB1B
KLF2,CDKN1A
EHMT2,TCN2
ILK,DPP4
TFCP2L1,SNORD43
ID2,RPL22L1
EGR1,GLS
EHMT2,APAF1
KPNA2,GM26060
PHC1,EDA2R
JARID2,GM22411
DNMT3L,FZR1
HSPB1,GM45213
KLF6,GM26073
EGR1,FAM102A
KLF4,SNORA68
DNMT3A,BCL3
CREB3,SLC45A4
MCM6,HIST1H4D
MYBL2,MSI2
FOXH1,CCNE1
TRP53,MT-TP
NANOG,SLC38A4
POU5F1,CKB
PCBD1,SNORD11
HIST1H1B,SNORA73B
KAT2B,GM23571
MDM2,LY75
BMP4,NANOG
DAB2,GAS6
ZFP42,NFXL1
FOXQ1,FGF10
UTF1,LIFR
PARP1,RRBP1
BCL3,ZFP979
TGIF1,NXF7
SOX17,UBALD2
DAB2,TSPAN9
SOX17,CTSL
NANOG,ABHD5
EED,MYO5B
RLIM,GM37404
RBBP7,NUP62CL
TAX1BP3,LOXL2
MSC,SLC38A4
EPAS1,EGR1
ELF3,PLEKHA7
NANOG,GM43521
ZBTB10,SNORD85
DNMT3B,MIR763
ELF3,GM43107
DAB2,SHKBP1
MYBL2,MIR467C
SOX2,RBPMS2
ETS1,ANXA2
TCEA3,RENBP
DNMT3L,LAMA5
KLF6,GM43940
GATA4,SERPINH1
PCBD1,GLS
ETV5,THBD
HMGA1,GM15446
FOXH1,SOX2
RBBP7,KLF6
ILK,TMEM9
ELF3,TSPAN9
HIST1H1B,GM25451
FOXH1,CST3
MSC,PATJ
EED,KRTCAP2
DAB2,GM26229
BTG2,ZFP57
MCM6,GM10337
SMAD7,PLOD3
FOXH1,UPP1
CREB3,MRPL23-PS1
JARID2,CCNE1
KPNA2,HIST1H2BN
DNMT3A,TIMP2
ID2,PDK1
TRIM28,CDH1
ZFP42,ARHGAP29
HIST1H1B,GM26109
PML,MSMO1
ESRRB,GM25787
SOX2,MIR669A-1
TCEA3,CSTB
NFXL1,GM28900
CBX7,ODC1
TFEB,GM22091
MCM6,HIST1H2BF
BCL3,CITED2
DNMT3L,TCEA3
KPNA2,STARD8
ELF3,GCLM
BMP4,GM27520
ZBTB10,CALR
HSPB1,CTSA
AKT1,NDRG1
RLIM,COBL
ELF3,GM25680
DTX1,RNF157
CREB3L2,BEX3
ILK,DPPA2
HIST1H1D,SMAD7
ETV5,SNORD70
BTG2,HIST1H2AI
CREB3,AURKA
FOXQ1,IFRD1
GATA6,ZFP989
JARID2,SLCO3A1
MYBL2,HS3ST1
NR0B1,IFRD1
EPAS1,EED
DNMT3A,RPL23A-PS3
DNMT3L,SRGN
HNF1B,SNORD43
DNMT3A,GM25535
HSPB1,D230025D16RIK
SOX17,AKT1
RBPJ,GM12350
EPAS1,MIR677
SUZ12,SNORA62
JARID2,TDH
DNMT3L,SLC38A4
RLIM,GM25263
ZBTB10,GM27743
ID1,GM44450
AKT1,HDLBP
MYCN,MIR467C
SOX2,ME1
SMAD7,OBSL1
KLF3,GM8818
RBPJ,HIST1H2AN
TRP53,MIR28B
TFEB,SNORA31
HIST1H1D,CCNB1
RUNX1,SNORA74A
ELF3,HNF1B
HIST1H1B,GM23833
AKT1,TNS4
SOX2,GM43107
ID2,MIR669J
FOXQ1,GM23158
ELF3,GM3851
ZBTB10,LAMC1
NR0B1,ALG13
POU5F1,GM24201
HIST1H1B,CSTB
ETS1,SLC26A10
RBBP7,BHLHE40
RBPJ,HIST1H1A
EED,TEX264
MYBL2,EMP2
BTG2,PHC1
DAB2,GM25472
KLF2,LRRK1
KPNA2,GM22571
UTF1,MYBL2
EED,RBMS1
ETV5,ZFP57
TFCP2L1,MIR669I
KLF3,CCNB1
NR0B1,SOCS2
TFCP2L1,HSD17B14
JARID2,ATP6V0A1
NFXL1,CSRP1
EHMT2,CEMIP
SMAD7,RBMS1
NANOG,HKDC1
ELF3,ITGA3
KLF4,CLCN5
TRP53,MCM6
PARP1,SNORD17
CREB3,GM42429
KDM5B,TYRO3
KAT2B,SNORA31
MSC,GM24346
DNMT3B,SMARCA2
RUNX1,PLOD1
SMARCA2,HS3ST1
CREB3,HTRA1
RLIM,MYO5B
MDM2,F2R
DNMT3L,MARCKS
TGIF1,NRG1
EGR1,GM27640
TRP53,CR1L
CREB3L2,KRT42
SOX2,GCLM
POU5F1,TMED2
TCEA3,TCL1
MDM2,GM25636
KLF3,DPPA2
BMP4,EPAS1
TRP53,GM14303
SOX7,EHD1
CREB3L2,JAM2
DAB2,GM44320
PCBD1,KDELR2
UTF1,SPSB1
ZFPM1,THBD
KDM5B,AY036118
ZBTB10,RPL15-PS3
KLF2,WDFY1
TGIF1,LNCENC1
ZBTB10,MIR1905
HIST1H1B,ATP13A3
XBP1,CARMIL1
ZBTB10,GM26109
NFATC2IP,GM22468
MDM2,GM24523
EPAS1,GM44390
SOX17,GM42413
FOXH1,GGTA1
GATA4,GM22678
ESRRB,PLATR14
ELF3,ACTG1
RLIM,SNORD93
PML,DNMT3L
DAB2,CCND1
MCM6,GM10169
ID2,SH3PXD2B
MDM2,TXNDC12
KLF4,ARHGAP29
SOX17,ANP32A
RLIM,SERPING1
RBPJ,SLC38A4
TAX1BP3,MIR3082
SMARCA2,SNORD65
EED,SORD
RLIM,HSP90B1
DNMT3L,GM25040
PCBD1,TUBB6
DAB2,GM24523
HMGA1,GM25960
CCND1,P3H1
DNMT3A,S100A6
SOX17,PARP1
POU5F1,CSRP1
HSPB1,RAB11A
FOXQ1,ZYX
PHC1,FGF3
KLF2,AQP8
ILK,GFPT2
KAT2B,KLB
SOX7,TCF7L2
KLF3,SNORA17
DNMT3B,RRAS2
BTG2,GM25040
KLF2,LAMA1
RBBP7,GM10259
FOXQ1,GM10182
RBBP7,GM27520
MDM2,AY036118
CITED2,GM33051
JARID2,MFSD1
SOX7,SLC6A6
ZFP42,MFGE8
KDM5B,AQP3
KPNA2,FAM129B
HNF1B,CKAP4
EGR1,SNORA73B
BHLHE40,TUBB2B
ILK,KDELR3
TFCP2L1,HDLBP
PHC1,DDX21
ELF3,NUSAP1
CREB3,MIR7003
HSPB1,RHOX5
CREB3L2,GM23344
ID2,MYO1C
TFEB,RSRP1
KLF6,TCL1
SMAD7,GM43535
CITED2,FNDC3A
AKT1,HMGA1
XBP1,EIF4A2
BHLHE40,SOX2
KLF6,GM26491
ZFP42,EHMT2
ZFP42,SNORA74A
DNMT3B,SNORA65
DAB2,SPARC
HMGA1,MIR3082
PCBD1,DDX21
HMGA1,DPPA4
ID1,VILL
ESRRB,TDGF1
BMP4,FRRS1
JARID2,GM25673
BHLHE40,SGK1
PML,GM22411
ZFPM1,CARMIL1
EHMT2,SPOCK1
ELF3,SETX
EGR1,GM27773
ZFP42,MCM10
PCBD1,SH3PXD2B
HMGA1,TCL1
TRP53,GM10337
TCEA3,SMS-PS
DTX1,HTRA1
BCL3,MIR669G
CREB3,SLC7A3
BHLHE40,GM14870
HSPB1,CLCN5
TRP53,ASAH1
ETS1,ECT2
CITED2,STARD10
TRIM28,APOBEC3
RLIM,SOX2
TAX1BP3,PLXNB2
RBBP7,PRXL2A
MYBL2,MIR1957A
DAB2,PLK1
TRP53,PRXL2A
ZFPM1,MAGED1
AKT1,ELF3
KLF2,PLATR14
HIST1H1B,RPL23A-PS3
ETS1,GM27743
FOXH1,PTPN14
RBPJ,COBL
BTG2,GM15181
SMAD7,EIF4A-PS4
HSPB1,XBP1
SUZ12,CUBN
MCM6,GM44380
TGIF1,MSI2
DNMT3B,APP
RBPJ,ATP13A3
EGR1,MIR669A-1
POU5F1,GM24044
BMP4,PEG3
FOXH1,CRELD2
ESRRB,AF357399
TRIM28,ZYX
NFATC2IP,ZFP989
BCL3,FOLR1
NR0B1,MYMX
DAB2,GM24339
KLF3,PATJ
PARP1,GM9531
SMAD7,PLEKHA7
ID1,GM23632
KLF2,DUSP9
BCL3,PIK3R1
TRP53,MANF
EGR1,MIR669E
HIST1H1B,GM26992
SUZ12,RBMS1
KLF6,ZBTB10
EED,GM28010
TFCP2L1,SERPINE2
SOX17,RESF1
TFEB,RASGRP2
BHLHE40,EPHA2
HIST1H1D,ZFPM1
ILK,BHLHE40
ID2,GM38009
TFCP2L1,MYO7A
TCF7L2,MIR466O
HMGA1,IL6
TRIM28,CDCA7
RBBP7,RRM2
KPNA2,TUBB2B
SOX7,MIR466C-2
RBPJ,GM22051
HIST1H1D,PRDX4
SUZ12,GM12276
ID1,NR0B1
EPAS1,PTH1R
PHC1,P3H4
TRIM28,SLC6A6
CCND1,NSD2
PEG3,WDR1
ELF3,LNCENC1
HIST1H1D,MIR186
PARP1,GM23245
PEG3,GM44170
KDM5B,GM26109
KLF3,GM44380
NFXL1,TFEB
JARID2,TDGF1
MYCN,GM4202
HNF1B,GM24523
TAX1BP3,CFC1
AKT1,GM22988
PEG3,KDELR2
ILK,DTX1
NR0B1,GM28900
HIST1H1B,RHPN1
TGIF1,DNAJC3
CREB3,RBPMS2
ZFP42,PLOD3
DNMT3B,HIST1H3H
GATA6,GM43521
POU5F1,SNORD72
NANOG,2210409E12RIK
CBX7,GHR
CREB3,CTDSPL
SOX2,PSRC1
HMGA1,SNORA65
TRP53,GM23542
EPAS1,SEC23A
TCEA3,ZFP710
EPAS1,GM22455
DAB2,GM23542
NR0B1,LGMN
KAT2B,AGPAT4
KAT2B,GM22166
MYCN,CST3
RBPJ,COL27A1
EED,P4HB
HIST1H1D,XBP1
DAB2,BMPER
RBPJ,GM37917
ELF3,STMN1
CBX7,RLIM
MSC,HSD17B14
PEG3,RPS27RT
BMP4,OPLAH
CBX7,GM44346
EPAS1,MIR186
POU5F1,GM43108
MSC,GM25835
HSPB1,CCNE1
ZFP42,RIAN
SOX7,ITGA3
NR0B1,SNORA62
TRIM28,MIR1949
ZFPM1,FGF3
TGIF1,GM10719
TCEA3,CKB
JARID2,HIST1H2AH
JARID2,GM44310
TRIM28,TNS4
TFCP2L1,2210409E12RIK
PARP1,DKK1
TAX1BP3,MDM2
CBX7,GLS
EHMT2,GM26447
SUZ12,PGA5
BCL3,GM17035
JARID2,SNORA3
KLF4,PROS1
TCEA3,GM23569
UTF1,MIR763
BMP4,MIR669K
CBX7,PLAUR
PEG3,MARCKS
POU5F1,AURKA
POU5F1,ATP6V0A1
SOX2,ENAH
FOXH1,KPNA2
SMARCA2,UHRF1
ID1,GM28900
SOX17,SLC26A10
KPNA2,LRRC2
TFEB,SNORD35B
RBBP7,CHST15
MYCN,SNORD65
DNMT3A,LGMN
GATA6,CHCHD10
JARID2,SPRY4
POU5F1,CLCN5
KDM5B,GM10012
MYCN,GM23566
EHMT2,GM26491
ID1,GM26229
KLF3,AKR1B3
CCND1,SNORA43
RUNX1,GATA6
KDM5B,SLC7A3
NANOG,MYH9
KDM5B,PGAM1-PS2
EED,GM12350
TFCP2L1,HIST1H2AL
GATA6,GORASP2
MCM6,GM25673
DNMT3A,GM24455
NANOG,PLATR14
DNMT3A,RNU73B
BHLHE40,EFEMP2
SMARCA2,DNAJC10
BHLHE40,GLDC
TCF7L2,SNHG3
BHLHE40,PRDX1
ZFP42,GM9531
TRP53,LAMB1
ETV5,ARIH2
HNF1B,LIFR
