TF,Target
EGR1,SPINK1
MCM6,KPNA2
MYBL2,MIR467C
KLF3,P4HA2
ID1,GM26229
TFEB,SNORD35B
SUZ12,CUBN
PHC1,FGF3
POU5F1,GM24044
HNF1B,GM24523
DTX1,CENPV
HIST1H1B,GM26992
KPNA2,GM26060
NANOG,2210409E12RIK
EPAS1,MIR677
SOX2,ME1
DNMT3A,GM24455
KLF4,ARHGAP29
ZBTB10,GM27743
EED,SORD
ZFPM1,CARMIL1
RLIM,GM25263
PEG3,GM20721
FOXH1,GM7993
MCM6,GM10169
BTG2,EPAS1
FOXH1,RHOX5
ESRRB,PLATR14
BHLHE40,EFEMP2
SOX2,GCLM
MYCN,CST3
KLF2,HIST1H2AK
RBPJ,HIST1H1A
RBPJ,COBL
EHMT2,CEMIP
SUZ12,RBMS1
ILK,DTX1
EHMT2,SPOCK1
KPNA2,STARD8
RBBP7,CHST15
KLF2,GM26060
HIST1H1B,NUP62CL
BCL3,MIR669G
CITED2,GM33051
MSC,NUP62CL
TCF7L2,HIST1H4K
BMP4,FRRS1
MYCN,GM4202
BCL3,GM17035
TRIM28,CDH1
FOXH1,CRELD2
TCF7L2,SNHG3
UTF1,GM24201
ZBTB10,SNORD85
DAB2,TSPAN9
JARID2,CCNE1
MDM2,LY75
PCBD1,KDELR2
SOX2,ENAH
KDM5B,AQP3
HSPB1,RAB11A
CBX7,PLAUR
ZFP42,MFGE8
TRP53,MIR28B
MDM2,ETV5
KAT2B,TPX2
DAB2,BMPER
FOXQ1,ZYX
RUNX1,GM10012
NFXL1,CSRP1
ID2,MYO1C
KLF4,PROS1
EHMT2,GM15421
DAB2,GM44320
ID1,GM23632
GATA4,FN1
CITED2,FNDC3A
RUNX1,GATA6
ZFP42,SNORA74A
ILK,BHLHE40
EGR1,FAM102A
KAT2B,WDFY1
TCF7L2,2210409E12RIK
JARID2,HIST1H3H
ID2,MRAS
KAT2B,GM23571
ELF3,GM3851
RBPJ,CTNNAL1
FOXQ1,GM10182
SUZ12,PGA5
PCBD1,PLSCR1
BTG2,GM3851
TFCP2L1,MIR669I
ZFP42,GM9531
TAX1BP3,LOXL2
SMAD7,FNDC3B
KLF2,PLATR14
HIST1H1B,KPNA2
SOX7,MIR466C-2
KLF2,LRRK1
PARP1,RRBP1
EGR1,MIR669A-1
KLF3,GM24315
HSPB1,KLB
ILK,GFPT2
DAB2,SPARC
GATA6,GORASP2
EED,TEX264
SOX7,ITGA3
MYBL2,MIR1957A
ILK,TMEM9
PML,MSMO1
EGR1,MIR669E
ETV5,ARIH2
NR0B1,IFRD1
TRP53,ASAH1
CBX7,HIST1H2AN
NFATC2IP,SNHG5
RBPJ,HIST1H2AN
HMGA1,GM25960
SMAD7,RBMS1
MCM6,GM44380
RBPJ,GM22051
TFCP2L1,HDLBP
KLF6,ZBTB10
EGR1,GM27773
HMGA1,MIR7005
SUZ12,SNORA62
ID2,GM12112
TGIF1,NXF7
ETS1,GM27743
UTF1,SNHG3
RUNX1,SNORA74A
NFXL1,GM42413
ELF3,ITGA3
DNMT3A,GM25535
GATA6,CSTB
JARID2,BEND5
BMP4,EPAS1
BHLHE40,SGK1
ELF3,GM44335
MDM2,AY036118
RBBP7,GM26229
AKT1,SORD
HIST1H1D,MIR186
PARP1,SNORD17
JARID2,ATP6V0A1
DNMT3B,RRAS2
TCEA3,CSTB
HNF1B,SNORD43
ELF3,LNCENC1
TCEA3,TCL1
RLIM,GM37404
MDM2,F2R
RBPJ,HSPA5
BCL3,FOLR1
MSC,GM24346
TGIF1,NRG1
TFCP2L1,SERPINE2
ELF3,PLEKHA7
DNMT3L,LAMA5
ID1,CDC20
DNMT3L,TCEA3
NR0B1,SOCS2
SMAD7,EIF4A-PS4
ZFP42,MCM10
SOX2,RBPMS2
KPNA2,TUBB2B
ILK,DPP4
ZBTB10,GM10052
DAB2,CCND1
BMP4,OPLAH
NFXL1,GM28900
ID1,SNORA17
UTF1,MYBL2
KLF2,GASK1B
KLF2,WDFY1
BMP4,RBMS1
CREB3,HTRA1
JARID2,SNORA3
BHLHE40,PRDX1
DNMT3L,MARCKS
TGIF1,LNCENC1
DTX1,PNRC2
NR0B1,MYMX
EHMT2,GM26491
RBPJ,ATP13A3
ILK,ALG13
SOX2,SERPING1
KLF2,CDKN1A
KLF6,MSL3
XBP1,SMS
SUZ12,ODC1
DAB2,GM25472
DAB2,SHKBP1
NFXL1,TFEB
HMGA1,DPPA4
CCND1,SNORA43
HMGA1,SNORA65
PEG3,GM44170
TRP53,GM10337
ELF3,ACTG1
CITED2,GM3788
TRIM28,CDCA7
SUZ12,GM12276
RBPJ,GM37917
HMGA1,TCL1
SOX7,NDRG4
TRIM28,ZYX
TRP53,GM23542
HSPB1,ITGA3
EGR1,GM17545
