TF,Target
FOXQ1,MIR669A-3
BCL3,TXNDC5
MYBL2,COL27A1
RBPJ,ZFAS1
TGIF1,PCOLCE
TAX1BP3,MIR466B-4
CCND1,DUSP9
ZFP42,DKC1
HIST1H1D,SRGN
KPNA2,PGAM1-PS2
NANOG,JAM2
MYBL2,MOV10
TGIF1,DAB2
KPNA2,FDPS
KDM5B,TPD52
GATA6,FGF4
ZFPM1,GM29397
DAB2,GM25535
DNMT3L,GM28900
SOX17,RNU73B
KPNA2,HIST1H3I
DNMT3L,HKDC1
POU5F1,NSD2
HMGA1,DAB2
ESRRB,FGFR3
DNMT3B,TAX1BP3
CREB3,SERPINE2
ZFPM1,ERP29
NANOG,TRH
TRP53,TAX1BP3
CREB3,MEG3
HMGA1,GM6136
SOX17,COL4A2
DAB2,SOX2
BHLHE40,FDPS
ESRRB,HIST1H2BN
JARID2,GM26073
RBPJ,GM44335
KAT2B,GM25040
HIST1H1B,HIST1H3I
RBPJ,GM27406
TFCP2L1,ADAM19
DNMT3A,RHOX5
PEG3,SERPINE2
HIST1H1D,P4HA1
POU5F1,GM42429
SOX7,DPP4
EPAS1,MYBL2
DAB2,GM22858
TAX1BP3,FST
HIST1H1B,GM22858
KLF2,RRM2
HIST1H1D,CAR2
HSPB1,GM24761
XBP1,GM43521
UTF1,GM28030
DNMT3L,PLK1
MYBL2,CD63
JARID2,SPP1
RBPJ,MIR5117
HSPB1,PDPN
NR0B1,MARC2
HSPB1,ZFP989
BHLHE40,AY036118
DNMT3B,HIST1H2AH
EPAS1,TIMP2
POU5F1,MT-TF
BHLHE40,MT2
GATA6,ERP29
HMGA1,NDRG1
PEG3,SLC26A10
GATA6,FGF10
TGIF1,ZFPM1
MYBL2,PLOD2
ELF3,NUTF2-PS2
MYBL2,MEG3
ZFPM1,APOE
HSPB1,CTSL
ZFP42,HIST1H1A
DNMT3B,TPD52
GATA6,CEMIP
HMGA1,SNORA81
DAB2,CAR2
XBP1,SGK1
CREB3,IFITM2
DNMT3B,GASK1B
HIST1H1D,RPL15-PS3
CREB3,SNORD32A
SOX17,TDH
DAB2,GM25835
RBPJ,HSPA5
JARID2,GM25673
GATA4,TENM4
NR0B1,SRGN
FOXQ1,MIR466B-4
HMGA1,GM27406
PEG3,GM24494
GATA6,GM14870
BHLHE40,BNIP3
NANOG,GM14870
BHLHE40,MIR7005
CREB3,BCL3
KPNA2,SNORD49A
CREB3,HIST1H3H
FOXQ1,GM27501
PML,PHLDA3
CCND1,LRPAP1
CREB3,CDC20
NFXL1,MIR7005
HIST1H1D,GM26491
DNMT3B,APOBEC3
RBPJ,KAT6B
FOXQ1,GM27406
POU5F1,MIR669A-3
NANOG,HIST1H4N
HIST1H1B,RPL15-PS3
BCL3,BNIP3
CREB3,CTSZ
SOX2,HMGA1B
BHLHE40,IFITM1
NANOG,OPLAH
CCND1,PSRC1
DNMT3A,TNS4
NFXL1,GM24761
PML,NUP210
DNMT3B,MIR466O
SOX2,TDH
NFXL1,LY6G6E
KDM5B,SNORA74A
GATA6,SNORD32A
ESRRB,CTSL
KAT2B,TFCP2L1
PCBD1,SLC2A1
CCND1,IFITM3
GATA4,CLDN6
KLF2,GM25943
JARID2,LAMC1
HIST1H1B,GM22884
FOXQ1,CTSA
KPNA2,GM21962
MYBL2,HIST1H3H
ESRRB,GM15452
PCBD1,MARC2
KDM5B,PTH1R
UTF1,GM38312
TGIF1,MORF4L2
EPAS1,RHOX5
PHC1,FLRT3
POU5F1,HIST1H2AP
FOXQ1,DPPA4
DNMT3A,NUTF2-PS2
TAX1BP3,PHC1
PML,HIST1H2AP
XBP1,GM43107
GATA6,GM28960
ZFP42,OPLAH
HIST1H1D,AY036118
MYBL2,PRXL2A
HIST1H1B,COTL1
XBP1,PEG3
ETV5,RNF157
SOX17,DNMT3L
KLF2,GM7329
ESRRB,MIR5121
PHC1,MYBL2
NFXL1,SPINK1
BHLHE40,GM24289
XBP1,GM25451
NANOG,LAMB1
CCND1,CALCOCO2
FOXQ1,PHLDB2
ZFP42,GM10052
SOX2,GM42429
NANOG,GM44335
HIST1H1B,TYRO3
DNMT3L,BNIP3
ELF3,GM26287
ZFP42,GLIPR2
CREB3L2,GM13597
SOX17,GM10052
KDM5B,FAM234A
SOX7,GM22862
RBPJ,ETV5
GATA6,AU018091
SOX17,CEMIP
HMGA1,CALU
NR0B1,GM27406
PCBD1,GM44390
GATA6,LRPAP1
HMGA1,GM26156
SOX17,ZFP42
SOX7,IFITM2
EPAS1,CALU
HIST1H1D,GM25451
HMGA1,GM43535
JARID2,LNCENC1
KPNA2,MIR466O
RBPJ,MEG3
NANOG,PDCD4
TAX1BP3,SNORD70
DNMT3B,RAB11A
PCBD1,2410141K09RIK
BHLHE40,SLC7A6
JARID2,MT1
MYBL2,GM9531
ETV5,SNORD65
PHC1,NFXL1
DNMT3L,GM27406
JARID2,SRGN
POU5F1,HIST1H2AF
BCL3,CREB3L2
PEG3,FGFR3
DNMT3B,GM23413
HSPB1,KPNA2
NFXL1,PHLDB2
FOXQ1,SURF4
TRP53,GM23413
JARID2,AU018091
HSPB1,RPL22L1
PEG3,CREB3L2
PEG3,DPP4
CREB3L2,SDC4
TFCP2L1,DPPA4
NR0B1,SNORD49A
