TF,Target
TAX1BP3,GM23288
ESRRB,GM22051
PARP1,LAMB1
ETS1,GM43940
PARP1,ZFP990
PCBD1,ABCC5
BHLHE40,MME
NANOG,GM26092
TAX1BP3,ENAH
TAX1BP3,LY75
FOXH1,LRRC2
SOX7,CTH
BMP4,MORF4L2
MSC,GATA6
NFXL1,GM24616
KAT2B,KDELR3
RLIM,STXBP2
SMARCA2,MPP1
KLF2,B2M
BHLHE40,GM3470
TCEA3,GM24346
SMARCA2,RPS27RT
BHLHE40,MT2
RLIM,VEGFA
FOXH1,CDIPT
FOXH1,KLF2
DTX1,MYMX
RBBP7,GM4322
ID2,SMAD7
DNMT3B,D230025D16RIK
HNF1B,SOX17
TCEA3,SEPT1
CCND1,TIMP3
TFEB,BCAM
DAB2,CCNE1
EPAS1,BCAM
TAX1BP3,EGR1
NFATC2IP,LGALS3
KLF3,2200002D01RIK
EPAS1,MIR763
DTX1,CENPF
HIST1H1D,GM5616
CREB3,GM10182
HMGA1,XBP1
ID2,GM22862
CBX7,GM44310
RLIM,IMPDH1
TCEA3,WDR45
SOX2,HMGA1B
KLF6,IL6
PEG3,SNX2
HIST1H1B,CALR
PCBD1,MPP1
RLIM,MIR669H
MYBL2,SNORD87
NFATC2IP,GM25835
FOXH1,MSI2
CCND1,KANK3
HIST1H1D,CREB3
PARP1,SNHG3
ID2,CARHSP1
HMGA1,GM26060
BTG2,NUP62CL
TGIF1,SETX
PARP1,GM22571
ILK,TPM4
EED,CMKLR1
ETV5,EGR1
HMGA1,MIR3070B
ZFP42,FAM129B
ZFP42,SNORA74A
DTX1,DNMT3A
XBP1,AU018091
FOXH1,GM22411
CREB3,ASS1
ILK,SLC1A3
SMAD7,GM44310
EGR1,KDELR2
ID2,PLK1
ID1,FAM102A
PHC1,GM17035
KLF6,FLRT3
NFXL1,HNF1B
HNF1B,RBM47
TCF7L2,CERS4
ESRRB,SNORD49A
HSPB1,AHCY
NFATC2IP,RENBP
RUNX1,FOXH1
KLF2,TPD52
ID1,SNORD35A
MYBL2,MIR7005
MDM2,GM24616
RBPJ,ETL4
CCND1,GM24455
BHLHE40,GM22862
FOXQ1,GHR
HSPB1,SGK1
MDM2,GM21860
NFXL1,GM28439
ETV5,SPOCK1
TCF7L2,PDGFRA
CCND1,SNORA68
EGR1,DNAJC3
KLF6,MKRN1
SMAD7,RSRP1
UTF1,ZFAS1
ID2,FGF3
ELF3,MYMX
RUNX1,GM25285
ID1,HIST1H4K
RLIM,GM22468
BHLHE40,RPL23A-PS3
RBBP7,GM13597
SMAD7,PDCD6IP
SOX7,ITGAV
PML,PHLDA3
TFEB,GM22281
CITED2,AKT1
DNMT3A,LRRK1
EGR1,EFEMP2
PARP1,FBXO5
ID2,SEC24D
BTG2,CDH6
MYCN,GM26917
MYBL2,PNRC2
EGR1,CALU
ZBTB10,GM10169
JARID2,CSTB
BCL3,MRAS
SMARCA2,RETREG1
FOXQ1,MIR5117
PCBD1,ASAH1
HIST1H1D,2410141K09RIK
MCM6,GM21860
HMGA1,MIR5121
KAT2B,TRIM2
HSPB1,NUTF2-PS2
TAX1BP3,GM26992
ZFPM1,GNPDA1
NFXL1,GM25673
ID1,BUB1B
ID2,HSPG2
HMGA1,MORF4L2
EPAS1,FGF10
EED,GM29397
MDM2,TGM1
PML,LTBP4
GATA4,TMED2
PHC1,CLIC1
NANOG,SNORA41
NFATC2IP,MGST3
TCEA3,GM44330
MYCN,SNORD43
MSC,CTSD
PCBD1,HIST1H2BF
KAT2B,MYMX
CREB3L2,GM43238
ETS1,HIST1H1B
BCL3,GM24201
TFEB,ITGA3
MYCN,GM44170
MYBL2,TNK2
FOXQ1,HSPH1
SOX7,PSRC1
FOXQ1,FZR1
NFXL1,HSPA5
SMARCA2,PLXNA1
BTG2,GM49347
ELF3,AMFR
HSPB1,TXNDC12
EHMT2,GM20721
CREB3,GM21860
EHMT2,GM28900
SOX17,EIF4A2
TAX1BP3,ETS1
SOX2,GPX3
EGR1,PARVA
ZFP42,CMKLR1
DNMT3A,GM37784
HNF1B,FKBP11
CCND1,GM44170
GATA4,EIF4A-PS4
PHC1,FLRT3
ETV5,ST5
EGR1,FRMD4A
EED,STARD10
PHC1,KRT8
CITED2,GM25193
ELF3,BMPER
CITED2,SNORD83B
KDM5B,GM22051
MDM2,HSD17B14
TGIF1,ZFP57
ID1,GM23368
ETV5,DENND2C
ID1,LRRC2
BCL3,FOLR1
DNMT3B,GM12276
NR0B1,GM26448
SMAD7,GM25787
HSPB1,RIAN
CREB3,PDPN
DNMT3A,POU5F1
EPAS1,GM38009
MCM6,HNF1B
NFATC2IP,RPL17-PS10
NFATC2IP,MYO6
KLF2,GM37746
FOXQ1,NR0B1
BMP4,GASK1B
EED,MT2
ZFP42,SNORD33
CREB3,GOT1
NANOG,GM10925
SUZ12,IFITM3
DNMT3A,IL33
POU5F1,GATA4
DTX1,ARF4
NANOG,TDGF1-PS1
ELF3,BNIP3
PML,GM25701
KPNA2,JAM2
DNMT3L,JAM2
ILK,UHRF1
DAB2,NRG1
SMAD7,GM10780
PARP1,F2R
KDM5B,UBQLN2
GATA6,SNORA3
ETV5,GM25185
CCND1,CCNE1
TCEA3,ADAM19
NR0B1,SLC2A1
MYCN,MYO18A
HIST1H1B,TIMP2
DAB2,MIR669J
GATA6,TPX2
NFATC2IP,CCND2
HNF1B,MIR466N
SOX17,AGPAT4
GATA6,MYH9
SOX7,GM27624
MYCN,ITGAV
MSC,SPRY4
CCND1,ULK1
BMP4,FRRS1
ID2,COL4A1
TGIF1,AARS
PEG3,ASAH1
TRP53,TIMP3
HIST1H1B,PLEKHA7
ZFP42,GM22620
KLF3,SNORA73B
AKT1,FDPS
TGIF1,ENAH
FOXQ1,HIST1H1B
ETS1,SLC7A3
RBBP7,PCOLCE
RBPJ,GM13597
ILK,GLUL
HSPB1,GALK1
KDM5B,APOBEC3
SMARCA2,PSRC1
SOX7,PLTP
ELF3,UTF1
MSC,KRT42
GATA6,GM7329
CITED2,GLDC
SMAD7,GM14567
NFATC2IP,GRB10
ETS1,HIST1H2AP
FOXQ1,GM14870
HIST1H1B,EIF4A2
NFATC2IP,GM10259
XBP1,AQP8
ZBTB10,TRIM28
TGIF1,EGR1
PARP1,HSP90B1
MYBL2,SLC2A1
CITED2,GASK1B
CITED2,CMKLR1
KDM5B,PARVB
ESRRB,PNRC2
EPAS1,HSPG2
MYCN,GM26060
KLF3,RAB11A
BHLHE40,GM23569
KLF4,GM37404
TGIF1,GM25285
MYBL2,ERP29
EED,GM22862
PHC1,MRPL23-PS1
AKT1,GATA4
HIST1H1B,GM14870
KDM5B,GM26318
JARID2,DDAH2
FOXH1,IFI30
BMP4,IQSEC1
ZBTB10,KRT18
MYCN,LOXL2
RBPJ,CR1L
NFATC2IP,SLC6A6
ZFPM1,NR0B1
NFATC2IP,LGMN
GATA6,GM45213
HIST1H1B,GM21962
CITED2,NANOG
UTF1,GM10698
TFCP2L1,TEX264
EPAS1,PIPOX
DAB2,MIR669G
EHMT2,NXF7
ELF3,ARF4
HIST1H1B,GM24761
AKT1,GM8818
BHLHE40,KRT8
ELF3,SNORD58B
XBP1,GM13597
PCBD1,GM22748
TCEA3,MIR1905
BMP4,PRC1
RBBP7,TXNDC5
RLIM,MIR1192
CBX7,TDH
GATA6,GM45105
TCEA3,GM22677
EED,PDCD6IP
PHC1,FXYD6
ID2,CLCN5
JARID2,GM28439
SMARCA2,MORF4L2
KLF2,SNURF
AKT1,HIST1H2AL
RBBP7,ATP6V0B
MCM6,EPHA2
ETS1,TUBB2B
KPNA2,DPPA4
ETS1,RPS27RT
CITED2,PDGFRA
SOX17,KRTCAP2
RBBP7,HSPB1
CITED2,NFXL1
ZFPM1,HIST1H1B
JARID2,GM28030
FOXH1,HIP1
ILK,GM27415
ETV5,HIST1H2AI
TAX1BP3,JARID2
SUZ12,GM26387
HMGA1,GM15247
RLIM,GM42845
SOX17,RPS27RT
JARID2,KRT17
DNMT3A,SNHG12
TGIF1,MIR467C
PARP1,TMEM9
CCND1,MARC2
TRIM28,MYO5B
MSC,HMMR
AKT1,PGA5
KPNA2,GM4202
PEG3,MYO18A
CREB3L2,SDC4
PHC1,CTSD
HMGA1,GM24339
ID1,GM44170
HSPB1,SNHG3
DAB2,UCP2
NFATC2IP,PML
HSPB1,GM28030
PML,GM44330
EED,CTSA
RBPJ,KLB
NFXL1,ANXA2
KPNA2,CRELD2
CREB3L2,GM15421
ZBTB10,MIR291B
KAT2B,GM4202
ILK,ECHDC2
HMGA1,EMP2
HIST1H1D,FGF10
GATA6,NEDD4
TRIM28,GM27773
HMGA1,CLCN2
EGR1,TIMP2
HIST1H1B,GM22635
MDM2,GM22200
KLF3,KPNA2
SMAD7,MRPL23-PS1
BCL3,MARC2
