TF,Target
POU5F1,SNORD85
HIST1H1D,MT-TF
ZFP42,SNORD35A
TRP53,NRG1
PEG3,TMEM150A
CREB3,CCNG1
KPNA2,F3
NFXL1,ADAMTS9
BHLHE40,GM25943
TAX1BP3,KDELR2
CREB3,TXNDC5
GATA4,DNMT3L
TFCP2L1,CEMIP
DNMT3A,GM43107
TAX1BP3,GM25787
DAB2,CAR2
KPNA2,AF357399
KAT2B,PDCD4
ELF3,FN1
DNMT3B,SNORD70
SOX17,NDRG1
PCBD1,GM38312
TFCP2L1,TPD52
HMGA1,LY6G6E
GATA6,SLC25A5
CREB3,UAP1L1
NANOG,PWWP3B
RBPJ,HIST1H2BF
CREB3,HSPA5
PML,MEG3
TGIF1,GM25451
SOX17,HIST1H2BK
GATA4,CHST15
PML,PSRC1
BCL3,TINAGL1
KDM5B,GM42845
ZFPM1,PCBD1
PCBD1,MIR466B-6
DNMT3A,CREB3
DAB2,HIP1
ETV5,PGAM1-PS2
PCBD1,PLOD2
TFCP2L1,FABP3
KLF2,PML
PEG3,GM13597
ZFPM1,FRMD4A
ETV5,ADAM23
TRP53,RPL23A-PS3
JARID2,GM28439
JARID2,SNORA74A
ZFPM1,LGMN
TRP53,GM9531
EPAS1,BCAT1
ZFPM1,SNHG5
CCND1,HIST1H2AF
KLF2,GM37784
SOX17,RAB3IL1
DNMT3A,TFRC
SOX2,MIR669G
HSPB1,SLC16A1
GATA6,GM10184
DNMT3A,MIR8094
DNMT3L,AF357399
PML,TUBB2B
ELF3,GRB10
RBPJ,TPD52
HIST1H1D,NANOG
TRP53,HIST1H1D
KLF2,GM37917
KAT2B,IFI30
DNMT3A,ETV5
EPAS1,TINAGL1
PHC1,WDR45
CCND1,GM27501
NR0B1,GM24564
PML,STXBP2
CCND1,IGF2
DAB2,PCOLCE
DAB2,F3
FOXQ1,LAMB2
RBPJ,SNORD49A
KAT2B,HKDC1
KPNA2,SNORA65
BHLHE40,SLC16A1
DAB2,GM25943
KPNA2,SLC16A1
CREB3L2,IGFBP2
GATA6,TCL1
EPAS1,PDPN
CCND1,COL27A1
FOXQ1,GM26318
DNMT3A,PMM1
HIST1H1D,GM27501
KDM5B,NDRG4
DNMT3A,SLC7A3
XBP1,GM37917
XBP1,HSP90AA1
MYBL2,CALCOCO2
BHLHE40,PDK1
HIST1H1D,GM24488
PEG3,P3H1
TAX1BP3,AMOTL2
ZFP42,MIR7005
FOXQ1,DNAJC10
HMGA1,NUP210
ETV5,PDCD4
KLF2,NXF7
SOX2,GM28439
BHLHE40,GM26156
ZFPM1,B2M
KLF2,BCAT1
HIST1H1B,TET1
POU5F1,ME1
DNMT3L,CHCHD10
RBPJ,MEG3
DAB2,CSRP2
TAX1BP3,ZFP57
JARID2,PLK1
HMGA1,CALR
KLF2,IFITM3
FOXQ1,CREB3
SOX17,CRIP2
SOX2,GM2399
GATA6,GM23262
NANOG,GM23158
DNMT3A,HIST1H3H
TFCP2L1,GM2399
GATA6,ARHGEF40
DNMT3A,GM27743
XBP1,AKR1B8
NANOG,SNORD110
ZFPM1,HIST1H1D
ETV5,KDELR2
CREB3L2,GM43521
HIST1H1B,RPS27RT
GATA4,TRP53
ELF3,GM9385
DNMT3L,CST3
HIST1H1B,VSIR
DAB2,RAB11A
KDM5B,NPHS1
SOX17,SNORD33
DNMT3B,SNORD110
DNMT3A,SLC7A6
GATA6,HMGA1B
PEG3,PTPN14
BHLHE40,NFXL1
EPAS1,SOX2
UTF1,GM21962
SOX7,KAT2B
HIST1H1D,GM9531
SOX7,GM23569
DNMT3L,PDK1
SOX17,TPM4
BCL3,PATJ
DNMT3B,SLC7A6
EPAS1,NANOG
NFXL1,GM22455
DAB2,MIR669G
PHC1,PRXL2A
TGIF1,ZFAS1
CCND1,OPLAH
GATA6,GM26491
TAX1BP3,IL33
GATA6,RPL15-PS3
KLF2,ZFP989
DNMT3L,MIR466O
ELF3,GM37917
DNMT3B,CHST15
PML,ADAM23
SOX7,JARID2
DNMT3L,NR0B1
DNMT3B,LGMN
NR0B1,KPNA2
NFXL1,SNORD49A
ETV5,CTSD
GATA4,LY6G6E
PCBD1,TPD52
GATA6,GM44429
FOXQ1,COMMD3
CCND1,IFITM2
UTF1,ZFAS1
KAT2B,HIST1H4D
XBP1,GM15459
DNMT3L,ESRRB
DAB2,BMPER
ZFPM1,TPM4
TRP53,HSPB1
DNMT3A,DPP4
MYBL2,THBD
KDM5B,MRPL23-PS1
HSPB1,BASP1
GATA4,GM25535
BHLHE40,MIR7003
SOX7,KIT
RBPJ,GM24201
DNMT3B,LTBP4
SOX7,ASS1
HMGA1,MIR466B-6
GATA4,GM10717
TAX1BP3,CALR
PML,GM25835
RBPJ,PFKP
CCND1,GM25451
SOX17,GM10184
HSPB1,TINAGL1
ZFPM1,GM22925
ETV5,RRM2
TRP53,RHOX5
ETV5,RASGRP2
SOX7,FABP3
ELF3,MIR669A-1
DAB2,NFXL1
NFXL1,UTF1
DNMT3L,HIST2H2BB
EPAS1,GM49347
DAB2,GPX3
ETV5,AMOTL2
RBPJ,GM6136
PEG3,GM4322
TAX1BP3,CTSA
TRP53,XBP1
DNMT3B,RPL23A-PS3
NFXL1,TUBB2B
PHC1,GM38312
DAB2,GM37784
SOX2,GM15459
NFXL1,MIR3082
DNMT3B,KHDC3
JARID2,HIST1H2AF
KLF2,HKDC1
EPAS1,LDHB
HIST1H1D,HIST1H2BG
CREB3L2,GM37746
KDM5B,GM2399
RBPJ,ADAM23
SOX2,ZFP989
DNMT3B,HIST1H1D
PEG3,SDC4
NANOG,GM23833
PML,KDELR2
TRP53,GM25451
FOXQ1,KDM5B
KAT2B,TXNDC5
PHC1,GM28030
KPNA2,PMM1
DNMT3L,GM26073
TAX1BP3,GM26491
KLF2,GM10259
TRP53,RBPJ
GATA4,TDGF1-PS1
DNMT3B,GM23833
NR0B1,GLIPR2
HMGA1,GM28010
XBP1,GM27501
KAT2B,FAM234A
EPAS1,TYRO3
DNMT3A,ARHGAP29
DNMT3L,GM23344
CREB3,CUBN
XBP1,THBD
GATA4,GM26092
HIST1H1D,TMEM144
HIST1H1B,EPAS1
DAB2,MIR7003
DNMT3A,GM14303
SOX17,ARHGEF40
XBP1,HIST1H1B
ELF3,PDCD4
HMGA1,NDRG4
HSPB1,FXYD3
ZFPM1,GM7329
KPNA2,SNORA41
DAB2,AKR1B8
EPAS1,FOLR1
CCND1,HSPA5
SOX7,SDC4
DAB2,P4HB
TRP53,TFCP2L1
DNMT3L,RNF157
CREB3L2,GM22455
DNMT3L,PMM1
TAX1BP3,CALU
HIST1H1B,MIR466B-4
ELF3,AY036118
NR0B1,CUBN
BHLHE40,GM23413
ETV5,2210409E12RIK
KLF2,STARD10
TGIF1,MT-TP
GATA6,GM44346
SOX7,PML
PCBD1,HSP90AA1
SOX17,HIST1H2BL
PCBD1,GM10780
HMGA1,LAMB2
XBP1,RASGRP2
PML,BNIP3
NANOG,GM22925
FOXQ1,KHDC3
SOX7,HIST1H2AI
TGIF1,GM25040
TRP53,GM42845
ZFPM1,ULK1
HIST1H1B,MAN1A2
ETV5,GM47315
POU5F1,GM15452
MYBL2,TDH
CREB3,GM4322
GATA4,LAMB1
ELF3,IGF2
RBPJ,KDELR2
PHC1,ZFAS1
TGIF1,HIST1H2AI
EPAS1,HIST1H2BG
NFXL1,PLAT
UTF1,GM29397
HSPB1,GM10259
EPAS1,BCL3
ETV5,CCNG1
PML,SNORD33
NR0B1,PLA2G1B
CREB3,TUBB2B
ELF3,PATJ
ZFPM1,RCC2
GATA4,MIR466B-6
KLF2,MYBL2
GATA4,TFCP2L1
XBP1,OPLAH
KPNA2,COL27A1
SOX17,CALU
DNMT3L,SLC7A6
TRP53,HIP1
ZFPM1,GM25500
KPNA2,SNORD35A
NFXL1,MME
NANOG,MIR669J
PHC1,TOP2A
GATA6,GM37376
HSPB1,PODXL
ESRRB,RPL15-PS3
ESRRB,GM23571
PML,ZFP57
DNMT3B,RPS27RT
TAX1BP3,LOXL2
KPNA2,GM10259
JARID2,PLOD3
DNMT3L,MIR3535
HSPB1,MARC2
ESRRB,GM25791
PHC1,CEMIP
XBP1,MT1
TAX1BP3,FST
ESRRB,GM44429
NFXL1,GM25835
TRP53,P3H1
DAB2,HIST1H3H
ZFPM1,SNORA81
ELF3,RRM2
HMGA1,SLC6A8
ESRRB,GM25960
ZFPM1,GM22411
FOXQ1,LY6G6E
