TF,Target
BHLHE40,SMAD7
TFCP2L1,COBL
ZFPM1,GNPDA1
GATA6,GM42429
GATA6,GM25500
FOXQ1,NEU1
ETV5,DNMT3L
SOX2,TMEM9
RUNX1,HIST1H1A
FOXH1,GM10719
SOX2,DKK1
MSC,SNORD33
NR0B1,GJB5
GLMP,EED
TFCP2L1,MT2
MYBL2,RFFL
ZFPM1,CTNNAL1
KLF2,ZFP42
SOX17,1810032O08RIK
TET2,GM4617
ELF3,GM38009
KDM5B,EPS8
TFEB,CDC42SE2
SOX7,IFITM2
BHLHE40,LY6G6E
HNF1B,SNX1
TET1,EDA2R
ELF3,VKORC1
EGR1,KRT42
CREB3L2,NR0B1
KLF3,FGF10
KLF4,HNF1B
KLF2,UCP2
EPAS1,SERPINE2
SOX17,IFITM1
ETS1,KLF6
KLF6,IDI1
TGIF1,SNHG5
RUNX1,PDCD6IP
TGIF1,KANK3
PEG3,ABCC5
TET1,TMED2
EGR1,ELF3
HNF1B,HIST1H2AP
RUNX1,RRM2
KLF6,GM22281
ZFP42,RPS25-PS1
MSC,GM23566
ELF3,COMMD3
TCF7L2,GM24523
HNF1B,SLC38A4
PLSCR1,LY6E
ZBTB10,PLXNA1
SOX2,F2R
ZFPM1,HSP90AA1
ETV5,ESRRB
SOX2,MIR669K
ZBTB10,GM22620
KLF6,OPLAH
TGIF1,EIF4A-PS4
FOXH1,SLC20A1
NANOG,ADAMTS9
GATA6,TPM4
FOXQ1,IFRD1
ZFPM1,MAN1A2
PEG3,RPL23A-PS3
SOX2,TNK2
TFEB,GM15181
SOX7,FGFR3
KLF3,GM24339
ZFP42,GM27743
EPAS1,GM22620
MYBL2,TPM4
NR0B1,GM23344
SOX2,GM47315
SOX7,GM44364
PLSCR1,TMEM9
GLMP,SNHG5
EGR1,RCC2
PEG3,MT2
FOXH1,COL4A2
FOXH1,FAT1
MYCN,MCM6
SOX17,GM25943
MYCN,ST5
BHLHE40,NRG1
NFXL1,ESRRB
MYCN,GM22748
HNF1B,RUNX1
GATA6,RAB3IL1
KLF6,UHRF1
HNF1B,STAG3
POU5F1,WDR45
SOX7,ZFPM1
FOXQ1,TFEB
TCF7L2,RRBP1
ZBTB10,SNORA17
ESRRB,LAD1
NANOG,GM22571
ZFPM1,CTDSPL
NANOG,P4HB
SOX17,TCN2
ELF3,GM23571
ETS1,STAG3
FOXH1,GM22988
KDM5B,LRRC8D
ESRRB,EPHA4
ZFP42,ASAH1
ESRRB,SPSB1
KLF2,GM24523
HNF1B,KDELR2
