TF,Target
ESRRB,HIST1H2BL
TRP53,SNORD93
DNMT3A,GRB10
TFCP2L1,GM22862
ZFPM1,HTRA1
TGIF1,CREB3L2
EPAS1,MIR466B-4
BCL3,GM10925
CREB3L2,ARHGAP29
DNMT3L,NUTF2-PS2
KDM5B,HSP90AA1
DAB2,SNHG5
EPAS1,HIST1H2AF
FOXQ1,GM43535
ZFP42,TET1
NANOG,GM28900
TAX1BP3,STARD8
ZFPM1,CLDN6
PCBD1,GM25535
KLF2,NR0B1
GATA6,PDCD4
NFXL1,PTH1R
RBPJ,SPRY2
DAB2,HIST1H2AH
MYBL2,TFCP2L1
CCND1,PRSS35
PHC1,RPL23A-PS3
GATA4,FGF4
FOXQ1,SNORD93
GATA4,ZFAS1
NFXL1,SNORD65
KAT2B,2210409E12RIK
ELF3,TFRC
NFXL1,RRBP1
PML,RPL23A-PS3
PML,GM24761
KLF2,RRM2
HIST1H1D,NID1
CCND1,HMCES
KAT2B,GM22988
ETV5,GM24488
UTF1,GM37746
EPAS1,CCNG1
TAX1BP3,ITGA3
SOX7,PTH1R
ETV5,GM24044
XBP1,SPARC
POU5F1,NSD2
HIST1H1D,RHOX5
SOX2,LDHB
GATA4,SNORD32A
TRP53,TNS4
RBPJ,GM22678
ETV5,FAM25C
POU5F1,LEFTY2
POU5F1,LTBP4
MYBL2,CEMIP
XBP1,GM23158
PEG3,AY036118
HMGA1,ASS1
ZFPM1,FLRT3
TFCP2L1,PCBD1
ETV5,IGF2
PML,ITPK1
KAT2B,CTSA
ESRRB,TAX1BP3
DAB2,ZFP57
DNMT3B,STXBP2
ETV5,GM44390
KAT2B,F3
DAB2,PLAT
PCBD1,PDPN
PML,PMM1
POU5F1,GM14303
DNMT3L,FXYD3
NFXL1,MIR669G
HIST1H1B,LAMB1
HIST1H1B,AKR1B8
PCBD1,CCN2
DNMT3A,TFCP2L1
NR0B1,COL4A2
TAX1BP3,GM20721
HIST1H1D,LOXL2
NR0B1,MYLPF
KLF2,LRPAP1
ZFP42,SURF4
KDM5B,MME
CREB3,HMGA1
HSPB1,UAP1L1
MYBL2,GM37376
SOX17,IFITM3
JARID2,HTRA1
NFXL1,SNORD85
GATA6,GM23262
TFCP2L1,MAN1A2
BCL3,BMPER
EPAS1,LEFTY2
TGIF1,HIST1H3I
RBPJ,PHC1
DNMT3L,GM22925
KDM5B,GM23130
KAT2B,TDH
JARID2,GM27592
GATA6,HIST1H3I
TFCP2L1,FLRT3
HMGA1,GM10259
DNMT3L,CEMIP
ELF3,PMM1
BHLHE40,SNORD93
PEG3,MIR669J
XBP1,GM37746
PCBD1,TYRO3
TAX1BP3,INSIG1
ESRRB,LOXL2
KLF2,GNAS
DNMT3B,P4HB
HMGA1,GM25535
ETV5,TET1
DAB2,MT2
ESRRB,MIR677
EPAS1,2410141K09RIK
ETV5,MIR677
ELF3,NID1
ZFPM1,SNORD65
CCND1,NSD2
ZFP42,GM26318
ZFP42,MIR669J
MYBL2,MIR3473F
PML,GM22678
SOX2,FOXQ1
TAX1BP3,LRP2
DNMT3B,GM24451
RBPJ,GM43521
CREB3,GM25673
KPNA2,RPL23A-PS3
BCL3,HSP90AA1
SOX2,HIST2H2BB
HIST1H1D,GM22468
MYBL2,PCOLCE
NANOG,HIST1H3I
SOX2,GM25040
NR0B1,SERPINH1
GATA6,LGMN
ZFPM1,MIR7005
SOX2,GM26491
POU5F1,PMM1
DAB2,GM23130
TGIF1,LOXL2
HMGA1,GM29397
BHLHE40,GM44335
HMGA1,GM22925
HMGA1,KAT6B
BCL3,SLC26A10
ELF3,GM22411
TGIF1,RNU73B
HSPB1,GM10259
NANOG,OPLAH
ETV5,RPL15-PS3
UTF1,GM25673
BHLHE40,GM24916
PEG3,ZFAS1
ZFPM1,MIR669G
HIST1H1D,SOAT1
BHLHE40,TRP53
NR0B1,TENM4
POU5F1,GM8355
HIST1H1D,SNORA3
SOX7,XBP1
KDM5B,CDC20
DNMT3A,SOAT1
RBPJ,GM4322
TFCP2L1,IFITM2
TAX1BP3,GM26156
KAT2B,GM14303
ZFPM1,GM10719
CREB3,MANF
ELF3,HIST1H3I
DNMT3L,KDM5B
HIST1H1B,LGMN
KLF2,GM3788
HIST1H1B,GM23344
GATA4,MIR8091
EPAS1,ME1
BHLHE40,GM27406
GATA6,NPHS1
HIST1H1D,SPINK1
SOX2,TDGF1-PS1
KPNA2,BCAT1
GATA4,CCNB1
FOXQ1,SEC24D
ELF3,MANF
HMGA1,GM25472
HMGA1,PODXL
HSPB1,GATA4
SOX2,LAMA5
TGIF1,RCC2
CCND1,NRG1
BCL3,GM43107
KDM5B,GM24564
ETV5,DNMT3B
DNMT3A,GM27743
BHLHE40,GLIPR2
XBP1,VIM
PML,GM27501
DNMT3B,TAX1BP3
HSPB1,RHOX5
ELF3,CAR2
MYBL2,MIR466B-6
PCBD1,GM4322
ELF3,STXBP2
GATA4,ANXA2
BHLHE40,GM4322
PML,GM24289
NFXL1,NR0B1
DNMT3B,AU018091
ESRRB,P4HB
TAX1BP3,LOXL2
ZFPM1,PATJ
TGIF1,TPM4
RBPJ,SPINK1
HIST1H1D,GATA6
PHC1,APOE
SOX17,HIST1H4N
GATA4,MIR669J
