TF,Target
H1F0,PIK3CG
CTR9,GAA
NFAT5,KIF23
MEF2A,RASSF2
CBX7,CAPN5
MCM4,MAGED2
NFATC1,PAQR5
IRF7,BCLAF3
NFATC1,PECAM1
EYA2,CD52
CBFB,OCRL
TAF12,WFDC17
TAF12,CTR9
PML,SLC44A2
SLA2,SLC2A3
PML,PRPS2
MCM4,CD274
CBX7,RNF13
MEF2A,ZBTB38
MED16,S100A6
RBL2,ATP2B4
KLF10,ADA
MCM4,MCTP1
H1F0,CHRNB1
NFAT5,GM20559
MEF2A,RNF125
GATA2,GMFB
CTR9,DPP4
XRCC6,CPQ
ZFP467,PLIN2
CTR9,RHOF
SLA2,CTSF
ZBTB38,TAPT1
CTR9,IFI27L2A
MYCN,LYN
GATA2,IL12A
PML,UBL4A
ZFP467,PNO1
GATA2,NAPRT
ZBTB38,ABHD17B
JUN,RMND5B
H1F0,CYP2J6
BTG2,RCSD1
MED16,ADGRG3
NFATC1,IER3
GATA2,SLC2A1
JUN,RHOH
ARNTL,ZFP945
MCM4,TBC1D5
ZBTB38,CTSF
PML,LCK
NOTCH1,SH2D3C
MED16,FDFT1
SLA2,CBX7
MCM4,UMPS
CBX7,CD74
TSC22D3,BTG2
SATB1,KCTD20
NDN,PSTPIP1
NOTCH1,F2RL3
SATB1,MTMR6
GATA2,PYGL
NFAT5,MAP2K1
CTR9,SH2D3C
ZFP467,ELOVL5
NDN,ARHGEF18
MLLT3,ZFR
ARNTL,ARID5A
JUN,TCIRG1
CTR9,IL15RA
CTR9,BC035044
NFAT5,ABHD4
MLLT3,FES
MCM2,PARP8
VEZF1,TCIRG1
PRDM5,MN1
TAF12,RFTN1
MCM4,DUSP6
SLA2,MCTP1
SLA2,WLS
NDN,FLT3
KLF10,CD53
ZFP467,ABI1
MEF2A,4930555A03RIK
CBX7,JUN
H1F0,PANX1
NFATC1,GMFB
NFATC1,MAN2A2
VEZF1,SLC2A3
XPC,SH2D5
TAF12,HELLS
PRDM5,HEXA
NFATC1,EIF1AD
MLLT3,NFATC1
MED16,CTLA2B
RBL2,PRELID3B
NFKBIA,DPP4
MLLT3,VAV3
NFKBIA,NCEH1
H1F0,CERS4
NFAT5,MAGED1
MLLT3,GRINA
JUN,SLC7A4
PRDM5,ZFR
CTR9,DUSP5
MED16,EPB41L4B
NFAT5,NOTCH1
H1F0,IL12A
GATA2,RASSF2
SLA2,SESN1
HIST1H1C,EMID1
PRDM5,EPSTI1
EYA2,NGLY1
MED16,ICAM1
TSC22D3,TBXA2R
MCM5,OTULINL
NOTCH1,GBP2
KLF10,TRPC6
TAF12,QARS
