TF,Target
RUNX1T1,SGPL1
PA2G4,SCARF1
MAML3,OASL2
IRF8,SELL
NUPR1,FAM76B
TTF2,RELT
MEF2A,INKA1
KLF6,FECH
NFAT5,PECAM1
ANKRD6,NUPR1
CBFB,FAM76B
KLF8,LCP2
BATF2,FOXO1
TEAD2,SERPINF1
MCM7,SLC35D3
CENPK,VAV1
MCM2,IRGM2
PHC1,DEK
PHC1,PLEK
NOTCH1,LIG1
RPS6KA5,SSTR2
PA2G4,SERPINB6A
RUNX1T1,CSGALNACT1
SMARCA2,GSN
KLF10,PA2G4
RORA,OTULINL
NDN,SPTBN1
IRF7,FUT7
BATF2,4833407H14RIK
VDR,PIK3CG
PBX1,MYCT1
ID1,USP3
SATB1,SSTR2
MEF2A,FUT7
MEIS1,CD53
ESR1,AKAP8L
MECOM,TTF2
APBB1,VAV3
EYA2,TAPT1
DEK,GATA2
SPO11,PQLC1
NFIA,EBI3
SOX6,FES
RAI14,CD300A
CBX7,CBFB
TRIB3,ZBTB20
MCM6,NT5C3
SOX18,SLC7A4
PBX3,TSPAN6
AEBP1,MAMDC2
MCM5,VDR
ETS1,VSIR
NFIA,MAMDC2
TEAD2,RGS2
TLE2,CDCA4
EGR1,GBP7
IKZF1,TMEM123
MLLT3,MED16
SATB1,9030619P08RIK
TSC22D3,ULK1
MEIS1,ABHD17B
KLF3,ADSSL1
NUPR1,PYGL
PGR,SQOR
MAPK12,CTLA2B
MEF2C,CD274
RUNX1T1,UNC93B1
TSC22D3,H2-AA
PHC1,ZBTB38
ID1,SQOR
TRIB3,TBXA2R
PHC1,LDB2
MCM5,AC174780.1
NFE2,MMRN1
ARNTL,RASA4
SOX6,VEZF1
RUNX2,USP11
RAD51,NFKBIA
BATF2,HIST1H1C
HDAC11,VDR
THRB,DDX4
HOXA9,GBP7
CLOCK,CD53
KLF6,SLC2A3
NOTCH1,SLA
ZFP111,NDN
TLE2,PYGM
FOXO1,UBL4A
IRF6,UNC93B1
CBX7,ITPR1
HNF4A,SLC6A6
EPAS1,ZMYM3
CLOCK,E2F8
RARB,TCF19
GFI1B,FLT3
CD7,CD74
MYCN,PIP4K2A
MAPK11,BC035044
H1F0,ZFP111
PBX3,UBE2L6
NR3C2,SSTR2
PA2G4,NCF1
TSC22D3,ZBTB20
IRF7,RCC1
FOXO1,JUN
IRF6,SNX30
CENPK,TRPS1
MCM4,FES
ZBTB20,PROCR
MCM6,ZKSCAN4
HIST1H1C,TRIM35
SLA2,FOXO1
TLE2,FRRS1
HNRNPAB,NEAT1
DACH1,PGLYRP2
MEF2A,TXNDC11
MED16,GGT5
IRF7,MAP2K1
SOX18,CBX5
MYCN,METTL7A1
THRB,PLIN2
HDAC11,IL1R1
ZBTB38,TBXAS1
GATA2,IRF7
NDN,CREB5
NFKBIA,WLS
ZBTB38,MYCT1
EPAS1,DEF8
THRB,PLIN3
MCM6,PDK3
SATB1,CDK17
DEK,DOCK11
PGR,ARHGAP27
AEBP1,KCTD20
NDN,MSH6
NFE2,CENPK
ELL2,PREP
PBX1,NDOR1
ANKRD6,MAGED2
ELL2,TMBIM1
MAPK12,SERPINB1A
XRCC6,TXNDC11
IRF6,GRAMD1A
TEAD2,EZR
TCF19,IRF6
EGR1,PANX1
HDAC7,UBL4A
NFKBIA,ZKSCAN4
TLR4,CD69
CREB5,TRP53INP1
EPOR,CNN3
KLF6,SQOR
MAPK12,HAAO
EYA2,PIK3CG
TAF12,FGFR1OP
CREB5,TMBIM1
BTG2,TSPAN6
PRDM16,CERS5
NFE2,PLEK
SATB1,SNX30
H1F0,RCSD1
KLF3,PPCDC
MEF2A,F2RL3
FOXO1,P2RY14
REL,HIF3A
ARNTL,OCRL
CENPK,DOCK10
NFIA,H2-OB
MCM6,ZFP467
RAI14,MCM7
YBX1,ADGRG3
HCFC1,SCARF1
MYC,GFI1B
