TF,Target
MCM5,NDN
KLF10,NDN
MCM7,CYP2J6
PGR,PRODH
NFKB1,LCP2
H1F0,GM45837
PRDM16,PHF8
HNF4A,LY9
PBX1,LCP2
HIST1H1C,ARHGAP18
MED16,GMIP
RAD51,ANXA2
NOTCH1,NSMF
MECOM,PGM1
VDR,ZFP422
MLLT3,TOP3B
TLR4,S1PR1
PGR,CD53
ZBTB38,SQOR
NFATC1,FDFT1
RORA,DDX4
MCM5,TTC39B
PHC1,ITPR1
EGR1,ZFP120
H1F0,GCNT1
CENPK,MCM2
PML,OCRL
ELF1,ARFGEF2
NDN,TBXAS1
PRDM16,BTBD3
TLE2,BIRC3
PHC1,TXNRD3
DACH1,VAMP5
PBX1,ELOVL5
XPC,AI504432
IRF6,ZBTB38
NDN,LY9
REL,HJURP
NFAT5,FDFT1
CTR9,SNX30
PML,D930016D06RIK
HIST1H1C,TBC1D5
HIST1H1C,RCSD1
SLA2,IL17RA
SLA2,PARD3B
TSC22D3,PPP1R9A
KLF3,DUSP6
NFAT5,ITGA5
MCM7,C1QTNF12
MCM7,SLFN2
H1F0,SELENOP
CLOCK,GM28875
PGR,PPP1R9A
HOXA9,SLC37A1
TAF12,GPRASP1
RORA,ANKRD44
RAD51,CDCA5
MLLT3,EIF1AD
PRDM16,WFDC18
RAI14,ITGAM
TCF19,SPNS2
HNF4A,MAD2L1
RPS6KA5,MSH6
EYA2,NPR2
ZBTB38,SLC26A11
PRDM5,GRINA
NDN,KCNK5
TAF12,CAPN5
MCM7,LAG3
MEF2A,IER3
XPC,CTSH
EGR1,TRIM47
ZFP467,MCTP1
HNF4A,SLC12A6
MEF2C,TEX10
EYA2,FLNA
HDAC7,CDCA4
XRCC6,TOMM70A
MYCN,SC5D
ELF1,D630039A03RIK
TRPS1,RNF213
MAML3,SLA2
XRCC6,AI504432
MCM2,VAV3
TAF12,IL15RA
ZBTB38,TOP3B
PML,CDK18
RAD51,BC005561
MYCN,ANXA4
MCM4,BPIFC
BTG2,TIMP2
PGR,FAM171A1
NFKBIA,TBXAS1
MCM5,SDF2L1
REL,SLC41A3
HDAC7,GSAP
MAML3,ARHGAP18
HIST1H1C,KDM7A
PRDM5,CIPC
NFKBIA,TRMT6
MEF2A,PDIA4
MEF2C,MAML2
EGR1,MTMR6
ZFP467,IL12A
MED16,MICAL1
CLOCK,IGKC
PGR,SERPINB6A
RBL2,TSPAN6
MECOM,KLF6
SLA2,UPP1
NDN,IL10RA
TTF2,CSF2RB
RPS6KA5,CD96
NOTCH1,ARHGEF3
MCM6,ACSS2
MEF2C,KNSTRN
ZBTB20,CYP2J6
RAD51,TCIRG1
PRDM16,MPL
REL,MLLT3
NFKBIA,EEPD1
NFATC1,PLSCR4
HNF4A,PSEN1
MCM4,ZFP945
TRPS1,MORC3
RBL2,RCC1
RBL2,ZNRF2
TRIB3,ZFP945
PRDM16,CHST11
SLA2,FRRS1
HDAC7,CCND3
BTG2,EMB
RPS6KA5,ZFP949
XPC,PTPRC
KLF10,HK3
PHC1,SZT2
MYCN,TGFBR1
MCM5,MAN2A2
MCM6,OAT
PBX1,GLRX5
CENPK,CD93
MEF2A,IRF7
MECOM,GAA
EYA2,ESR1
JUN,HOXA9
ELF1,NAPRT
TAF12,ELOVL6
XPC,GM8995
NFATC1,HELLS
KLF10,GM19590
MCM4,GM10384
CBX7,TSPAN3
ARNTL,TES
HDAC11,IRF7
SLA2,GRINA
KLF10,GM28875
MAML3,SYTL1
MCM7,RPTOR
ZBTB38,PRMT2
EYA2,VAMP1
DACH1,CDCA4
ELF1,KIF21B
TLR4,CDC7
KLF6,AP1S2
HDAC7,SLC39A13
HIST1H1C,GBP8
TSC22D3,B3GNT5
MLLT3,P2RX1
MAML3,KDM7A
MEF2C,ASAH1
NDN,TSPAN6
RPS6KA5,CASP2
SLA2,RPA2
VDR,EIF2S1
H1F0,HSD3B7
CBFB,ESAM
NFKBIA,DOK2
VEZF1,BTK
PA2G4,NEURL3
RUNX2,MYLK
HNF4A,SGCE
PRDM16,CPXM1
PBX1,PHF8
PBX1,DTL
PHC1,LONP2
RPS6KA5,DPY19L3
ZBTB38,SEC14L1
RORA,PTPRE
TSC22D3,NCKAP1L
NOTCH1,MN1
TTF2,ADA
PRDM16,NCF1
REL,CDK6
VDR,MCM5
MYCN,PRIM2
NDN,ZNRF2
KLF3,GPRASP2
HNF4A,PAFAH1B2
KLF6,CISH
ARNTL,KCTD20
HOXA9,ANO10
IRF7,USP42
TCF19,B4GALT6
MCM4,ELOVL5
TCF19,TRIM47
CLOCK,ZFP62
TTF2,ITGB7
ZBTB38,CTSS
EYA2,IL17RE
RUNX2,RP2
MED16,GAA
MEF2C,NT5C3
KLF10,IGKC
RAI14,LGALS3BP
NFKB1,GEM
TCF19,ADORA2A
GFI1B,PHKB
RPS6KA5,TRP53INP1
MEF2A,SLC44A2
PRDM5,IRF6
XPC,CTSF
