TF,Target
CREB5,MAN2A2
ID1,ADA
CTR9,RTP4
MCM7,HACD4
VEZF1,GM5111
VEZF1,RAD51
HNF4A,ADSSL1
HDAC7,SPO11
THRB,TSPAN6
NFKBIA,HJURP
NUPR1,SPNS3
HNF4A,SPNS3
ANKRD6,KLF8
IRF8,GIMAP1OS
HIF3A,SCARF1
PRDM5,ART4
VDR,PSTPIP1
TCF19,TLR4
TEAD2,MED16
NR3C2,EBI3
H1F0,SMPDL3A
PML,DOK2
CREB5,ABCD3
RARB,NDEL1
NFKBIA,MCM5
ID1,SESN1
HIF3A,PNO1
GFI1B,ATP2B4
MCM6,ARHGEF3
YBX1,TCF19
RUNX1T1,AC174780.1
MED16,KLF8
DEK,GATA2
RARB,HLF
CTR9,FGGY
HDAC11,PLXNC1
IRF8,ARNTL
MEF2A,NUDT19
ELF1,PPIC
HCFC1,MECOM
ZBTB38,NFAM1
NFE2,SQLE
DEK,CCL3
ZKSCAN4,CD53
PRDM16,FLNA
CREB5,F11R
PML,FGFR1OP
IRF6,TFPI
BTG2,PDE7A
NUPR1,SPNS2
CENPK,TYROBP
EGR1,TNFRSF13B
ELF1,PDZK1IP1
MED16,GBP7
RORA,IFI27L2A
ZKSCAN4,F2RL3
XPC,INPP5K
PA2G4,MEF2A
IRF8,LAX1
NUPR1,FCHO2
ARNTL,PNO1
KLF6,GNG11
NFKB1,PLA2G4A
EGR1,CD48
NFE2,ZFP945
TTF2,PGM2L1
SPO11,EBI3
TSC22D3,CAPN5
PHC1,CNP
RORA,H2-AA
MED16,VEZF1
EPOR,UNC93B1
HNF4A,ANKRD6
CREB5,RHOF
CTR9,MCM2
NOTCH1,ITM2A
CBFB,GM10384
TCF19,LRRC8C
EGR1,ABHD4
PRDM5,4833439L19RIK
DACH1,FCHO2
PML,IRAK3
HMGB2,ADSSL1
HIST1H1C,PANX1
MAML3,EPSTI1
CTR9,DNAJC9
FOXO1,LZTS1
RBL2,ANXA2
ARID3B,TAF12
XRCC6,ZBTB38
PRDM16,FUCA2
MCM5,GM20559
RPS6KA5,OCRL
APBB1,PA2G4
MAML3,DNTT
TRPS1,GSN
KLF3,ANXA4
AEBP1,CASP12
MAPK12,TBC1D5
TRIB3,EYA2
EGR1,HAAO
LZTS1,INKA1
HNRNPAB,NDEL1
ANKRD6,SELL
RBL2,RFTN1
