TF,Target
AKNA,UBA7
ARID5A,CALHM2
KLF10,CD34
ZBTB4,TOP3B
JUN,GALM
MYC,RAI14
MECOM,GM7694
PRDM16,VAV3
MECOM,HDAC7
ELF1,UBASH3A
RUNX2,CDCA4
BAZ2B,TOP2A
PGR,PLPP2
IRF8,MAN2A2
DACH1,TES
ELF1,HAT1
ARNTL,MCM7
REL,SLC12A2
GFI1B,TRIM16
CENPA,RTP4
PBX1,FBXO30
IKZF1,RPS6KA5
YBX3,SEMA3D
EGR1,XRCC6
CENPA,TOP3B
SP100,SCARF1
AKNA,ZC2HC1A
MEF2C,SHISA8
NFATC1,ACOX1
CLOCK,LDLR
NFAT5,AFF3
IRF8,PGM1
GFI1B,INSL6
ELF1,CDK18
PRDM16,CENPK
RORA,PGM1
NFATC1,LAG3
IRF6,GIMAP5
MYCN,SSH2
GFI1B,B230219D22RIK
KLF6,SLC9A9
NFKB1,DUSP1
DACH1,HNMT
ZBTB4,GPRASP2
MEF2A,IRF8
IKZF1,CENPA
TFEC,CYP2J6
HNF4A,CDC45
NFKB1,SYNRG
NFKB1,LGALS3BP
KLF10,ARHGEF3
KLF6,GM4759
VDR,GNG11
DACH1,ESAM
SATB1,H2AFX
HNF4A,GPRASP1
MEF2C,THBS1
BAZ2B,MYO1G
NFAT5,H1F0
ZFP62,SGCE
PBX1,COL4A1
PBX1,2810468N07RIK
CENPA,RORA
NFAT5,PLD4
PRDM16,CD74
MEF2C,RBPMS
GFI1B,SP100
MECOM,CYBC1
VEZF1,TMEM184C
HOXA9,BC035044
PBX1,CIPC
ZFP62,CD33
MECOM,CDKN1C
AKAP8L,SDC1
SPI1,UNC119B
NFATC1,ARRDC4
IKZF1,NFKB1
IRF6,AMPD2
ZBTB4,SYK
IRF8,CORO7
NFKB1,IFI203
MYC,PRNP
PRDM5,HID1
ZBTB38,NCEH1
MYC,ZDHHC17
MEF2A,ANXA5
NFKB1,VLDLR
SATB1,TIPIN
ZBTB20,IL17RE
SPI1,HAAO
DACH1,KLF6
TFEC,CYC1
MYCN,CD9
HNF4A,FCGRT
MYC,FCHO2
VDR,NEAT1
ARNTL,RGS2
JUN,GM7694
KLF10,SZT2
AKAP8L,YBX3
ZBTB4,PBX1
ZFP62,RASA4
NFATC1,ZBTB4
ETS1,EPB41L3
IRF8,S100A6
MYCN,SEPT6
CLOCK,FHL1
JUN,PRKCH
IRF6,BDH2
ETS1,NFKBIA
PBX1,POLD1
HOXA9,TEX10
AKAP8L,VAV3
SP100,IRF7
ESR1,ANXA4
KLF3,SEMA3D
REL,RAD51
BAZ2B,RTP4
BAZ2B,TMEM173
ARNTL,TIMM50
KLF3,ST8SIA4
VDR,PGM2L1
ZBTB4,CKAP5
ESR1,MGAT1
KLF3,NFKB1
ARID5A,PLPPR3
GATA2,TYROBP
TFEC,PIP4K2A
GATA2,IL18BP
IRF6,STAM2
KLF3,ZFP157
ARID5A,CNN3
ARID5A,IRF6
HNF4A,TPM4
EGR1,MYLK
AKNA,TGFBR1
TFEC,ABCG3
PA2G4,SLC35A5
IRF8,DUT
RORA,ANXA2
TRPS1,RNF141
CLOCK,PDGFRB
HLF,IKZF1
NFKB1,CTSB
GATA2,NUP88
HNF4A,IL27RA
SP100,AP1S2
NFAT5,DUSP2
RUNX2,ARL8B
NFKB1,FADS1
IKZF1,TMEM206
ZBTB4,SAT1
VDR,RAB38
ZBTB4,ALS2CL
PBX1,CSF3R
ZFP62,PDIA4
MYC,TOP2A
ELF1,RPTOR
HLF,SLC7A4
RORA,TOMM22
CENPA,FAM76B
HLF,ART4
MEF2A,EIF3A
VDR,ABCG3
MECOM,EIF2S1
VDR,RAD51
MECOM,IL27RA
PBX1,PLBD2
MEF2C,ITGAL
PBX1,SNN
NFATC1,TK1
PGR,NT5C3
BAZ2B,NFKBIA
IKZF1,GALM
HOXA9,CD34
CLOCK,MYOF
AKAP8L,FAM76B
ZFP62,GM8995
GATA2,OASL1
KLF10,FLT3
ETS1,CTSB
GATA2,KCNK5
PGR,TRP53BP2
IRF8,PAFAH2
MYC,KIF22
DACH1,GATA2
NFATC1,MC5R
PA2G4,ITPR1
IRF7,SLC26A11
TFEC,ITPK1
HOXA9,4930555A03RIK
VDR,DNTT
ARID5A,GPSM1
IRF7,GM1966
GATA2,DEF8
RORA,ZFP945
CLOCK,4833439L19RIK
DACH1,CLOCK
CENPA,ARHGAP27
MEF2C,CD63-PS
IRF8,TK1
VDR,TSPAN3
IRF8,CCND3
CENPA,DPP4
TFEC,MGAT1
PBX1,KLF10
SATB1,TOP2A
NFKB1,VDR
ZBTB20,TOP3B
SP100,SELENBP1
AKAP8L,ECT2
SPI1,DNAJC9
MECOM,UBASH3A
SPI1,PHF5A
EGR1,ART4
PA2G4,PLD4
IRF8,GIMAP8
REL,EMID1
NFATC1,GBP7
AKAP8L,TCF19
EGR1,F2RL3
BAZ2B,ADSSL1
MYC,MAML3
EGR1,ALS2CL
SATB1,IGFBP4
SATB1,SLC35D3
HOXA9,CBFB
EGR1,RASA4
IRF8,PLA2G4A
PRDM5,KLF6
REL,ARL11
JUN,FAM169B
MEF2A,FCGRT
SPI1,ALDOC
REL,RASSF5
AKAP8L,MYO1F
VEZF1,RAB27B
MECOM,CSAD
MEF2C,DENND1C
ETS1,VDR
VEZF1,MAPKAPK3
MEF2A,PLEK
IKZF1,KCNK5
SATB1,KLF6
CLOCK,GIMAP1OS
HOXA9,FRRS1
ESR1,WDSUB1
AKNA,UBASH3A
ETS1,H1F0
IRF7,LRRC8C
PGR,SARAF
IKZF1,SLA2
TRPS1,AMPD2
IRF8,BC035044
ELF1,MCM4
TFEC,GM1966
HOXA9,PCLAF
PBX1,CTPS
MECOM,TXNRD3
JUN,TRPS1
MEF2C,MCM7
IRF6,TNFRSF13B
NFATC1,FAM169B
ZBTB4,H2-AA
KLF6,RAB27B
CENPA,GYPC
HOXA9,TCF19
AKNA,XRCC6
REL,ARL6IP6
NFAT5,EPSTI1
IKZF1,SNX30
IRF8,HNRNPLL
SATB1,WDSUB1
HOXA9,APLP2
GATA2,4833439L19RIK
ZBTB4,PHF8
KLF6,SEC14L1
HNF4A,CCL4
NFKB1,ARL11
YBX3,BLVRB
CENPA,SERPINF1
TRPS1,UBASH3A
PRDM5,HSPA1A
ETS1,OAS2
PRDM16,GP9
BAZ2B,HSPA1A
SP100,ARHGAP15
BAZ2B,H1F0
GFI1B,GP9
CLOCK,TGTP1
VEZF1,CDK6
SATB1,PAG1
CENPA,HELLS
MEF2C,SNX30
VDR,FADS1
MYC,EFTUD2
NFKB1,FDFT1
MYCN,RGL1
CLOCK,TMEM65
ZBTB4,AKNA
RUNX2,CTSH
EGR1,KLF6
HNF4A,PTTG1IP
PBX1,NCKAP1L
MYCN,GGT5
CLOCK,RMND5B
RUNX2,SSTR2
DACH1,PNO1
VDR,BIRC3
CLOCK,GORASP1
SP100,UBASH3A
KLF3,ELF1
TRPS1,ZNRF2
SP100,STAM2
IRF8,TRPV2
DACH1,IL17RA
RORA,KCNK5
CENPA,OASL2
HLF,CDCA8
GFI1B,NFKB1
PGR,MN1
ETS1,N4BP3
EGR1,TMEM246
IKZF1,GBP7
ARNTL,TBXAS1
SPI1,MPL
ETS1,SEPT6
NFAT5,CDKN1C
AKAP8L,GORASP1
YBX3,VEZF1
HLF,DENND1C
HNF4A,TMEM147
IRF6,ME2
MYCN,PLCG2
GFI1B,HDAC11
PA2G4,MSMO1
ZBTB38,CYTH3
SATB1,PARP8
RUNX2,CKAP5
RUNX2,ARHGEF3
TFEC,NSMF
PGR,PHF5A
VEZF1,PRNP
AKAP8L,IGHV1-81
IRF7,N4BP3
ZFP62,PHC1
SP100,IGHV1-77
KLF3,SELENBP1
NFATC1,LRRC8C
VDR,MAPKAPK3
DACH1,C1QTNF12
PRDM16,ZFP367
KLF3,VDR
GFI1B,ZFP367
VEZF1,TIMM50
JUN,GBP9
HOXA9,ZFP62
SP100,ECT2
PGR,ICAM1
HNF4A,CD53
TRPS1,CAD
ZBTB4,PDE12
KLF10,MMRN1
AKNA,CD69
PRDM16,GM4759
YBX3,IL15RA
NFKB1,ZFP53
SATB1,LY9
VEZF1,SLFN10-PS
JUN,PRMT2
PRDM16,ASNS
PRDM5,NPR2
EGR1,SYTL4
ZBTB38,BTG2
CENPA,BTG2
ZBTB4,IDH1
ARNTL,AI504432
JUN,SPNS2
EGR1,MGAT1
KLF3,NSMF
ARID5A,PCNA
CENPA,CDK17
NFKB1,BTG2
EGR1,TMEM184C
PBX1,GBP4
IRF8,AFF3
ELF1,PPP1R15A
CLOCK,DOK2
MEF2A,TRMT6
KLF3,MGST2
GFI1B,HEATR5A
NFAT5,SLC2A1
MYCN,RBBP9
PRDM5,MCM6
AKAP8L,ZC2HC1A
MYC,CD300A
SATB1,DCAF4
EGR1,CSF3R
VDR,H2AFX
YBX3,CTNNAL1
IKZF1,CD44
MEF2C,PITPNC1
KLF3,GRINA
GFI1B,TM6SF1
PGR,CD300A
ZBTB20,AP1G2
ZBTB38,ENPP4
IRF8,TCF19
TRPS1,SNAP23
GATA2,ASB13
KLF6,MILR1
RUNX2,NT5C3
VEZF1,ZFR
ZBTB20,GPSM1
ELF1,CTSS
KLF6,APLP2
TFEC,CCNA2
MEF2A,CYP4V3
MYC,SEPT8
CENPA,BC005561
ZFP62,MYO1F
NFATC1,GRINA
ETS1,ROBO4
VDR,H2-AA
HLF,MAML2
HLF,SLC37A1
AKNA,SELPLG
GATA2,GPR65
MYCN,CDCA3
KLF6,VAV1
SATB1,CSF2RB
VDR,SPTBN1
IRF8,SEC14L1
PRDM16,F2R
IKZF1,LY6A
VDR,DENND2D
MYCN,ABHD4
DACH1,TMEM173
ZBTB38,PDE7A
NFAT5,THTPA
GFI1B,IL4RA
ZBTB38,IL15RA
GATA2,SMPDL3A
SPI1,ZFP53
RUNX2,CAPN5
MYCN,D930016D06RIK
NFAT5,ELOVL6
RORA,CCL3
KLF6,ZFP157
SP100,MPO
GFI1B,KCNK5
NFAT5,CTSL
VEZF1,CD69
ELF1,INSL6
KLF6,KIF22
MYCN,DPP4
