TF,Target
RORA,CD63-PS
RAI14,SLC6A6
RAD51,AC174780.1
CBFB,STRAP
NR3C2,ARL8B
MECOM,LYN
SATB1,HGFAC
HIF3A,TMEM147
PML,ICA1
MECOM,MYO1F
ZBTB38,KPNA3
SLA2,2810468N07RIK
KLF10,MAMDC2
SPI1,IIGP1
JUN,F2R
XRCC6,GNG11
CENPK,KCTD12
TLR4,PRDM16
HNF4A,PLCG2
SATB1,GMFB
RBL2,ELANE
NOTCH1,FLNA
PML,BLNK
CENPK,SFXN1
EPOR,PGRMC1
EGR1,FLNA
E2F8,MAML2
LDB2,GBP9
NFKB1,ABHD4
IRF8,TSPAN14
CD7,SATB1
RARB,SLC22A3
KLF3,GGT5
HOXA9,RNASE6
MCM7,RAG2
IRF6,RHOF
FOXO1,RSL1
HNRNPAB,IL1R1
REL,EEPD1
HNRNPAB,AP1G2
SPO11,DUSP5
TAF12,SERPINF1
E2F8,SMPDL3A
NFIA,ENG
GFI1B,ARHGEF18
ELF1,TIPIN
NUPR1,RGCC
EYA2,SEPT8
THRB,IRF6
MYCN,PRMT2
CBX7,QARS
MCM7,MYC
MEF2A,LIG1
SLA2,PRELID3B
TLR4,MAMDC2
LDB2,TSPAN3
KLF8,CRYZ
ZFP467,ZFP367
HIF3A,IRGM2
MYC,MCM7
RORA,HDAC7
MIS18BP1,OAT
NFATC1,SLC43A3
IRF6,LHCGR
HIST1H1C,CDCA5
HMGB2,FPGT
MCM4,AZIN1
HNRNPAB,RORA
ESR1,ZKSCAN4
NFKBIA,SORL1
REL,RPTOR
NFE2,ALDH1A1
IRF8,GM4759
ELF1,PRKCD
TLE2,TMEM33
KLF3,F2RL3
SPI1,FGFR1OP
TTF2,RHOF
DACH1,SRGAP3
HNF4A,CIPC
NOTCH1,GM1966
KLF10,C1QTNF12
TLR4,ELL2
GFI1B,IGHM
PHC1,CLIP3
HIF3A,NASP
MIS18BP1,STRAP
PBX3,SERPINB6A
BATF2,AP1G2
MAPK11,C1RL
HIST1H1C,OCRL
NFIA,MYO5A
EYA2,OSGIN1
ETS1,TIMM50
MAPK11,IFI203
NAP1L3,EPB41L4B
MLLT3,FGD2
MYC,PRDM5
CTR9,ADGRL4
RORC,CSGALNACT1
IRF8,KCNK5
GATA2,GBP5
DACH1,TXNRD3
ARID3B,NUBP2
MCM4,LYN
PA2G4,SEPT8
NUPR1,HASPIN
MEF2C,TTC39B
RAD51,PROCR
NR3C2,EEPD1
ANKRD6,KIF23
TTF2,YOD1
ZBTB20,ASAH1
RUNX2,INSL6
HDAC7,TM6SF1
ZFP111,LYZ2
EPAS1,KLHL4
HLF,TMEM106A
RAD51,NUP88
MEF2C,OASL2
NOTCH1,ABHD4
ARNTL,HAT1
DACH1,RGS3
MAPK11,ASNS
MCM6,CTPS
JUN,ADORA2A
PRDM16,ENDOD1
PHC1,SUOX
MAPK11,PHF8
LZTS1,RAMP1
NAP1L3,SLC37A1
EPOR,PEA15A
MEIS1,STAM2
MEF2A,IPCEF1
VEZF1,ZBTB20
LZTS1,SLC25A37
E2F8,MPZL1
EGR1,ATP2B4
MCM5,PPIC
TCF19,GATA2
ID1,DUSP6
TTF2,MIS18BP1
THRB,ADORA2A
SPI1,H2-AA
NFIA,ARHGEF39
CD7,INPP5K
EPOR,GSTT1
NFKB1,PRKCQ
DEK,LHCGR
VDR,PREP
NFATC1,SYTL4
RORA,DEK
SATB1,MAGED2
ESR1,RASAL3
RBL2,AKAP8L
HCFC1,TTF2
NOTCH1,ME2
ANKRD6,S100A6
LZTS1,PBX3
IRF8,UBL4A
TLE2,PCLAF
RAD51,TFPI
RPS6KA5,TFR2
DEK,SLC2A1
SOX6,LONP2
TEAD2,RNF38
CBX7,GIMAP5
MYC,ELANE
RARB,SLC28A2
MIS18BP1,IRAK3
MYC,FILIP1L
HIF3A,EGR1
ID1,RUNX1T1
TTF2,SLCO3A1
GFI1B,B4GALT4
SATB1,SORL1
ELL2,TRIM59
EPAS1,ZNRF2
PBX3,GPR171
HCFC1,PAFAH2
MCM6,PLSCR4
RORC,HNRNPAB
TSC22D3,CFP
TTF2,CASTOR1
MCM6,MYO5C
PRDM16,ANO10
HNRNPAB,DDX39
AEBP1,NCF1
TLR4,PRIM1
ID1,TXNRD3
NFKB1,RASSF2
LZTS1,PA2G4
NFATC1,ARHGEF39
THRB,LDLR
HCFC1,TMEM206
MYC,ARL11
E2F8,NAV1
NOTCH1,FAM111A
HMGB2,ARID3B
HMGB2,FAM169B
H1F0,TMEM14C
EPOR,ADSSL1
HIST1H1C,LY9
TEAD2,GYPC
FOXO1,DUSP2
EPAS1,PIK3R1
MED16,CD63-PS
E2F8,ARID5A
PGR,SLC5A6
RAI14,NAPSA
PHC1,CCDC112
CENPK,RNF114
MCM2,CD93
HMGB2,TGTP2
HIST1H1C,MAN1A
SATB1,P2RY14
HIST1H1C,BCLAF3
NAP1L3,HSD3B7
PRDM5,TNS2
E2F8,TPM4
ID1,TOM1L1
MCM6,ARHGEF3
ZKSCAN4,B230219D22RIK
TAF12,UPP1
HOXA9,SPNS3
ARNTL,GSTM1
RORA,PHKB
RARB,CTNNAL1
KLF6,2810468N07RIK
CLOCK,MAP4K2
KLF6,SERPINA3F
SMARCA2,SLC12A2
MEF2A,FLNA
PRDM5,MICAL1
ARNTL,ENPP4
MYC,RPTOR
TAF12,CASP12
CBFB,PSMC4
ZFP111,ARHGAP15
XPC,CD33
NFIA,CORO2B
PRDM16,ARFGEF2
RUNX1T1,PRDM16
NUPR1,PCLAF
MED16,HSPA1A
