TF,Target
MCM6,VEGFC
NFE2,KDM7A
IRF8,TOMM22
RORA,PHKB
NOTCH1,ABHD4
NR3C2,DCAF4
GFI1B,BATF2
PA2G4,KLF6
THRB,IRF6
E2F8,SMPDL3A
ARNTL,ENPP4
ETS1,TIMM50
SPO11,ERP29
PRDM5,CCDC112
IRF6,LHCGR
MED16,ANO10
SATB1,P2RY14
ID1,RUNX1T1
NFKB1,ACSS1
PRDM5,GBP2
ID1,DUSP6
E2F8,TPM4
NDN,CTSB
NFATC1,TOM1L1
MYCN,GMIP
PBX3,SERPINB6A
NAP1L3,SLC37A1
THRB,LY6A
MCM7,MYC
MEIS1,STAM2
IRF8,KCNK5
SPI1,FGFR1OP
TLR4,ELL2
RAI14,UBA7
NOTCH1,GM1966
MCM2,CD93
TTF2,MIS18BP1
KLF8,TBC1D5
MCM6,CTPS
HMGB2,ARID3B
CLOCK,GPRASP2
NUPR1,LRRC8C
NFKB1,AP1G2
NUPR1,PCLAF
KLF8,BTK
ZBTB38,TAPT1
NAP1L3,NUBP2
NFE2,IL18RAP
XPC,CD33
SMARCA2,GCLM
MIS18BP1,STRAP
MAPK11,ASNS
LDB2,FNDC3A
MCM2,TBXA2R
YBX1,PLEKHA1
RORC,HNRNPAB
KLF10,FUT8
E2F8,MPZL1
GATA2,ELOVL5
TAF12,IGHV1-81
APBB1,RGL1
RARB,E430014B02RIK
IRF6,SLC12A6
TSC22D3,SFXN1
PGR,SLC5A6
ANKRD6,CSF3R
CENPK,RNF114
TSC22D3,VEZF1
RBL2,RIPOR2
HNRNPAB,AP1G2
HLF,NDST2
NFE2,TCIRG1
SPO11,TOM1L1
ELL2,TRIM59
TLR4,MAMDC2
ARNTL,HAT1
HLF,CHST11
RAI14,ESAM
MCM6,PLBD2
EPOR,ADSSL1
NR3C2,ZMIZ1
SLA2,SERPINB6A
MEF2C,ASB13
BATF2,IFI209
IKZF1,ADSSL1
KLF8,CRYZ
ZFP111,ANXA4
NFKB1,RASSF2
MCM6,MYO5C
ZBTB20,CBX7
ARNTL,GSTM1
EGR1,PTTG1IP
SATB1,GMFB
MCM6,ARHGEF3
HNRNPAB,SMIM15
ID1,CBFB
TTF2,SLCO3A1
HOXA9,RASSF2
ARNTL,ZFP248
MED16,ABCG2
HIST1H1C,LY9
HCFC1,PAFAH2
CBX7,OTULINL
LZTS1,SLC25A37
NFKBIA,SHISA8
TLE2,EMB
EPAS1,PIK3R1
MCM5,CD93
ZBTB20,IGHV1-81
RUNX1T1,PRDM16
HDAC7,TSC22D3
RBL2,KRT18
DACH1,TXNRD3
CLOCK,SYDE1
TAF12,UPP1
MAPK11,IFI203
LZTS1,ARPP21
NFIA,MYO5A
MEF2A,FTX
ID1,TOM1L1
EPOR,ABCD3
HNRNPAB,IL1R1
PBX1,PLD4
LDB2,TSPAN3
MED16,UBE2L6
RORA,DEK
MEF2C,FGGY
MEIS1,4930555A03RIK
NR3C2,ARL8B
CBFB,BLNK
BATF2,MYCN
SPI1,IIGP1
HIST1H1C,OCRL
HDAC7,TM6SF1
CLOCK,MAP4K2
EPAS1,KLHL4
EYA2,SEPT8
CBFB,ABHD17B
PRDM16,ENDOD1
DEK,SLC2A1
MYC,RPTOR
IRF7,PSEN1
PGR,SQLE
NFIA,ENG
ARID3B,IER2
THRB,LDLR
HMGB2,TGTP2
CD7,INSIG1
TCF19,BCL2
TLR4,PRIM1
TEAD2,CKS1B
ARID3B,PLXNC1
MEIS1,KIF23
PRDM16,ARFGEF2
ZBTB20,NUPR1
LZTS1,RAMP1
ZKSCAN4,FDFT1
MYC,ITGB2
MIS18BP1,MCM7
ID1,PIRB
FOXO1,PAG1
ID1,TXNRD3
LZTS1,PA2G4
TCF19,ELMO3
SOX18,RASAL3
KLF8,H2-DMB2
MYCN,GGT5
TEAD2,GYPC
HNRNPAB,RORA
HMGB2,TSPAN6
XRCC6,GNG11
NUPR1,ZFP248
RAD51,TFPI
RPS6KA5,NKG7
CLOCK,TMEM268
RARB,FUCA2
DEK,LHCGR
KLF6,UBL4A
NFKB1,DOK2
MYC,FILIP1L
HIF3A,IRGM2
DEK,ABLIM1
ELF1,ZFP945
NFKBIA,SLC43A3
GFI1B,AFDN
RORA,HDAC7
NOTCH1,ME2
PRDM5,TNS2
TLE2,TMEM33
IRF6,RHOF
ARNTL,PBX1
ZKSCAN4,CD9
HLF,HNMT
H1F0,TMEM14C
ANKRD6,S100A6
ARID3B,DUSP6
SPO11,DUSP5
ANKRD6,KIF23
NFATC1,SYTL4
THRB,SERPINB6A
BATF2,RPGRIP1
CTR9,PDGFRB
TLR4,E2F8
NFKB1,PRKCQ
CBX7,GIMAP5
THRB,HEXA
