TF,Target
ID2,MRAS
ETV5,ARIH2
KAT2B,GM22166
MSC,NUP62CL
KPNA2,HIST1H2BN
KLF6,GM23130
PHC1,FGF3
BMP4,FRRS1
ID1,RPS27RT
SOX7,TCF7L2
RBPJ,COL27A1
POU5F1,CSRP1
KLF2,HIST1H2AK
BTG2,MIR8091
SMAD7,RBMS1
HNF1B,FOXH1
GATA4,GM22678
ID2,SH3PXD2B
CREB3,MIR7003
SUZ12,SNORA62
PEG3,RUNX1
TCEA3,ZFP710
PARP1,HIST1H3H
ZFPM1,SRM
ELF3,PIPOX
ETS1,SNORA31
ETS1,GLDC
MYBL2,MOV10
BCL3,FOLR1
KLF3,SNORA17
BHLHE40,SGK1
TFCP2L1,SERPINE2
KLF6,GM26073
EHMT2,GM26491
XBP1,RNPEP
DTX1,CENPV
MYBL2,MSI2
TGIF1,LRRK1
SMAD7,PLEKHA7
NFXL1,TFEB
ID1,GM26229
TAX1BP3,CFC1
SOX2,GCLM
MCM6,HIST1H4D
ID2,SNORD85
KLF6,MSL3
NR0B1,GM23639
NR0B1,ALG13
RLIM,GM25263
ZBTB10,SOAT1
CITED2,UBQLN2
KLF2,GM26060
SOX7,NDRG4
RUNX1,GM10012
TCEA3,RENBP
MYCN,MIR467C
TRP53,PRXL2A
KLF2,AQP8
EHMT2,SPOCK1
ESRRB,GM25787
DNMT3A,GM24455
PCBD1,SNORD11
SOX7,SLC6A6
MYBL2,HS3ST1
BHLHE40,MIR1949
HIST1H1B,GM26992
BTG2,PHC1
TCF7L2,CTH
CREB3,RBPMS2
PARP1,GM9531
HIST1H1B,ATP13A3
PCBD1,PLSCR1
RBPJ,GM22051
ELF3,STMN1
PEG3,BUB1B
SMAD7,EIF4A-PS4
TRIM28,APOBEC3
JARID2,TENM4
EGR1,SPINK1
BHLHE40,MDM2
MYCN,SNORD65
HMGA1,DPPA4
RBBP7,GM26229
TCF7L2,SNHG3
HMGA1,GM15446
ZFP42,PLOD3
ZBTB10,GM27743
DAB2,GM25472
ZBTB10,GM26109
RLIM,HSP90B1
FOXQ1,PMM1
FOXQ1,GM10925
ID2,MYO1C
UTF1,SPSB1
PHC1,PROS1
ID2,GM38009
JARID2,SNORA3
BMP4,GM27520
CREB3,CTDSPL
JARID2,HIST1H2AH
FOXQ1,IFRD1
KLF3,MYMX
UTF1,GM24201
SOX7,COL4A1
HSPB1,CCNE1
BMP4,OPLAH
TFCP2L1,SNORD43
ILK,DPPA2
TRP53,MT-TP
MDM2,GM22455
NR0B1,SOCS2
DNMT3A,TIMP2
DTX1,STMN1
CITED2,STARD10
POU5F1,GM24201
EHMT2,CEMIP
PEG3,RPS27RT
EHMT2,TCN2
DAB2,GM44320
TFEB,SEC23A
TAX1BP3,LOXL2
CREB3L2,TUBB6
FOXH1,PTPN14
PEG3,GM20721
SOX2,GM27743
KLF6,SNORD32A
PEG3,MARCKS
POU5F1,GM24044
KLF6,MIR669A-1
DAB2,SPARC
KLF2,DUSP9
KPNA2,STARD8
SOX7,ITGA3
KLF4,ARHGAP29
FOXH1,SOX2
HMGA1,MIR3082
KLF3,AKR1B3
HSPB1,KLB
TRIM28,GM25451
RBBP7,KLF6
KDM5B,XBP1
TGIF1,ITM2B
KLF3,GM44380
SMAD7,OBSL1
DNMT3L,GM25040
RUNX1,GATA6
TGIF1,GM44450
KPNA2,LRRC2
ELF3,NUSAP1
ZFP42,EHMT2
FOXH1,CRELD2
JARID2,SPRY4
ETV5,TUBB4B
EED,GM28010
SOX2,ME1
DAB2,TSPAN9
SOX2,PSRC1
CBX7,RLIM
DAB2,SHKBP1
ZFP42,HIP1
SMARCA2,UHRF1
TFCP2L1,GM21860
NR0B1,IFRD1
TRIM28,CDH1
RLIM,COBL
EGR1,GM17545
EED,P4HB
DAB2,GM26229
AKT1,SORD
MSC,GM24346
EPAS1,SEC23A
HIST1H1D,ZFPM1
NFATC2IP,GM10182
TRP53,GM23542
PCBD1,SNORA44
PCBD1,DDX21
DNMT3A,RPL23A-PS3
EPAS1,PTH1R
HSPB1,D230025D16RIK
TAX1BP3,CAR2
DTX1,PNRC2
ID1,CDC20
PARP1,SELENOW
KLF2,LRRK1
KLF3,CCNB1
NR0B1,MYMX
MDM2,AY036118
FOXH1,KPNA2
TRP53,GM14303
EPAS1,EGR1
RBBP7,CDCA7
SOX17,TCL1
MYBL2,MIR467C
NR0B1,LGMN
ID1,GM21860
NR0B1,SNORA62
ELF3,HNF1B
SUZ12,GM27520
TAX1BP3,SERPINH1
TFEB,SNHG5
DAB2,PLK1
SOX17,GM42413
SUZ12,CUBN
KLF6,GM43940
EED,KPNA2
SMARCA2,DNAJC10
CREB3L2,MIR1949
HSPB1,GM25835
ZBTB10,RPL15-PS3
TFCP2L1,2210409E12RIK
NFXL1,HMMR
HNF1B,GM24523
HIST1H1B,GM23833
CCND1,CTSD
CREB3,MRPL23-PS1
POU5F1,SNHG5
KPNA2,FAM129B
MYCN,NFATC2IP
ELF3,SLC38A4
TCEA3,CSTB
SMAD7,FNDC3B
PEG3,GM27640
TCF7L2,MIR466O
EED,MYO5B
BTG2,SPP1
MSC,FAM102A
AKT1,HDLBP
BHLHE40,EFEMP2
GATA6,GM43521
SOX2,GM43107
GATA6,CHCHD10
CBX7,GM44346
CREB3L2,GM23344
POU5F1,CLCN5
KLF4,PLA2G1B
DAB2,GM24339
SOX17,RESF1
SMAD7,SNORA43
KLF4,PROS1
KDM5B,AQP3
BCL3,MIR669G
DAB2,GAS6
HSPB1,XBP1
ZFP42,SNORA74A
ZFP42,MFGE8
DNMT3A,S100A6
EGR1,GM27640
ID1,UBQLN2
KLF2,PLATR14
TRP53,GM10337
DNMT3B,CTDSPL
PARP1,GM23245
FOXH1,CCNE1
EGR1,GLS
PARP1,GM23542
EPAS1,EED
KPNA2,TUBB2B
BTG2,CHST15
PCBD1,KDELR2
BTG2,ZFP57
BCL3,CITED2
PHC1,DDX21
SOX17,CTSL
KLF2,CDKN1A
MYBL2,FAM102A
CREB3,GM23245
FOXH1,GM7993
TRP53,MANF
PHC1,ZFP532
ZFPM1,GM15899
FOXQ1,FGF10
KDM5B,TYRO3
MYCN,GM4202
HMGA1,LMF2
ELF3,PLEKHA7
ESRRB,PLATR14
DNMT3A,BCL3
TFEB,SNORD35B
NFXL1,GM42413
CBX7,MYCN
NFATC2IP,ZFP989
ZBTB10,GM10052
CBX7,HIST1H2AN
CCND1,GM24494
XBP1,GM22051
TCF7L2,HIST1H4K
KLF6,TCL1
ZFP42,ARHGAP29
ID2,MIR669J
ID2,PDK1
JARID2,SLCO3A1
HNF1B,LIFR
MDM2,RPS27RT
RBPJ,ATP13A3
PCBD1,SH3PXD2B
TRP53,CR1L
DNMT3A,LGMN
ESRRB,AF357399
BCL3,ZFP979
NR0B1,PHC1
KLF6,GM26491
EGR1,MIR669A-1
ZFP42,GM9531
EGR1,SNORA73B
DNMT3B,MIR763
ELF3,GM44335
BCL3,PIK3R1
EHMT2,GM26447
EED,SORD
TFCP2L1,MYO7A
ID2,SLC6A6
GATA6,GORASP2
MDM2,TXNDC12
NANOG,SLC38A4
RLIM,GM37404
TGIF1,MIR669A-3
NANOG,HKDC1
SOX2,DTX1
ILK,KDELR3
SMARCA2,HS3ST1
EED,MARC2
HMGA1,IL6
FOXH1,PCBD1
SOX2,SERPING1
MDM2,F2R
DAB2,GM24523
HSPB1,GM37784
ILK,GFPT2
ID1,NR0B1
KAT2B,GM23571
JARID2,CCNE1
UTF1,DNMT3B
BTG2,HIST1H2AI
BMP4,PATJ
KDM5B,GM26109
TGIF1,GM10719
KDM5B,GM10012
NFXL1,GM28900
NR0B1,GM28900
UTF1,MYBL2
RBBP7,RRM2
JARID2,GM22411
DNMT3A,RNU73B
KLF3,GM8818
MSC,HSD17B14
HIST1H1B,RPL23A-PS3
DNMT3B,APP
ETS1,SLC26A10
ILK,SNORA30
HSPB1,RHOX5
KLF2,RPL22L1
KAT2B,WDFY1
NANOG,GM26493
HIST1H1B,NUP62CL
CREB3,SLC7A3
KLF3,GM28960
BHLHE40,EPHA2
PARP1,RRBP1
PARP1,SNORD17
RLIM,SNORD93
ZFPM1,GM24494
MDM2,LY75
ZFP42,GM3724
EPAS1,DNMT3B
RBBP7,PRXL2A
HIST1H1B,GM26109
TFEB,RSRP1
RBBP7,NUP62CL
ZFP42,RIAN
MYBL2,EMP2
BTG2,GM3851
ID1,VILL
CBX7,GHR
CITED2,FNDC3A
SOX17,PIPOX
DAB2,CCND1
UTF1,LIFR
CITED2,ALPL
MYBL2,GM25057
TGIF1,NXF7
DAB2,BMPER
HMGA1,MIR7005
RBBP7,BHLHE40
NANOG,ABHD5
JARID2,GM25673
FOXH1,UPP1
FOXH1,CST3
CREB3L2,KRT42
SUZ12,ODC1
TGIF1,DNAJC3
HIST1H1B,CSTB
ILK,TMEM9
PML,MSMO1
BHLHE40,GM14870
ILK,ALG13
TRIM28,ZYX
DNMT3L,SRGN
MYCN,CCND2
ILK,BHLHE40
SOX2,ENAH
ZBTB10,SNORD85
AKT1,NDRG1
HSPB1,ITGA3
TRIM28,TNS4
HMGA1,GM25960
SOX17,PARP1
DNMT3L,LAMA5
MDM2,ETV5
DNMT3B,SMARCA2
ELF3,SETX
SOX7,EHD1
ID2,GM26109
DTX1,PMM1
ETS1,GM27743
ZFPM1,MAGED1
RLIM,HIST1H2AI
CCND1,SNORA43
ID1,SNORA17
MCM6,KDM3A
DNMT3B,HIST1H3H
HIST1H1B,SNORA73B
NR0B1,DAB2
NFATC2IP,PNP
RBBP7,GM5616
SUZ12,GM12276
CREB3L2,AMOT
POU5F1,SNORD72
XBP1,EIF4A2
ID1,GM44450
ETV5,THBD
KLF2,L1TD1
DTX1,RNF157
TRIM28,CDCA7
POU5F1,ATP6V0A1
ID1,GM28900
FOXQ1,GM23158
POU5F1,CKB
PARP1,DKK1
RBBP7,GM10259
EED,RBMS1
HIST1H1D,XBP1
RBPJ,PATJ
MYCN,CDC20
EGR1,SHROOM3
HIST1H1B,PODXL
MSC,GM25835
TCF7L2,TINAGL1
SOX17,UBALD2
UTF1,SNHG3
AKT1,GM22988
RLIM,SOX2
EED,SLC7A6
EED,TEX264
BMP4,RBMS1
EGR1,FAM102A
PCBD1,GLS
PHC1,EDA2R
SMARCA2,SNORD65
RBPJ,HSPA5
ZFP42,MCM10
KLF3,P4HA2
NANOG,MYH9
XBP1,SMS
KLF2,WDFY1
TFEB,GM22091
CREB3L2,BEX3
MYCN,NUSAP1
ZFP42,GM9385
SOX2,RBPMS2
ELF3,ITGA3
BHLHE40,PRDX1
TGIF1,MKRN1
KLF4,HK2
BHLHE40,CLDN6
EHMT2,MIR669D
BMP4,EPAS1
