TF,Target
ELF3,ZBTB10
DNMT3L,TRP53
PHC1,SNORA26
MYCN,CDH1
DNMT3B,GM7329
ILK,CRELD2
NFXL1,AARS
CCND1,KLB
TRP53,CTDSPL
EHMT2,TRP53
KLF3,HSP25-PS1
KDM5B,P3H2
TFCP2L1,GM3788
GATA6,GM10259
AKT1,PLOD1
SOX17,CD81
HSPB1,NUP62CL
BHLHE40,GM37917
ZFP42,GM26431
SMAD7,SFI1
EHMT2,GNG10
DNMT3L,JAM2
AKT1,HSP25-PS1
MSC,VSIR
EED,SNORD33
PEG3,KDELR2
CCND1,2810025M15RIK
ETS1,SNORD49A
MSC,ANXA5
NR0B1,SETX
DAB2,GM10039
CCND1,TINAGL1
KPNA2,OPLAH
UTF1,GM27773
ZFP42,GM26156
NFXL1,APP
ZFP42,SLC25A5
AKT1,KLF2
RBBP7,KRTCAP2
FOXQ1,XBP1
DNMT3B,SPRY2
ILK,GM21962
RBPJ,NUP62CL
TGIF1,MGST3
KAT2B,CAR2
DNMT3B,PRDX1
RBBP7,DNAJC3
JARID2,MYO5B
HIST1H1D,GM6158
AKT1,PDCD4
DTX1,ODC1
ILK,PROS1
DNMT3L,JPT1
RLIM,FLNA
NANOG,GM43940
KAT2B,GOT1
GATA6,PEG3
KAT2B,FXYD3
ZFP42,BNC2
JARID2,CDCA7
TCF7L2,FAM129B
KLF6,MIR8091
BTG2,ZFP42
MDM2,TDH
ETS1,GM22884
ELF3,GM24761
DNMT3L,KRT42
ELF3,BMPER
EED,GM24523
KPNA2,SNORA21
RBBP7,APOBEC3
DNMT3L,COL4A1
MYCN,GM25787
BCL3,CHCHD10
PCBD1,ENO1B
FOXH1,SNORA74A
DNMT3L,BMP4
HIST1H1B,HIST1H1D
HMGA1,GM22571
ILK,CALU
MSC,BTG2
ZFP42,ANP32A
NFATC2IP,GM27640
JARID2,FKBP11
RUNX1,EGR1
TAX1BP3,MCM6
DNMT3B,ATP13A3
UTF1,PTH1R
MYCN,GM24616
NANOG,HYOU1
RBBP7,SNORD49A
DNMT3B,MFSD1
MYBL2,TDGF1-PS1
FOXH1,HSP90B1
NFATC2IP,SLC7A5
CCND1,GM24455
BTG2,PNRC2
UTF1,GM28960
MYBL2,GM4735
ID2,GM24761
SOX7,GPA33
NFATC2IP,PLSCR1
TGIF1,RBBP7
PCBD1,SNORA28
BTG2,LDHB
BCL3,GM22051
TAX1BP3,PHLDA3
TAX1BP3,GM25500
TFCP2L1,GM22094
EGR1,KLB
TFEB,GM28960
PCBD1,GM26491
CBX7,SNORD93
EED,PRPS2
DNMT3B,ALPL
GATA4,KDM3A
HNF1B,PLXNB2
GATA4,GM22635
ZFP42,HIST1H4D
ZBTB10,IFI30
PCBD1,PTH1R
FOXH1,GM24488
ETS1,CCND3
CREB3,TGIF1
EED,CENPF
TGIF1,GLDC
GATA4,GM25117
NANOG,LAD1
NR0B1,PLK2
AKT1,MIR291B
KPNA2,GM24346
BTG2,HIST1H1B
GATA4,GM23413
UTF1,MIR186
KLF6,GM25316
BMP4,CLCN2
RLIM,MRPL23-PS1
RBBP7,PLA2G1B
SOX17,ZFP710
EED,GM25472
HSPB1,GM23245
TGIF1,DKC1
EED,CR1L
ETV5,RUNX1
PARP1,GJA1
TAX1BP3,PDIA4
TCEA3,GM28960
CREB3L2,RPP25
