TF,Target
NFXL1,FST
RBPJ,GM23639
CREB3,HSPB1
HSPB1,GM23413
KLF2,GM21962
KLF2,GM29397
KAT2B,VIM
HMGA1,PTH1R
GATA4,GM42429
PCBD1,WDR45
ELF3,LAMB2
GATA4,TDGF1
TFCP2L1,KDELR3
UTF1,PWWP3B
BCL3,RRBP1
SOX2,RPL15-PS3
MYBL2,HIST1H1B
MYBL2,MEG3
PCBD1,GM22571
CREB3L2,NR0B1
NFXL1,GM37376
TRP53,NDRG1
DAB2,PLA2G1B
TRP53,SNORA81
HIST1H1D,GATA6
JARID2,IFITM1
SOX17,PCBD1
DNMT3B,LDHB
GATA6,GM24315
PEG3,P3H1
TRP53,HIST1H4K
CREB3L2,GM26491
XBP1,TFRC
DNMT3A,BCL3
CREB3L2,TET2
KAT2B,HSP90AA1
HIST1H1D,HIST1H1A
EPAS1,GASK1B
RBPJ,PFKP
ZFPM1,GM22455
CREB3L2,GPX3
TFCP2L1,APOBEC3
TAX1BP3,KPNA2
MYBL2,GM25040
MYBL2,GM25673
BHLHE40,SNORD70
HIST1H1D,GM24564
DAB2,KDELR2
TFCP2L1,GM37917
HIST1H1B,GASK1B
ZFPM1,ETV5
PML,GM38312
DNMT3B,FAM129B
PHC1,LMF2
CCND1,RCC2
MYBL2,SEC24D
ZFPM1,HMGA1
CREB3L2,CKB
GATA6,GM24761
GATA4,GM20721
DNMT3L,GM25472
SOX7,GM25791
NR0B1,COMMD3
BCL3,2410141K09RIK
HSPB1,ZFPM1
SOX2,SNORA74A
NFXL1,COL4A1
ZFPM1,GM10780
EPAS1,GM4322
KAT2B,GM10719
DNMT3L,HIST1H2AF
UTF1,MIR3082
EPAS1,DPP4
ZFP42,GM24564
KLF2,GM44206
BCL3,F3
ESRRB,GM25791
FOXQ1,GM25472
TAX1BP3,GM24044
PCBD1,AMOTL2
EPAS1,CCND1
ZFPM1,ITGA6
GATA4,GNPDA1
GATA4,SDC4
PCBD1,GM24761
DNMT3L,TIMP2
RBPJ,GLDC
KLF2,GM22858
EPAS1,CKB
KLF2,GM44335
EPAS1,HIST2H2BB
EPAS1,SERPINH1
GATA6,GM33051
MYBL2,GM26073
KAT2B,STXBP2
TGIF1,LAPTM5
EPAS1,KPNA2
SOX7,TGIF1
SOX2,GM49347
ETV5,HIST1H3H
KAT2B,CD63
SOX2,GM24455
TFCP2L1,HIST1H2AI
ZFPM1,DNMT3L
GATA4,RBPJ
FOXQ1,MIR7005
DAB2,CALR
CCND1,SNORA41
FOXQ1,SRGN
GATA6,LAMA5
MYBL2,COMMD3
ETV5,PLOD3
KLF2,GM13597
KDM5B,TDGF1-PS1
RBPJ,MYMX
DAB2,ARHGEF40
HIST1H1B,CKB
DNMT3L,MIR466B-4
ELF3,GM28010
MYBL2,PCBD1
KAT2B,LAMA1
ZFPM1,HSPB1
DAB2,GJB3
PHC1,MIR5117
KPNA2,PLOD2
KDM5B,FAM129B
CREB3,PLA2G1B
SOX17,APP
RBPJ,TFCP2L1
ESRRB,FAM129B
TFCP2L1,GM24497
XBP1,MIR669A-3
ELF3,PDGFRA
DAB2,PODXL
GATA4,PWWP3B
KDM5B,NRG1
RBPJ,GM25943
