TF,Target
NANOG,SLC26A10
TRP53,SLC26A10
JARID2,SEC24D
NFXL1,DKC1
BCL3,HIST1H2AH
TGIF1,GM9531
RBPJ,MIR8094
KAT2B,GM9385
ZFPM1,2210409E12RIK
DNMT3L,RNF157
RBPJ,HIST1H2AN
EPAS1,GM49347
KDM5B,BEND5
POU5F1,GM23158
ZFPM1,HIST1H1D
DNMT3B,SNORD110
DNMT3A,PTH1R
JARID2,ZFP987
ZFPM1,BNIP3
CREB3L2,SPRY2
ETV5,GM44346
CREB3L2,KIT
FOXQ1,GM49347
PEG3,MIR7005
SOX17,GM44346
RBPJ,SNORD33
DNMT3L,PMM1
SOX2,SNORD110
CCND1,JARID2
XBP1,MT1
KAT2B,GM23262
KDM5B,GM13597
JARID2,SERPINH1
PHC1,GM23413
HMGA1,GM24488
KPNA2,GM25791
NFXL1,SNORA65
GATA4,MIR7005
KLF2,NXF7
MYBL2,UBE2C
FOXQ1,TFCP2L1
TAX1BP3,SNHG5
CREB3L2,GM22455
HIST1H1D,GM26917
FOXQ1,ANXA2
DNMT3L,HIST1H2BK
EPAS1,VSIR
TAX1BP3,HIST2H2BB
KDM5B,STXBP2
JARID2,PLOD3
ESRRB,PLK1
ETV5,ITGA6
ELF3,GM43107
BHLHE40,ME1
CCND1,IFI30
HIST1H1D,MOV10
EPAS1,GM14303
TGIF1,GM25943
TRP53,RHOX5
NR0B1,GM7329
ELF3,SNORD32A
KAT2B,FAM234A
DAB2,GLDC
SOX2,2210409E12RIK
SOX17,ETV5
DNMT3B,GATA4
ESRRB,GM20721
CREB3L2,GM10169
PCBD1,GM23268
CREB3,INSIG1
NR0B1,GM25943
NR0B1,NFXL1
ETV5,SDC4
SOX17,GJB3
HIST1H1B,NDRG1
DAB2,GM22091
NR0B1,MT-TF
KAT2B,SNORD33
KDM5B,GM8355
RBPJ,KPNA2
SOX7,RPS27RT
PCBD1,CDC20
HMGA1,TFCP2L1
KAT2B,MME
HSPB1,GM25451
KDM5B,GM26287
HSPB1,PLOD1
BHLHE40,HIST1H1D
ESRRB,GM25960
ETV5,GM24315
DNMT3L,APP
KPNA2,HIST1H2AP
ETV5,GM9385
PEG3,GASK1B
MYBL2,RPS27RT
DNMT3A,SLC7A6
KPNA2,PSRC1
BHLHE40,GM38312
ESRRB,GM43535
ZFPM1,ULK1
TRP53,GM9531
TRP53,AQP8
RBPJ,CSRP2
ESRRB,GM26073
NR0B1,GLIPR2
TAX1BP3,FDPS
EPAS1,GM25500
KAT2B,KDELR2
TAX1BP3,PLOD2
CREB3,MARC2
KPNA2,SDC4
CCND1,HIST1H2AF
BCL3,GM26156
HSPB1,PODXL
MYBL2,GM22884
FOXQ1,HIST1H2AF
DAB2,HIST1H1D
CREB3L2,P4HA1
HIST1H1B,KAT6B
XBP1,SNORD33
GATA4,MIR677
ZFPM1,B2M
KLF2,NSD2
NANOG,GM23158
DNMT3L,GM24494
MYBL2,GM22072
HMGA1,COTL1
HSPB1,GM23639
MYBL2,HSPA5
DAB2,GM38312
HSPB1,DPPA4
HSPB1,GM4322
TGIF1,GM25040
TRP53,RBPJ
NANOG,MIR669J
NFXL1,DPPA2
NANOG,GM24497
NR0B1,GM26491
GATA4,2210409E12RIK
NFXL1,UTF1
DNMT3L,P4HA2
DNMT3L,FAM129B
KAT2B,ABHD5
CCND1,GM9385
DNMT3B,LMF2
FOXQ1,GM24315
XBP1,HMGA1
RBPJ,PRXL2A
DAB2,HIP1
CREB3L2,PCBD1
XBP1,GM22455
GATA6,GM43558
SOX17,SNORD33
HIST1H1D,GM23130
HIST1H1D,GM24916
DNMT3A,NSD2
HSPB1,UAP1L1
ELF3,RRM2
DNMT3B,ADAM23
HMGA1,GM25753
SOX7,SPARC
PHC1,RCN3
ESRRB,NFXL1
GATA4,CTSA
CREB3,ZFP987
GATA6,HMGA1B
DAB2,JARID2
CCND1,SNORD65
CCND1,SOX17
KPNA2,GM44310
DNMT3A,RPL15-PS3
RBPJ,PCBD1
TGIF1,GM25451
KLF2,GM10925
SOX17,GM28960
FOXQ1,SOX17
SOX17,CALU
RBPJ,SOX7
TRP53,GM10719
CCND1,GM25787
TFCP2L1,CMKLR1
SOX7,DPP4
NR0B1,PEG3
KPNA2,EIF4A-PS4
DNMT3A,SOAT1
TRP53,GM22620
ETV5,RNF157
EPAS1,BCAT1
MYBL2,SPARC
CREB3L2,NID1
ETV5,KDELR2
ELF3,KDM5B
DNMT3L,RHOX5
TRP53,CLDN6
SOX2,GM44335
CREB3L2,LGMN
TAX1BP3,GM6136
HMGA1,AMPD2
CCND1,BCAT1
DNMT3A,SNORD49A
ZFPM1,RCC2
NR0B1,GM2399
PCBD1,MIR7003
BCL3,FDPS
EPAS1,RPL23A-PS3
HIST1H1B,LAMB1
ELF3,HSPA5
DAB2,AKR1B8
KLF2,STARD10
JARID2,STXBP2
PHC1,GSTA4
TFCP2L1,GM43521
PML,ESRRB
HMGA1,MIR8094
ELF3,JAM2
NANOG,GM13597
XBP1,GM42845
SOX7,MANF
PCBD1,DPPA2
XBP1,HSP90AA1
SOX17,HIST1H2BK
GATA6,GM44429
ELF3,PDCD4
XBP1,APP
SOX17,GM27326
GATA4,GM25535
HIST1H1D,HIST1H2BG
CREB3,HSPA5
DAB2,GM37784
TRP53,CCNG1
PHC1,IFI30
POU5F1,GASK1B
TGIF1,GLDC
KPNA2,GM10259
JARID2,GM26287
GATA6,GM2399
KAT2B,ATP6V0A1
PML,STXBP2
XBP1,SNORA81
HIST1H1D,NANOG
GATA4,ZFAS1
POU5F1,ME1
GATA4,GM26092
SOX7,AF357399
FOXQ1,HMGA1
