TF,Target
KLF3,RBBP7
ZFP42,GM25193
SOX2,UBALD2
MYBL2,GM25117
GATA6,MIR6928
NFXL1,ESRRB
NFXL1,LEFTY1
FOXH1,GRB10
SOX2,DDAH2
BNC2,GM44429
SOX17,SPSB1
ZBTB10,SLC20A1
HNF1B,TGM1
XBP1,BHLHE40
FOXQ1,MIR466B-6
RBPJ,PMM1
ZFP57,MIR7005
POU5F1,PTH1R
ZFPM1,GM22925
KLF4,CCNB1
TET2,LRRK1
BNC2,GM28010
TET2,GM22677
GATA4,SNORA73B
TGIF1,SEMA4C
GATA4,HIST1H2BG
KLF6,CEMIP
PEG3,CTSD
TGIF1,EIF4A-PS4
ZBTB10,GM38312
GATA6,GM25636
FOXQ1,GM17545
CREB3,SNORA17
HMGA1,MRPL23-PS1
HNF1B,KDELR2
ZFPM1,CTDSPL
SOX17,IFITM1
TET1,GM2399
FOXQ1,GM22620
KLF6,SELENOK
ETS1,GM8818
ZFPM1,TAGLN2
KLF3,PNRC2
GATA4,DCXR
HNF1B,STARD10
EPAS1,GM23497
CREB3L2,FOXQ1
ZFPM1,CTNNAL1
BHLHE40,ARHGEF40
ZFP42,SNORD70
NANOG,HIST1H4N
EPAS1,GM23245
KLF4,RPS25-PS1
ETS1,MIR5121
MYBL2,PEG3
ZFPM1,HSP90AA1
RBPJ,GM23542
ETV5,MFSD1
MYBL2,PATJ
NFXL1,POU5F1
TGIF1,GLIPR1
MYBL2,COTL1
MYBL2,GM14303
RUNX1,HIST1H1A
RBPJ,LIFR
ZFPM1,GM37746
SOX7,ZFPM1
TFEB,GJB3
SOX7,GM21860
RUNX1,P4HA1
ZFP42,TNK2
GATA4,FLNA
FOXQ1,MYBL2
BNC2,HIST1H2AL
KLF6,UHRF1
SOX2,TMEM9
TFCP2L1,SNORA43
PEG3,MT2
HNF1B,HIST1H2AP
TFEB,NUTF2-PS2
RUNX1,CKB
EPAS1,FRRS1
MYCN,GM24289
POU5F1,P4HA2
NANOG,DKK1
PLSCR1,ZFYVE21
PLSCR1,PTH1R
FOXQ1,TENM4
RBPJ,HIST1H1B
ZFPM1,MAN1A2
KLF4,TDH
KLF2,2410141K09RIK
TFEB,TXNDC5
KLF2,ZFP42
KLF4,SNORD33
PLSCR1,HIST1H2AK
TET2,GM26109
ESRRB,TPD52
KLF6,SNHG12
PLSCR1,CCND2
TFEB,RAB11A
ETV5,ADGRE5
TCF7L2,ADAM19
MYCN,SNORA21
BNC2,SNORD72
KLF6,LOXL2
NR0B1,LRRC8D
PEG3,RPL23A-PS3
NR0B1,GM23344
FOXQ1,NEU1
MYCN,FBXO5
ETV5,LDLRAP1
TFEB,GM24761
RBPJ,GM23566
TCF7L2,GM33051
TFEB,CDC42SE2
TCF7L2,RRBP1
PLSCR1,MEG3
TCF7L2,MIR669E
XBP1,SEC23A
ZFP57,ID1
ZFP42,ABHD5
GATA6,UBQLN2
KLF6,OPLAH
CREB3L2,ZFP532
TET2,GM4617
BNC2,SNORD110
KDM5B,LRRC8D
MYCN,GM22748
GATA6,RAB3IL1
RBPJ,CCND3
GATA4,GM26156
PLSCR1,LRRK1
CREB3,GM25057
MYBL2,2810025M15RIK
KLF6,TINAGL1
SOX17,FLNA
KLF2,ECHDC2
KLF6,MIR5117
RBPJ,AKR1B3
GATA4,AMFR
CREB3,LAPTM5
CREB3,GM22353
ETS1,STAG3
BNC2,RNPEP
TFEB,GM26287
ELF3,PML
POU5F1,GM43558
ZBTB10,GM24616
ESRRB,EPHA4
FOXQ1,CD63
ZFP42,CCN2
RUNX1,PDCD6IP
SOX2,MIR669K
XBP1,GM2399
CREB3,MIR467C
MYCN,ST5
ETV5,GM44346
ZFPM1,TSPAN9
SOX17,SNORD93
CREB3,GM8355
BHLHE40,SLC1A3
PLSCR1,HIST1H2AC
MYCN,PLXNB2
KLF3,GM24339
ZFP42,HIST1H4N
KLF4,GDPD5
RBPJ,GM21860
ZFP57,HMGA1
HNF1B,PLK2
CREB3,MIR297A-2
TFCP2L1,COBL
HNF1B,GABARAPL2
EPAS1,MSC
KLF4,CDCA7
ZFP42,SNHG5
ESRRB,ENAH
ZFP57,VKORC1
BHLHE40,FZR1
ETV5,PNRC2
ETS1,SNORA73B
MYCN,EHD1
NFXL1,MANF
FOXH1,CRELD2
MSC,SNORD33
ZBTB10,ANP32A
NANOG,GM22571
RBPJ,IL6
MYCN,ITGAV
GATA6,PCOLCE
TFEB,ZFP979
FOXQ1,GM24044
RUNX1,GM23245
NR0B1,GSR
CREB3L2,RRM2
ESRRB,RRBP1
SOX17,GM25943
ESRRB,SPSB1
TFEB,GM7993
SOX17,PLK1
SOX2,TNK2
KLF4,PDE4DIP
EGR1,MCM6
NR0B1,GM28010
KLF6,CAR2
TFEB,GM15181
TET1,LGMN
MSC,RRAS2
TET2,UBE2C
ELF3,GM38009
PEG3,LGALS3
KLF4,HNF1B
TFEB,MSI2
KLF6,GM5616
TET2,GASK1B
HMGA1,PRXL2A
RUNX1,AMPD2
ESRRB,ABHD5
PLSCR1,GM8355
POU5F1,ADGRE5
RUNX1,ZBTB10
PLSCR1,TMEM9
NANOG,P4HB
TET2,AKT1
FOXQ1,GM15421
GATA6,LRRK1
KLF3,DPP4
GLMP,SNORD93
TFCP2L1,TTC7
SOX17,1810032O08RIK
TET1,TMED2
TFCP2L1,MDN1
MYCN,MCM6
PLSCR1,GM23245
TFEB,MIR6357
KLF3,FGF10
MYBL2,TPM4
NANOG,LRRC2
ZFPM1,GNPDA1
GLMP,LRRC8D
TET1,EDA2R
SOX2,AGPAT4
HNF1B,SNX1
ZBTB10,PLXNA1
TFEB,IFITM3
ETV5,ACP6
TGIF1,ACTG1
BHLHE40,PHC1
ETV5,DNMT3L
TET1,BNIP3
KLF6,HIST1H2AH
KLF3,GM43107
GATA6,GM25500
GATA6,TPM4
BHLHE40,GM22030
GATA6,NDRG1
SOX17,GM23632
ZFP57,GM15247
TGIF1,ZFP987
SOX17,MPP1
CREB3,PEG3
FOXQ1,TFEB
HNF1B,GM22051
KLF6,GM22281
MSC,GM23566
KLF6,FRRS1
KLF4,STARD10
RBPJ,MIR466B-6
BNC2,ARHGEF40
ZFP42,ASAH1
KLF2,TGIF1
TET1,SLC38A4
KLF6,GHR
POU5F1,GAS6
TFCP2L1,FN1
FOXH1,GM25316
TFCP2L1,GM44380
SOX2,TPX2
TFEB,MIR291B
PLSCR1,GATA4
KLF2,GM27624
KLF4,ZFP989
CREB3L2,P4HA2
TFCP2L1,GM22914
BHLHE40,HSPG2
RBPJ,PLSCR1
GATA6,GM43521
TET1,HIST1H2AC
EGR1,RCC2
TFEB,ADGRE5
HNF1B,SLC38A4
GATA6,GLMP
TGIF1,MKRN1
SOX17,RESF1
MSC,GLIPR2
BNC2,SLC25A5
XBP1,GM26447
TCF7L2,GM24523
GATA4,PROS1
GLMP,SNHG5
XBP1,PLTP
KDM5B,GM44170
POU5F1,EIF4A2
MYBL2,FOXH1
ELF3,COMMD3
TET2,CYP26A1
KLF2,APAF1
GATA6,GM42429
TCF7L2,GJB5
KLF2,UCP2
ETS1,SERPINE2
ZBTB10,SNORA17
ESRRB,COL4A2
PEG3,SLC25A5
FOXH1,MIR3082
FOXH1,COL4A2
XBP1,MIR5117
SOX17,TCN2
KDM5B,MIR669A-1
KLF3,MIR3070B
GATA6,PDIA4
SOX7,NANOG
ZFP57,MYO1C
PLSCR1,RPL15-PS3
MYCN,SNX1
SOX7,HSPH1
MSC,GPA33
KLF4,MDM2
RUNX1,SNORA81
SOX2,GM22677
TFCP2L1,GM24761
MYCN,GM23988
SOX2,DKK1
KDM5B,TXNIP
SOX7,SNORA62
MYBL2,RRM2
ZFPM1,HIST1H2AC
ETV5,ESRRB
MYCN,DENND2C
TFEB,MSMO1
ELF3,GM23600
CREB3,KRT17
ETS1,DAB2
EPAS1,CALR
EPAS1,GM22620
HMGA1,GM26073
FOXH1,FAT1
GATA4,MIR669F
TFCP2L1,MT2
HNF1B,ABCC5
EGR1,ELF3
ZBTB10,GM22620
MSC,RBPMS2
NFXL1,PML
HNF1B,GM44206
TET2,GM10259
NANOG,ADAMTS9
BHLHE40,GM24339
GLMP,EED
BHLHE40,FLNA
TGIF1,RIAN
ESRRB,LAD1
KLF6,HS3ST1
TET2,TDH
ETV5,ARF4
TCF7L2,GM44429
FOXH1,SLC20A1
KLF3,SLC7A6
KLF4,MIR8094
MYBL2,IDI1
TCF7L2,TINAGL1
GATA6,SFMBT2
TGIF1,SNHG5
ZFP57,SOCS2
PLSCR1,GM38009
KLF3,GM15452
FOXQ1,SDC4
KLF2,GM24523
ZBTB10,CAR2
TGIF1,GM49369
SOX7,FGFR3
KLF4,TTC7
SOX2,GM47315
HNF1B,HELLS
ZFPM1,GM43558
KLF3,SLC6A8
SOX2,PARVB
SOX2,COTL1
EPAS1,MIR669E
KLF3,HIST1H2BL
TCF7L2,LDLRAP1
CREB3,GM10108
XBP1,GM26229
ZBTB10,HIRIP3
NFXL1,VILL
TET2,RPL17-PS10
TCF7L2,GM24761
GATA6,FGF4
TCF7L2,SLC1A5
TET2,MIR466B-6
FOXQ1,CSRP2
TGIF1,VANGL1
ETV5,IFITM1
HNF1B,RUNX1
EGR1,ZFPM1
XBP1,TYRO3
HNF1B,STAG3
GATA6,TGIF1
XBP1,MIR3091
RBPJ,GM6158
ETS1,MSMO1
SOX2,F2R
ELF3,VKORC1
EPAS1,VSIR
RUNX1,RRM2
BNC2,TUBB6
ETV5,GM4322
ZFP57,GM44429
EPAS1,MYO18A
KLF2,GM44380
TFCP2L1,PIK3R1
HMGA1,VSIR
ZFPM1,MID1-PS1
KLF3,ABCC5
TCF7L2,GM10169
SOX7,MIR763
MYBL2,TOP2A
KLF3,TTC7
GATA4,RNU73B
POU5F1,BCAM
TET1,RPL17-PS10
TFEB,MIR7003
CREB3,FRMD4A
KDM5B,EPS8
KLF2,CTSD
POU5F1,GM15452
SOX17,TDGF1-PS1
TET2,HYOU1
HMGA1,DNAJC10
ZBTB10,GCLM
XBP1,GM26426
KLF3,GM27390
PEG3,HIST1H3I
BHLHE40,PDIA4
MSC,GM17545
SOX2,GM43108
ELF3,GM23571
TET2,GDPD5
PLSCR1,LY6E
KLF3,GM42413
CREB3,SURF4
ETV5,PTH1R
FOXH1,GM22988
NANOG,SNORA17
EPAS1,SERPINE2
NR0B1,CCND1
MSC,PRPS2
ZFPM1,ID2
