TF,Target
CTR9,IL15RA
TAF12,RFTN1
MCM2,PARP8
HIST1H1C,EMID1
MED16,FDFT1
NFAT5,GM20559
CBX7,CD74
MCM4,MAGED2
CTR9,DUSP5
PML,LCK
PML,SLC44A2
NOTCH1,SH2D3C
NFAT5,NOTCH1
NFATC1,EIF1AD
ZFP467,ELOVL5
MCM4,CD274
CTR9,SH2D3C
CTR9,RHOF
CBX7,RNF13
TSC22D3,BTG2
CTR9,IFI27L2A
H1F0,PIK3CG
PRDM5,ZFR
MED16,EPB41L4B
NFAT5,ABHD4
ZFP467,PLIN2
CBX7,JUN
TAF12,QARS
CTR9,GAA
MED16,ADGRG3
MEF2A,RASSF2
SLA2,WLS
GATA2,GMFB
TAF12,WFDC17
TSC22D3,TBXA2R
MEF2A,ZBTB38
SLA2,MCTP1
ZBTB38,CTSF
MYCN,LYN
GATA2,SLC2A1
JUN,RHOH
XRCC6,CPQ
NDN,PSTPIP1
MLLT3,FES
MEF2A,4930555A03RIK
NDN,FLT3
NFAT5,KIF23
SLA2,CTSF
NFATC1,IER3
NDN,ARHGEF18
NFAT5,MAGED1
VEZF1,SLC2A3
TAF12,CTR9
MLLT3,GRINA
MCM4,MCTP1
MLLT3,VAV3
KLF10,TRPC6
RBL2,PRELID3B
ARNTL,ZFP945
GATA2,PYGL
KLF10,ADA
NFATC1,PAQR5
VEZF1,TCIRG1
PML,PRPS2
MEF2A,RNF125
ZFP467,ABI1
H1F0,IL12A
BTG2,RCSD1
XPC,SH2D5
PRDM5,MN1
MLLT3,ZFR
H1F0,CERS4
H1F0,CHRNB1
ZBTB38,TAPT1
EYA2,CD52
MCM4,TBC1D5
JUN,RMND5B
NFATC1,PECAM1
SATB1,KCTD20
JUN,TCIRG1
NOTCH1,F2RL3
SLA2,SLC2A3
TAF12,HELLS
MED16,S100A6
IRF7,BCLAF3
MLLT3,NFATC1
CBX7,CAPN5
GATA2,NAPRT
NFKBIA,DPP4
NFKBIA,NCEH1
ZBTB38,ABHD17B
H1F0,CYP2J6
SATB1,MTMR6
MCM5,OTULINL
SLA2,CBX7
MCM4,UMPS
ARNTL,ARID5A
EYA2,NGLY1
H1F0,PANX1
MED16,ICAM1
CBFB,OCRL
PRDM5,HEXA
KLF10,CD53
NFATC1,MAN2A2
GATA2,RASSF2
RBL2,ATP2B4
NFAT5,MAP2K1
PML,UBL4A
PRDM5,EPSTI1
CTR9,BC035044
JUN,SLC7A4
NOTCH1,GBP2
GATA2,IL12A
MED16,CTLA2B
MCM4,DUSP6
CTR9,DPP4
SLA2,SESN1
ZFP467,PNO1
NFATC1,GMFB
