TF,Target
HNF4A,DNTT
MYCN,PRIM2
ESR1,WFDC18
NFATC1,FRRS1
IRF8,ABCG3
REL,HACD4
ESR1,IDH1
HNRNPAB,PARD3B
HCFC1,COL4A2
E2F8,FILIP1L
PML,CNP
NR3C2,CCNG2
CTR9,PLAC8
TLE2,P2RY14
ELL2,PDZK1IP1
VDR,CD200R1
LDB2,GRAMD1A
TTF2,NHP2
H1F0,SLC35A5
MEF2C,IGHV1-77
ANKRD6,IMPACT
IKZF1,LGALS9
CLOCK,GM8995
DEK,KIF22
MCM4,BACE1
MCM4,HNRNPAB
SPI1,CCNG2
CD7,FAM171A1
EPAS1,ITPK1
NFAT5,RMND5A
VDR,MAMDC2
MEIS1,BLVRB
MYCN,UMPS
BATF2,SLC39A13
HIST1H1C,PQLC1
TRPS1,ABLIM1
BTG2,SNHG5
ESR1,GSTM5
MED16,TGM2
NR3C2,PHKB
IKZF1,GCLM
NFE2,IFI27L2A
EGR1,CDCA5
PBX3,GCLM
NFKB1,RAB37
CD7,THRB
TTF2,ITGA5
MCM7,TSPAN2
ETS1,SYDE1
HDAC7,MIR17HG
PRDM5,HSPA1A
CLOCK,RRAS
MCM7,RIPOR2
ETS1,PAFAH2
LZTS1,TOMM70A
HNRNPAB,INSIG1
DACH1,SLC39A13
RBL2,ZFP422
MAML3,FUT10
NDN,SYK
RAI14,C030034L19RIK
NFATC1,ZFP120
JUN,TRIM59
NFIA,TMEM33
SPI1,SCARF1
NAP1L3,LGALS1
RORC,TIMP2
CD7,ZNRF2
MAPK12,ITGB7
MEF2C,CTSC
KLF10,CD274
HNF4A,PDE4B
PHC1,FTX
YBX1,WBP1L
HLF,TPM4
PHC1,PPIC
HLF,EEPD1
EYA2,MAP3K2
MCM6,CHRNB1
SPO11,POMGNT2
HDAC7,LHCGR
ZBTB20,GPR171
VEZF1,CD244A
TEAD2,NEAT1
VDR,ZFP111
VDR,ITGA5
RUNX1T1,AK1
EYA2,PGRMC1
ZFP467,OASL1
ANKRD6,NUDT19
CBFB,ANKRD33B
EYA2,PRKCH
MCM4,ARID3B
MIS18BP1,OAT
PBX3,MEF2C
MCM2,FGGY
KLF8,CTPS
PRDM16,FILIP1L
TLR4,SYK
TSC22D3,MYO5A
KLF10,TYMS
ETS1,PPCDC
MEF2C,SLC39A8
RAD51,F630028O10RIK
CBFB,FTX
SOX6,CPXM1
NFKB1,NKG7
NFIA,IL27RA
RARB,ARID3B
HDAC7,TK1
ARNTL,GSTM5
E2F8,FNDC3A
NUPR1,TSPAN2
NR3C2,CSAD
THRB,CD48
EPAS1,HIST1H1C
NFAT5,PHC1
HDAC11,SULT1A1
ID1,SH2D5
MLLT3,TMEM33
NFATC1,DPP4
MAML3,PA2G4
LDB2,ELAC1
NUPR1,IFI203
THRB,SAT1
CLOCK,PARVG
KLF10,SLC35A5
MAPK11,TEC
KLF3,CALCRL
TEAD2,EPSTI1
ANKRD6,CPNE8
PRDM5,KAZALD1
TLR4,NPR2
DEK,HNF4A
MCM6,ITGA6
NDN,PKIB
TSC22D3,FLT3
RORC,RGS19
RORC,FRRS1
MCM5,GBP8
CBFB,MAPK11
JUN,SGMS1
TLR4,OCRL
MED16,NFAM1
CREB5,ETS1
THRB,LACTB
XRCC6,ITGAM
NFATC1,MYCN
IRF6,PAFAH1B2
IRF6,WFDC17
KLF10,ECE1
LDB2,AI504432
E2F8,RBL2
YBX1,THRB
KLF6,ZBTB38
XPC,DENND1C
MLLT3,SERPINB1A
FOXO1,PA2G4
RAI14,ITGB7
MED16,XPC
HNRNPAB,POLD1
EPOR,ATP2B4
HOXA9,CDKN1C
JUN,GBP8
ELF1,SC5D
GATA2,FRMD6
ELL2,ID1
PRDM16,EIF2S1
MCM7,UAP1L1
DEK,GM28875
TCF19,UAP1L1
RARB,XPC
NFE2,MILR1
MIS18BP1,PGRMC1
TSC22D3,RASSF5
RUNX1T1,CDC45
PRDM5,GEM
VDR,ATAD2
MCM7,MYO1G
NR3C2,PDZK1IP1
MYCN,ZC2HC1A
MEF2A,TSPAN6
PML,DOK2
RUNX2,BDH2
MED16,ZKSCAN4
MLLT3,VAMP1
RUNX2,CCND3
MCM6,EPSTI1
PRDM5,IL1R1
PBX3,BCLAF3
EGR1,ADGRG3
TRIB3,CYP4V3
CD7,ARNTL
MEIS1,ATP10A
CBFB,SLC6A6
HNF4A,NFE2
EGR1,SDSL
TEAD2,HIF3A
IRF8,PRKCD
MAML3,DUSP6
REL,ABCF3
VEZF1,ST8SIA4
MAPK12,1600014C10RIK
KLF3,ANXA4
RPS6KA5,FCHO2
PHC1,ABLIM1
PRDM5,1700017B05RIK
NFE2,SQOR
CENPK,HSPA1A
TEAD2,PRKCD
EYA2,B4GALT6
PBX1,RSL1
IKZF1,SP100
IRF7,SPO11
NFE2,GPR160
MCM7,NAPSA
SATB1,FAM169B
ZFP467,NAGA
EPOR,TTF2
REL,GPR160
PHC1,HEBP1
KLF3,CSF2RB
MCM2,TLR7
ID1,RGS2
NFE2,ABLIM1
TSC22D3,MPO
HIST1H1C,NDN
CBX7,TRIB3
MEF2C,GGT5
NOTCH1,TMEM106A
MIS18BP1,RAI14
RARB,CTPS
ARNTL,RGL1
NFKB1,RASSF2
HNF4A,ZFP248
RARB,IL15RA
ESR1,ECT2
SPO11,TES
MIS18BP1,ARHGEF18
PML,PKN3
PBX3,BTG2
NR3C2,TSPAN2
MIS18BP1,8430419K02RIK
TLR4,TNFRSF13B
HNF4A,IL7R
IRF7,HSD3B7
IKZF1,LRRFIP1
PBX3,CCL4
CD7,1600014C10RIK
NFIA,CDKN1C
HCFC1,CD7
FOXO1,HNRNPAB
TSC22D3,DEK
CD7,LDHB
NFATC1,GM5111
TEAD2,JAK1
RAI14,RPGRIP1
APBB1,TMEM184C
LZTS1,CCNG2
HIST1H1C,PDIA4
MCM6,NLRC3
SOX18,TRIQK
MIS18BP1,CHRNB1
ZBTB20,SERPINB9
ELL2,AP1G2
RBL2,INKA1
GFI1B,ADGRG3
CENPK,EIF2S1
ESR1,GEM
SMARCA2,GPSM1
ELL2,ARL11
KLF8,UBE2L6
PML,RASSF2
ANKRD6,RNASE6
APBB1,EIF1AD
NR3C2,CYC1
EPAS1,HSPA1A
MCM6,B3GNT5
LZTS1,ANXA2
HLF,SLC25A53
ZBTB20,ENPP5
NUPR1,NAPSA
HDAC11,CD48
PBX1,NSMF
PHC1,TGTP1
RUNX2,JUN
MAPK12,COL4A1
RUNX1T1,FGD5
LZTS1,TOP2A
NFE2,SLA2
RBL2,UHRF1
NFAT5,LGALS3BP
RPS6KA5,FDFT1
HMGB2,RNF213
EGR1,RMND5B
PRDM16,GM1966
HMGB2,SGMS1
HIST1H1C,SLFN10-PS
ARNTL,BACE1
HIF3A,CD52
BATF2,ESAM
VEZF1,OASL1
ZFP111,CREB5
HOXA9,TFPI
E2F8,MAN1A
NFKB1,VMAC
EYA2,VEGFC
MAPK11,IL15
SOX6,CYBC1
RBL2,TGTP2
HIST1H1C,PLSCR4
ARID3B,TK1
KLF10,KIF17
TSC22D3,AURKB
ARNTL,CALHM2
RPS6KA5,TNPO1
VDR,GM2A
MYCN,RCSD1
EPAS1,F2R
CTR9,SPNS3
HMGB2,C1RL
EYA2,CTSC
HNF4A,ST8SIA4
THRB,BACE1
ZBTB20,IFI27
APBB1,IL18RAP
MAPK11,CTTN
SPO11,H2-Q6
NDN,TEX10
DEK,DTL
NFAT5,TRAF1
MLLT3,JAM3
HCFC1,CCNB2
RAD51,CTSG
HIF3A,ATP13A2
CENPK,MYO5A
ZBTB38,TMEM14C
RUNX1T1,GBP9
ZBTB38,KLF6
MEF2A,PRIM2
XRCC6,FAAH
SATB1,OASL2
MCM7,USP3
SPI1,PDE12
SATB1,PBX3
NFKB1,ULK1
IKZF1,ZBTB4
EYA2,GM37124
RUNX1T1,RSL1
KLF3,PLBD2
RAD51,SLC39A6
NFIA,MNDAL
HDAC11,TTC39B
SPI1,SYK
DEK,SYTL4
TRPS1,RAG2
PML,ERP29
HMGB2,LDLR
HMGB2,SLFN8
HCFC1,AI504432
CTR9,LYN
MYC,SLC25A37
SLA2,IFI206
MCM5,IGKC
DACH1,CEP70
ELF1,ZFR
NUPR1,KIF17
RUNX1T1,KIF20B
TEAD2,APLP2
PA2G4,P2RX1
HCFC1,CASP12
MIS18BP1,EPSTI1
LZTS1,RP2
NFE2,GM8113
SLA2,ALDH1A1
EYA2,WFDC18
EYA2,PLSCR4
NDN,C1QBP
SLA2,PANX1
XPC,YOD1
GATA2,ITPR1
ELF1,MBNL3
VEZF1,RARB
NFKB1,GLB1
IRF7,ZFP120
MYC,IL7R
MCM2,SRGAP3
FOXO1,ELF1
SPI1,LYN
NFAT5,KLHDC8B
HNF4A,VEGFC
SPI1,CCND3
NR3C2,NAIP5
GFI1B,CASP12
RUNX2,TBC1D5
RPS6KA5,FLT3
RARB,SEPT8
RUNX2,CST7
TAF12,GM8995
PA2G4,GM45837
TCF19,SRGAP3
MYC,RGS2
RARB,SLC44A2
PGR,ABCF3
GFI1B,BPIFC
PBX1,BTBD3
REL,EPOR
GATA2,MYO5C
MCM2,FAM76B
CREB5,TMEM184C
GFI1B,NEDD9
NFAT5,NECAP2
MCM2,FECH
SLA2,RMND5A
HIST1H1C,POLA2
TRPS1,CERS5
MLLT3,EXOC3L
ID1,SLFN10-PS
PHC1,NUPR1
KLF10,TK1
EPAS1,CD300A
TSC22D3,MN1
VEZF1,SLC18A1
ELL2,CHRNB1
ZKSCAN4,STAM2
ELF1,TBC1D5
MAPK11,AFF3
MEF2C,PRNP
REL,IL7R
GATA2,PIK3CG
TAF12,TM6SF1
TEAD2,RAB38
XPC,ANXA5
HCFC1,DUSP5
RUNX1T1,TBXA2R
BATF2,PRODH
HOXA9,PRSS57
CBFB,RNF114
MCM5,ANKRD44
ANKRD6,PPM1G
GATA2,MEIS1
ELL2,ITSN1
TRPS1,TSPAN14
PRDM5,CALHM2
PBX3,CTLA2A
CD7,LGALS1
EYA2,EIF1AD
EPAS1,CDC45
PA2G4,HNRNPAB
IRF8,PRPS2
PHC1,HSPH1
HMGB2,JUN
THRB,MEIS1
XRCC6,H2-DMA
MYCN,GIMAP1OS
RORA,ESAM
SATB1,5430427O19RIK
PBX3,CD44
E2F8,F630028O10RIK
TLE2,STRAP
MCM4,CD55
ELF1,RFTN1
THRB,SMIM15
NFAT5,HK3
HDAC11,FDFT1
ELL2,RFTN1
CTR9,FRRS1
CREB5,TSPAN2
DACH1,PCMTD1
PRDM5,CKAP2L
CBFB,RIPOR2
LDB2,TRMT6
CTR9,CERS4
CTR9,H2-DMA
NUPR1,AEBP1
NFATC1,USP42
CLOCK,HDAC11
MCM5,SERPINB6A
FOXO1,THEMIS2
KLF8,COL4A1
ANKRD6,F630028O10RIK
VEZF1,MAN1A
ARNTL,NPDC1
MIS18BP1,PTGS1
KLF6,ATP13A2
NR3C2,HID1
MCM2,EIF3A
ZBTB38,ESAM
SPI1,GMFB
IRF8,MSH6
ARID3B,PLSCR4
PGR,KIF23
LDB2,IGKC
KLF8,SQOR
RUNX1T1,GM19590
RUNX2,SEC14L1
MCM7,LDLR
LDB2,RGS2
NDN,JUN
PBX3,DTL
EPOR,TNPO1
HNRNPAB,BDH2
THRB,MPO
ESR1,RFTN1
HIF3A,SLC22A3
GFI1B,PLIN2
KLF8,CLEC12A
MAPK12,SARAF
IRF8,PLSCR4
EPAS1,ZKSCAN4
SLA2,DUT
H1F0,PAQR5
NAP1L3,ZFP120
MED16,IER2
HNF4A,PDZK1IP1
KLF3,ITM2A
MLLT3,LPCAT2
MCM6,BDH2
PGR,PCNA
IRF7,NUCB2
HNRNPAB,SLC26A11
LZTS1,EFNA1
MECOM,RRAS
EPOR,SNX30
CLOCK,MGST2
GATA2,9030619P08RIK
MCM6,CKAP2L
MCM7,UBE2L6
GATA2,RAB27B
TLR4,WDSUB1
ZFP467,IGHV11-2
RORC,PDK3
MCM4,TXNIP
H1F0,UQCRFS1
PRDM16,CISH
RARB,UPP1
TLR4,MEIS1
CREB5,CYP51
MCM4,RNF122
ID1,CTPS
MEF2C,ALS2CL
RUNX1T1,UQCRFS1
ELL2,ESR1
TLE2,PPM1G
HNRNPAB,ARL11
ID1,CD274
PGR,PRKCD
MYC,CTSC
TEAD2,LACTB
HCFC1,PRC1
KLF8,CAD
GATA2,MILR1
CREB5,DENND2D
EGR1,PGRMC1
MYCN,CLIP3
MAPK11,TRIM35
TLR4,GBP5
SATB1,EMCN
ARNTL,GM973
IRF7,MAP2K1
MYC,ANXA5
HLF,GM8113
MCM7,TOMM70A
KLF8,MN1
SPO11,TNFAIP2
XPC,TSPAN2
PHC1,BIRC3
FOXO1,RAG2
JUN,ENG
LDB2,SPO11
HIST1H1C,ORC6
ARNTL,THRB
CLOCK,TMEM173
SPI1,WBP1L
MCM4,STK10
TSC22D3,MAD2L1
RUNX2,PRR5
AEBP1,GSTT1
CLOCK,BCL2
HOXA9,QARS
ELF1,GYPC
E2F8,CTTN
VDR,IDH1
EPAS1,AKNA
ETS1,MAPKAPK3
MCM4,CSF2RB
HNF4A,CLOCK
RORC,MYLK
NFKBIA,NCAPD2
HMGB2,ARID5A
NR3C2,BC005561
H1F0,SLC43A2
HOXA9,MSMO1
SLA2,HLF
RPS6KA5,GBP8
NOTCH1,BIRC3
TRPS1,LAX1
RUNX1T1,CORO7
RAD51,CYC1
TTF2,SLC25A37
RUNX2,SNAP47
LZTS1,HEXA
MAML3,DPY19L3
SMARCA2,ASB13
ARNTL,STXBP4
TRPS1,TYMS
NAP1L3,SDF2L1
RUNX1T1,CDCA3
APBB1,IGHV11-2
EGR1,KCNK5
LDB2,PLXNA4OS1
IKZF1,CCND3
MCM6,XPC
NAP1L3,SQOR
ARNTL,SSH3
HNRNPAB,NCAPH
RBL2,ARRDC4
ELF1,WFDC18
MECOM,PCNA
XPC,PEAR1
APBB1,POMGNT2
MEIS1,BC005561
MYCN,CREG1
AEBP1,CYC1
DEK,ZFP248
RAD51,KCTD20
ESR1,SEPT6
HNF4A,CENPK
SLA2,HNF4A
ID1,CCDC112
EPOR,PAQR5
BTG2,EEPD1
HMGB2,ART4
RAD51,MKI67
HIF3A,RPGRIP1
HIF3A,NOTCH1
RBL2,PAFAH1B2
VDR,MMP2
XRCC6,SLC39A6
CBX7,TREML2
IRF8,TMEM268
TLR4,CCL3
ELF1,ACAP1
NOTCH1,PCMTD1
HNF4A,ID1
YBX1,1600014C10RIK
EPAS1,EPB41L4B
ZKSCAN4,GPR171
RARB,SLC12A6
NAP1L3,EBI3
HLF,ELANE
MLLT3,VAMP5
ESR1,LRP12
NFATC1,ENPP5
CLOCK,NFAT5
TTF2,CTNNAL1
CREB5,MAP4K2
ID1,ENDOD1
MEF2C,ATAD2
TRIB3,RRAS
PHC1,RASSF5
BTG2,VMAC
IRF7,PRIM2
SPI1,RRAS
CENPK,NKG7
KLF8,MGST2
NFKBIA,LSP1
MIS18BP1,AMPD2
H1F0,ABCD3
NAP1L3,PLXNA4OS1
AEBP1,MED16
TAF12,NUPR1
HNF4A,CCDC112
CBX7,CD9
SMARCA2,VDR
ZKSCAN4,SUOX
NFKBIA,MMP2
TRIB3,ZFP53
RAD51,LPCAT2
ZFP111,PAQR7
ZFP467,DEF8
MAPK11,LDB2
MYC,KCTD12
KLF10,TXNIP
ZBTB20,CHRNB1
IRF6,ETS1
TTF2,SGMS1
ZBTB20,CCL3
MCM6,DTL
MYCN,OBSCN
IKZF1,MYO5C
HDAC7,KLF10
H1F0,ANXA2
SOX6,1600014C10RIK
PBX3,MYO5C
FOXO1,RPGRIP1
LDB2,KIF21B
TRIB3,PRKCQ
ARNTL,SH2D5
MAML3,HAAO
SATB1,GMIP
BTG2,EBI3
MCM6,QARS
