TF,Target
CBX7,MCM2
MED16,SERPINB1A
EYA2,MCM5
CTR9,PLXNC1
HOXA9,ABCD3
MCM5,SLC16A11
MEF2A,PTGER4
EYA2,CHST11
RAD51,TCIRG1
H1F0,PROCR
TCF19,PGR
RPS6KA5,TRIM16
TRIB3,CD33
RPS6KA5,UBE2E2
PA2G4,PPIC
TAF12,CD52
RORA,ABCD3
MED16,YBX3
XPC,MNDAL
PML,MSH6
ZFP467,KBTBD11
ZBTB38,HSD3B7
PHC1,ESR1
CTR9,TLR4
CENPK,JAK1
MYCN,HNF4A
ELF1,KBTBD11
MCM4,BCL2
CENPK,POLD1
XRCC6,ZFP157
HOXA9,FADS1
KLF3,CTTN
PRDM16,SNX10
PHC1,GP9
PRDM5,CDKN1C
MLLT3,SULT1A1
HCFC1,KBTBD11
PML,PIK3R1
PBX1,RNF38
CTR9,RNASE6
KLF10,PHF8
ZBTB20,RBM18
KLF10,PCMTD1
DACH1,SPC24
CLOCK,CD63
RORA,OBSL1
ELF1,ITM2A
MCM5,CISH
MCM4,EFTUD2
ZBTB20,MGAT5
HNF4A,BPIFC
MEF2A,TFRC
KLF6,ABCF3
HOXA9,5430427O19RIK
TRPS1,PDE4B
HIST1H1C,MYO1F
BTG2,GSAP
REL,CKAP2
XPC,MEF2A
KLF3,ITGB7
RAI14,FCHO2
HNF4A,PIK3CG
RORA,SNHG5
MYCN,GM28875
NDN,ABCD3
KLF10,TGTP1
HDAC11,SNX30
ZBTB38,NSMF
MCM5,RPS6KA5
PGR,KCTD20
SATB1,CASP12
RORA,5430427O19RIK
MCM7,GP9
REL,RAB37
MCM6,HACD4
TTF2,PTGER4
HNF4A,ESR1
SLA2,NCEH1
IRF6,TIMP2
EYA2,LDHB
ARNTL,MAP2K1
TLR4,VEGFC
RUNX2,ST8SIA4
CTR9,MKI67
ZFP467,IGTP
NOTCH1,ITPR2
IRF6,ECT2
KLF10,POLD1
CBFB,TRPC6
PRDM5,PLA2G4A
MCM2,ENPP4
ZBTB38,EYA2
PBX1,SYNRG
MECOM,COPB1
ETS1,GM20342
PRDM16,ZFP367
KLF6,BTBD3
EGR1,TGM2
KLF10,MAN1A
GFI1B,KIF21B
NFKB1,SUGP2
CENPK,ARHGAP27
MYCN,TXNDC11
H1F0,EPB41L3
MYCN,IL4RA
HCFC1,MNDAL
MCM2,ELOVL6
NFAT5,GMFB
TTF2,IFI206
SLA2,PPT1
PRDM16,TGTP2
RAD51,FKBP9
RORA,SLC12A2
MEF2C,GLRX5
TTF2,NDRG3
ZFP467,TOP2A
XPC,CD33
HDAC7,GNG11
SLA2,DOCK11
GATA2,CYFIP2
XRCC6,CERS4
TSC22D3,RPA2
EGR1,CTSW
KLF6,PDGFRB
ZBTB20,TSPAN2
EYA2,ATP8B4
REL,LYZ2
PML,PANX1
TRIB3,NEAT1
ARNTL,RASSF2
RPS6KA5,SLC31A2
SLA2,RAD51AP1
NFKB1,LACTB
HDAC11,MAML3
RORA,ST8SIA4
MLLT3,PDLIM5
IRF8,LGALS1
HIST1H1C,TREML2
IRF6,TK1
PGR,PIK3IP1
HNF4A,SEPT6
RAD51,CYP4V3
SMARCA2,SLC18A2
XPC,BC016579
NDN,BIRC3
VEZF1,IL10RA
MEF2A,CYP2J6
PRDM16,COPB1
H1F0,HSD3B7
CENPK,PRSS57
CBX7,TRIB3
SMARCA2,CD53
IRF7,C030034L19RIK
REL,CTSH
ZBTB20,DHRS3
ZFP467,RNF114
MEF2C,CSGALNACT1
DACH1,VAMP5
REL,TOM1L1
PBX1,KLF3
RAI14,ECT2
TLR4,CTR9
SMARCA2,GGT5
BTG2,EMB
REL,ZFP157
NOTCH1,TNS2
REL,PLD4
HDAC7,RGS2
HLF,FUCA2
TTF2,TBXA2R
NFATC1,GM11346
BTG2,GM19590
REL,ZDHHC17
HIST1H1C,SLC43A3
CBX7,ARL6IP6
CTR9,CKAP5
ELF1,ABCD3
CLOCK,GM28875
HDAC7,PAFAH2
EGR1,DCAF4
TLR4,PKD2
PRDM5,FCHO2
XRCC6,PNO1
CLOCK,ANO10
MEF2C,MUC13
TLE2,VAV3
KLF6,UBE2E2
MED16,TOMM22
PHC1,GPSM1
MEF2C,IL15
MED16,GLRX5
RPS6KA5,HCFC2
MCM4,CISH
MCM2,AP1S2
KLF10,RBPMS
ARNTL,NUDT19
PHC1,KRT18
TCF19,FAM111A
MECOM,UNC119B
RAD51,MAML3
SATB1,WDFY3
H1F0,RHOF
MEF2C,APP
KLF10,GBP4
TSC22D3,HEATR5A
REL,TRP53INP1
MEF2A,CYBC1
RAD51,RBBP9
XRCC6,LAG3
MCM6,SH2D3C
ZBTB38,VEZF1
KLF3,EXOC6B
PRDM16,MORC3
RBL2,KDM7A
RUNX2,PGRMC1
RORA,CD52
HLF,CD53
REL,ABHD4
ETS1,SLC35D3
CENPK,SGCE
TAF12,THBS1
IKZF1,GSTM5
MEF2A,SH2D5
RUNX2,FGD5
PRDM5,MCTP1
VEZF1,PTGER4
PA2G4,TIMM50
REL,ITM2A
MCM6,TBC1D5
HNF4A,KIF22
ZBTB38,TOMM22
PBX1,MYO5A
TCF19,KNSTRN
CTR9,ARL6IP6
EGR1,BTK
RORA,POR
MYCN,CYC1
ZBTB38,TOP3B
MYC,PGR
NFKB1,ARL8B
RAI14,SAMSN1
HNF4A,KRT18
ZBTB20,CYFIP2
EYA2,CBX7
HDAC7,C1RL
TSC22D3,TMEM246
NFATC1,AFF3
NFATC1,MAMDC2
RBL2,ITSN1
PHC1,GM11346
MYCN,AI504432
VDR,RHOF
HOXA9,FDFT1
MECOM,EGR1
IRF7,F2RL3
MED16,APP
KLF10,HID1
H1F0,DNTT
ETS1,SEC14L1
RAD51,DDX39
VEZF1,VAV1
DACH1,JUN
PGR,CNP
RPS6KA5,DHRS3
TLR4,ABHD17B
RUNX2,IER2
HOXA9,CCL3
RORA,UNC93B1
NFKB1,TOP2A
ZBTB20,IL18RAP
XRCC6,PBX1
RUNX2,MYLK
KLF10,PLPP2
MAML3,USP3
CBX7,MNDAL
TCF19,ARHGEF39
ZBTB38,SSH2
H1F0,LTB
KLF6,TXN2
MCM2,ARL8B
NFKBIA,IL7R
RORA,RAB27B
RAD51,DEF8
TTF2,EGR1
ZBTB20,B3GNT5
IRF6,VAMP1
PRDM5,ARFGEF2
EGR1,KDM7A
XRCC6,MSH6
HDAC11,JUN
BTG2,SLC12A6
MCM2,TMEM14C
RAD51,FES
CTR9,IFT88
REL,HJURP
XRCC6,TESPA1
MYCN,GMFB
TLE2,PRNP
MLLT3,TPST2
