TF,Target
ELL2,TXN2
YBX1,IRF8
GFI1B,BTBD3
TAF12,SOX18
CLOCK,MAN2A2
NFKBIA,XRCC6
BTG2,FUT7
EGR1,IER3
CENPK,CKAP5
MAPK12,DEF8
DACH1,TOM1L1
NFAT5,SLC25A37
SOX18,CKAP2
RORA,PIK3R1
CENPK,IL17RA
KLF3,NPC1
VDR,NRROS
MEF2C,PHC1
TAF12,WFDC2
HOXA9,BLVRB
NFAT5,AI504432
HNF4A,DCAF4
FOXO1,UBL4A
MCM5,MCM4
E2F8,CD274
IRF7,LGALS3BP
DACH1,FADS1
RUNX2,IL12A
MCM4,SLC28A2
PHC1,KLHL4
HLF,CAPG
CLOCK,KLF10
KLF6,PCLAF
MAPK11,ZFP61
EPOR,PRKCQ
NFIA,SLC7A4
ARID3B,ART4
HLF,EEPD1
NFKB1,ARHGEF3
MCM5,GCLM
NR3C2,GM1966
PGR,APLP2
TRIB3,PAQR7
RAI14,CD69
IRF6,MCM6
TTF2,UPP1
MECOM,SEPT8
KLF10,MCM7
XPC,DPY19L3
MEF2C,SLC28A2
NAP1L3,CAMK1D
KLF3,SLCO3A1
ETS1,PARD3B
IRF8,FLT3
RAI14,BC035044
NFKB1,TRIM47
KLF6,FAM110C
ZBTB20,CASP2
KLF10,ARL8B
NDN,RASSF5
TAF12,ECT2
NFIA,RAB37
KLF8,STXBP1
DACH1,HASPIN
NUPR1,ELL2
ID1,HELLS
ELF1,PLCG2
KLF6,IIGP1
PA2G4,PRIM1
ZFP111,SH2D3C
PRDM16,CAPN5
H1F0,RNF114
LDB2,IL10RA
IRF7,ZFP949
MED16,PITPNC1
GFI1B,JAK1
MAML3,VAV3
MCM7,LTB
PA2G4,AKAP8L
PRDM5,BATF2
TEAD2,BTBD3
HDAC11,OASL1
VDR,CBFB
RUNX2,PARD3B
ZBTB38,IDH1
PBX1,CTSL
EGR1,NUDT19
MAML3,PKD2
RAD51,SEPT8
TRIB3,DOK2
AEBP1,GEM
FOXO1,SLC43A3
IRF8,ARPP21
HLF,BCLAF3
MAML3,IRF8
HOXA9,CD93
ARNTL,PYGL
HIF3A,NUCB2
XPC,PCMTD1
SOX18,CD48
NFKB1,S1PR1
MIS18BP1,TCIRG1
ANKRD6,NRROS
HNF4A,HMGB2
TLE2,SQLE
ZKSCAN4,PKIB
RORA,ABCG2
HDAC7,NEDD9
SPO11,CBFB
MAPK12,UNC93B1
NFAT5,GNG2
DACH1,FILIP1L
ZBTB38,RALGPS1
