TF,Target
SLA2,ALDOC
MEF2A,SLC2A3
TSC22D3,C030034L19RIK
KLF10,OBSL1
TSC22D3,RCN2
CBX7,CYBC1
SATB1,CSF2RB
CBFB,TESPA1
XPC,PGLYRP2
SLA2,ANXA2
ZBTB38,DDX4
H1F0,TCIRG1
MEF2A,SERPINB1A
MLLT3,PLEK
XPC,FUT7
TAF12,NFAM1
MLLT3,GPRASP1
NDN,GATA2
NDN,PRKCQ
VEZF1,IL17RA
ZBTB38,PLCG2
TSC22D3,MSH6
NFATC1,SAT1
PML,CTSS
IRF7,TAF12
SATB1,PAFAH2
NDN,PLEK
EYA2,RBL2
MCM2,IL15RA
BTG2,SQOR
MLLT3,PAQR5
NFAT5,TPST2
PRDM5,RNASE6
SLA2,CALCRL
SATB1,PIP4K2A
NFKBIA,DUSP1
PRDM5,MAGED1
MYCN,MYCT1
MEF2A,ART4
NFATC1,PRPS2
RBL2,UMPS
KLF10,RCN2
ZBTB38,CASP2
KLF10,CD9
KLF10,CALCRL
HIST1H1C,PIK3CG
MYCN,ITSN1
SATB1,RASSF5
NOTCH1,SHISA8
VEZF1,PACSIN2
H1F0,SQOR
PRDM5,STXBP4
MLLT3,GAA
TSC22D3,RNASE6
BTG2,PACSIN2
TAF12,FUT8
NFAT5,H1F0
PRDM5,APLP2
TAF12,IFI27L2A
TAF12,SLA2
GATA2,CYBC1
MYCN,SLC28A2
TSC22D3,PRELID3B
