TF,Target
CTR9,NFAT5
YBX1,IGKC
MEF2A,NT5C3
MCM2,SLC35D3
IRF7,CDT1
XPC,CD9
EGR1,MORC3
JUN,CD74
TRIB3,GM1966
THRB,YBX1
MCM4,MYO1F
SPO11,HJURP
RBL2,HLF
LZTS1,ASB13
ZBTB20,LYN
EYA2,HACD4
PRDM5,MAPK11
H1F0,SERPINB1A
RARB,PARVG
LDB2,ANO10
HOXA9,KLF6
E2F8,HELLS
KLF8,IRGM2
JUN,TCF19
REL,MYO5A
DEK,ITPK1
E2F8,KIF23
MCM5,LRRC8C
SOX18,BC005561
SATB1,BATF2
MAML3,DUSP6
PBX1,GATA2
MAPK11,IGHM
MEF2A,CSAD
PGR,RHOF
EPOR,ANXA2
ESR1,STK10
GATA2,SLC35B4
NFIA,ARL6IP6
CENPK,SATB1
IRF7,1700017B05RIK
PRDM16,LRRFIP1
CENPK,NT5C3
NFKB1,PRKAR2B
PRDM16,KIF23
AEBP1,TRIB3
HIST1H1C,EZR
XRCC6,PPT1
DEK,RMND5A
NFIA,SNX10
TRPS1,LDHB
PRDM5,MYO1F
PHC1,AKNA
EPOR,EPSTI1
TRIB3,CDT1
SATB1,NUBP2
FOXO1,RTP4
CENPK,SGPL1
THRB,ZMIZ1
MCM2,SLC39A6
SOX6,RPA2
LDB2,ELOVL5
PBX3,STK10
RAD51,PLIN2
TCF19,MILR1
VDR,CDCA4
PRDM16,GMIP
BATF2,CAPN5
EGR1,BCL2
YBX1,INKA1
ZKSCAN4,IER3
RAD51,KLF3
ELF1,IGKC
HIST1H1C,ANXA4
EPAS1,SPNS2
SPO11,MLLT3
H1F0,PML
NDN,HJURP
IKZF1,PDE7A
EPAS1,UBE2L6
ELF1,PRDM5
EGR1,FDFT1
PRDM16,PA2G4
GATA2,RAB38
ZBTB38,NKG7
CLOCK,ZFP62
XRCC6,BIRC3
HDAC7,ASB13
NOTCH1,GMIP
ESR1,ATP2B4
MAML3,PLA2G4A
EGR1,PRPS2
RARB,MCM2
DEK,NFIA
RPS6KA5,IL27RA
KLF3,MYCT1
ELF1,MYO1G
