TF,Target
LDB2,FNDC3A
ZBTB20,SLA
KLF6,SERPINA3F
MCM6,VEGFC
EGR1,FLT3
HNRNPAB,AP1G2
CD7,SATB1
TTF2,YOD1
MCM5,PPIC
PHC1,CCDC112
CTR9,TLR7
ARID3B,IER2
KLF8,SSH2
RPS6KA5,NKG7
SPO11,ERP29
PRDM16,ENDOD1
HMGB2,FPGT
KLF6,2810468N07RIK
PBX3,SERPINB6A
ZKSCAN4,B230219D22RIK
EYA2,OSGIN1
E2F8,SMPDL3A
AEBP1,PTP4A3
XPC,NHP2
MCM6,CTPS
TCF19,BCL2
KLF3,F2RL3
ELL2,ST8SIA4
ETS1,CSAD
MCM6,ARHGEF3
REL,RPTOR
BATF2,CTNNAL1
HNF4A,OTULINL
KLF8,CRYZ
MAPK11,IFI203
EPOR,ABCD3
SPI1,FGFR1OP
MIS18BP1,IRAK3
RAD51,PROCR
TEAD2,PGM1
TTF2,MIS18BP1
CBX7,OTULINL
IRF8,TSPAN14
THRB,IRF6
ELF1,ZFP945
IRF7,HEATR5A
ANKRD6,KIF23
TSC22D3,VEZF1
HLF,AC174780.1
REL,EEPD1
HDAC7,IL1R1
NUPR1,RGS3
HIST1H1C,RHOF
LDB2,IMPACT
ANKRD6,HMGB2
MCM7,PGM1
MYC,FILIP1L
THRB,HEXA
SMARCA2,GCLM
E2F8,RASA4
NDN,CTSB
ARID3B,DUSP6
KLF3,DIP2B
NDN,IL1R1
HOXA9,RASSF2
PRDM16,RIPOR2
SPI1,IIGP1
ID1,TXNRD3
MYCN,GGT5
RUNX1T1,PRDM16
MEIS1,KIF23
PRDM5,TNS2
E2F8,ARHGEF39
MED16,ABCG2
HIST1H1C,LY9
NFKBIA,SHISA8
SOX6,POLA2
TTF2,SLCO3A1
TLE2,CDC6
IRF8,KCNK5
NAP1L3,HACD4
EPAS1,PIK3R1
NFIA,ENG
PHC1,CLIP3
KLF8,BTK
TAF12,CASP12
NDN,SEPT6
ARNTL,GSTM1
NFKBIA,CCRL2
RORC,DTL
ZBTB38,AP1S2
KLF6,PLCG2
NFE2,ALDH1A1
RARB,CTNNAL1
REL,DHFR
ZFP111,LYZ2
NFE2,DEF8
CLOCK,SYDE1
ELL2,PGLYRP2
RUNX2,UQCRFS1
ZBTB38,TAPT1
ZFP111,ARHGAP15
HDAC7,PTP4A3
TRIB3,CSGALNACT1
ZBTB20,SELL
RORA,GIMAP8
ZBTB20,IGHV1-81
TTF2,CASTOR1
KLF8,ARHGAP18
RAI14,NAPSA
CLOCK,MAP4K2
ZBTB38,SPNS3
MEF2C,OASL2
H1F0,POR
IRF6,RASAL3
MAPK11,FUT8
EPOR,PGRMC1
BATF2,RPGRIP1
EPOR,PEA15A
TEAD2,CKS1B
TLR4,HOXA9
MCM5,RPTOR
NFATC1,ARHGEF39
HIST1H1C,SLCO3A1
TLR4,MAMDC2
SLA2,UBA7
CTR9,PDGFRB
ZFP467,ZFP367
HDAC7,TSC22D3
RBL2,RIPOR2
APBB1,RGL1
ZKSCAN4,CD9
RAD51,MINDY1
ARNTL,GIMAP1
GFI1B,PLA2G4A
TLE2,EMB
MLLT3,RGL1
NFKBIA,SLC43A3
EPAS1,KLHL4
SMARCA2,SLC12A2
RUNX1T1,IGHV1-81
CTR9,MYCT1
LZTS1,E430014B02RIK
JUN,PIK3IP1
PRDM5,ABCF3
TTF2,MYC
NFKB1,ACSS1
PBX3,FSTL1
ETS1,MAML2
RUNX2,GM10384
ID1,MED16
PA2G4,SEPT8
HCFC1,TMEM206
NOTCH1,GM1966
HNRNPAB,IL1R1
LDB2,GIMAP1
KLF3,VEGFC
TLR4,E2F8
MEF2C,GORASP1
JUN,ADORA2A
SATB1,MAGED2
MYCN,GMIP
RAD51,AC174780.1
ESR1,RPTOR
CENPK,OCRL
HIST1H1C,PGLYRP2
ELL2,TRIM59
HLF,ID1
PBX1,SPO11
TLE2,HDAC7
CLOCK,GPRASP2
AEBP1,NEAT1
RARB,SLC22A3
ARNTL,ENPP4
MLLT3,PGM2L1
MAPK11,PHF8
E2F8,PITPNC1
ELF1,PRKCD
CD7,INPP5K
LZTS1,SLC16A10
NDN,TOMM70A
CBFB,ABHD17B
HNRNPAB,DDX39
ARID3B,PA2G4
LDB2,NFKBIA
MED16,ANO10
XRCC6,GNG11
MEF2C,ASB13
RUNX1T1,SLC26A11
MYC,RPTOR
TEAD2,ELOVL6
NOTCH1,FLNA
MCM7,RAG2
HLF,HNMT
LDB2,GBP9
SLA2,SLC25A53
HLF,PLBD2
THRB,ADORA2A
MED16,UBE2L6
ZFP111,TXN2
TSC22D3,SFXN1
MCM6,MYO5C
ID1,CBFB
ID1,TOM1L1
SPI1,MAML3
MED16,DPY19L3
MEF2C,RPS6KA5
GATA2,GBP5
HIST1H1C,OCRL
ID1,MYO5C
IRF7,NFAT5
REL,SSH2
CENPK,KCTD12
RARB,EIF3G
GFI1B,ARHGEF18
HMGB2,TSPAN3
NFKB1,PRKCQ
NFATC1,SLC43A3
HMGB2,FAM169B
IKZF1,ADSSL1
TLR4,ELL2
RBL2,KRT18
RAI14,ESAM
MIS18BP1,OAT
MCM2,MCTP1
KLF8,JPT1
CBFB,PDGFRB
RORA,APP
ARID3B,CCNA2
NUPR1,HASPIN
XPC,TEC
VEZF1,ZBTB20
APBB1,ZFP949
HOXA9,SPNS3
IRF6,RHOF
JUN,ATP8B4
HNRNPAB,TGM2
