TF,Target
BTG2,PHC1
BTG2,CHST15
RLIM,SOX2
DTX1,PMM1
KPNA2,GM22571
TRIM28,ZYX
FOXH1,GM7993
KLF2,CDKN1A
KLF4,ARHGAP29
HMGA1,GM15446
SMARCA2,LGALS3
ESRRB,TDGF1
TFEB,SNHG5
DNMT3B,SNORA65
PEG3,RPS27RT
SMARCA2,UHRF1
ETS1,SLC26A10
DAB2,SHKBP1
NR0B1,ENAH
PARP1,RRBP1
ETV5,TUBB4B
CBX7,GM44346
SMAD7,OBSL1
ZFP42,NFXL1
ZFPM1,THBD
JARID2,SNORA3
EPAS1,GM44390
EED,MARC2
TCEA3,CKB
EHMT2,GM26447
CCND1,P3H1
CITED2,UBQLN2
PCBD1,SH3PXD2B
KLF2,WDFY1
DNMT3B,HIST1H3H
BTG2,ZFP57
PML,SRPRB
EGR1,SHROOM3
CREB3,RBPMS2
HIST1H1D,XBP1
ELF3,SLC38A4
CREB3,MRPL23-PS1
SOX2,RBPMS2
ID2,GM12112
NFXL1,GM28900
ID2,PDK1
DTX1,HTRA1
BHLHE40,EFEMP2
POU5F1,AURKA
BHLHE40,CLDN6
TCF7L2,MIR466O
ELF3,HTRA1
ELF3,GM25680
ILK,TMEM9
NANOG,HKDC1
KLF3,GM28960
MSC,FAM102A
TCF7L2,2210409E12RIK
BMP4,OPLAH
ESRRB,AF357399
HNF1B,GM24523
JARID2,TENM4
HSPB1,ITGA3
SOX17,RESF1
SOX7,COL4A1
FOXQ1,ZYX
PCBD1,SNORA44
FOXH1,KPNA2
RUNX1,PLOD1
TAX1BP3,PLXNB2
ID2,MIR669J
AKT1,HDLBP
TFCP2L1,ZFP710
DTX1,LRPAP1
UTF1,TGM1
KLF3,MYMX
ID1,GM21860
HIST1H1D,SMAD7
RLIM,SNORD93
HMGA1,MIR3082
XBP1,CARMIL1
CBX7,GLS
KLF6,GM26073
POU5F1,CKB
EED,UBQLN2
TGIF1,LRRK1
BMP4,GM27520
MYBL2,MIR467C
TGIF1,MKRN1
HNF1B,FOXH1
PML,MSMO1
KLF3,APOE
FOXQ1,GM10182
KAT2B,TPX2
FOXH1,UPP1
UTF1,DNMT3B
HIST1H1B,KPNA2
NANOG,GM26493
DNMT3L,SRGN
KLF4,GM8818
KLF2,AQP8
SUZ12,GM27520
NR0B1,GM23639
SOX2,ME1
CITED2,STARD10
RBPJ,GM12350
CREB3L2,GM23344
HSPB1,RHOX5
CITED2,GM33051
ETV5,SNORD70
MYBL2,MSI2
KLF4,PROS1
KAT2B,SNORA31
TGIF1,MSI2
ID2,SNORD85
ZFP42,GM9531
MCM6,GM44330
EPAS1,GM22455
MCM6,GM10717
NANOG,SLC38A4
ZFP42,CHCHD10
BHLHE40,SOX2
HIST1H1B,PODXL
UTF1,LIFR
PEG3,GM27640
TGIF1,GM44450
KDM5B,GM26109
NFXL1,GM42413
SUZ12,PGA5
ID2,RPL22L1
TFCP2L1,HDLBP
BHLHE40,EPHA2
TCEA3,RENBP
SOX7,ITGA3
JARID2,GM24494
CREB3L2,CDH1
ILK,GFPT2
POU5F1,TMED2
HMGA1,LMF2
PHC1,PROS1
MYCN,GM4202
FOXQ1,IFRD1
CREB3,GM44206
PEG3,GM44170
ID1,GM44450
DAB2,PLK1
DNMT3B,CTDSPL
TFCP2L1,MYO7A
RUNX1,GATA6
GATA6,GORASP2
TRIM28,SLC6A6
KPNA2,STARD8
DAB2,GAS6
TFCP2L1,HIST1H2AL
HSPB1,GM45213
TCF7L2,HIST1H4K
RBPJ,SLC38A4
KPNA2,LRRC2
TGIF1,GM10719
CCND1,SNORA43
DAB2,BEX3
MDM2,GM24523
TFCP2L1,GM21860
ZFPM1,FGF3
GATA4,PRDX1
DNMT3B,APP
RBPJ,GM22051
KAT2B,WDFY1
PEG3,RUNX1
PARP1,SELENOW
TAX1BP3,MIR3082
RBPJ,GM37917
DTX1,STMN1
BHLHE40,SGK1
ZBTB10,RPL15-PS3
GATA6,GM43521
TRIM28,TNS4
ELF3,STMN1
TFEB,RASGRP2
NR0B1,PHC1
BTG2,EPAS1
SMAD7,PLEKHA7
KLF6,MSL3
TRP53,LAMB1
TAX1BP3,MDM2
KAT2B,TMEM144
CBX7,RLIM
BHLHE40,PRDX1
RUNX1,GM10012
NR0B1,BCAT1
EPAS1,MIR677
MDM2,GM22455
TAX1BP3,CAR2
SMAD7,RBMS1
KLF3,GM24315
ELF3,PIPOX
TCF7L2,IFITM2
RUNX1,CLIC1
PARP1,GM23245
NR0B1,SNORA62
MSC,PATJ
ILK,DPPA2
BCL3,ZFP979
ZFPM1,GM15899
KLF6,TCL1
RLIM,HSP90B1
PARP1,DKK1
KPNA2,HIST1H2BN
PHC1,ZFP532
DNMT3A,RNU73B
DAB2,GM23542
JARID2,SLCO3A1
ZFP42,GM3724
SMAD7,EIF4A-PS4
ELF3,GM44335
EPAS1,EGR1
SOX17,ANP32A
DNMT3A,TIMP2
ETV5,ZFP57
NFXL1,CSRP1
SOX17,AKT1
MDM2,LDLRAP1
TRP53,MIR28B
ZFP42,MFGE8
PEG3,MARCKS
EED,SORD
MCM6,GM44380
CREB3,MIR7003
EGR1,MIR669A-1
RBBP7,KLF6
CREB3,GM42429
NR0B1,IFRD1
PML,DNMT3L
BMP4,RBMS1
EED,GM28010
ZBTB10,SNORD85
NR0B1,LGMN
BHLHE40,SMS
MCM6,HIST1H2BF
DNMT3B,MIR763
ZFP42,MCM10
SUZ12,CUBN
KLF4,HK2
PCBD1,KDELR2
SUZ12,RBMS1
PHC1,SETX
TRIM28,GM25451
NR0B1,SOCS2
CITED2,CTSD
HIST1H1B,CSTB
DNMT3L,FZR1
DAB2,GM24339
BHLHE40,MIR1949
KDM5B,SLC7A3
DNMT3A,RPL23A-PS3
BMP4,NANOG
ID1,VILL
KDM5B,TYRO3
MDM2,F2R
SOX2,GCLM
NR0B1,GM28900
TCF7L2,CTH
TRP53,PRXL2A
GATA6,CSTB
MDM2,TXNDC12
KLF2,GASK1B
ID2,GM26109
TRP53,ASAH1
SOX17,SLC26A10
MYBL2,EMP2
ILK,BHLHE40
SMAD7,SNORA43
SOX17,PARP1
EED,SLC7A6
TAX1BP3,CFC1
SMAD7,FNDC3B
PEG3,BUB1B
KLF4,PLA2G1B
EED,TEX264
NFATC2IP,GM22468
TCF7L2,TINAGL1
GATA6,CHCHD10
DNMT3A,BCL3
KLF2,GM26060
RLIM,GM37404
FOXQ1,NUP62CL
TFCP2L1,SERPINE2
ELF3,NUSAP1
ESRRB,GM25787
KLF6,ZBTB10
SMAD7,GM43535
RBBP7,RRM2
POU5F1,SNHG5
EPAS1,EED
TFEB,SNORA31
KLF2,HIST1H2AK
DNMT3A,LGMN
MSC,GM25835
ID1,UBQLN2
TCF7L2,RLIM
SOX2,SERPING1
RBPJ,COL27A1
RBPJ,HIST1H1A
ZFP42,SNORA74A
TAX1BP3,SERPINH1
RBBP7,PRXL2A
HIST1H1B,SNORA73B
CCND1,NSD2
MSC,NUP62CL
CREB3,RPS25-PS1
HMGA1,GM25960
NANOG,2210409E12RIK
DNMT3B,SMARCA2
ID2,MYO1C
TRP53,GM23542
KAT2B,AGPAT4
CREB3,HTRA1
DNMT3A,GM25535
KLF6,GM23130
RBBP7,GM27520
CREB3,CTDSPL
ELF3,SETX
KPNA2,GM26060
ETV5,GM23288
DAB2,GM44320
EHMT2,CEMIP
POU5F1,GM24201
BMP4,PEG3
NFXL1,HMMR
MYBL2,MOV10
KDM5B,PGAM1-PS2
SOX7,SLC6A6
UTF1,MIR763
HIST1H1B,RHPN1
CREB3L2,JAM2
ID1,MRAS
TRIM28,MIR1949
NANOG,ABHD5
ID1,GM23632
CITED2,GM3788
ETS1,ANXA2
RLIM,MYO5B
MYCN,CCND2
FOXQ1,GM10925
ILK,DPP4
RUNX1,GM14567
KLF2,DUSP9
EGR1,GM27773
MCM6,GM10337
RBPJ,LY75
JARID2,ATP6V0A1
KLF4,SNORA68
ID1,RPS27RT
RLIM,SERPING1
JARID2,HIST1H3H
ZFP42,PLOD3
CBX7,GHR
EPAS1,PTH1R
DTX1,RNF157
EGR1,SNORA73B
ESRRB,PLATR14
RBBP7,NUP62CL
BHLHE40,GM14870
PCBD1,GLS
PHC1,FGF3
NFATC2IP,ZFP989
SOX17,TCL1
CREB3,GM23245
BCL3,GM17035
EPAS1,MIR186
KLF3,CCNB1
DTX1,CENPV
TRP53,CR1L
RBPJ,CTNNAL1
BMP4,MIR669K
TFEB,SNORD35B
ZFP42,RIAN
KDM5B,ZFP989
MYBL2,MIR1957A
ZBTB10,GM10052
SOX17,GM42413
SMAD7,PLOD3
ZBTB10,CALR
TFCP2L1,HSD17B14
JARID2,TDGF1
TRP53,GM10337
ZBTB10,GM26109
