TF,Target
POU5F1,RPL23A-PS3
KAT2B,RSRP1
HSPB1,SNORD85
KLF6,GM25316
UTF1,PTH1R
RBPJ,NUP62CL
RLIM,SNORD58B
SMARCA2,GM25791
PHC1,GM26917
ID1,TAX1BP3
ETS1,MIR3473F
ZFP42,HIST1H4D
KAT2B,CAR2
KDM5B,SLCO3A1
DNMT3B,PLXNB2
DTX1,TFEB
SOX7,STXBP2
SUZ12,LAMA1
GATA4,LEFTY2
DAB2,CDKN1A
KLF6,TMEM150A
RUNX1,P3H4
CCND1,GM44380
DNMT3B,ATP13A3
ZFP42,MYO1C
GATA6,BNC2
BCL3,F2R
DNMT3A,MIR669J
MYCN,F2R
CREB3,CEMIP
TFCP2L1,RAB11A
JARID2,RSRP1
MYCN,GM24616
SOX7,KDELR2
DTX1,STARD10
EHMT2,CALD1
DNMT3A,ISYNA1
ESRRB,MIR669E
ETS1,CKB
ZFP42,SLC25A5
SOX17,ENAH
FOXQ1,GM26448
BTG2,ELOVL6
ESRRB,GM42413
TRIM28,S100A6
JARID2,TRH
FOXQ1,GM43238
EHMT2,AARS
DTX1,GM22988
SMAD7,MIR3473F
ETS1,NFXL1
NFATC2IP,GM28960
UTF1,MME
MYCN,GM25787
FOXQ1,LRRC2
TFEB,MIR6928
AKT1,GHR
RBPJ,HIST1H2BL
PML,GM27743
DTX1,GM45105
ID1,CD81
ZFPM1,TAGLN2
PML,LDHB
KAT2B,HIST1H2AN
SOX2,GM26287
KLF3,GM24315
PML,EPS8
ZFP42,SNORD32A
NFATC2IP,GM26156
ELF3,BMPER
CREB3L2,GM4322
SOX7,RLIM
NFATC2IP,GM9531
TRP53,NFXL1
HSPB1,TDH
HNF1B,PRC1
DNMT3B,MFSD1
GATA4,KDM3A
PML,GM26318
CREB3,ELF3
BMP4,PFKP
ZFP42,ANP32A
ESRRB,MIR669G
EPAS1,GM8818
KDM5B,SGK1
GATA6,RBMS1
CITED2,SMS-PS
ID1,GM28010
NANOG,GM15452
TFEB,HIST1H2BF
PHC1,GM25787
MSC,SFI1
KLF3,RAB11A
CBX7,SNORD93
PHC1,FLRT3
ZFP42,NSD2
NR0B1,CKAP4
SOX2,GLDC
SOX17,GLIPR1
MDM2,LAMB1
ILK,SPSB1
ZBTB10,IFI30
GATA6,CTBP2
ELF3,ZYX
SOX7,ALPL
BTG2,CARMIL1
NANOG,LAD1
DNMT3A,SNORA81
ILK,TCEAL9
ETS1,SNORD70
NFXL1,GM43002
PEG3,SLC26A10
PML,AKR1B8
SMARCA2,GM24523
CCND1,GM21860
FOXH1,SDF2L1
AKT1,PLOD1
MDM2,GM6594
SOX2,NASP
RBPJ,GM44380
ETS1,CDC42SE2
HNF1B,MIR669B
HIST1H1D,GM6158
DAB2,GM25057
EHMT2,TRP53
EGR1,MCM10
BTG2,PNRC2
DNMT3A,GM23651
DNMT3L,COL4A1
MYBL2,GM22677
HIST1H1B,L1TD1
GATA4,GM22635
BHLHE40,FOXH1
CREB3L2,RPP25
CREB3L2,UNG
ILK,GM22411
RBPJ,LDHB
TGIF1,GLDC
NR0B1,ULK1
TRIM28,HTRA1
MYBL2,IL33
SOX7,HTRA1
KDM5B,P3H2
ZFPM1,MIR3082
RUNX1,DKC1
ESRRB,MIR669F
TGIF1,DKC1
FOXQ1,GFPT2
EED,GM25472
DNMT3A,CDC20
MCM6,ZFPM1
EED,GM24523
ID1,PLAT
ZFPM1,GM25673
PHC1,GM26229
DNMT3B,SGK1
NANOG,GPA33
BMP4,MIR669A-3
ETS1,GM22884
PEG3,BEND5
PCBD1,SNORA28
ILK,GM25263
SMARCA2,FBXO5
