TF,Target
KDM5B,MYBL2
ZFPM1,KAT6B
UTF1,SEPT1
TGIF1,SLC2A1
NFXL1,TCL1
DNMT3B,MEG3
PML,GM24201
HMGA1,PHLDB2
HIST1H1D,P3H4
SOX17,SLC6A8
ELF3,SGK1
NFXL1,GM23988
NFXL1,FST
HMGA1,KAT6B
KDM5B,GM14870
SOX7,APOBEC3
JARID2,TGIF1
TAX1BP3,HSPA5
EPAS1,RCN3
ETV5,GM26073
FOXQ1,MRPL23-PS1
KLF2,ITGA3
HIST1H1B,GM25753
SOX17,MIR677
PHC1,LEFTY2
RBPJ,GM43521
FOXQ1,RPS27RT
SOX7,POU5F1
SOX2,ITGA6
XBP1,HIST1H1A
POU5F1,GM25472
GATA6,FBLIM1
CREB3,PLA2G1B
HIST1H1B,PTPN14
HIST1H1B,PWWP3B
XBP1,GM49450
SOX2,MIR466B-4
HSPB1,GM25535
TRP53,GM26287
RBPJ,FN1
RBPJ,MT-TP
PCBD1,GM37917
DNMT3A,GM25040
MYBL2,GM27501
ETV5,MIR8094
ELF3,BCAT1
ELF3,GM25835
HIST1H1B,GM10780
PML,GM15452
GATA4,JARID2
DAB2,FGF10
TRP53,GM37784
TRP53,GM10259
UTF1,GM10184
RBPJ,FAM129B
NANOG,GM22858
ETV5,SPP1
XBP1,ABHD5
ETV5,KLF2
SOX17,MT1
NFXL1,AKR1B8
TFCP2L1,SNORD110
NR0B1,ARHGEF40
HIST1H1B,TGIF1
TFCP2L1,DNMT3A
SOX2,SNORA74A
TAX1BP3,PTH1R
TGIF1,GJB3
CREB3L2,COTL1
CCND1,GM24916
ESRRB,MEG3
ETV5,PLOD3
ESRRB,GM37376
PML,PGAM1-PS2
CREB3L2,CKB
HMGA1,SEC24D
KDM5B,LOXL2
FOXQ1,KAT6B
FOXQ1,GM26287
PHC1,HIST1H3H
GATA6,AMPD2
GATA6,FAM25C
KLF2,BEND5
KPNA2,RRM2
CCND1,TPD52
KPNA2,NFXL1
HIST1H1D,GM23344
DAB2,GM25316
DNMT3L,HIST1H4D
TAX1BP3,KPNA2
ESRRB,HIST1H2AI
ZFPM1,SPRY2
UTF1,GM22862
CREB3,GM22884
KLF2,TMEM144
JARID2,FAM25C
KDM5B,RPL15-PS3
KLF2,MAGED1
CCND1,ATP6V0A1
KDM5B,GM43521
ZFP42,GM24315
RBPJ,HIST1H2AH
CREB3,HIST1H2BG
CREB3,JARID2
GATA4,SDC4
CREB3L2,PRSS35
BCL3,PDCD4
NFXL1,GM14519
HSPB1,CCND1
GATA6,GM33051
UTF1,GM24201
ZFPM1,TINAGL1
TGIF1,ITGA3
KPNA2,MIR669J
PML,POU5F1
ZFPM1,AURKA
NFXL1,GM15459
PHC1,PSRC1
ETV5,RAB3IL1
DAB2,PCBD1
GATA6,TUBB2B
SOX7,GM14519
GATA4,RBPJ
DAB2,GM23130
UTF1,GM24761
KLF2,MEG3
UTF1,SNORD34
SOX17,PCBD1
KDM5B,FAM129B
HIST1H1D,DNMT3L
ZFPM1,SNORD70
KDM5B,HIST2H2BB
PCBD1,GM27406
KDM5B,TRP53
KLF2,NDRG1
KLF2,HIST1H2AI
NANOG,GM43535
SOX2,GM25960
TFCP2L1,ANXA2
GATA4,SRGN
KPNA2,MME
KAT2B,CCNG1
FOXQ1,SEC24D
DNMT3B,SLC7A3
TFCP2L1,GM44390
ZFPM1,GM28010
ESRRB,GM42845
XBP1,THBD
DNMT3L,TIMP2
ZFPM1,LNCENC1
EPAS1,P3H1
DNMT3A,PTH1R
ZFPM1,HS3ST1
XBP1,PDPN
HIST1H1D,TPD52
KPNA2,PDK1
KLF2,GM13597
POU5F1,GM43558
PML,TFRC
DNMT3A,GDPD5
PCBD1,AMOTL2
HSPB1,GM10259
NANOG,MIR7063
NFXL1,MIR8091
TRP53,ATP6V0A1
BHLHE40,SLC25A5
TGIF1,GM43107
EPAS1,RRM2
PML,HIST1H1D
TAX1BP3,GM24044
CREB3L2,HSPB1
NFXL1,TRH
NFXL1,MT-TP
PCBD1,BEX1
UTF1,GM14303
BHLHE40,GM24044
ETV5,BASP1
TFCP2L1,GM2399
FOXQ1,OPLAH
KAT2B,GM22862
BCL3,AMPD2
NR0B1,AQP8
NR0B1,CCN2
GATA4,MIR3473F
SOX7,GM43521
PML,SLC25A5
SOX7,SNHG5
DNMT3B,GM26156
SOX2,GM22925
DNMT3L,GDPD5
JARID2,SLC5A11
DAB2,MRAS
ZFP42,GM24497
ETV5,NSD2
ETV5,SPARC
GATA4,F3
MYBL2,PLA2G1B
BHLHE40,UBE2C
CCND1,MIR5121
MYBL2,PGAM1-PS2
DNMT3A,HIST1H2BG
RBPJ,GM13597
PCBD1,SNORD49A
PHC1,STXBP2
JARID2,POU5F1
JARID2,KPNA2
TFCP2L1,SNORD49A
NR0B1,PDGFRA
CREB3L2,TET2
EPAS1,P4HB
XBP1,GM25787
ZFPM1,GM38312
ETV5,HMCES
POU5F1,MIR669G
TAX1BP3,CREB3L2
RBPJ,MT-TF
KPNA2,MIR1949
SOX17,MYLPF
FOXQ1,MT2
CREB3L2,RCN3
TGIF1,GM25791
DNMT3B,GM25753
DNMT3A,GM44206
BCL3,TUBB2B
BCL3,HSPA5
HIST1H1D,NRG1
GATA6,HIP1
SOX17,GM28030
GATA6,GM22884
DNMT3L,GM10717
GATA6,GRB10
DNMT3B,PTPN14
DNMT3B,PWWP3B
PML,CHCHD10
XBP1,BEND5
NR0B1,GM23262
NANOG,GM24451
DNMT3B,CHST15
PCBD1,HSPB1
ZFPM1,HIST1H2BN
PCBD1,MIR7003
HMGA1,SLC7A6
TRP53,GM38312
DNMT3A,SNORD33
UTF1,GM10717
KPNA2,FGF10
PCBD1,ULK1
DNMT3A,TMEM150A
ELF3,PDGFRA
KPNA2,MT1
PHC1,GM25451
DNMT3A,MIR7063
TRP53,KHDC3
DNMT3L,GM44206
PHC1,GM23158
ZFPM1,GM26073
DAB2,GM3788
SOX17,2410141K09RIK
GATA4,UNG
EPAS1,GM27743
TAX1BP3,FN1
DNMT3A,GM24044
NFXL1,NUTF2-PS2
PEG3,HIST1H2AP
NR0B1,GM44310
ESRRB,GM28030
XBP1,MIR669A-3
DNMT3A,P3H1
CREB3L2,TDH
SOX7,HIST1H2AH
GATA4,SNORD65
CREB3L2,HIST1H1A
MYBL2,HIP1
ESRRB,GM22678
KDM5B,HIST1H2AI
TFCP2L1,APOBEC3
XBP1,GM12350
NR0B1,CRIP2
BCL3,PGAM1-PS2
TAX1BP3,GM44346
ESRRB,PRXL2A
KLF2,PML
DAB2,GM10780
BCL3,RRBP1
DAB2,KHDC3
GATA6,GM28960
BHLHE40,UPP1
EPAS1,TNS4
BHLHE40,GM44346
HIST1H1D,MIR5121
TAX1BP3,P4HA1
FOXQ1,AU018091
TFCP2L1,TCL1
TAX1BP3,MIR669G
SOX17,CHST15
JARID2,DPPA2
TAX1BP3,F3
XBP1,P3H4
PHC1,MIR5117
PEG3,FGFR3
HSPB1,ATP6V0A1
HIST1H1D,GM42429
DAB2,DNMT3A
CCND1,ADAM19
HIST1H1D,GM28439
PCBD1,SHKBP1
DNMT3A,SOX7
BHLHE40,GM26491
ETV5,KIT
SOX17,SNORD110
EPAS1,CCND1
FOXQ1,AY036118
SOX7,MAGED1
GATA4,LTBP4
ZFPM1,P4HA2
HMGA1,SPP1
NFXL1,GM12350
CREB3L2,ABHD5
BCL3,SLC26A10
KAT2B,SLC26A10
HMGA1,KLF2
KPNA2,PDGFRA
MYBL2,GM23268
PEG3,PFKP
XBP1,GM25960
SOX7,GM22091
ELF3,SLC7A3
CCND1,COL4A1
PML,GM26491
ETV5,CUBN
KDM5B,ESRRB
FOXQ1,LDHB
SOX2,RPL23A-PS3
