TF,Target
TRIM28,EMP2
SOX7,GM6594
HNF1B,GM26992
ZBTB10,MCM6
SMARCA2,KDM3A
DTX1,ZFP990
PEG3,MT-TP
SOX17,PHLDA3
TRP53,SNX2
ELF3,KLF4
EED,GHR
SOX7,GM37404
DNMT3A,GM27798
MYBL2,TEX264
MYCN,AKR1B8
TCF7L2,STARD10
RUNX1,HIST1H1A
DNMT3L,SPOCK1
ETV5,GM22988
PHC1,MIR8091
DAB2,NXF7
BMP4,KDELR3
FOXH1,ADAMTS9
HIST1H1D,TXNDC12
NFATC2IP,GM22635
RBBP7,MIR7003
KLF2,PLAUR
JARID2,MYO18A
MSC,GM22748
ESRRB,ZFYVE21
ETV5,GM47315
PEG3,GM3851
DNMT3A,GM27592
KAT2B,TYRO3
BCL3,TPX2
TCF7L2,GM25835
KLF3,CYP26A1
SOX7,SMS
TRIM28,PTH1R
PARP1,GM22620
TFCP2L1,HIST1H2AI
MDM2,GM23632
FOXH1,LRP2
KPNA2,ITPK1
EHMT2,CTSA
XBP1,GM26109
EHMT2,GM27501
MYCN,MYO5B
RBPJ,GM25316
SOX7,SNORA44
DNMT3A,TRIM2
CREB3,BCAT1
HNF1B,GCLM
TRP53,MARC2
NR0B1,NUTF2-PS2
SMARCA2,GM10012
SOX7,GM23288
MCM6,SNORA31
NR0B1,TOP2A
SMAD7,GM7993
RBBP7,HIST1H2AK
BTG2,MCM10
ETV5,BNIP3
TCF7L2,GM25316
NFATC2IP,SLC1A3
KLF3,HIRIP3
TGIF1,FGF10
PEG3,MSC
HIST1H1D,PFKP
KLF3,SLC16A1
MSC,FLNA
BTG2,GM4322
TCEA3,SLC6A6
HMGA1,AF357399
KLF3,MT2
DNMT3B,GM15247
MDM2,LAMB2
GATA6,TFEB
ELF3,CREB3
TCF7L2,GM23988
CREB3,GM43002
BTG2,SERPING1
ILK,MIR669A-3
DTX1,PLOD1
NFATC2IP,GPA33
MYBL2,RBM38
ID1,PARVA
KLF6,SNORD11
CCND1,MYLPF
DNMT3A,GM22620
RUNX1,JARID2
BMP4,ERP29
HIST1H1B,MIR3082
DNMT3A,CCND2
KLF6,GM22571
KPNA2,SRM
SOX7,SNORA73A
BMP4,GM17035
EGR1,GM23569
TFEB,GATA6
ZBTB10,GHR
AKT1,EMP2
SMAD7,CKB
MYBL2,CRELD2
RUNX1,SLC26A10
KDM5B,RNF157
RUNX1,CFC1
EED,LY6G6E
ETV5,RAB11A
HIST1H1B,GM37404
KLF2,GM22051
XBP1,MIR763
GATA6,MARCKS
ILK,DTX1
MSC,FLRT3
RBPJ,GM27326
KLF3,MIR6357
CITED2,CDC20
SOX7,HSPG2
BCL3,SERPINE2
PEG3,GM24315
ZBTB10,PML
KLF6,RAB11A
CITED2,GM25535
KAT2B,HIST1H2AC
RLIM,SLC5A11
EHMT2,GM10052
SOX7,CKB
ILK,SNORA41
CITED2,TRP53
SOX2,MIR3091
DNMT3B,MSL3
SOX7,SNORA23
NFXL1,SEC23A
DTX1,HK2
PHC1,MIR669A-2
KDM5B,GM21962
UTF1,GM17035
HSPB1,DENND2C
BHLHE40,SLC6A8
CCND1,STXBP2
CITED2,ETS1
CCND1,GM25158
BTG2,GM10925
CREB3L2,CDC20
CREB3L2,GM25535
CBX7,GM25057
TFEB,PDCD6IP
CREB3L2,TRP53
KLF4,MIR669G
GATA4,GGTA1
EHMT2,MIR291B
KLF2,CTSD
EHMT2,CHCHD10
TFEB,GOT1
MCM6,SELENOK
MSC,SAT1
ETV5,RSRP1
RBBP7,GM10052
MCM6,GM26992
CITED2,MIR669A-2
PCBD1,BCAM
SOX2,SNORD17
DAB2,PML
XBP1,PDIA6
ETS1,CCND3
PEG3,GM24761
TRP53,PLAT
MCM6,RETREG1
BTG2,GM43521
DNMT3L,RIAN
TFEB,GM25535
CREB3,MIR669H
NFXL1,GM25835
MDM2,MIR669A-1
ETV5,GGTA1
DNMT3A,IFITM3
BCL3,DNMT3A
ZFP42,MDN1
KLF3,SNORA26
MSC,GM15181
HIST1H1D,TINAGL1
TGIF1,GJA1
HMGA1,GM27520
KDM5B,GM26431
XBP1,GM23651
ZFPM1,ZFAS1
MDM2,HTRA1
PCBD1,MIR669E
ZFPM1,IGFBP2
RBPJ,PTPN14
BCL3,RBM38
KDM5B,RASGRP2
SOX7,AMFR
HIST1H1B,SNORA73A
CCND1,KLF6
BHLHE40,SLC7A5
BHLHE40,ALPL
ID2,CALR
RLIM,GNPTAB
TAX1BP3,SFI1
DAB2,GM26426
HIST1H1B,HSPG2
NANOG,SNORA65
TAX1BP3,GM15459
TFCP2L1,GGTA1
POU5F1,MIR7003
TRP53,NUP210
RLIM,MARCKS
ZBTB10,GM26387
NFXL1,ARHGEF40
ID1,NPHS1
HNF1B,FAM129B
KLF3,LRRK1
RUNX1,TCF7L2
ETV5,GNPDA1
DNMT3A,PLOD2
KPNA2,UHRF1
BHLHE40,SNHG5
SOX2,TIMP3
HIST1H1D,PARP1
JARID2,GM49369
CREB3L2,SOCS2
AKT1,NEDD4
TFEB,MIR7003
FOXQ1,DCXR
KLF4,GM43108
RUNX1,SUZ12
HNF1B,KAT6B
DNMT3A,GM12276
KAT2B,EMB
KLF3,GM10717
KDM5B,GM27326
RBBP7,RANBP17
ZFPM1,GM25117
JARID2,UCP2
HSPB1,GM43587
CITED2,DPP4
PEG3,THBD
RBBP7,GM26109
BMP4,SOX2
EGR1,HMCES
HIST1H1D,MIR5117
SOX2,GM23497
HSPB1,GM7993
NANOG,DTX1
PEG3,AHCY
TGIF1,GM22677
TGIF1,MIR1949
CREB3L2,CTSA
BHLHE40,GM24451
DAB2,LY6G6E
KDM5B,STMN1
ZFPM1,CTSD
RLIM,TENM4
XBP1,SNHG12
DNMT3A,GM22200
KLF2,SGK1
GATA6,SSR3
DAB2,GM26387
