TF,Target
NFATC1,GMFB
CBX7,RNF13
TAF12,CTR9
GATA2,IL12A
TSC22D3,TBXA2R
MEF2A,ZBTB38
MCM5,OTULINL
PML,PRPS2
NFATC1,IER3
ZBTB38,TAPT1
NFATC1,MAN2A2
JUN,SLC7A4
CTR9,IFI27L2A
NFAT5,MAP2K1
PRDM5,ZFR
MCM4,MCTP1
ZBTB38,ABHD17B
MED16,CTLA2B
NFAT5,ABHD4
JUN,RHOH
MCM4,DUSP6
ZFP467,ABI1
VEZF1,TCIRG1
NFAT5,GM20559
NFKBIA,NCEH1
MLLT3,ZFR
H1F0,PIK3CG
CTR9,BC035044
MED16,EPB41L4B
MCM2,PARP8
SLA2,CBX7
H1F0,CERS4
NOTCH1,SH2D3C
TSC22D3,BTG2
KLF10,TRPC6
CBFB,OCRL
HIST1H1C,EMID1
XPC,SH2D5
MED16,FDFT1
MED16,ICAM1
GATA2,SLC2A1
ARNTL,ARID5A
NFATC1,PECAM1
JUN,TCIRG1
EYA2,NGLY1
MED16,ADGRG3
NFAT5,NOTCH1
MCM4,UMPS
GATA2,GMFB
MLLT3,FES
MYCN,LYN
H1F0,CYP2J6
MCM4,MAGED2
CTR9,DUSP5
NOTCH1,GBP2
PRDM5,MN1
ZFP467,PLIN2
CTR9,IL15RA
CTR9,SH2D3C
MCM4,TBC1D5
CBX7,CAPN5
GATA2,RASSF2
JUN,RMND5B
MEF2A,4930555A03RIK
SLA2,SLC2A3
SATB1,MTMR6
PML,SLC44A2
NDN,PSTPIP1
EYA2,CD52
RBL2,PRELID3B
MCM4,CD274
TAF12,QARS
KLF10,ADA
NFKBIA,DPP4
H1F0,PANX1
KLF10,CD53
RBL2,ATP2B4
SLA2,SESN1
NFAT5,KIF23
MLLT3,GRINA
SLA2,MCTP1
VEZF1,SLC2A3
SLA2,WLS
ZFP467,ELOVL5
SLA2,CTSF
BTG2,RCSD1
NDN,ARHGEF18
GATA2,PYGL
ZBTB38,CTSF
MED16,S100A6
GATA2,NAPRT
CBX7,CD74
NOTCH1,F2RL3
NDN,FLT3
NFATC1,PAQR5
PRDM5,EPSTI1
MEF2A,RNF125
PML,UBL4A
ZFP467,PNO1
NFAT5,MAGED1
CTR9,GAA
ARNTL,ZFP945
TAF12,RFTN1
XRCC6,CPQ
TAF12,WFDC17
H1F0,CHRNB1
CBX7,JUN
CTR9,DPP4
MLLT3,NFATC1
SATB1,KCTD20
PML,LCK
NFATC1,EIF1AD
H1F0,IL12A
MLLT3,VAV3
IRF7,BCLAF3
MEF2A,RASSF2
PRDM5,HEXA
TAF12,HELLS
CTR9,RHOF
