TF,Target
MEF2C,MILR1
NUPR1,QARS
THRB,PLIN3
CBX7,EZR
THRB,DDX4
XPC,USP11
NUPR1,FAM76B
MEF2C,CD274
MCM4,FES
HNRNPAB,RCN2
CENPK,VAV1
KLF3,SP100
KLF3,INPP5K
YBX1,MYCT1
XRCC6,PSEN1
IRF6,GRAMD1A
KLF6,PA2G4
MCM2,RNF13
SPI1,CD69
ZBTB38,ZFP367
MAPK11,PSTPIP1
MYC,DENND1C
MAPK12,COPB1
NR3C2,ZBTB20
MAPK11,NCF1
PML,CBFB
RARB,CSGALNACT1
RUNX1T1,CSGALNACT1
NFIA,GATA2
RUNX1T1,EFTUD2
ETS1,VSIR
CLOCK,CD53
IRF8,PDE7A
NOTCH1,CSAD
ZBTB38,MYCT1
HMGB2,RORC
EPAS1,ZMYM3
RPS6KA5,MCM4
PHC1,ZBTB38
SOX6,PAQR7
NAP1L3,IKZF1
TAF12,KRT18
RORA,AMPD2
MEF2C,TRPC6
MAPK12,CTLA2B
EYA2,B4GALT4
HNF4A,PPP1R15A
EPAS1,DEF8
SLA2,ID1
NR3C2,HAAO
GATA2,OCRL
ZBTB20,RMND5B
XRCC6,HLF
PHC1,PPT1
ANKRD6,NUPR1
E2F8,PANX1
HDAC11,SLA2
MCM4,PSEN1
THRB,CTSS
MCM2,IRGM2
ARNTL,RASA4
KLF6,SLC2A3
FOXO1,OAT
H1F0,NAIP5
ZFP467,SLA
ZKSCAN4,CD200R1
CBFB,MSH6
HDAC11,ICAM1
EPOR,RASSF2
NFAT5,PECAM1
BATF2,SERPINB1A
CLOCK,FUT7
KLF3,ADSSL1
MAPK12,SERPINB1A
IRF7,RBL2
MEF2A,IFI27L2A
TRPS1,IL15RA
HLF,DPP4
HOXA9,CBX7
HDAC11,PGM1
MCM6,ZKSCAN4
KLF3,ADA
EGR1,CYBC1
GFI1B,DUSP2
FOXO1,NUP88
RARB,TCF19
PGR,RELT
BATF2,FOXO1
RUNX1T1,SCARF1
RUNX1T1,UNC93B1
E2F8,ATP2B4
PHC1,POR
KLF6,SQOR
CLOCK,CISH
NFAT5,XRCC6
MAPK11,IL1R1
PBX1,HDAC11
HDAC11,IL1R1
CD7,RNF213
HDAC7,UBL4A
TSC22D3,CYP2J6
MCM7,RELT
MCM7,SLC35D3
ELF1,KLF3
ZFP467,ZBTB20
BTG2,DENND2D
ANKRD6,MAGED2
CBFB,FAM76B
MAML3,PDZK1IP1
PA2G4,NCF1
MEIS1,ZFP111
BATF2,ZBTB38
HNF4A,SLC6A6
PBX3,UBE2L6
NFE2,TESPA1
SOX18,BC005561
SATB1,CDK17
DEK,DOCK11
REL,GIMAP5
HNF4A,HSPH1
MLLT3,METTL7A1
TTF2,SLC37A1
CBX7,YBX1
RBL2,KLF6
HIF3A,TPM4
RPS6KA5,DEF8
TRPS1,TRP53INP1
NUPR1,EYA2
SOX18,EPAS1
DACH1,PHC1
TAF12,ABCF3
CBX7,CBFB
ARNTL,FUCA2
TEAD2,EZR
MCM5,VDR
TRIB3,ZBTB20
APBB1,OAT
SMARCA2,GSN
ARNTL,PAQR7
RORC,PEAR1
FOXO1,BTK
ETS1,PACSIN2
LDB2,KCNK5
APBB1,TRIB3
MCM2,ZFP367
NOTCH1,LIG1
KLF10,PA2G4
SATB1,9030619P08RIK
PBX1,MYCT1
ID1,USP3
XRCC6,PARVG
THRB,PLIN2
KLF8,LCP2
ZKSCAN4,4833439L19RIK
MAML3,CTSS
BTG2,CTR9
ETS1,STARD4
NAP1L3,HNF4A
NAP1L3,ZBTB38
AEBP1,EFTUD2
PGR,SQLE
NFKBIA,MAN1A
NFATC1,DEF8
