TF,Target
PRDM16,HNRNPLL
PGR,PACSIN2
ARNTL,VAMP5
MCM7,ALDH1A1
ZFP467,TCF19
RPS6KA5,KRT18
RAD51,AZIN1
PML,PAFAH2
ARNTL,SQLE
ZBTB20,NFKB1
XPC,SELENOP
GFI1B,H1F0
MAML3,GMFB
PA2G4,EIF1AD
XRCC6,IGHM
HDAC11,TRMT6
RAI14,ALDH1A1
ETS1,ROBO4
MEF2C,METTL7A1
MLLT3,FCGRT
BTG2,MGAT5
REL,FUT10
TAF12,TAPT1
CENPK,MCM4
HDAC7,UBE2E2
SATB1,SLC22A3
HIST1H1C,CTSW
MYCN,ZMYM3
XPC,MCM6
MCM5,ADORA2A
TTF2,RASSF5
SMARCA2,TBXAS1
MCM5,CTNNAL1
MECOM,PLCG2
KLF3,OASL2
VDR,ART4
EGR1,HLF
SATB1,CYC1
PBX1,IFI27
PA2G4,MUC13
XRCC6,LAG3
KLF6,GUCY1A1
MCM2,CAD
ZBTB20,PLXDC2
REL,EXOC6B
EGR1,MCM5
PA2G4,CLDN12
MEF2C,ERP29
XPC,ELOVL5
RAD51,HSPA1A
PRDM16,RBM18
XRCC6,CDK1
CTR9,SLC12A6
NFATC1,ELF1
TCF19,NGLY1
PGR,WFDC17
ESR1,CD300A
TCF19,TEK
PRDM16,MPZL1
TLE2,TSPAN2
ELF1,MNDAL
TRPS1,RPA2
MCM4,CISH
HOXA9,PDE4B
NFKB1,PAQR7
MCM4,THTPA
REL,TIMM50
ZBTB38,MLLT3
RORA,MED16
MCM4,CDCA4
MLLT3,PLXNA4OS1
PA2G4,MNDAL
CBX7,SSH3
CLOCK,PIK3R1
HDAC11,PRR5
TRIB3,PAFAH2
IRF7,SMIM15
NFATC1,GM28875
RBL2,KDM7A
TSC22D3,RPTOR
XPC,GLRX5
EGR1,ZFP120
KLF10,TYROBP
MYCN,LGALS9
ZBTB38,SLC35D3
RAD51,DHFR
TLE2,PRNP
BTG2,AMPD2
PA2G4,NUBP2
HOXA9,STK17B
EGR1,MBNL3
MCM5,MC5R
MCM2,ORC6
MCM5,TMEM123
RPS6KA5,RASSF2
TTF2,GM28875
CLOCK,PDZK1IP1
GFI1B,MLLT3
