TF,Target
PRDM16,UNC119B
TLE2,RTP4
RAI14,IGHV1-82
CREB5,PDE7A
NFE2,SLC2A3
ZKSCAN4,PPIC
ID1,PQLC1
SMARCA2,LAX1
NR3C2,JCHAIN
PGR,ZBTB4
NFE2,ARHGAP27
ZBTB20,H1F0
CENPK,ANKRD33B
PML,RALGPS1
TEAD2,RIN3
PRDM5,TMEM176A
DACH1,VEGFC
TLR4,SATB1
MAPK11,TFR2
CREB5,KCNK5
RAD51,MAML3
EGR1,FCHO2
MCM7,ARNTL
XPC,NCEH1
SATB1,IGHV1-77
ID1,HCFC2
E2F8,LHCGR
REL,SLC16A11
VDR,GNG2
ZKSCAN4,RHOF
TSC22D3,MYO1G
DACH1,HACD4
TTF2,H2AFX
PBX3,VMAC
RORC,HNF4A
VDR,SQOR
NR3C2,RNF38
AEBP1,MIS18BP1
PHC1,ARHGAP15
EYA2,VSIR
VDR,ITGB5
MEF2C,ZFP157
PGR,LSP1
SOX6,NUCB2
SATB1,FGD2
GATA2,ITGA5
KLF10,MCM5
RAI14,HEBP1
CENPK,DNTT
ARID3B,SLC22A18
FOXO1,GM973
KLF8,UBE2L6
MAPK11,MUC13
VEZF1,IL17RA
VEZF1,XRCC6
IRF7,PHF8
PA2G4,E2F8
RARB,AKNA
MECOM,RRAS
VDR,IRAK3
ZKSCAN4,PCLAF
SMARCA2,HNMT
PRDM16,SLFN2
CREB5,MAP2K1
VDR,FAAH
HDAC7,RAB27B
MCM6,9030619P08RIK
APBB1,ANO10
RAI14,EPB41L3
NFATC1,CENPE
SLA2,NCKAP1L
MAPK12,PARVG
CBX7,TINAGL1
MCM5,ARHGAP27
HLF,LY6A
ZBTB20,IRF6
MAPK12,DHRS3
MYCN,MAD2L1
TRIB3,OSGIN1
ELL2,PRODH
VDR,PPCDC
CREB5,FLNA
IRF6,MPZL1
PGR,VDR
SLA2,FPGT
HDAC7,RRAS
PBX3,RAD51
FOXO1,EEPD1
THRB,ELMO3
HNF4A,STAM2
MLLT3,SLC18A2
CTR9,PRMT9
TLE2,HNMT
RUNX2,ENPP5
MED16,F630028O10RIK
ZBTB38,TMOD3
PHC1,NUBP2
ZFP111,SERPINB6A
MAML3,TXNRD3
E2F8,SLC12A2
NR3C2,PDE4B
PA2G4,NUP93
BTG2,CASP12
LDB2,KIF20B
HLF,GMNN
PML,EEPD1
VDR,IFI206
HDAC7,EVI2A
NFATC1,TBXAS1
PRDM16,TFEC
DACH1,ARFGEF2
MCM4,ITGB7
EPOR,FOXO1
THRB,TACC3
NFAT5,ITGB5
ID1,CDK18
ZKSCAN4,ADORA2A
FOXO1,SLA
HNRNPAB,HNRNPLL
ESR1,CST7
RUNX2,ME2
IRF7,DUSP6
PA2G4,GM5111
HIST1H1C,EMID1
THRB,MMP2
BATF2,UMPS
ARNTL,PDE12
PBX1,GSN
KLF6,PA2G4
ID1,XRCC6
PRDM16,FAM110C
ANKRD6,GM28875
RUNX1T1,SLC43A3
THRB,GPR160
NFATC1,DHRS3
PBX3,DENND2D
MCM2,GSN
ZBTB38,DPP4
NFATC1,KLHL4
RAI14,AFDN
PRDM16,CBX7
TEAD2,RBL2
RAD51,NAP1L3
IRF8,SAT1
ELF1,B4GALT4
HDAC7,PLCB2
CLOCK,TAF12
RUNX2,THRB
RBL2,TAPT1
PA2G4,LGALS3BP
NFIA,CDCA4
KLF6,SELENBP1
CD7,NGLY1
ARNTL,TRIQK
HIST1H1C,KLF8
EYA2,FSTL1
NFE2,IL7R
HNRNPAB,PLIN3
HIST1H1C,CTTN
MAPK12,KAZALD1
HDAC11,PLSCR4
LDB2,SCARF1
ZFP111,AFDN
DEK,PQLC1
GFI1B,TEK
EGR1,SELPLG
MCM7,VAMP1
KLF3,CLDN12
CBX7,NECAP2
MCM2,GPSM1
HDAC11,SAMSN1
NR3C2,FLNA
SOX6,EZR
NFE2,SAMSN1
THRB,IGHV1-81
EPOR,NECAP2
SOX6,FIGNL1
MCM6,MPRIP
SOX6,LDB2
TRPS1,ARRDC4
AEBP1,B4GALT4
MAPK11,GBP5
IRF6,E430014B02RIK
TCF19,SLC2A3
DACH1,D630039A03RIK
NR3C2,EPB41L4B
HDAC7,RP2
EPOR,TTF2
NAP1L3,NAGA
NFKBIA,CAV2
EYA2,MAP3K2
MAML3,MCTP2
RARB,ORC6
EPAS1,ARHGAP18
THRB,CKAP2
RPS6KA5,GLRX5
HMGB2,ITGB7
MIS18BP1,HK3
MCM7,TYROBP
MEF2A,TNFAIP2
HIF3A,CAD
EPOR,DUSP5
NFKB1,SGMS1
SMARCA2,RAB11FIP3
APBB1,CTSW
ZFP467,GBP5
ZKSCAN4,PDIA4
ZFP111,FGGY
PHC1,SLC2A3
PRDM5,CAD
XPC,JPT1
