TF,Target
DACH1,CLOCK
TRPS1,CAD
NFKB1,CTSB
KLF6,MILR1
MEF2C,SNX30
SATB1,WDSUB1
PBX1,POLD1
VDR,NEAT1
AKAP8L,ECT2
REL,RASSF5
NFAT5,EPSTI1
CLOCK,TMEM65
TFEC,CYC1
EGR1,TMEM184C
PRDM5,HID1
GFI1B,HDAC11
PBX1,CIPC
IKZF1,NFKB1
ARNTL,TIMM50
EGR1,F2RL3
AKNA,SELPLG
ETS1,EPB41L3
DACH1,GATA2
IKZF1,LY6A
MYC,RAI14
NFATC1,ACOX1
HOXA9,BC035044
DACH1,KLF6
SP100,AP1S2
PA2G4,MSMO1
RUNX2,CTSH
NFATC1,TK1
GFI1B,B230219D22RIK
CENPA,GYPC
HOXA9,PCLAF
IRF6,BDH2
ZBTB38,CYTH3
PRDM5,MCM6
KLF10,ARHGEF3
MECOM,EIF2S1
PBX1,2810468N07RIK
AKAP8L,YBX3
DACH1,IL17RA
HNF4A,IL27RA
ZBTB4,H2-AA
DACH1,TES
BAZ2B,TMEM173
BAZ2B,TOP2A
HNF4A,CCL4
NFKB1,SYNRG
TFEC,ITPK1
YBX3,CTNNAL1
CLOCK,FHL1
NFKB1,VDR
DACH1,PNO1
AKNA,CD69
ELF1,HAT1
IRF8,PGM1
ZFP62,RASA4
CENPA,FAM76B
SATB1,KLF6
SPI1,UNC119B
GATA2,SMPDL3A
TFEC,PIP4K2A
NFKB1,LGALS3BP
VDR,RAB38
ZFP62,SGCE
RUNX2,CKAP5
ARNTL,RGS2
CENPA,HELLS
IRF7,SLC26A11
CLOCK,GIMAP1OS
EGR1,ART4
HOXA9,APLP2
SATB1,SLC35D3
TRPS1,RNF141
SATB1,TIPIN
PGR,NT5C3
IKZF1,GALM
EGR1,CSF3R
IKZF1,TMEM206
ZBTB4,TOP3B
AKNA,XRCC6
PBX1,PLBD2
IRF8,DUT
CLOCK,RMND5B
RUNX2,ARL8B
PRDM16,CENPK
IRF8,GIMAP8
CENPA,ARHGAP27
AKAP8L,MYO1F
VEZF1,RAB27B
EGR1,SYTL4
CENPA,DPP4
PRDM16,GP9
SP100,ARHGAP15
PRDM16,GM4759
GATA2,KCNK5
MECOM,TXNRD3
KLF3,ZFP157
TFEC,ABCG3
JUN,GALM
GATA2,IL18BP
NFAT5,CDKN1C
MYC,MAML3
YBX3,VEZF1
EGR1,KLF6
IRF6,STAM2
GFI1B,KCNK5
SPI1,MPL
MYC,FCHO2
GFI1B,INSL6
SP100,MPO
MYCN,ABHD4
ESR1,MGAT1
JUN,PRMT2
ZBTB38,ENPP4
NFATC1,LAG3
NFAT5,THTPA
IRF8,BC035044
HOXA9,FRRS1
MECOM,CDKN1C
SPI1,PHF5A
MYCN,D930016D06RIK
IRF6,ME2
RORA,TOMM22
KLF3,SELENBP1
ZBTB20,GPSM1
ARID5A,PLPPR3
KLF3,SEMA3D
NFKB1,ZFP53
MEF2A,EIF3A
MYC,SEPT8
NFATC1,ARRDC4
VDR,H2-AA
TRPS1,AMPD2
ZBTB4,IDH1
BAZ2B,RTP4
AKAP8L,IGHV1-81
IRF8,SEC14L1
ELF1,MCM4
CENPA,BC005561
ELF1,CDK18
ELF1,CTSS
KLF6,KIF22
ARID5A,PCNA
ETS1,ROBO4
CENPA,SERPINF1
VDR,RAD51
TRPS1,ZNRF2
AKAP8L,SDC1
HOXA9,CBFB
VDR,GNG11
ELF1,RPTOR
SATB1,H2AFX
RORA,KCNK5
DACH1,HNMT
MYC,CD300A
TFEC,MGAT1
VDR,FADS1
NFAT5,AFF3
HLF,SLC7A4
IRF8,S100A6
BAZ2B,NFKBIA
HOXA9,ZFP62
RORA,PGM1
KLF3,ELF1
MYC,KIF22
YBX3,SEMA3D
HLF,DENND1C
ZFP62,GM8995
IRF6,AMPD2
EGR1,MGAT1
HNF4A,TPM4
BAZ2B,ADSSL1
ZFP62,MYO1F
IRF7,LRRC8C
KLF10,CD34
PBX1,CTPS
ZBTB38,NCEH1
NFKB1,FADS1
PA2G4,ITPR1
JUN,PRKCH
VDR,PGM2L1
ZBTB38,BTG2
IKZF1,CD44
AKNA,TGFBR1
AKNA,UBASH3A
MEF2C,MCM7
MEF2C,DENND1C
IRF6,GIMAP5
MYCN,SSH2
GFI1B,IL4RA
IRF8,TK1
CLOCK,DOK2
YBX3,IL15RA
MYCN,CD9
IRF7,N4BP3
SP100,STAM2
AKAP8L,TCF19
VDR,ABCG3
ETS1,CTSB
SP100,UBASH3A
ELF1,UBASH3A
VDR,MAPKAPK3
ZFP62,CD33
GATA2,DEF8
VDR,BIRC3
IKZF1,KCNK5
ESR1,ANXA4
HLF,IKZF1
ZBTB4,AKNA
TRPS1,SNAP23
NFKB1,DUSP1
GATA2,ASB13
GFI1B,GP9
KLF6,RAB27B
ARID5A,GPSM1
CLOCK,TGTP1
PA2G4,SLC35A5
PBX1,SNN
IRF6,TNFRSF13B
NFKB1,IFI203
PGR,CD300A
AKAP8L,GORASP1
JUN,GM7694
NFAT5,CTSL
KLF6,SEC14L1
PRDM16,ZFP367
IKZF1,SLA2
NFAT5,ELOVL6
AKAP8L,ZC2HC1A
VEZF1,CD69
ETS1,N4BP3
SPI1,HAAO
CLOCK,PDGFRB
MEF2C,THBS1
IRF8,TRPV2
CENPA,CDK17
AKNA,UBA7
MYC,PRNP
KLF6,VAV1
HNF4A,CD53
DACH1,TMEM173
JUN,TRPS1
ZBTB20,IL17RE
KLF6,APLP2
SATB1,IGFBP4
PRDM16,ASNS
NFAT5,DUSP2
CLOCK,4833439L19RIK
VEZF1,PRNP
DACH1,ESAM
CENPA,BTG2
KLF3,NFKB1
NFKB1,ARL11
ARID5A,IRF6
HNF4A,GPRASP1
EGR1,MYLK
HLF,SLC37A1
CENPA,TOP3B
MYCN,DPP4
HLF,CDCA8
IRF8,PLA2G4A
EGR1,TMEM246
YBX3,BLVRB
ZBTB4,CKAP5
PGR,ICAM1
MYCN,SEPT6
SATB1,TOP2A
SATB1,LY9
MYC,ZDHHC17
PRDM5,NPR2
ELF1,PPP1R15A
IKZF1,RPS6KA5
MYC,EFTUD2
PGR,PHF5A
KLF3,GRINA
IRF8,AFF3
PBX1,FBXO30
ETS1,OAS2
CLOCK,GORASP1
KLF10,MMRN1
IRF8,MAN2A2
IKZF1,CENPA
GATA2,NUP88
MYCN,PLCG2
KLF3,ST8SIA4
IKZF1,GBP7
SPI1,ALDOC
ZBTB4,ALS2CL
VDR,H2AFX
PGR,TRP53BP2
ZBTB4,PBX1
GFI1B,TM6SF1
EGR1,ALS2CL
ETS1,NFKBIA
NFATC1,GBP7
MEF2A,FCGRT
NFATC1,LRRC8C
MEF2A,IRF8
VEZF1,SLFN10-PS
VDR,TSPAN3
PRDM5,KLF6
SP100,SELENBP1
MEF2C,SHISA8
REL,EMID1
VDR,DNTT
ARID5A,CNN3
RUNX2,SSTR2
JUN,GBP9
SP100,IRF7
MECOM,CYBC1
MEF2A,PLEK
ZBTB38,PDE7A
GATA2,4833439L19RIK
DACH1,C1QTNF12
IRF8,HNRNPLL
KLF10,FLT3
MECOM,HDAC7
BAZ2B,H1F0
RORA,ANXA2
SP100,SCARF1
SATB1,CSF2RB
TFEC,CCNA2
