TF,Target
ARID3B,NUBP2
IRF6,RHOF
MYC,FILIP1L
CTR9,TLR7
NDN,IL1R1
HNRNPAB,TGM2
MYC,ELANE
LDB2,TSPAN3
JUN,F2R
KLF8,TEX10
YBX1,RGL1
RAI14,UBA7
EGR1,ATP2B4
KLF6,UBL4A
ANKRD6,GM4951
IRF7,ATAD2
IRF8,UBL4A
KLF3,VEGFC
HNRNPAB,RORA
CD7,AFF3
ESR1,THBS1
DEK,MAN2A2
RARB,SLC22A3
MECOM,MYO1F
HOXA9,RASSF2
ZKSCAN4,B230219D22RIK
NUPR1,RGS3
ZFP467,GCNT1
HLF,ID1
TTF2,NDN
KLF3,DIP2B
NFATC1,SLC43A3
SOX6,LONP2
SLA2,UBA7
KLF8,SSH2
XRCC6,MTMR6
NFATC1,FGFR1OP
NAP1L3,EPB41L4B
PBX1,PLD4
MYC,ITGB2
TAF12,RAG2
HNRNPAB,DDX39
E2F8,ARID5A
MCM4,LYN
MEF2A,FTX
ZBTB38,TAPT1
ZBTB20,SELL
HMGB2,TSPAN6
EGR1,FLNA
PA2G4,KLF6
ZFP111,LYZ2
NFKB1,PRKCQ
LDB2,NFKBIA
CENPK,OCRL
EPOR,PEA15A
NFIA,ENG
MAPK12,MAP3K2
TLR4,MAMDC2
RARB,SLC28A2
E2F8,NAV1
HLF,AC174780.1
NAP1L3,HSD3B7
PBX1,HDGFL3
NDN,EPOR
ARID3B,IER2
TLE2,TMEM33
XRCC6,GNG11
HLF,HNMT
MAPK11,C1RL
GATA2,GBP5
TRPS1,SLC2A1
PML,ENG
IRF8,TSPAN14
HNRNPAB,IL1R1
RAD51,CD7
XRCC6,PYGM
TTF2,RHOF
CENPK,SFXN1
YBX1,STARD4
MAML3,VDR
NUPR1,PCLAF
MYCN,GMIP
ZBTB38,KPNA3
H1F0,TFEC
GFI1B,AFDN
MED16,ANO10
MEF2A,FLNA
TLE2,HDAC7
RAI14,GP9
ID1,CBFB
HLF,NDST2
NFAT5,HLF
PBX3,FSTL1
TTF2,SLCO3A1
CREB5,TMEM176A
SPI1,FGFR1OP
LZTS1,P2RX1
THRB,SERPINB6A
EPAS1,ZNRF2
ZBTB20,SLA
THRB,PTP4A3
SPI1,MAML3
NFKB1,RASSF2
NFKBIA,HJURP
NOTCH1,ABHD4
KLF8,H2-DMB2
HCFC1,RUBCNL
PGR,ALS2CL
FOXO1,PAG1
AEBP1,PTP4A3
RBL2,RIPOR2
CENPK,RNF114
CBFB,PYGM
E2F8,RASA4
ARNTL,HAT1
ZFP111,TXN2
VEZF1,ADORA2A
EPAS1,ZBTB20
PRDM5,ABCF3
ZFP111,ANXA4
SOX18,RASAL3
EGR1,PTTG1IP
LZTS1,PA2G4
SOX6,POLA2
EPAS1,SELENBP1
NAP1L3,NUBP2
MEF2C,RPS6KA5
ID1,TXNRD3
RARB,CTNNAL1
ELF1,ZFP945
KLF8,CRYZ
EGR1,MCM4
MIS18BP1,SOCS2
E2F8,MPZL1
TRPS1,RGS2
RUNX2,INSL6
TCF19,PKIB
SPO11,CCNG2
GATA2,CD200R1
NUPR1,RGCC
HDAC7,TM6SF1
ZBTB20,IGHV1-81
ELF1,TIPIN
MYC,RPTOR
PBX3,KLF10
ARID3B,PLXNC1
IRF8,KCNK5
THRB,IRF6
ID1,PIRB
ID1,TOM1L1
E2F8,SMPDL3A
LZTS1,SLC16A10
HMGB2,TSPAN3
NOTCH1,ME2
NR3C2,EEPD1
IKZF1,ADSSL1
LZTS1,RAMP1
HDAC7,STK10
MCM6,PLSCR4
HCFC1,TMEM206
ID1,HDAC7
RARB,E430014B02RIK
HNF4A,PLCG2
APBB1,ZFP949
RPS6KA5,TFR2
ANKRD6,F2RL3
MEIS1,4930555A03RIK
XPC,CDC7
MCM6,PLBD2
RUNX1T1,SLC26A11
KLF10,FUT8
SPO11,TCF19
IRF6,LHCGR
EYA2,OSGIN1
SPI1,IIGP1
IRF6,RASAL3
ZFP111,SLC37A1
NFE2,KDM7A
PBX3,STAM2
BTG2,LY9
CD7,SATB1
HNRNPAB,AP1G2
MAPK11,FUT8
DEK,SLC2A1
TLR4,PRDM16
MYC,EIF2S1
CBFB,BLNK
NAP1L3,HACD4
NDN,SEPT6
HDAC11,MGAT1
TEAD2,PGM1
NOTCH1,SNX10
PRDM16,ANO10
KLF3,F2RL3
VDR,FKBP9
RAD51,PROCR
NAP1L3,MYLK
E2F8,ARHGEF39
EYA2,SEPT8
RUNX2,UQCRFS1
HMGB2,FPGT
MIS18BP1,OAT
MYC,PRDM5
MYCN,GGT5
HIST1H1C,CDCA5
TLR4,PRIM1
THRB,LDLR
ZBTB38,AP1S2
MCM6,MYO5C
GFI1B,ARHGEF18
RORA,HDAC7
RAD51,MINDY1
ARNTL,GSTM1
HDAC7,IL1R1
LZTS1,PBX3
KLF8,TBC1D5
KLF8,BTK
LZTS1,SLC25A37
IRF7,NFAT5
MAPK12,OAT
PML,BLNK
VDR,ELANE
TSC22D3,CFP
TCF19,BCL2
HNF4A,ARHGAP18
KLF8,ARHGAP18
VEZF1,NAGA
EGR1,FLT3
PBX1,SPO11
MEF2C,OASL2
EYA2,STRAP
MCM4,AZIN1
EPOR,TYMS
SLA2,2810468N07RIK
HIST1H1C,RHOF
KLF3,LACTB
TRIB3,CSGALNACT1
MCM7,MYC
TAF12,CASP12
RORA,PDE4B
