TF,Target
ID2,MRAS
KLF2,HIST1H2AK
BTG2,MIR8091
TGIF1,GM44450
DAB2,GAS6
JARID2,SPRY4
DAB2,PLK1
ZFP42,ARHGAP29
KLF4,SNORA68
KLF3,CCNB1
DAB2,CCND1
DNMT3B,MIR763
EPAS1,EED
SOX17,RESF1
MYBL2,EMP2
PCBD1,TUBB6
TGIF1,LRRK1
RBBP7,CDCA7
PEG3,RPS27RT
JARID2,TDH
DNMT3B,SNORA65
HIST1H1B,PODXL
EPAS1,MIR186
EED,P4HB
FOXH1,CRELD2
ID2,GM26109
TGIF1,LNCENC1
DTX1,LRPAP1
RBBP7,RRM2
KLF3,GM28960
PARP1,SELENOW
UTF1,TGM1
SMAD7,FNDC3B
ELF3,LNCENC1
KPNA2,HIST1H2BN
TCF7L2,SNHG3
AKT1,FN1
FOXH1,UPP1
PCBD1,PLSCR1
TFCP2L1,GM21860
KLF6,MIR669A-1
ZFP42,SNORA74A
TFEB,SNORA31
RBPJ,HIST1H1A
TFCP2L1,HDLBP
EGR1,MIR669A-1
CCND1,HSPH1
BHLHE40,GM22858
KLF2,PLATR14
RBPJ,GM22051
SOX2,MIR669A-1
ELF3,PIPOX
TRP53,GM14303
EGR1,ME1
EED,UBQLN2
UTF1,SPSB1
EPAS1,GM44390
NR0B1,ENAH
DNMT3A,TIMP2
SOX2,ME1
ID1,UBQLN2
CREB3,CTDSPL
NANOG,HKDC1
TRIM28,TNS4
ILK,GFPT2
MSC,PATJ
JARID2,MFSD1
UTF1,SNHG3
SMAD7,EIF4A-PS4
SOX7,COL4A1
XBP1,RNPEP
DNMT3A,GM24455
BMP4,RBMS1
RUNX1,SNORD65
POU5F1,CKB
TRP53,GM23542
ZFP42,CHCHD10
HMGA1,GM25960
KLF3,PATJ
RBPJ,CTNNAL1
KLF2,GM26060
ZBTB10,SNORD85
TCF7L2,MIR466O
HIST1H1B,KPNA2
BTG2,HIST1H2AI
ZBTB10,GM27743
DTX1,HTRA1
ZFPM1,SRM
GATA6,SNURF
SOX2,ENAH
SOX7,NDRG4
HIST1H1B,GM25451
KAT2B,TPX2
RBPJ,GM12350
HSPB1,XBP1
NFXL1,GM28900
MDM2,LDLRAP1
RUNX1,CLIC1
ZBTB10,SOAT1
DNMT3L,MARCKS
HIST1H1B,RHPN1
HSPB1,GM45213
TRP53,MCM6
EED,TEX264
SOX2,GM27743
EPAS1,GM22455
RLIM,HSP90B1
BHLHE40,SMS
GATA6,ZFP989
KLF2,LAMA1
DAB2,SPARC
KLF6,GM26073
CREB3L2,MIR1949
KDM5B,XBP1
ESRRB,TDGF1
RBBP7,PRXL2A
EHMT2,SPOCK1
CITED2,ALPL
EPAS1,PTH1R
SMAD7,RBMS1
MYCN,GM4202
ELF3,ACTG1
BHLHE40,GM14870
MSC,HSD17B14
RBBP7,GM5616
ID1,GM23632
RLIM,GM37404
ID2,PDK1
KLF6,MSL3
KLF3,MYMX
MCM6,HIST1H2BF
HIST1H1D,CCNB1
BCL3,PIK3R1
ILK,KDELR3
PCBD1,DDX21
SMAD7,SNORA43
PHC1,DDX21
FOXQ1,PMM1
MCM6,KPNA2
PML,GM22411
GATA4,GM22678
TCF7L2,RLIM
CREB3L2,TUBB6
KLF4,GM43521
RBBP7,GM26229
KLF3,GM44380
DAB2,GM44320
ILK,DPP4
BHLHE40,PRDX1
PARP1,GM23542
CBX7,GLS
EGR1,MIR669E
TRP53,CR1L
ZFP42,MCM10
UTF1,MIR763
CITED2,CTSD
SOX2,SERPING1
ZBTB10,CALR
PEG3,GM20721
MDM2,LY75
ZFP42,PLOD3
RBBP7,ETS1
MCM6,HIST1H4D
MYBL2,MIR467C
TRP53,MT-TP
HIST1H1B,ATP13A3
BTG2,GM3851
TRIM28,MIR1949
EED,SORD
ELF3,GM3851
DNMT3B,SMARCA2
BHLHE40,CLDN6
TRIM28,SLC6A6
BMP4,NANOG
NR0B1,SNORA62
JARID2,ATP6V0A1
KLF3,P4HA2
GATA6,CSTB
ETV5,SNORD70
RBPJ,PATJ
MYBL2,MSI2
KLF6,ZBTB10
DNMT3L,LAMA5
SOX17,TCL1
HSPB1,GM25835
SOX17,GM42413
BTG2,SPP1
MSC,NUP62CL
EGR1,SPINK1
AKT1,GM22988
RBBP7,GM27520
RBPJ,ATP13A3
HIST1H1B,CSTB
ILK,TMEM9
KAT2B,GM22166
JARID2,TENM4
TAX1BP3,CAR2
ZFP42,GM9385
POU5F1,SNORD72
KLF2,DUSP9
NFATC2IP,PNP
TFEB,SNORD35B
EED,KRTCAP2
PML,SRPRB
UTF1,MYBL2
TCEA3,CKB
HIST1H1B,SNORA73B
MYCN,CDC20
SMAD7,GM43535
BTG2,GM25040
XBP1,SMS
CREB3,AURKA
POU5F1,CSRP1
KDM5B,FKBP11
POU5F1,GM24201
NFXL1,HNF1B
KPNA2,GM22571
HIST1H1B,GM26109
ETV5,THBD
BHLHE40,GLDC
KLF4,ARHGAP29
RBBP7,CHST15
HIST1H1D,SMAD7
NANOG,SLC38A4
FOXH1,CCNE1
SMARCA2,DNAJC10
PEG3,GM44170
CREB3,GM23245
DNMT3A,RNU73B
NANOG,GM26493
DTX1,RNF157
MCM6,GM10717
SOX7,TCF7L2
NR0B1,PHC1
TCF7L2,HIST1H4K
SMAD7,PLEKHA7
KLF3,GM8818
PEG3,WDR1
TCEA3,RENBP
DAB2,GM26229
POU5F1,TMED2
HNF1B,LIFR
TAX1BP3,MDM2
AKT1,TNS4
SOX17,PARP1
PARP1,SNORD17
FOXH1,SOX2
KPNA2,FAM129B
GATA4,FN1
CREB3,RPS25-PS1
HMGA1,SNORA65
SOX17,ANP32A
AKT1,LAMA1
MDM2,F2R
HSPB1,CLCN5
DNMT3A,S100A6
ETS1,GLDC
ID1,NR0B1
POU5F1,CLCN5
KDM5B,PGAM1-PS2
MDM2,UNG
NR0B1,SOCS2
CREB3L2,JAM2
DNMT3A,RPL23A-PS3
FOXQ1,NUP62CL
PARP1,HIST1H3H
RLIM,GM25263
SOX17,SLC26A10
SUZ12,GM27520
MYBL2,GM25057
EPAS1,EGR1
PEG3,MARCKS
DNMT3B,RRAS2
DNMT3L,TCEA3
ID2,SH3PXD2B
SOX7,SLC6A6
FOXH1,GGTA1
KLF6,GM26491
SMARCA2,SNORD65
BHLHE40,TUBB2B
ELF3,HTRA1
EHMT2,CEMIP
GATA6,GM43521
ETV5,ARIH2
BTG2,EPAS1
PEG3,KDELR2
RBBP7,KLF6
ELF3,GCLM
ELF3,ITGA3
ETS1,ANXA2
MYBL2,MIR1957A
MYCN,GM23566
TGIF1,NXF7
POU5F1,GM43108
ESRRB,GM25787
DNMT3L,GM25040
DNMT3A,LGMN
RBBP7,NUP62CL
CITED2,UBQLN2
RLIM,MYO5B
MYCN,MIR467C
TCEA3,ZFP710
KLF3,GM24315
MYCN,SNORD65
DNMT3L,FZR1
TCEA3,SMS-PS
ZFPM1,MAGED1
DNMT3A,GM25535
CREB3,MRPL23-PS1
RBBP7,GM10259
POU5F1,AURKA
FOXH1,PTPN14
EGR1,FAM102A
ID1,CDC20
KLF4,PROS1
MCM6,GM10337
RLIM,SERPING1
PEG3,BUB1B
KAT2B,TMEM144
TFEB,RASGRP2
PARP1,RRBP1
DNMT3L,SRGN
CBX7,HIST1H2AN
KDM5B,AY036118
JARID2,TDGF1
ILK,ZFP532
PHC1,P3H4
DAB2,GM24523
KPNA2,GM26060
SOX7,EHD1
TFCP2L1,FRMD4A
SUZ12,PGA5
CBX7,PLAUR
BHLHE40,EPHA2
SUZ12,SNORA62
NR0B1,GM23639
NR0B1,DAB2
HSPB1,KLB
MSC,GM25835
BMP4,PEG3
KDM5B,AQP3
TRIM28,CDCA7
PML,DNMT3L
RBPJ,LY75
RLIM,COBL
TGIF1,GM10719
FOXH1,CST3
ILK,FRRS1
ETS1,SLC26A10
ELF3,SLC38A4
AKT1,ELF3
MYBL2,MOV10
