TF,Target
GATA6,GM14870
TGIF1,ZFPM1
EPAS1,RHOX5
DNMT3B,RAB11A
KPNA2,FDPS
SOX2,HMGA1B
HMGA1,NDRG1
FOXQ1,DPPA4
BHLHE40,GM24289
CREB3L2,SDC4
ZFPM1,GM29397
TRP53,GM23413
EPAS1,CALU
PCBD1,GM44390
RBPJ,HSPA5
KAT2B,TFCP2L1
JARID2,LNCENC1
TAX1BP3,PHC1
SOX2,TDH
DNMT3L,GM27406
EPAS1,MYBL2
NANOG,JAM2
SOX17,RNU73B
TRP53,TAX1BP3
DNMT3L,PLK1
HMGA1,SNORA81
DNMT3B,MIR466O
ESRRB,GM15452
ESRRB,MIR5121
ZFP42,OPLAH
JARID2,AU018091
KPNA2,HIST1H3I
KDM5B,FAM234A
BCL3,CREB3L2
HIST1H1B,RPL15-PS3
HMGA1,GM6136
NANOG,OPLAH
HMGA1,CALU
NANOG,PDCD4
KDM5B,SNORA74A
KLF2,GM25943
DAB2,GM25535
TAX1BP3,MIR466B-4
CREB3,CTSZ
HIST1H1B,TYRO3
HSPB1,ZFP989
KLF2,RRM2
PEG3,DPP4
RBPJ,GM44335
NANOG,LAMB1
DAB2,CAR2
ESRRB,CTSL
ZFPM1,ERP29
KPNA2,GM21962
ZFP42,DKC1
POU5F1,GM42429
CREB3,BCL3
HMGA1,GM26156
GATA6,LRPAP1
PCBD1,MARC2
CCND1,DUSP9
JARID2,SPP1
DNMT3B,APOBEC3
BHLHE40,AY036118
POU5F1,MT-TF
RBPJ,MEG3
HSPB1,GM24761
ZFP42,GLIPR2
ETV5,SNORD65
HIST1H1D,SRGN
PHC1,MYBL2
TAX1BP3,SNORD70
HMGA1,GM43535
GATA6,AU018091
POU5F1,HIST1H2AF
XBP1,GM43521
JARID2,GM25673
PEG3,FGFR3
PHC1,NFXL1
PML,PHLDA3
TFCP2L1,DPPA4
NR0B1,SRGN
CREB3L2,GM13597
BHLHE40,MIR7005
DNMT3L,HKDC1
MYBL2,MEG3
PEG3,SERPINE2
PEG3,GM24494
GATA6,SNORD32A
SOX17,DNMT3L
NR0B1,MARC2
HMGA1,DAB2
UTF1,GM28030
GATA6,FGF4
CCND1,IFITM3
MYBL2,COL27A1
PML,NUP210
PEG3,SLC26A10
DAB2,GM25835
SOX17,TDH
HSPB1,RPL22L1
KDM5B,TPD52
CREB3,CDC20
ESRRB,FGFR3
DNMT3A,NUTF2-PS2
CCND1,LRPAP1
MYBL2,CD63
DAB2,SOX2
KPNA2,SNORD49A
ZFP42,HIST1H1A
POU5F1,NSD2
XBP1,SGK1
CREB3,MEG3
HIST1H1B,COTL1
DNMT3B,GASK1B
SOX17,CEMIP
MYBL2,PRXL2A
POU5F1,HIST1H2AP
MYBL2,GM9531
DNMT3L,BNIP3
PEG3,CREB3L2
HIST1H1D,RPL15-PS3
NANOG,HIST1H4N
PML,HIST1H2AP
HIST1H1D,AY036118
HSPB1,PDPN
FOXQ1,SURF4
MYBL2,HIST1H3H
PCBD1,SLC2A1
CCND1,PSRC1
BHLHE40,IFITM1
TGIF1,MORF4L2
DNMT3A,TNS4
BHLHE40,MT2
KLF2,GM7329
RBPJ,MIR5117
BHLHE40,SLC7A6
DNMT3A,RHOX5
SOX17,GM10052
GATA4,CLDN6
ZFP42,GM10052
NANOG,GM14870
PCBD1,2410141K09RIK
GATA6,ERP29
RBPJ,GM27406
ETV5,RNF157
KDM5B,PTH1R
KAT2B,GM25040
DAB2,GM22858
DNMT3L,GM28900
NFXL1,LY6G6E
ELF3,GM26287
XBP1,PEG3
CREB3,HIST1H3H
XBP1,GM25451
EPAS1,TIMP2
CREB3,IFITM2
CCND1,CALCOCO2
ZFPM1,APOE
NFXL1,SPINK1
HSPB1,CTSL
GATA4,TENM4
TFCP2L1,ADAM19
UTF1,GM38312
NANOG,GM44335
GATA6,GM28960
CREB3,SNORD32A
HIST1H1D,GM25451
NFXL1,PHLDB2
FOXQ1,GM27406
HMGA1,GM27406
RBPJ,KAT6B
NR0B1,SNORD49A
RBPJ,ETV5
FOXQ1,CTSA
TAX1BP3,FST
KPNA2,PGAM1-PS2
SOX17,ZFP42
BCL3,TXNDC5
HIST1H1D,P4HA1
JARID2,SRGN
FOXQ1,GM27501
HIST1H1B,GM22884
ELF3,NUTF2-PS2
ESRRB,HIST1H2BN
NFXL1,MIR7005
FOXQ1,PHLDB2
JARID2,GM26073
DNMT3B,GM23413
KPNA2,MIR466O
SOX7,GM22862
NR0B1,GM27406
FOXQ1,MIR669A-3
FOXQ1,MIR466B-4
GATA6,CEMIP
GATA6,FGF10
MYBL2,MOV10
HSPB1,KPNA2
TGIF1,DAB2
CREB3,SERPINE2
PHC1,FLRT3
JARID2,LAMC1
JARID2,MT1
TGIF1,PCOLCE
DNMT3B,HIST1H2AH
NFXL1,GM24761
DNMT3B,TAX1BP3
SOX7,DPP4
MYBL2,PLOD2
HIST1H1D,GM26491
HIST1H1D,CAR2
SOX2,GM42429
BHLHE40,BNIP3
DNMT3B,TPD52
HIST1H1B,HIST1H3I
NANOG,TRH
RBPJ,ZFAS1
BHLHE40,FDPS
SOX7,IFITM2
XBP1,GM43107
BCL3,BNIP3
HIST1H1B,GM22858
POU5F1,MIR669A-3
SOX17,COL4A2
