TF,Target
KLF2,DNMT3L
CREB3,SNORD32A
BHLHE40,SLC25A5
MYBL2,PGAM1-PS2
HSPB1,PTPN14
TGIF1,GM25791
DNMT3L,GDPD5
ZFPM1,TENM4
GATA4,UNG
XBP1,GM22091
DNMT3L,SNHG5
ESRRB,FAM25C
ELF3,B2M
KPNA2,ADAM23
PEG3,PRXL2A
XBP1,SNORD65
ESRRB,GM15459
DNMT3L,TXNDC5
HIST1H1D,HIST2H2BB
ZFPM1,GM38312
JARID2,FAM25C
HMGA1,DNMT3L
PML,KAT2B
ELF3,ITGA6
ESRRB,GM6136
HIST1H1D,GM24616
SOX7,GM43521
JARID2,GM15459
DNMT3A,FAM129B
TRP53,MIR3473F
HIST1H1B,GM25500
ZFPM1,NDRG1
DNMT3L,LAMC1
ETV5,HIST1H3H
JARID2,GM49347
KLF2,FRMD4A
CCND1,PHC1
XBP1,AF357399
NFXL1,MRPL23-PS1
DNMT3B,GM37917
BHLHE40,MARC2
FOXQ1,ESRRB
PHC1,GM25451
PML,GM27406
EPAS1,GM25535
PHC1,CHST15
HMGA1,GM23571
KDM5B,CTSA
MYBL2,PLOD1
KLF2,BEND5
SOX7,GM25791
SOX17,ADAMTS9
ZFP42,ULK1
TGIF1,BHLHE40
TFCP2L1,TMEM144
ELF3,SOAT1
SOX17,GM28030
HMGA1,ADAMTS9
GATA4,SNORD35A
SOX17,ETV5
BCL3,SDC4
TRP53,MIR3535
RBPJ,HIST1H4K
RBPJ,MT-TF
ETV5,HSPG2
TAX1BP3,SNORD49B
PML,GM24201
PEG3,DNMT3L
PEG3,MIR466O
RBPJ,RNF157
TRP53,ATP6V0A1
HIST1H1D,PEG3
TRP53,GM43535
CCND1,SLC26A10
EPAS1,IGF2
PML,RRBP1
KLF2,GM26092
PHC1,GM43558
DAB2,CALR
MYBL2,GM26092
TGIF1,GM38312
CCND1,RCN3
CREB3,LTBP4
SOX17,SNORD70
FOXQ1,MIR8094
HSPB1,LY6G6E
ESRRB,MEG3
NFXL1,GM37376
SOX17,2410141K09RIK
PML,ETV5
RBPJ,TAX1BP3
GATA4,DKC1
TRP53,SNORA81
HIST1H1D,CCND1
DNMT3L,MT-TP
DNMT3B,BMPER
DNMT3A,PDPN
DAB2,HIST1H4K
KDM5B,HIST2H2BB
BHLHE40,UBE2C
CREB3,LEFTY2
POU5F1,GM26092
SOX17,PTH1R
DNMT3B,CHST15
DNMT3B,TFRC
TGIF1,GM23158
HIST1H1B,RAB11A
HIST1H1B,GM10780
GATA4,SNHG5
HMGA1,PTH1R
JARID2,KPNA2
NR0B1,SLC2A1
CCND1,GM44335
SOX17,HIST1H2AL
TFCP2L1,LRPAP1
CREB3,MIR3473F
DNMT3B,TYRO3
TRP53,CDC20
PML,FOLR1
ETV5,GM42845
POU5F1,GM47315
GATA6,GM24315
ESRRB,NDRG1
KDM5B,MYBL2
ZFPM1,GM26447
PEG3,KDELR2
ZFPM1,CMKLR1
ESRRB,NFXL1
BHLHE40,GM10184
FOXQ1,GM4322
PML,LGMN
KAT2B,GM25835
DNMT3L,DPPA2
PEG3,SNHG5
