TF,Target
ZFPM1,GM23569
CREB3,UAP1L1
EPAS1,GM37784
DNMT3A,GM44390
GATA4,HSPG2
JARID2,TPD52
TFCP2L1,HMGA1B
KAT2B,PTPN14
CREB3,SOX17
TRP53,BNIP3
TFCP2L1,RPS27RT
HIST1H1D,DKC1
NFXL1,UNG
RBPJ,P4HB
NFXL1,TINAGL1
PHC1,ZFAS1
PEG3,LTBP4
DNMT3A,HIP1
DAB2,ANXA5
PEG3,GM10052
SOX17,NDRG1
TAX1BP3,DPPA2
ZFP42,FAM25C
SOX7,RCN3
XBP1,THBD
ESRRB,NFXL1
KPNA2,GM26447
HIST1H1B,AMOTL2
XBP1,HIST1H1B
CCND1,P4HA2
UTF1,GM25472
ETV5,NDRG1
PCBD1,TDGF1
HIST1H1B,GM25835
NANOG,GM27406
BCL3,ASS1
ETV5,GM25701
TRP53,HIP1
POU5F1,RCN3
EPAS1,GM49347
ESRRB,GM27406
DNMT3A,GM14303
NR0B1,MT-TP
HIST1H1B,MIR466B-4
XBP1,GM10169
HIST1H1B,GNPDA1
NANOG,AY036118
DNMT3B,CST3
DNMT3B,SDC4
PCBD1,LNCENC1
GATA4,2210409E12RIK
GATA4,GPX3
CREB3L2,HIST1H2AH
CREB3L2,SOX17
HMGA1,IGFBP2
HIST1H1D,PWWP3B
CCND1,HIST1H2AF
GATA4,GM27326
KDM5B,BEND5
NFXL1,BNIP3
BHLHE40,MME
CREB3L2,GM47315
EPAS1,GM22468
DNMT3A,ETV5
ELF3,THBD
EPAS1,GM10169
KDM5B,COL4A2
MYBL2,KHDC3
KAT2B,KDELR2
MYBL2,GM25500
ESRRB,DPPA4
EPAS1,LNCENC1
HIST1H1B,RASGRP2
XBP1,PTPN14
DNMT3A,NSD2
TAX1BP3,SLC16A1
NR0B1,SNORD32A
XBP1,GM37917
BCL3,GM23632
HIST1H1D,EFEMP2
ETV5,MIR3082
ELF3,GM10169
XBP1,SERPINH1
HMGA1,COTL1
PCBD1,GM26491
ELF3,P4HB
ELF3,PATJ
GATA6,UCHL1
HSPB1,ATP6V0A1
ELF3,ADAMTS9
NFXL1,UTF1
POU5F1,GM23158
DAB2,GM38312
GATA6,GM26092
XBP1,FST
HIST1H1D,GM24488
MYBL2,SLC26A10
RBPJ,KDELR2
DNMT3B,HIST1H1D
KAT2B,GDPD5
FOXQ1,GM43535
KLF2,STARD10
MYBL2,UBE2C
XBP1,GM37746
BHLHE40,EPS8
EPAS1,GM25500
HSPB1,ASS1
RBPJ,ARHGEF40
NFXL1,GM23130
ETV5,SLC26A10
ZFP42,GM24451
ETV5,MIR7063
ELF3,GM37917
KPNA2,F3
MYBL2,GASK1B
KPNA2,APOE
BCL3,GM26156
DNMT3L,ADAM19
GATA4,MIR466B-6
HIST1H1D,HIST1H2AI
NR0B1,EIF4A-PS4
TAX1BP3,BCAT1
EPAS1,GM22072
TGIF1,INSIG1
PHC1,HIST1H2AI
PHC1,MIR3473F
BHLHE40,MIR5121
DAB2,ATP6V0A1
SOX17,TFCP2L1
JARID2,GM25535
CCND1,GM44390
PHC1,GM43535
NR0B1,CUBN
ESRRB,NXF7
PML,FAM129B
GATA4,MIR3082
EPAS1,UBE2C
KPNA2,GM24315
KPNA2,GM10259
KPNA2,BNIP3
GATA6,GSTA4
FOXQ1,TMEM150A
GATA4,PDPN
TFCP2L1,GM26092
KAT2B,BMPER
JARID2,FDPS
DNMT3B,CHST15
SOX17,DPPA4
TGIF1,GM25943
ETV5,RNF157
ETV5,BCL3
HSPB1,GM4322
EPAS1,CREB3L2
BHLHE40,MAN1A2
CCND1,MEG3
HMGA1,SPARC
TRP53,TUBB2B
UTF1,GM25943
XBP1,PEG3
TAX1BP3,GM22571
SOX7,CAR2
EPAS1,ARHGEF40
CREB3L2,GM22455
KLF2,B2M
ELF3,NFXL1
HIST1H1B,VSIR
ETV5,MIR8094
KAT2B,MIR5117
TGIF1,P3H4
XBP1,POU5F1
BCL3,HMGA1
TGIF1,MAN1A2
BHLHE40,UTF1
NR0B1,GM27326
CCND1,GM23130
TRP53,HSP90AA1
BCL3,CTSZ
GATA6,SOX2
DNMT3L,KAT2B
PML,ZFPM1
TFCP2L1,TFRC
FOXQ1,DNAJC10
DNMT3L,FAM129B
KAT2B,UCHL1
DNMT3B,KHDC3
BHLHE40,GLIPR2
KPNA2,HIP1
PML,SNHG5
KLF2,SNORA26
FOXQ1,GM24451
GATA4,GM28960
CREB3L2,MIR3473F
ELF3,AY036118
KAT2B,GM26092
TGIF1,RRM2
CREB3,GM26287
KLF2,HSPG2
TRP53,FDPS
TFCP2L1,PDGFRA
HSPB1,CCNG1
XBP1,ADAM19
KLF2,HMGA1
SOX2,GM24616
FOXQ1,PTPN14
HSPB1,GM27743
EPAS1,GM12350
SOX2,RPL15-PS3
HIST1H1D,LNCENC1
DNMT3L,HIST1H2BK
TFCP2L1,GM43521
KDM5B,GM23130
TAX1BP3,GM22455
KAT2B,HMCES
HSPB1,GNAS
ESRRB,GM43521
HIST1H1D,MOV10
SOX7,GM44429
KLF2,CUBN
XBP1,HIST1H2BN
NR0B1,GM25701
BCL3,2210409E12RIK
DAB2,RAB11A
HMGA1,MIR466B-6
PEG3,PLOD1
PCBD1,BMPER
HSPB1,SNORA26
TFCP2L1,MIR1949
NR0B1,GM2399
MYBL2,MAN1A2
BCL3,CCN2
HSPB1,SEC24D
TAX1BP3,ITPK1
CCND1,GM23651
CREB3,MOV10
KDM5B,RCC2
SOX7,JARID2
KPNA2,KRT8
PCBD1,GM23268
FOXQ1,GM37746
TAX1BP3,GM25787
XBP1,PODXL
BHLHE40,NSD2
SOX7,AF357399
HSPB1,SNORA81
FOXQ1,HMGA1B
KDM5B,ETV5
SOX7,UAP1L1
ZFPM1,MT2
DAB2,SNORD32A
HSPB1,SNORD33
TFCP2L1,ANXA5
DAB2,GM27743
JARID2,PLK1
SOX17,TPD52
ETV5,SPARC
DNMT3A,HIST1H4N
POU5F1,AF357399
HMGA1,DNMT3A
ZFPM1,HIST1H1D
TGIF1,NSD2
KLF2,SPARC
FOXQ1,SAT1
DNMT3B,LTBP4
JARID2,PLOD3
XBP1,KAT2B
CCND1,TGIF1
NR0B1,RHOX5
MYBL2,GM23130
PML,TCL1
NANOG,SNORD35A
FOXQ1,HIST1H1A
BCL3,DPP4
NR0B1,ERP29
DAB2,GM22862
NFXL1,COL4A1
CREB3,FST
CREB3L2,GM10169
DNMT3B,DPPA4
SOX17,PRXL2A
PML,DNMT3L
NANOG,GM24497
SOX7,DUSP9
ELF3,GATA4
DNMT3A,PLOD3
CREB3,TOP2A
DNMT3A,PMM1
PEG3,SOX7
ZFP42,MIR7005
SOX17,TPM4
KDM5B,MRPL23-PS1
KAT2B,CEMIP
FOXQ1,IFITM1
ZFP42,GM37376
PHC1,GM23413
BHLHE40,GM33051
GATA6,GM22884
MYBL2,ETV5
RBPJ,FOXQ1
JARID2,MIR3535
RBPJ,FGF10
CCND1,HSP90AA1
SOX7,CTSD
CCND1,GM25535
FOXQ1,ANXA2
DNMT3L,TCL1
HSPB1,CCN2
PHC1,BEX1
CREB3L2,GM37917
PML,ZFP57
CREB3,GM24761
ELF3,GM25673
DNMT3A,SLC7A3
MYBL2,NSD2
NANOG,CCND1
ESRRB,CCND1
TFCP2L1,MIR466O
NANOG,MIR466O
ETV5,NSD2
KLF2,PCOLCE
KPNA2,GNPDA1
BHLHE40,SNHG12
DAB2,GLDC
CREB3L2,GM9531
NR0B1,HKDC1
HMGA1,TYRO3
CCND1,RASGRP2
TRP53,GM23833
CREB3,GM24616
TAX1BP3,CHST15
KPNA2,LRP2
ZFPM1,GM25500
CREB3L2,GM37746
TGIF1,MT1
EPAS1,DNMT3B
ELF3,ZFPM1
DAB2,GPX3
DNMT3L,MIR466O
MYBL2,NR0B1
ETV5,PDCD4
HMGA1,MIR8094
PML,HIST1H2BF
RBPJ,TCL1
KLF2,ERP29
ETV5,ADAM23
TAX1BP3,GM26491
JARID2,PLTP
TAX1BP3,GM6136
FOXQ1,BMPER
BCL3,2200002D01RIK
KDM5B,RASGRP2
ZFP42,ZFPM1
PML,STXBP2
TAX1BP3,GM25500
TAX1BP3,HIST2H2BB
MYBL2,TDH
RBPJ,KPNA2
PEG3,NUTF2-PS2
HMGA1,GM10925
PHC1,ADAM19
CREB3,GM24044
CREB3L2,ARHGEF40
EPAS1,GM43558
ETV5,AMOTL2
SOX2,SGK1
PCBD1,PLOD2
ZFP42,PLAT
TFCP2L1,SNORA41
KLF2,2200002D01RIK
XBP1,GM15459
DNMT3L,SLC7A6
XBP1,FXYD3
SOX7,ELF3
BHLHE40,LAMB2
PCBD1,GM15459
DNMT3A,SDC4
HSPB1,LRPAP1
TAX1BP3,CREB3
NR0B1,GM24616
HIST1H1B,TAX1BP3
SOX7,HIST1H2AI
KLF2,PHLDA3
TAX1BP3,JAM2
GATA4,MIR669J
RBPJ,ZFP57
NFXL1,AKR1B8
KAT2B,SLC7A6
FOXQ1,GM26092
POU5F1,SNORD34
XBP1,DNMT3L
CCND1,HIST1H4N
DNMT3B,APOBEC3
POU5F1,MIR3473F
KLF2,HKDC1
KAT2B,ATP6V0A1
NR0B1,GM25943
XBP1,CRIP2
GATA4,TRP53
NR0B1,GM10259
DAB2,COL27A1
GATA4,PDCD4
ELF3,PLOD2
NANOG,GM13597
PML,STARD10
ESRRB,GM13597
MYBL2,SOX7
SOX2,FDPS
GATA6,GM27743
NFXL1,NUP210
ELF3,2810025M15RIK
HIST1H1B,PDK1
HMGA1,ADAM19
ELF3,FRMD4A
DNMT3L,P3H1
PCBD1,MIR466O
HIST1H1D,COMMD3
RBPJ,HIST1H2BF
CCND1,PMM1
POU5F1,SNORD85
ESRRB,GM44429
XBP1,GM38312
BHLHE40,PLK1
PCBD1,GM38312
ELF3,GM9385
KPNA2,PLK1
NR0B1,RRM2
PCBD1,ME1
BCL3,RPL15-PS3
ELF3,CRIP2
CREB3L2,GM22091
GATA4,GM23571
PML,SOX17
TGIF1,GJB3
CCND1,HSPA5
DNMT3B,LOXL2
SOX7,PML
MYBL2,RRBP1
HIST1H1D,GM26917
KPNA2,PMM1
TFCP2L1,RAB11A
BHLHE40,SLC16A1
KLF2,GM10925
KPNA2,GM28010
KDM5B,SNURF
ESRRB,AKR1B8
BCL3,BNIP3
KPNA2,SLC16A1
KDM5B,GM28010
ETV5,RRBP1
ZFPM1,GM25753
ELF3,MIR466O
KLF2,GM24616
EPAS1,SPP1
PML,CCNG1
TRP53,CST3
GATA4,GM25535
SOX17,CALU
POU5F1,TIMP2
CREB3L2,PODXL
SOX7,LNCENC1
CREB3L2,MIR5117
DNMT3A,GM43107
KPNA2,AF357399
NFXL1,GM22411
DAB2,P4HA2
ELF3,GM22620
TFCP2L1,NRG1
ETV5,DPPA2
HSPB1,TINAGL1
NR0B1,RCC2
CCND1,BCAT1
KDM5B,HSPA5
DAB2,COL4A2
ESRRB,NRG1
KLF2,GM10259
HIST1H1B,GM22072
FOXQ1,GM26318
TAX1BP3,MIR5121
DNMT3A,TAX1BP3
KPNA2,GM47315
PHC1,AU018091
HIST1H1D,MIR1949
