TF,Target
ZFPM1,TSPAN9
MYCN,MIR28B
ETS1,MIR5121
RBPJ,LIFR
TET2,GM10259
ZFP42,HIST1H4N
ZFPM1,GM37746
SOX17,SNORD93
NFXL1,CCN2
KLF3,RAB11A
BNC2,SLC25A5
FOXQ1,GM22620
KLF6,HIST1H2AH
NANOG,P4HB
ELF3,MIR3535
EPAS1,MSC
TGIF1,CENPV
HMGA1,MRPL23-PS1
CREB3,GM10108
ETS1,SERPINE2
SOX2,AGPAT4
EPAS1,GM23245
ETS1,WDR45
RBPJ,GM23566
TGIF1,GLIPR1
ETS1,GM24616
XBP1,GM26229
ZFP57,ME1
ESRRB,COL4A2
TET2,GM22677
BNC2,GM28010
XBP1,SEC23A
EPAS1,GM23497
KLF3,ABCC5
EGR1,ZBTB10
CREB3,MIR467C
TFCP2L1,ZFP989
KDM5B,SLC6A6
KLF4,HNF1B
GATA4,GM26156
PEG3,HIST1H3I
KLF3,GM24339
GLMP,SNORD93
FOXQ1,GM24044
ETV5,ESRRB
BHLHE40,PDIA4
SOX7,MIR763
MYBL2,RPS25-PS1
POU5F1,GM43558
ZFP42,CTSD
SOX17,IFITM1
KDM5B,TAX1BP3
BHLHE40,FLNA
XBP1,GM26491
MSC,PRPS2
TET2,GM4617
NR0B1,GM28010
GATA6,GM43521
TFEB,GM26287
EPAS1,GM22620
GLMP,SERPINE2
KLF2,ECHDC2
CREB3,MIR297A-2
TET1,SLC38A4
PLSCR1,CENPV
NFXL1,ESRRB
HNF1B,TGM1
TFEB,GM15181
GATA4,HIST1H2BG
BNC2,ARHGEF40
PEG3,CTSD
ELF3,VKORC1
KLF4,MDM2
TFCP2L1,GM44380
FOXH1,MIR3082
CREB3,SNORA17
ZFP42,SNHG5
TET2,GASK1B
HNF1B,GM44206
RBPJ,ZFAS1
FOXQ1,GM43110
ETV5,ARF4
BNC2,SNORD72
PEG3,GM10052
PLSCR1,LRRK1
ESRRB,GM10718
EGR1,ELF3
GATA4,HIST1H4D
KLF2,SSR3
TFEB,GM7993
GATA4,MIR669F
BNC2,GM44429
ESRRB,ABHD5
MYCN,GM25451
ZFPM1,CTNNAL1
HNF1B,KDELR2
ETV5,GM4322
MYCN,SNORA21
TGIF1,SEMA4C
MSC,RBPMS2
SOX7,NANOG
ELF3,GM38009
SOX17,MPP1
EPAS1,GM10012
ELF3,PML
HNF1B,HELLS
HMGA1,KAT6B
EPAS1,VSIR
MYCN,GM24289
SOX7,GM21860
ZFP57,SOCS2
MYBL2,COTL1
NFXL1,LEFTY1
EGR1,MCM6
TGIF1,MKRN1
MYBL2,PATJ
SOX17,TCN2
NR0B1,GM23344
TFEB,GM24761
TGIF1,RIAN
HNF1B,STARD10
GATA6,FGF4
XBP1,MIR3091
KLF4,PDE4DIP
GATA6,SFMBT2
POU5F1,PTH1R
PLSCR1,TMEM9
MYBL2,RFFL
KLF4,GM22411
TCF7L2,GM22030
XBP1,PLTP
TET2,UBE2C
BHLHE40,SMAD7
ETV5,GM44346
FOXQ1,CSRP2
MYCN,DENND2C
NANOG,SNORA17
TCF7L2,ADAM19
SOX2,SLC38A4
ZBTB10,GM22620
PLSCR1,PTH1R
PEG3,MT2
MYCN,GM23988
ETS1,KLF6
HNF1B,HIST1H2AP
KLF6,OPLAH
KLF3,HIST1H2BL
MSC,SNORD72
ZFP57,GM22571
ZFP42,RPS25-PS1
MYCN,EHD1
GLMP,GM25316
KLF4,CDCA7
TET2,AKT1
KLF3,GM43107
CREB3L2,ZFP532
GATA4,CENPV
GATA4,DCXR
KLF6,MIR5117
TET2,GM26109
ZFP42,GM25193
ZFP42,GM27743
KLF2,GM27624
GATA6,GM42429
PLSCR1,LY6E
KLF2,GM24523
ETS1,MSMO1
ZFP57,HIST1H4K
GATA4,AMFR
MYBL2,GM25117
TCF7L2,TINAGL1
FOXQ1,MIR466B-6
TET2,GDPD5
POU5F1,ADGRE5
TCF7L2,RRBP1
ZFPM1,ID2
FOXQ1,TFEB
RBPJ,PLK2
SOX2,DKK1
MYCN,GM22748
GLMP,EED
GATA6,MIR6928
GLMP,LRRC8D
TFCP2L1,SNORA43
TGIF1,GM49369
ZFPM1,GM43558
RUNX1,HIST1H1A
KLF3,DPP4
GATA4,GM26431
TCF7L2,GJB5
FOXQ1,GM17545
ETS1,SNORD110
ZFPM1,CTDSPL
MSC,GLIPR2
MSC,CRELD2
PLSCR1,ADGRE5
GATA6,GM25636
ZFP42,CCN2
RBPJ,GM21860
TFEB,CDC42SE2
TET2,TDH
ETV5,DNMT3L
KLF2,APAF1
PLSCR1,GM8355
RBPJ,PMM1
PEG3,GM27501
ZFP42,RIF1
HNF1B,PLK2
KDM5B,GM44170
GLMP,SNHG5
POU5F1,GM15452
ZFP42,MIR6357
TFEB,ADGRE5
MYCN,MCM6
KLF6,HS3ST1
EPAS1,MIR669E
CREB3,SURF4
TFCP2L1,COBL
ESRRB,ENAH
RBPJ,HIST1H1B
GATA6,GLMP
KLF4,GDPD5
ZFP57,GM15247
CREB3,GM25057
FOXQ1,NEU1
TGIF1,EIF4A-PS4
ZBTB10,SLC20A1
RBPJ,MIR466B-6
