TF,Target
CITED2,GM43002
GATA6,SNORA44
SOX17,MFGE8
RUNX1,ADAM15
MCM6,OBSL1
SMAD7,GM13597
RBBP7,SH3PXD2B
KDM5B,GLIPR2
ILK,APOBEC3
ETS1,AARS
POU5F1,MIR3070B
MDM2,STMN1
KDM5B,SNORA73A
ELF3,FXYD3
KLF6,GM26083
NFATC2IP,GM8355
ESRRB,P4HA1
GATA6,FRMD4A
ETV5,2200002D01RIK
CITED2,2200002D01RIK
JARID2,DPPA4
HSPB1,GM23632
DAB2,SPSB1
SOX2,GM26060
CCND1,GM23288
MDM2,UBQLN2
BTG2,FOLR1
SUZ12,CALM1
KLF4,FAM25C
KLF6,GM23571
TFEB,GM24330
NFATC2IP,MIR295
ETV5,GM25117
CITED2,IDI1
PARP1,ARHGAP29
EHMT2,FST
EED,GM4322
KDM5B,RPL15-PS3
NFATC2IP,TXNIP
BCL3,F2R
KLF3,TFRC
MCM6,GM7329
ELF3,LAMA5
RLIM,GM22353
MCM6,GM24616
RBPJ,HIST1H2AN
EPAS1,GM47315
ELF3,FGF4
FOXQ1,MIR8091
TAX1BP3,HSP90B1
ELF3,GM26318
ETS1,RRAS2
TFCP2L1,TAGLN2
BCL3,AGPAT4
KLF4,EED
CREB3L2,SLC38A4
HIST1H1B,SURF4
FOXQ1,RBBP7
DTX1,ENAH
CREB3L2,RFFL
MDM2,SNORD80
TGIF1,SRGN
CCND1,MIR1957A
EED,TUBB6
HMGA1,SLC25A4
AKT1,DNMT3B
NFATC2IP,CENPF
PML,HSPB1
RBPJ,MT-TF
ETV5,CD63
NFXL1,GM37917
TRP53,GM44429
UTF1,SH3PXD2B
FOXQ1,AQP3
CCND1,MRPL23-PS1
PML,GM10108
ETV5,RLIM
MYBL2,GM22468
EHMT2,GM26092
UTF1,OPLAH
PHC1,ELF3
HNF1B,GM10012
FOXQ1,HIST1H3I
MYCN,GM23158
HNF1B,PTPN14
RUNX1,MDM2
DNMT3B,OAT
UTF1,PRDX4
NANOG,GM44346
KAT2B,GM43002
AKT1,GM26287
SMARCA2,STXBP2
SMARCA2,KHDC3
SMAD7,LOXL2
