TF,Target
DACH1,SLCO3A1
REL,CTNNAL1
HLF,ALDOC
ETS1,FLT3
PHC1,CD55
NOTCH1,SDC4
HIST1H1C,TMEM176A
IRF7,WFDC2
MEF2C,ITPK1
SATB1,NUP93
KLF3,HNF4A
JUN,JAK1
HCFC1,PPIC
NFATC1,RFTN1
CBX7,PEAR1
TAF12,CDT1
PGR,INSL6
KLF3,RASA4
NOTCH1,ENPP4
NFKB1,TYMS
HOXA9,CDK19
KLF6,ARHGEF18
TAF12,TMEM147
NFATC1,TOP3B
IRF6,RMND5A
PBX1,BC035044
ARNTL,LCP2
MAML3,GMNN
MEF2C,FSTL1
GFI1B,SLFN2
HIST1H1C,HK3
NDN,FPGT
EGR1,PIK3IP1
PBX1,CNP
MCM5,CCNA2
TAF12,TPM4
RAI14,SNAP47
MCM4,ATP2B4
CLOCK,CCNB2
CBX7,SAMSN1
NOTCH1,OAT
TCF19,B4GALT4
ELF1,PRNP
RORA,GAA
RORA,CD48
BTG2,CDC45
ETS1,PPIC
CBX7,PLXNA4OS1
RORA,ZFP62
XRCC6,SLC43A3
MEF2C,SYNRG
TLR4,PAFAH2
ZBTB38,CTLA2B
PHC1,AZIN1
BTG2,SYTL1
HIST1H1C,NPDC1
SATB1,MAML3
IRF7,GOLM1
RUNX2,GORASP1
TAF12,S1PR1
HDAC7,SEPT8
KLF10,IER3
CBFB,FLNA
MEF2C,PML
MYCN,CSF3R
KLF3,SEMA3D
MCM7,CD69
IKZF1,SLC12A6
NFATC1,NWD1
NOTCH1,PLCB2
PRDM16,TMEM176A
IRF8,FPGT
TTF2,IRF7
RBL2,SERP1
TRPS1,TNPO1
REL,STAM2
BTG2,PARP8
CBFB,SQLE
DACH1,ABCD3
RORA,SLC12A6
TLR4,THBS1
REL,PDGFRB
ESR1,TIMP2
RORA,PGM1
ARNTL,LHCGR
ETS1,KLHL4
MAML3,PLA2G4A
VDR,PDE12
XPC,CCRL2
ARNTL,IL17RE
PBX1,WLS
SLA2,TYROBP
VEZF1,HACD4
CBFB,ELAC1
PA2G4,VDR
RAD51,RASSF5
TAF12,STXBP1
RPS6KA5,TM6SF1
CBFB,PAQR7
MEF2C,F11R
CBFB,PRR5
MYC,CD48
NFATC1,CTPS
SLA2,F11R
NOTCH1,MYO5A
TTF2,ALDH1A1
SATB1,RPTOR
HOXA9,TMOD3
RBL2,TMEM268
VDR,BIRC5
RPS6KA5,CSF2RB
KLF6,COPB1
PRDM16,FUT8
TCF19,NFKB1
NFATC1,MECOM
IRF8,INPP1
TTF2,SERP1
RBL2,PWWP3A
HNF4A,H2-OB
HDAC11,TPST2
ETS1,ZFP422
DACH1,DOK2
HDAC11,BCL2
NFKB1,WFDC17
PGR,FLNA
REL,MSMO1
MCM6,PCMTD1
XPC,CD53
PA2G4,PTP4A3
MEF2A,H2-OB
XRCC6,JPT1
TSC22D3,MEF2A
KLF6,ITGAL
PML,ZNRF2
NFAT5,LYZ2
ZFP467,PDLIM5
DACH1,NEURL3
TAF12,RPA2
EGR1,RBM18
ZBTB38,LGALS3BP
ELF1,NAGA
TCF19,MNDAL
HNF4A,TEK
RORA,RAI14
CENPK,TTF2
CBX7,ZFP467
HNF4A,B3GNT5
KLF3,CTSH
RPS6KA5,GBP2
SATB1,DENND2D
TTF2,CYP51
VEZF1,DUSP5
PA2G4,TXN2
ZFP467,PDZK1IP1
MEF2A,C130089K02RIK
MECOM,SPC24
CENPK,EBI3
RAD51,VEZF1
KLF10,H2AFX
BTG2,PECAM1
KLF10,TRMT6
MYC,GNG11
JUN,IL10RA
XPC,BIRC5
IRF6,WLS
TCF19,ECT2
PGR,PAQR7
TCF19,RBL2
SPI1,GALM
KLF3,RNF38
KLF10,ARFGEF2
PHC1,MEF2A
ZFP467,SLC26A11
CENPK,BC005561
PML,TMEM268
RAI14,ITM2A
ZBTB20,RELT
ZBTB38,PREP
TTF2,SGCE
NDN,MMP2
MLLT3,PSTPIP1
RBL2,SLC41A3
SATB1,THTPA
PRDM5,SPNS2
KLF6,TAF12
CENPK,RAD51AP1
TTF2,SEPT8
XRCC6,PEAR1
HDAC7,NCKAP1L
NFKB1,RHOH
TAF12,TMEM184C
NDN,NCEH1
H1F0,SC5D
TLR4,TGFBR1
XPC,SSH2
TAF12,ARL11
RBL2,IL1R1
PML,TTC39B
PRDM5,GIMAP1OS
SLA2,NUP88
SATB1,ZFP422
MCM6,OSGIN1
KLF10,MPO
TLE2,SLCO3A1
H1F0,MOGS
MAML3,KCTD20
VEZF1,PA2G4
IRF6,PDE12
ESR1,ELF1
SPI1,GNG2
RBL2,ZFP248
PHC1,H2-OB
REL,CBX7
MYC,ITGB5
RAI14,COPB1
GFI1B,PROCR
CTR9,2610307P16RIK
IRF8,ZC2HC1A
MYCN,MAP3K2
SMARCA2,ENG
HDAC7,GBP4
NFKB1,ACSS2
NDN,RRM2
KLF3,RPTOR
HDAC11,FUCA2
MEF2C,BC016579
PBX1,DENND1C
PRDM16,CD44
GFI1B,TXNL1
RBL2,CD300A
PA2G4,LPCAT2
MLLT3,HSPH1
MEF2C,SLC29A1
TRIB3,PRPS2
VDR,4833439L19RIK
HDAC11,ARL11
PGR,SLC39A13
SATB1,MSH6
EYA2,SELPLG
MYCN,ZFP367
ELF1,CAV2
MECOM,TFEC
ESR1,DOCK10
PGR,GGT5
MECOM,CD63
KLF6,UBA7
MAML3,IL10RA
MCM5,ACAP1
MCM5,TES
TTF2,KLHDC8B
SPI1,CDKN1C
SLA2,SSH2
ESR1,KBTBD11
PHC1,GM7694
VEZF1,DUT
IRF6,ATP2B4
H1F0,FAM171A1
NFKB1,LRRFIP1
MCM7,HOXA9
XRCC6,HLF
BTG2,SPNS3
CLOCK,MCM4
HDAC7,TSPAN6
EGR1,ANXA4
CENPK,COPB1
CENPK,CD69
IKZF1,SLC22A18
SLA2,NFKBIA
GFI1B,CDKN1C
XPC,CKAP2
CENPK,IGHM
VDR,HEXA
HDAC7,VLDLR
TLE2,ZDHHC17
TTF2,USP3
RBL2,MBNL3
EGR1,SNAP47
PHC1,RGL1
TLR4,RBPMS
TAF12,FSTL1
CTR9,FAM111A
H1F0,TBXA2R
PGR,CD63-PS
RUNX2,TINAGL1
PRDM5,PWWP3A
RUNX2,GGTA1
PML,ADSSL1
JUN,CCNG2
MCM4,NDRG2
NDN,TSPAN6
XPC,NFATC1
HCFC1,PPM1G
NOTCH1,SEPT6
GATA2,IRGM2
RBL2,ARHGEF3
CENPK,PDE7A
JUN,MAPKAPK3
TRIB3,ESAM
KLF10,FILIP1L
DACH1,STK17B
GFI1B,CYP51
IRF7,CORO7
RAD51,5430427O19RIK
HDAC11,MCM5
ESR1,HSPA1A
HCFC1,SH2D3C
CBX7,PQLC1
MEF2C,ROBO4
NFAT5,FBXO30
BTG2,SGCE
MCM6,IIGP1
H1F0,CTPS
NFKB1,HELLS
MYC,RAB37
TAF12,MUC13
PA2G4,1700017B05RIK
MCM6,ARHGEF18
VEZF1,PARVG
VDR,GALM
TRIB3,AURKB
MCM6,F11R
IKZF1,MMP2
CENPK,IDH1
NFKB1,SARAF
EYA2,RAB11FIP3
IRF6,INSL6
SMARCA2,RASSF5
MYCN,NWD1
NDN,CDK18
KLF6,IGTP
CENPK,TMEM246
DACH1,THBS1
ZFP467,MAP2K1
HIST1H1C,PGM1
JUN,NAGA
NFKBIA,FIGNL1
MCM7,SERPINA3G
TLR4,UQCRFS1
XRCC6,EGR1
TCF19,HELLS
TLE2,GCLM
HDAC11,FUT7
TTF2,GM20342
PML,ERP29
ESR1,SLA2
SMARCA2,PSEN1
XPC,MEF2A
CTR9,VLDLR
HDAC7,BTG2
IKZF1,PROCR
MYCN,GCNT1
HIST1H1C,CEP70
CTR9,RPA2
HOXA9,RAD51
PRDM5,IL1R1
MEF2A,UBE2L6
SLA2,GOLM1
CBX7,BC005561
DACH1,MMP2
REL,GBP9
CTR9,TRPS1
IKZF1,IL15
TTF2,TGTP2
CTR9,PLEKHA1
DACH1,PKIB
ELF1,TBC1D10C
GFI1B,HEXA
NOTCH1,DUSP6
NOTCH1,VAMP5
RORA,SC5D
MAML3,SLC28A2
PA2G4,CDCP1
MCM6,CDK18
GATA2,ACSS2
MAML3,SSH3
KLF3,TRIM35
MCM5,TK1
ETS1,DACH1
ZBTB20,GIMAP1OS
XPC,MMP2
MAML3,TYMS
CLOCK,HID1
CLOCK,RAI14
MED16,CD68
MYCN,RAB38
ZBTB38,TFEC
MAML3,SNAP47
NDN,CD96
TLE2,PRODH
HDAC11,DOCK10
KLF10,ABLIM1
MEF2C,CBX7
TSC22D3,CAMK1D
KLF10,NCEH1
TSC22D3,RORA
CLOCK,HDGFL3
PRDM5,UAP1L1
ZBTB20,COQ8A
RAD51,INPP1
ELF1,CD44
SPI1,RORA
NOTCH1,FNDC3A
HOXA9,PRSS57
MCM7,ZFP367
RORA,KIF21B
TSC22D3,CDC7
IKZF1,CD74
MCM6,ARNTL
VDR,DUSP1
ZBTB20,PGM2L1
TRPS1,SDC4
H1F0,TIPIN
MYCN,CKAP5
MYCN,OSGIN1
RBL2,H1F0
ELF1,ZFP120
HIST1H1C,TFR2
KLF3,IFI203
TLR4,B230219D22RIK
RPS6KA5,EPB41L3
PRDM5,FHL1
MED16,SDF2L1
NFKB1,VAMP5
MLLT3,TEX10
PRDM16,SUGP2
TRPS1,STXBP1
MYCN,MILR1
KLF3,KAZALD1
MCM4,IGKC
MCM5,SERPINA3G
MED16,MC5R
MED16,NSMF
ELF1,MYCT1
GFI1B,H2-OB
EGR1,LY9
XPC,GIMAP8
IRF8,SYK
MECOM,C030034L19RIK
