TF,Target
KLF10,DUSP2
MCM4,RIPOR2
NUPR1,TSPAN2
MCM7,ALDH1A1
GFI1B,NEDD9
MYCN,OBSCN
TRPS1,ABLIM1
NFAT5,HK3
MAML3,HAAO
PBX1,NSMF
RUNX1T1,GBP9
E2F8,F630028O10RIK
RARB,UPP1
MIS18BP1,ARHGEF18
MYC,CTSC
XRCC6,ITGAM
NFAT5,LGALS3BP
ARNTL,ANKRD44
NFE2,MILR1
ZBTB20,CHRNB1
RARB,SEPT8
ELL2,ESR1
RORC,RGS19
TLE2,PLAC8
CD7,THRB
CLOCK,GM8995
EPAS1,HSPA1A
MAPK12,FDFT1
ZBTB20,IPCEF1
TEAD2,PRKCD
NUPR1,SELPLG
IRF6,BIRC3
NAP1L3,WLS
RAI14,C030034L19RIK
RAD51,SLC39A6
ZBTB20,SERPINB9
RPS6KA5,FCHO2
ETS1,PAFAH2
CBFB,FTX
ZKSCAN4,SUOX
ELF1,ACAP1
E2F8,FNDC3A
RUNX2,SEC14L1
TTF2,ATP8B4
SPI1,WBP1L
KLF10,KIF17
MCM5,SERPINB6A
RBL2,INKA1
THRB,MPO
VDR,MAMDC2
MCM6,NLRC3
CD7,1600014C10RIK
ELL2,ABCD3
KLF10,TXNIP
NAP1L3,ZFP120
VDR,ATAD2
HNRNPAB,POLD1
HIST1H1C,ORC6
TTF2,NHP2
HCFC1,DUSP5
IKZF1,ZBTB4
MCM4,LGALS1
ZBTB20,ENPP5
SPI1,KCNK5
VEZF1,RARB
NFE2,SQOR
HMGB2,ME2
XPC,USP3
CLOCK,HDAC11
HOXA9,QARS
MYC,DOCK11
LDB2,IGKC
ESR1,IDH1
XPC,PSEN1
APBB1,ZFP945
NDN,JUN
NR3C2,NAIP5
SATB1,PBX3
JUN,GBP8
CENPK,SDF2L1
LDB2,SPO11
RUNX2,GRAMD1A
TEAD2,RAB38
TTF2,SGMS1
TSC22D3,DEK
EPOR,ATP2B4
CD7,ZNRF2
RAI14,ATP13A2
EYA2,WFDC18
NUPR1,IFI203
ZFP467,IGHV11-2
TAF12,NUPR1
AEBP1,GSTT1
SOX18,SGPL1
TAF12,GM8995
VEZF1,MAN1A
JUN,CCDC112
FOXO1,HAT1
HNF4A,CFP
HIST1H1C,PQLC1
ARNTL,NPDC1
HMGB2,JUN
H1F0,MAST3
SATB1,EMCN
NDN,TEX10
CTR9,MCM2
NFATC1,POLA2
CREB5,ETS1
HNF4A,ST8SIA4
ANKRD6,NUDT19
NFAT5,HACD4
IRF8,ABCG3
CLOCK,TMEM173
RUNX2,HSPA1A
CLOCK,PARVG
MEF2C,GGT5
NFAT5,NECAP2
PBX3,CCL4
TRPS1,TYMS
GATA2,FRMD6
XPC,DENND1C
NFE2,SLA2
CBFB,ANKRD33B
THRB,MEIS1
HDAC11,CNN3
ELL2,FCGRT
SOX18,HSPH1
ARID3B,TXNL1
CREB5,TSPAN2
XRCC6,TRMT6
EPOR,TTF2
RBL2,ABCG2
MAPK12,1600014C10RIK
TEAD2,EPSTI1
GFI1B,CASP12
KLF3,CALCRL
ZBTB20,GPR171
KLF8,CTPS
HDAC7,LHCGR
CTR9,LYN
CLOCK,RRAS
RUNX1T1,KIF20B
MCM6,EPSTI1
H1F0,SLC43A2
RBL2,MYC
HDAC7,MIR17HG
ELF1,ZFR
DACH1,CEP70
MCM4,STK10
XPC,YOD1
MLLT3,NEAT1
MYCN,PRPS2
HNF4A,DNTT
JUN,SGMS1
SATB1,ZKSCAN4
KLF3,SDF2L1
VEZF1,OASL1
TTF2,ITGA5
HNRNPAB,ARL11
HIST1H1C,PDIA4
HNRNPAB,BDH2
NR3C2,CCNG2
SLA2,PANX1
HIST1H1C,RFTN1
MYC,KCTD12
SPI1,H2-Q6
DACH1,SLC39A13
MAML3,DPY19L3
VEZF1,SGMS1
LDB2,SLC43A3
PRDM5,CKAP2L
EYA2,B4GALT6
H1F0,ABCD3
THRB,LACTB
NR3C2,HID1
HIF3A,CD52
MIS18BP1,PTGS1
PHC1,TGTP1
ZFP111,PML
ELF1,WFDC18
TLE2,ART4
HDAC11,TTC39B
IKZF1,GCLM
TCF19,CERS5
PRDM5,IL1R1
CENPK,NKG7
ESR1,LRP12
MCM2,EIF3A
DEK,SYTL4
TRPS1,B4GALT6
ETS1,MAPKAPK3
MAPK11,TEC
EPAS1,EPB41L4B
HNF4A,VAMP5
CBX7,TRIB3
IKZF1,MYO5C
PBX1,TMEM184C
MYCN,CREG1
RBL2,TGTP2
SPI1,PDE12
RORC,FRRS1
ZFP467,DEF8
NUPR1,RAI14
ARNTL,SSH3
H1F0,PRC1
TLR4,MEIS1
ARNTL,RGL1
ELF1,APLP2
XPC,ANXA5
PGR,KIF23
RUNX2,JUN
MCM7,NAPSA
CENPK,HSPA1A
HMGB2,CTLA2B
ANKRD6,F630028O10RIK
ZKSCAN4,GM1966
XRCC6,H2-DMA
ETS1,OBSCN
TSC22D3,MYO5A
CD7,LDHB
ELF1,TBC1D5
ZBTB38,VIPR2
RUNX1T1,TBXA2R
MCM2,SRGAP3
PRDM5,HSPA1A
HNRNPAB,PARD3B
ESR1,SEPT6
SOX18,TRIQK
RBL2,ZFP422
HMGB2,LDLR
ZBTB20,IFI27
PA2G4,P2RX1
ELF1,RFTN1
ZBTB38,KLF6
MEF2C,ATAD2
EPOR,PAQR5
HNF4A,SEPT6
SMARCA2,GPSM1
LDB2,GRAMD1A
ZFP111,CREB5
