TF,Target
MCM4,SNX30
MCM4,GBP7
ZFP467,DOK2
CTR9,VLDLR
MYCN,ITSN1
MED16,EMCN
MCM4,NUDT19
ZBTB38,KIF23
CTR9,PSTPIP1
MCM2,FES
SLA2,PRKAR2B
H1F0,PLCG2
ARNTL,STK17B
MED16,NAGA
MCM5,XPC
MCM4,ATP13A2
KLF10,TCIRG1
NFAT5,ZFP62
TSC22D3,EPSTI1
RBL2,FGFR1OP
NFKBIA,PDE7A
MCM2,OAT
ZBTB38,PRDM5
CTR9,BCLAF3
GATA2,POMGNT2
TSC22D3,USP11
ARNTL,CERS4
NFKBIA,ZFP367
SLA2,PECAM1
IRF7,STXBP4
ZFP467,SAT1
MED16,COQ8A
TAF12,TGM2
EYA2,NOTCH1
MYCN,FCHO2
XRCC6,DOCK10
PML,ICE1
PRDM5,RAB38
RBL2,DEF8
ZFP467,UBL4A
IRF7,EZR
MLLT3,HIST1H1C
TSC22D3,ICA1
NFKBIA,ANO10
ZBTB38,IGHM
NFAT5,ADA
NFAT5,TCIRG1
ZBTB38,WFDC17
TSC22D3,RASA4
BTG2,TFR2
MLLT3,SQLE
TSC22D3,ZFP157
MED16,POMGNT2
EYA2,ZBTB38
GATA2,VAV1
BTG2,MTMR6
SATB1,ICAM1
XRCC6,CERS5
MYCN,SLC6A6
HIST1H1C,CALCRL
NFATC1,COPB1
TSC22D3,IL4RA
MLLT3,ANXA2
KLF10,BIRC3
HIST1H1C,NUDT19
MEF2A,KPNA3
TAF12,GIMAP1
SLA2,IL18RAP
TSC22D3,ZFP120
XRCC6,SH2D5
XRCC6,RNF141
MCM4,IRAK3
ZFP467,ANXA5
MCM2,USP3
CTR9,EMID1
VEZF1,SH2D3C
MCM5,MYO1F
IRF7,LAX1
CBX7,AC174780.1
RBL2,IRGM2
MLLT3,FCGRT
RBL2,RNF13
PRDM5,FAM76B
CTR9,ELOVL5
CTR9,IL1R1
SATB1,SCARF1
MED16,SLC43A2
GATA2,ICA1
NFAT5,PTTG1IP
MED16,EPSTI1
MEF2A,NCEH1
MED16,USP11
MCM4,ICE1
RBL2,STK17B
ARNTL,GATA2
PRDM5,ZFR
SATB1,MYCT1
NOTCH1,UBE2L6
MLLT3,GM5111
MCM5,MPL
XPC,MCM5
ZBTB38,ARHGEF3
SATB1,MMRN1
XRCC6,RASSF5
ARNTL,PROCR
PRDM5,ART4
CTR9,GRINA
HIST1H1C,PYGM
XPC,ITSN1
H1F0,SNAP23
RBL2,FCGRT
PML,KCTD20
TSC22D3,RTP4
PRDM5,HK3
CBX7,POMGNT2
NFAT5,TAPT1
EYA2,SERPINB1A
H1F0,RBBP9
NFAT5,ASB13
MED16,ZFP157
ZBTB38,FAM76B
XRCC6,IRGM2
H1F0,CISH
HIST1H1C,GM28875
ARNTL,TYROBP
EYA2,BIRC3
MCM2,EYA2
MED16,IL15
H1F0,INPP5K
MCM2,PLXNC1
MLLT3,SLC2A1
HIST1H1C,H1F0
MCM5,RNF13
VEZF1,DUSP5
PML,ITPR1
ZFP467,ATP13A2
XRCC6,ITGA6
PML,UBE2L6
HIST1H1C,KCTD12
XRCC6,NDEL1
KLF10,NT5C3
H1F0,TIE1
H1F0,SCARF1
TSC22D3,MYO5A
CBX7,PLCB2
PML,OCRL
MED16,GM4951
CBFB,KRT18
NFAT5,TBXA2R
VEZF1,ITSN1
KLF10,SH2D3C
BTG2,CERS4
H1F0,ZFP945
XPC,BC005561
CTR9,FLT3
MYCN,HELLS
PRDM5,UMPS
ARNTL,CD48
KLF10,FAM76B
MYCN,VSIR
KLF10,PLIN2
CBX7,EPSTI1
MEF2A,MPL
CBX7,NAIP5
BTG2,ARNTL
TSC22D3,VEZF1
NFKBIA,RNF13
MCM2,DUSP6
EYA2,IDH1
MCM2,SLCO3A1
MCM5,ANXA2
H1F0,PRKAR2B
NFAT5,GLB1
ARNTL,NFAT5
BTG2,CBFB
HIST1H1C,ESAM
NOTCH1,QARS
EYA2,DENND2D
XPC,BCLAF3
MLLT3,NEAT1
NFATC1,GM20559
CBX7,IIGP1
MCM2,IGTP
NFAT5,DDX4
CBFB,NAPRT
CTR9,CSGALNACT1
ARNTL,BCLAF3
TAF12,ZFR
TSC22D3,MMRN1
ZBTB38,CYP51
SLA2,CTSH
MYCN,STXBP4
VEZF1,PAQR5
NOTCH1,SYTL1
ARNTL,CCNG2
EYA2,ARHGEF3
MEF2A,IRGM2
CBFB,AC174780.1
NFKBIA,FCGRT
ZFP467,IRAK3
H1F0,SSH3
VEZF1,ARL8B
MCM4,UBE2L6
NFKBIA,TBC1D5
PRDM5,VAV3
TSC22D3,TAPT1
MYCN,CTSS
SLA2,RGS2
NDN,PNO1
MYCN,PIK3CG
HIST1H1C,SERPINB9
NFKBIA,IER2
RBL2,TYROBP
CBX7,MILR1
MCM4,SMPDL3A
H1F0,ZFP467
MED16,TRPC6
GATA2,GIMAP1
NFATC1,BCL2
RBL2,PARP8
NFKBIA,COPB1
H1F0,DOK2
MCM2,EZR
IRF7,STK17B
HIST1H1C,MILR1
XPC,ELOVL5
MCM4,CD69
CBFB,SELENBP1
CBX7,SELL
MCM2,CYBC1
PRDM5,AC174780.1
MYCN,SHISA8
MEF2A,TBC1D5
VEZF1,GIMAP8
ZBTB38,FRRS1
PRDM5,GAA
TSC22D3,NUP88
XPC,EBI3
BTG2,ITSN1
PML,IDH1
NFATC1,IL1R1
MED16,GIMAP1
MCM2,WBP1L
NFAT5,OAT
XRCC6,ITPK1
MED16,NCF1
MEF2A,GM5111
H1F0,COPB1
MCM4,TSPAN14
EYA2,HK3
MCM2,NFKBIA
PRDM5,PLXNC1
VEZF1,EPB41L4B
SLA2,PRELID3B
TSC22D3,FDFT1
BTG2,PREP
RBL2,TSC22D3
EYA2,ELOVL6
MLLT3,EFTUD2
NDN,IIGP1
NOTCH1,SH2D3C
VEZF1,ABHD4
NDN,SLC35D3
KLF10,AKNA
NDN,TBXAS1
MCM2,SHISA8
CTR9,CSF3R
PML,TIMM50
MYCN,CHRNB1
NFKBIA,GATA2
MCM4,TOP3B
MEF2A,GIMAP5
CTR9,SLC7A4
IRF7,PYGL
MED16,KCNK5
MCM5,ZMYM3
HIST1H1C,BTK
MED16,CTSL
NFKBIA,DCAF4
NFAT5,IL17RA
MCM4,BIRC3
PML,CASP2
H1F0,JUN
H1F0,4833407H14RIK
VEZF1,ATP2B4
TAF12,PLBD2
CBX7,TFR2
H1F0,UMPS
MCM5,PIP4K2A
CTR9,ZFP945
TAF12,CTSH
PML,SSH3
MCM4,APOE
KLF10,PDK3
PRDM5,IMPACT
CTR9,MPL
MYCN,SDC1
SATB1,RBPMS
PML,DDX4
IRF7,MSH6
NDN,MILR1
HIST1H1C,HSD3B7
VEZF1,VSIR
XRCC6,POR
MYCN,CERS5
CBX7,TSPAN14
CTR9,PRKAR2B
PRDM5,SERPINA3G
SATB1,ATP13A2
NFAT5,FRRS1
MCM5,BC005561
PML,FAM76B
MED16,SLC39A6
EYA2,IL17RA
JUN,MAGED1
H1F0,CSAD
NDN,BC035044
NOTCH1,S100A6
ARNTL,MED16
NFAT5,CTSH
CBX7,FLNA
ARNTL,MINDY1
BTG2,SATB1
PML,IL18RAP
ZBTB38,CEP70
TSC22D3,DNTT
H1F0,SLFN8
BTG2,CCNG2
BTG2,CTSF
HIST1H1C,XRCC6
SLA2,MAP2K1
PRDM5,SLC43A2
MEF2A,PRPS2
NDN,RP2
PRDM5,EPSTI1
VEZF1,TAF12
MCM5,H2-OB
ARNTL,KCTD20
NDN,CD53
MYCN,SCARF1
TSC22D3,ARHGAP15
ZFP467,UBE2L6
MLLT3,IIGP1
MYCN,ADSSL1
NFAT5,CTSF
XPC,CYBC1
RBL2,ICE1
CBFB,GIMAP1OS
EYA2,PAQR5
NFATC1,NOTCH1
NFATC1,RMND5B
CTR9,RNF13
MLLT3,RNF114
SATB1,SERPINF1
CBFB,GM4951
TAF12,SQOR
NDN,OCRL
MCM5,SERPINF1
RBL2,TFEC
KLF10,PYGM
NFKBIA,TSC22D3
MEF2A,PRKCQ
XPC,PDE7A
JUN,ARHGAP27
BTG2,RASSF2
EYA2,TNFRSF13B
TSC22D3,ITSN1
CBX7,2610307P16RIK
RBL2,ROBO4
SLA2,SERPINB9
RBL2,CBX7
IRF7,TYROBP
KLF10,TRIM35
IRF7,PLA2G4A
NFATC1,9530082P21RIK
MCM2,LRRC8C
PRDM5,STK10
ZBTB38,PGRMC1
PML,DNAJC9
MEF2A,GBP7
KLF10,SELENBP1
MCM4,DDX4
NDN,ADA
NDN,RHOH
PML,FES
HIST1H1C,2610307P16RIK
HIST1H1C,HJURP
NFKBIA,SERPINF1
NFATC1,OCRL
SLA2,FUCA2
MLLT3,SLC12A6
TSC22D3,SLC28A2
TAF12,DHRS3
HIST1H1C,TAPT1
TSC22D3,CD300A
IRF7,9030619P08RIK
SLA2,DENND1C
H1F0,F11R
ARNTL,XPC
ARNTL,F2RL3
NFKBIA,1600014C10RIK
IRF7,GBP7
H1F0,GM20559
NDN,PCMTD1
TAF12,ATP2B4
KLF10,GMIP
ZFP467,KIF23
ZBTB38,ABLIM1
CBX7,PWWP3A
PML,INPP1
IRF7,INKA1
MED16,LTB
MEF2A,TESPA1
BTG2,PLIN3
VEZF1,NFKBIA
XPC,UNC93B1
MEF2A,ARHGAP27
NOTCH1,MAN2A2
MED16,DNTT
MCM2,TMOD3
MCM5,ICE1
H1F0,PAFAH1B2
ZFP467,TOP3B
SLA2,ZBTB38
MCM2,IRGM2
NFATC1,LONP2
EYA2,PLXNC1
MCM5,VAV1
NDN,FLNA
ZFP467,NCF1
CTR9,ELOVL6
TSC22D3,MAN2A2
MCM4,4833439L19RIK
KLF10,ABLIM1
VEZF1,GMFB
PRDM5,GMFB
CBX7,PRODH
PRDM5,SELL
TSC22D3,CDCA4
MCM4,GPRASP1
MCM5,ROBO4
XRCC6,PTGS1
SLA2,BTK
MCM4,DNTT
NFATC1,TSPAN14
TAF12,NAIP5
NFATC1,CTR9
MCM5,RNF125
MCM4,S100A6
MYCN,IFI27L2A
CTR9,LIG1
H1F0,IRAK3
XRCC6,RMND5A
JUN,ROBO4
BTG2,TAF12
IRF7,SC5D
ZBTB38,ST8SIA4
NFAT5,RELT
RBL2,RP2
NDN,2610307P16RIK
PML,MAN2A2
CTR9,MUC13
SLA2,RAB37
SLA2,HSD3B7
NFKBIA,MGAT1
PML,TNFRSF13B
MLLT3,MYO1G
RBL2,ZBTB38
XRCC6,ARL6IP6
TAF12,ADGRG3
CBX7,ZFR
NFATC1,B4GALT4
CTR9,FUT8
MCM4,MUC13
EYA2,MAGED2
TAF12,ZFP157
XRCC6,TES
NFATC1,IGHM
ZBTB38,GMFB
VEZF1,SDC4
NOTCH1,PYGM
VEZF1,MYO5A
NFKBIA,SLC35D3
ZFP467,RAB38
BTG2,EZR
NFATC1,CNP
KLF10,P2RY14
EYA2,RELT
XPC,SLC35B4
ARNTL,TPM4
VEZF1,MYO1F
IRF7,RPA2
PRDM5,SYK
KLF10,ZFP367
SLA2,FLNA
NFAT5,CTSS
H1F0,MGAT1
MCM5,RHOF
IRF7,LDHB
MYCN,4833407H14RIK
MCM4,ARHGEF18
PML,AC174780.1
MED16,ARL8B
NDN,LCK
VEZF1,ADSSL1
XRCC6,CYBC1
H1F0,SLC35D3
MYCN,FGD2
ZFP467,PRODH
MYCN,FUT8
XPC,CASP2
RBL2,PML
SLA2,STARD4
TSC22D3,DUSP6
NFKBIA,MED16
VEZF1,DEF8
CBX7,INPP1
