TF,Target
CTR9,STOM
SOX6,SC5D
PRDM16,PTP4A3
PGR,MED16
MCM6,ALDH1A1
PGR,FILIP1L
ID1,CDCP1
PRDM16,MCTP2
MAPK11,TBXA2R
HNRNPAB,PRC1
LDB2,DOCK11
EPAS1,SEPT6
SLA2,PARP8
NFKBIA,TM6SF1
E2F8,JPT1
LDB2,DPP4
HNRNPAB,VAV1
NDN,IGHV11-2
TLE2,KLHDC8B
MAML3,SYTL1
MLLT3,TGM2
TLR4,YBX1
HNRNPAB,HASPIN
NFIA,OSGIN1
PBX1,PDLIM5
MEF2A,KLF10
APBB1,NDST2
IRF8,SLC29A1
MCM5,TOM1L1
MEF2C,TGM2
HIF3A,FAM111A
PML,TMEM147
ZFP111,FDFT1
RARB,DEK
ZBTB20,USP42
NFKB1,CISH
IRF6,MAP4K2
RORA,JAK1
MYCN,HLF
NDN,IPCEF1
EYA2,SLC18A2
NFKBIA,LAG3
FOXO1,GM973
MAML3,FDFT1
ZBTB20,GSTT1
EGR1,ABHD17B
PRDM16,RUNX2
JUN,ACSS1
KLF6,CDCP1
HIST1H1C,TMEM106A
RUNX2,NASP
BTG2,ZFR
LZTS1,THTPA
BATF2,FGFR1OP
CLOCK,1700017B05RIK
BATF2,DENND2D
SOX18,SERPINB9
TCF19,PA2G4
RARB,IL17RA
BTG2,RGS19
IRF8,BC005561
CENPK,SYTL1
ZKSCAN4,ART4
KLF6,UNC93B1
HMGB2,SLC6A6
E2F8,C130089K02RIK
LDB2,CAPG
APBB1,TOMM22
CREB5,SC5D
SOX6,AI504432
SPO11,BC035044
PBX1,MMRN1
HDAC7,SLFN10-PS
ARID3B,AKNA
TEAD2,5430427O19RIK
CREB5,STRAP
MEF2C,PGM1
RORC,NKG7
PBX3,CDCA8
HIF3A,NUCB2
ZBTB20,ELF1
RORA,4930555A03RIK
MCM4,TGFBR1
ARID3B,PRC1
MEF2C,VSIR
THRB,TSPAN2
EYA2,NDRG2
NFE2,SEMA3D
SPO11,HID1
RPS6KA5,SUGP2
NFATC1,IGHV11-2
NFKBIA,THEMIS2
ARID3B,CKS1B
NR3C2,PPIC
MCM7,H2-Q6
PA2G4,CD44
PRDM16,LYN
IRF7,SLC22A18
KLF6,PTGS1
XRCC6,PRKCH
MCM4,GM19590
RPS6KA5,ZKSCAN4
TEAD2,GM4759
ID1,DNAJC9
HIST1H1C,ZFR
H1F0,PLD4
MIS18BP1,RNASE6
VEZF1,ITPR1
NFAT5,JPT1
KLF10,ARL8B
HCFC1,MECOM
TRIB3,CAMK1D
MECOM,MIR17HG
ZKSCAN4,SIGLECG
MEF2C,EMCN
MEF2C,SPTBN1
XRCC6,INKA1
PBX3,GBP5
IRF6,RASA4
VDR,FTX
PRDM16,ZFP367
KLF8,PRMT2
ID1,ORC6
DACH1,BIRC5
ANKRD6,WFDC18
VEZF1,SDF2L1
CLOCK,JCHAIN
LZTS1,NUPR1
IRF7,PANX1
MIS18BP1,NDN
NFATC1,CBX7
ID1,TOP2A
MCM5,TMEM246
SMARCA2,MOGS
ELF1,GM45837
KLF8,RARB
PRDM5,MCM7
EPAS1,IRAK3
CREB5,STK17B
NOTCH1,TNFAIP2
SLA2,SLA
RAI14,BIRC5
RARB,PWWP3A
PA2G4,RAI14
HDAC7,GM20559
TEAD2,GSTM5
MLLT3,MINDY1
KLF6,FGD2
VEZF1,MCM2
HNF4A,TSPAN2
TLE2,IL1R1
KLF6,MN1
MCM6,HSD3B7
IRF8,DEF8
CTR9,GM19590
MEF2A,TMEM176A
HCFC1,RARB
MEF2A,NAPRT
H1F0,PIK3CG
HOXA9,EIF2S1
MCM7,PLPP2
EYA2,NKG7
NDN,E2F8
E2F8,DUSP2
MCM5,GSAP
HMGB2,SLC18A2
RUNX1T1,KIF22
TAF12,WFDC18
ARNTL,TSPAN2
SOX6,NUDT19
NR3C2,GM20559
H1F0,SQOR
MED16,HEXA
PA2G4,TTC39B
NUPR1,MNDAL
RORA,CCDC112
NOTCH1,CD300A
SOX18,TMEM33
CBX7,SLA
HDAC11,MEF2C
E2F8,CD34
ETS1,PWWP3A
MCM6,STXBP4
LZTS1,SDSL
SOX6,SEPT6
AEBP1,IKZF1
TCF19,MAML3
VDR,ANXA4
IRF8,ARHGAP18
HNRNPAB,ZFP53
DEK,IL10RA
MAPK12,CD274
RBL2,RNASE6
NFATC1,H2-DMB2
ZBTB38,TRIM16
APBB1,NR3C2
NFAT5,NPR2
REL,CKS2
XRCC6,BC016579
HIST1H1C,MPZL1
NUPR1,PPP1R9A
KLF8,RBL2
JUN,ZFP467
IRF6,TXNL1
ID1,CD48
PML,GAS2L3
TAF12,RNF38
XRCC6,LYN
DACH1,CD34
CLOCK,SMPDL3A
BATF2,KIF17
SPI1,IL17RE
CTR9,TLE2
EPAS1,CDCP1
MAML3,RALGPS1
HNF4A,CD86
TLE2,E2F8
LZTS1,FUCA2
MAPK11,5430427O19RIK
HIF3A,HACD4
TAF12,BC005561
HNF4A,TEX10
MAML3,NLRC3
RBL2,AC174780.1
MYCN,WBP1L
RAI14,CD34
XRCC6,NDEL1
RPS6KA5,THTPA
RBL2,NDN
AEBP1,PRSS57
ARNTL,ITSN1
ANKRD6,CREG1
XPC,PROCR
CD7,H2-OB
IRF8,MCM2
NOTCH1,NSMF
MCM6,PEA15A
HDAC11,FECH
EPAS1,TFPI
PGR,TRPV2
VEZF1,ARL11
MAPK11,ITSN1
TAF12,EFTUD2
KLF3,STK17B
MCM2,TXN2
BTG2,CD274
KLF8,KNSTRN
HNRNPAB,MAPKAPK3
RORC,CEP70
KLF10,ARID5A
THRB,GPR160
RUNX2,ENDOD1
HNF4A,TOM1L1
HMGB2,RORC
MLLT3,IGHV1-77
CBX7,SRGAP3
RBL2,MMP2
IRF7,NR3C2
XRCC6,GNG11
ZFP111,PIK3CG
ANKRD6,RGS3
TEAD2,FOXO1
SOX18,TRPV2
E2F8,MEIS1
VEZF1,DUSP6
MED16,IL10RA
ZFP111,SQOR
ARNTL,TOM1L1
SPO11,FBXO30
PML,CTSC
MYCN,MBNL3
TSC22D3,ZFP945
IRF6,9030619P08RIK
TLR4,ZFP467
APBB1,TGTP1
PA2G4,SYDE1
NUPR1,ANXA2
PRDM16,UHRF1
MEF2A,GM2A
HMGB2,MAPK11
MAPK12,CSF3R
FOXO1,VDR
FOXO1,GAA
HNF4A,FGGY
RARB,TRIQK
EGR1,GBP4
YBX1,GIMAP6
NFE2,2610307P16RIK
CENPK,RCC1
AEBP1,GM37124
MLLT3,IFT88
HNF4A,DUSP1
YBX1,PLEKHA1
CTR9,IFT88
DEK,UBXN11
SOX6,IRAK3
ZBTB20,PIK3IP1
EPAS1,FGD2
HNRNPAB,SORL1
SMARCA2,IL1R1
CREB5,IGFBP4
ZFP111,PCNA
TCF19,ARHGAP18
NOTCH1,KAZALD1
PA2G4,LDHD
ZKSCAN4,MAPK11
TCF19,ARRDC4
MCM4,SLC2A3
NFKB1,ALDH1A1
MAPK11,SELENOP
MCM7,NDN
MCM5,NEDD9
HNF4A,GPR160
RBL2,PEA15A
TLE2,SLC2A1
IRF7,SERPINB6A
THRB,PSTPIP1
PGR,SERPINB1A
MECOM,CYP51
CBFB,5430427O19RIK
IRF7,SLCO3A1
XRCC6,TFR2
NFATC1,PGR
PBX1,NUDT19
EPOR,PNO1
TLR4,TLR7
SPO11,H2-DMA
CREB5,ZFP62
SOX6,SNN
MCM7,USP11
PGR,IFI206
KLF3,SLC18A1
KLF6,MAP3K2
APBB1,DPY19L3
NFE2,ENPP4
EYA2,SAMSN1
HOXA9,SOX6
CLOCK,RPGRIP1
NFAT5,TRIM47
BTG2,GPSM1
NFE2,EPOR
ARNTL,IL17RE
SOX18,SERPINB1A
VDR,TSPAN2
THRB,ICAM1
MCM6,ARHGEF3
MCM7,STXBP4
THRB,KIF20B
SMARCA2,H2-DMB2
HDAC11,RUNX1T1
HIST1H1C,USP3
TRIB3,IL12A
MAPK12,GPR171
ZFP111,ARHGAP27
CREB5,SPC24
MAML3,ICE1
MCM6,HOXA9
PRDM5,BTK
PGR,CTSH
NFKBIA,SLC5A6
RPS6KA5,SDSL
RBL2,SLC44A2
NDN,CFP
NFE2,NGLY1
MCM6,SLC35D3
VEZF1,ITGB2
VDR,IMPACT
TTF2,KNSTRN
CREB5,IRAK3
NDN,JCHAIN
NDN,THRB
TLE2,MYO1F
IRF6,CERS4
THRB,NWD1
PBX1,TXNIP
APBB1,F2RL3
PML,TYMS
ETS1,PARD3B
PHC1,B4GALT6
MECOM,TIMM50
CLOCK,SC5D
FOXO1,LAX1
E2F8,WDSUB1
MED16,CD52
RPS6KA5,NFAM1
RAI14,PLD4
MCM6,HMGB2
SPO11,RNF38
RAD51,SSH3
EPAS1,CD63-PS
GFI1B,TEK
ZBTB20,OTUB2
CENPK,ICE1
ZBTB20,KLHDC8B
KLF8,BACE1
SLA2,ZFP949
DEK,TBXAS1
MED16,DENND1C
H1F0,HEBP1
ELL2,ARL6IP6
NFE2,SQOR
ELL2,DUSP2
MYCN,RSL1
YBX1,SULT1A1
THRB,SNX30
GFI1B,BC016579
EPAS1,CD48
TEAD2,NEURL3
MCM6,NAV1
HLF,DUSP6
ZFP467,RAMP1
HNF4A,KIF20B
RAD51,INKA1
CLOCK,UBXN11
TAF12,RARB
CREB5,MCM4
MYCN,ABCG2
TAF12,CDCA4
TLE2,THRB
KLF6,YBX3
HNF4A,ADA
TEAD2,NT5C3
SPO11,GM11346
E2F8,TGTP2
NFE2,PCNA
MCM7,VAMP1
PHC1,NUBP2
XPC,PRMT2
TRIB3,CALHM2
PGR,PRMT9
ARID3B,CLDN12
XPC,PAQR7
CLOCK,STK17B
MAPK12,EPB41L3
MED16,PRR5
NFATC1,C1RL
RARB,RMND5B
VDR,TOM1L1
PRDM5,PHKB
PGR,PLXDC2
VDR,ATP8B4
MED16,HAT1
PBX3,GM7694
GFI1B,GIMAP1
YBX1,GPSM1
TCF19,FIGNL1
YBX1,CSF3R
NDN,SLC7A4
PRDM16,MCM6
NFIA,EIF2S1
CREB5,TFPI
HDAC11,BICD1
PHC1,HSPH1
KLF6,ANO10
NFKB1,USP11
APBB1,CPQ
AEBP1,GLRX5
MCM4,S100A6
RUNX1T1,EZR
SOX18,PLXDC2
EPOR,PLBD2
NFE2,ARHGAP27
KLF3,ANXA2
CTR9,TMEM268
MCM4,NFIA
NFAT5,PIK3CG
PBX3,SERPINB6A
H1F0,LAX1
BTG2,SLC25A37
NDN,GM20342
MCM2,GMIP
SOX18,OTULINL
RARB,ITGA5
MCM4,GORASP1
APBB1,BPIFC
MAPK12,MGAT1
CTR9,USP42
HIST1H1C,BC016579
PBX1,FGD5
PBX1,IRF8
CBX7,ITGAL
EPAS1,CD9
MLLT3,EEPD1
BTG2,GNG11
NOTCH1,B4GALT4
NFKBIA,POMGNT2
NFKBIA,ZFP248
TRPS1,LY6A
HOXA9,RHOH
KLF8,FAM169B
NFE2,GUCY1A1
VDR,YBX1
SLA2,POLA2
HIST1H1C,APLP2
MIS18BP1,NDST2
MECOM,8430419K02RIK
HIST1H1C,RAD51AP1
GATA2,AC174780.1
KLF6,SLC25A53
MECOM,EGR1
BTG2,ZBTB38
MYCN,DIP2B
HDAC7,RCC1
MAPK11,LACTB
HNF4A,PDE7A
APBB1,CPXM1
HDAC7,GM973
GATA2,GIMAP5
MCM5,MAGED2
PHC1,MNDAL
EPAS1,SLC39A6
ZBTB20,GM45837
MCM2,CTSG
TLR4,CYBC1
MLLT3,NFIA
MCM5,TMEM106A
NUPR1,ZC2HC1A
AEBP1,9530082P21RIK
KLF8,NOTCH1
MED16,METTL7A1
SPO11,DDX4
MAPK11,ELOVL5
REL,PIK3IP1
ZBTB20,TNPO1
ZFP111,SYDE1
E2F8,CD244A
CBX7,POLA2
ETS1,BPIFC
MCM4,C1QBP
NR3C2,RCC1
ELF1,LDHB
CLOCK,POLD1
EYA2,EBI3
XPC,DUSP6
LZTS1,JUN
RAD51,GIMAP1
CTR9,PTPRE
