TF,Target
MLLT3,PLEK
NFATC1,SAT1
XPC,FUT7
SLA2,ANXA2
MLLT3,GPRASP1
NOTCH1,SHISA8
PRDM5,STXBP4
TSC22D3,PRELID3B
IRF7,TAF12
NDN,PLEK
TAF12,SLA2
XPC,PGLYRP2
KLF10,RCN2
SLA2,CALCRL
VEZF1,PACSIN2
ZBTB38,DDX4
MYCN,ITSN1
HIST1H1C,PIK3CG
VEZF1,IL17RA
RBL2,UMPS
EYA2,RBL2
MCM2,IL15RA
TAF12,NFAM1
ZBTB38,PLCG2
MEF2A,SERPINB1A
PRDM5,RNASE6
BTG2,PACSIN2
TSC22D3,MSH6
MLLT3,GAA
CBX7,CYBC1
TSC22D3,C030034L19RIK
SATB1,PIP4K2A
NFKBIA,DUSP1
TSC22D3,RNASE6
H1F0,TCIRG1
TAF12,IFI27L2A
SATB1,RASSF5
H1F0,SQOR
NFAT5,H1F0
KLF10,CD9
MLLT3,PAQR5
KLF10,OBSL1
GATA2,CYBC1
NDN,PRKCQ
SATB1,CSF2RB
CBFB,TESPA1
PRDM5,MAGED1
SLA2,ALDOC
MYCN,MYCT1
SATB1,PAFAH2
NDN,GATA2
NFATC1,PRPS2
ZBTB38,CASP2
MYCN,SLC28A2
BTG2,SQOR
PML,CTSS
MEF2A,ART4
MEF2A,SLC2A3
TAF12,FUT8
PRDM5,APLP2
TSC22D3,RCN2
KLF10,CALCRL
NFAT5,TPST2
