TF,Target
LDB2,FNDC3A
APBB1,SELL
CLOCK,GEM
MYCN,GGT5
ARNTL,ENPP4
PRDM5,CCDC112
RARB,SLC22A3
LZTS1,PBX3
THRB,IRF6
TTF2,YOD1
IRF8,TOMM22
MECOM,CCND3
TSC22D3,CORO2B
LDB2,TSPAN3
MCM5,RPTOR
TLR4,MAMDC2
XRCC6,GNG11
SMARCA2,GCLM
NUPR1,ZFP248
E2F8,TPM4
MYC,RPTOR
NFIA,ENG
PGR,ALS2CL
EPOR,PEA15A
HIST1H1C,BCLAF3
FOXO1,PAG1
MAPK11,C1RL
TLR4,HOXA9
SATB1,HGFAC
NFATC1,SYTL4
ETS1,TIMM50
MEF2A,FTX
HIST1H1C,LY9
CLOCK,TMEM268
KLF8,ARHGAP18
MEF2C,RPS6KA5
DEK,ABLIM1
THRB,LY6A
NOTCH1,ME2
CD7,PLXNA4OS1
CENPK,MSH6
HIST1H1C,NFKBIA
GFI1B,PLA2G4A
NFIA,SLC26A11
NFE2,ALDH1A1
IRF7,PSEN1
CREB5,TMEM176A
TRIB3,CSGALNACT1
HOXA9,SNAP47
TEAD2,CKS1B
EYA2,SEPT8
SLA2,SLC25A53
IRF6,RASAL3
SPO11,DUSP5
PHC1,CLIP3
ARID3B,IER2
RORC,HNRNPAB
TSC22D3,VEZF1
CENPK,KCTD12
NFAT5,HLF
RAD51,IFT88
BTG2,LY9
HIST1H1C,OCRL
KLF8,BTK
MAPK12,MAP3K2
TRIB3,GSAP
MYC,EIF2S1
ZFP111,MINDY1
NDN,EPOR
HDAC7,TM6SF1
RAD51,TFPI
HIF3A,IRGM2
PA2G4,KLF6
MCM2,TBXA2R
NFE2,KDM7A
ZBTB20,ASAH1
MEF2C,CDT1
GATA2,ELOVL5
PBX3,SERPINB6A
E2F8,PITPNC1
MAPK12,PRKCD
PBX3,MPL
MCM6,VEGFC
DEK,LHCGR
HLF,ID1
MEF2C,FGGY
CBX7,OTULINL
SMARCA2,SLC12A2
NFKB1,RASSF2
CBX7,QARS
EPAS1,PIK3R1
VDR,ELANE
ZFP111,ANXA4
ESR1,THBS1
TTF2,MIS18BP1
E2F8,SMPDL3A
JUN,F2R
TLE2,HDAC7
KLF10,C1QTNF12
BATF2,AP1G2
LZTS1,ARPP21
ELF1,ZFP945
YBX1,PLEKHA1
TAF12,RAG2
RPS6KA5,RNF13
NOTCH1,FAM111A
MYC,FILIP1L
SLA2,UBA7
ELL2,PGLYRP2
XPC,CD33
EPAS1,ZNRF2
NOTCH1,FLNA
RBL2,RIPOR2
RAI14,ZC2HC1A
TLR4,ELL2
ARNTL,HAT1
HNRNPAB,IL1R1
SPO11,ERP29
MECOM,MYO1F
ZBTB38,KPNA3
TLR4,H2-DMA
KLF3,GGT5
NFKBIA,HJURP
TCF19,MYC
MYC,PRDM5
RAD51,AC174780.1
KLF6,SERPINA3F
RORA,PDE4B
NDN,TOMM70A
ZFP467,GCNT1
HMGB2,PAG1
THRB,FCHO2
H1F0,TFEC
HCFC1,RUBCNL
ZKSCAN4,CD9
MED16,HSPA1A
TTF2,CASTOR1
HOXA9,SPNS3
XPC,TEC
RUNX1T1,SLC26A11
RAI14,ESAM
HNRNPAB,DDX39
SATB1,VLDLR
ID1,RUNX1T1
SOX6,POLA2
THRB,ADORA2A
SLA2,PRELID3B
MLLT3,PGM2L1
ELF1,NCAPH
THRB,LDLR
BATF2,IFI209
NR3C2,DCAF4
MLLT3,RGL1
HDAC7,TSC22D3
ZFP111,SLC37A1
VEZF1,ZBTB20
NDN,SEPT6
PML,ENG
PRDM16,RIPOR2
NFKBIA,SLC43A3
TSC22D3,CFP
TCF19,PSEN1
HIF3A,TMEM147
NAP1L3,HSD3B7
NAP1L3,EPB41L4B
XRCC6,EFTUD2
NUPR1,HASPIN
RBL2,AKAP8L
ZFP111,ARHGAP15
SOX6,LONP2
PBX3,GPR171
REL,EEPD1
RORA,HDAC7
APBB1,HSD3B7
KLF8,TEX10
HNRNPAB,TGM2
HNF4A,CIPC
HMGB2,FPGT
MCM6,ARHGEF3
IRF8,ZMIZ1
HLF,PLBD2
AEBP1,PTP4A3
HDAC7,IL1R1
DACH1,SRGAP3
VEZF1,NAGA
ARID3B,NUBP2
E2F8,RASA4
TAF12,CASP12
MCM2,MCTP1
SMARCA2,ZKSCAN4
IRF8,TSPAN14
TLR4,PRDM16
GFI1B,IGHM
PBX1,SPO11
E2F8,MPZL1
VDR,WFDC18
PHC1,ARL8B
NR3C2,MAPK11
BATF2,MYCN
MAPK12,OAT
XPC,PLPP2
NR3C2,SPI1
MCM6,CTPS
HOXA9,RASSF2
TLE2,TMEM33
TLR4,E2F8
REL,RPTOR
KLF8,H2-DMB2
ELF1,TIPIN
IRF7,HEATR5A
BATF2,CTNNAL1
RAI14,MEF2A
DEK,SLC2A1
NFKB1,AP1G2
CBFB,ABHD17B
TTF2,NDN
HNRNPAB,RORA
EPOR,ABCD3
IRF8,KCNK5
MEIS1,STAM2
PBX3,STAM2
HIF3A,EGR1
MED16,ANO10
CTR9,POMGNT2
CD7,INSIG1
MYC,MAST3
MCM6,PLSCR4
MED16,DPY19L3
RAI14,NAPSA
MAPK11,IFI203
APBB1,RGL1
ZFP111,TXN2
VEZF1,ADORA2A
NFE2,TCIRG1
APBB1,IPCEF1
MAML3,GPR160
RPS6KA5,NKG7
ARNTL,GSTM1
HDAC7,PTP4A3
HIF3A,NASP
RAI14,GP9
AEBP1,NCF1
HNRNPAB,FNDC3A
KLF8,CRYZ
PBX1,HDGFL3
KLF10,MAMDC2
PRDM5,TNS2
RAI14,SLC6A6
HMGB2,TGTP2
NFE2,DEF8
PGR,NDRG3
MIS18BP1,SOCS2
RUNX2,UQCRFS1
MAPK11,ASNS
CENPK,RNF114
MEF2C,TTC39B
MEF2C,GORASP1
ID1,MYO5C
LDB2,IMPACT
TEAD2,PGM1
PML,ICA1
EGR1,ATP2B4
MYCN,GMIP
RARB,EIF3G
RBL2,JCHAIN
RARB,SLC28A2
ARID3B,DUSP6
BATF2,RPGRIP1
MCM4,GP9
HNRNPAB,SMIM15
GATA2,GBP5
NFATC1,FGFR1OP
HLF,AC174780.1
TCF19,BCL2
LZTS1,SLC16A10
MECOM,LYN
MLLT3,FAM111A
NFKBIA,CCRL2
TLE2,PCLAF
SOX6,CYTH3
IKZF1,ADSSL1
HMGB2,FAM169B
GFI1B,AFDN
RAD51,NUP88
MEF2C,OASL2
LZTS1,E430014B02RIK
ZKSCAN4,CD34
THRB,HEXA
TRPS1,SLC2A1
SPO11,CCNG2
ESR1,ZKSCAN4
SPI1,IIGP1
MEF2A,LIG1
APBB1,CBX7
JUN,ATP8B4
EPOR,ADSSL1
HOXA9,RNASE6
NAP1L3,NUBP2
LDB2,GIMAP1
MCM5,FAM110C
SLA2,SERPINB6A
RORC,CSGALNACT1
SATB1,P2RY14
ID1,DUSP6
THRB,SERPINB6A
CLOCK,GPRASP2
MCM4,AZIN1
TRPS1,BPIFC
KLF8,JPT1
TCF19,GATA2
MYC,ELANE
IRF8,FKBP9
MCM4,LYN
MIS18BP1,OAT
RUNX1T1,PRDM16
PGR,SQLE
FOXO1,SUGP2
PRDM5,ABCF3
CLOCK,SYDE1
PA2G4,SEPT8
TAF12,IGHV1-81
ETS1,MAML2
XRCC6,PYGM
TLE2,EMB
EPOR,TYMS
PML,BLNK
XPC,MMRN1
RORA,PHKB
ID1,PRODH
RARB,CTNNAL1
THRB,PTP4A3
RBL2,KRT18
MEF2A,IPCEF1
NDN,CTSB
TTF2,SLCO3A1
MEF2C,SELENBP1
ZKSCAN4,FDFT1
EPAS1,SELENBP1
NFE2,FLT3
MCM2,LAX1
ELF1,RAB27B
JUN,PIK3IP1
APBB1,MAP2K1
MEF2C,DEK
ZKSCAN4,B230219D22RIK
HIF3A,AZIN1
TLE2,CDC6
IRF6,MAP4K2
NOTCH1,SNX10
SPO11,TOM1L1
CBFB,STRAP
HMGB2,ARID3B
ANKRD6,KIF23
APBB1,ZFP949
HLF,TMEM106A
YBX1,STARD4
MCM5,CD93
HDAC7,STK10
IRF6,SLC12A6
KLF3,LACTB
CBFB,BLNK
MYC,MCM7
CTR9,ADGRL4
NUPR1,PCLAF
TRIB3,THBS1
MCM2,CD93
KLF6,UBL4A
TSC22D3,SFXN1
HNF4A,PLCG2
ELL2,ST8SIA4
PRDM5,MICAL1
MIS18BP1,TNFAIP2
NAP1L3,HACD4
SPO11,TCF19
ARID3B,CCNA2
THRB,ITM2A
MIS18BP1,MCM7
HLF,CHST11
SLA2,DENND1C
RPS6KA5,TFR2
GFI1B,BATF2
ID1,MED16
HIST1H1C,SLCO3A1
MIS18BP1,STRAP
KLF10,FUT8
LZTS1,RAMP1
MYCN,PRMT2
XRCC6,MTMR6
HDAC11,MGAT1
RAD51,CD7
RORA,APP
ZFP111,LYZ2
TTF2,RHOF
EPOR,PGRMC1
DEK,MAN2A2
TTF2,MYC
TAF12,UPP1
HIST1H1C,HSPH1
NFKB1,DOK2
HLF,HNMT
NUPR1,RGCC
PRDM5,GBP2
TCF19,CAD
LZTS1,SLC25A37
XPC,CDC7
LZTS1,P2RX1
ESR1,SLFN2
LZTS1,YOD1
MEF2C,ASB13
HCFC1,TMEM206
ELL2,TRIM59
TLR4,PRIM1
LDB2,GBP9
EPAS1,ZBTB20
ARNTL,GIMAP1
HMGB2,TSPAN6
CTR9,TFEC
CENPK,OCRL
ZBTB20,SLA
TAF12,CYP2J6
KLF3,VEGFC
MCM7,RAG2
EGR1,FLT3
MED16,TXNL1
IRF7,NFAT5
PHC1,SUOX
CD7,PPP1R9A
NFIA,ARHGEF39
ZBTB20,IGHV1-81
IRF6,RHOF
ANKRD6,CSF3R
TRPS1,RGS2
HIST1H1C,RHOF
ZBTB20,SELL
ZBTB38,AP1S2
ID1,TXNRD3
ANKRD6,HMGB2
NUPR1,LRRC8C
MED16,CD63-PS
CBFB,PYGM
PHC1,BTG2
CBX7,GIMAP5
H1F0,TMEM14C
CBFB,THBS1
RUNX2,PRKCH
PRDM16,ARFGEF2
ZFP467,ZFP367
MED16,UBE2L6
CBFB,PSMC4
BATF2,FAM111A
EGR1,PTTG1IP
MAPK12,ZFP53
PRDM16,INPP1
LZTS1,PA2G4
MED16,ABCG2
PBX3,FSTL1
AEBP1,NEAT1
ANKRD6,GM4951
TAF12,SERPINF1
IRF8,UBL4A
ZBTB38,TAPT1
RUNX1T1,IGHV1-81
JUN,ADORA2A
RAD51,MINDY1
NFKBIA,SHISA8
NR3C2,RPGRIP1
PRDM16,ANO10
NFAT5,UNC119B
KLF3,DIP2B
SPI1,MAML3
ELF1,PRKCD
GFI1B,B4GALT4
HNRNPAB,AP1G2
TCF19,PKIB
MEIS1,4930555A03RIK
MAML3,VDR
NFATC1,SLC43A3
TEAD2,GYPC
FOXO1,DUSP2
RARB,E430014B02RIK
SLA2,2810468N07RIK
ESR1,RPTOR
PHC1,CCDC112
KLF8,TBC1D5
MEF2A,FLNA
DACH1,TXNRD3
FOXO1,RSL1
NFIA,MYO5A
MLLT3,FGD2
HCFC1,TTF2
NOTCH1,GM1966
HDAC11,SNN
DACH1,APBB1
ZFP111,CIPC
SATB1,SORL1
TCF19,ELMO3
NR3C2,ZMIZ1
MCM7,PGM1
MCM6,MYO5C
TEAD2,RNF38
ARID3B,PA2G4
MIS18BP1,IRAK3
ANKRD6,F2RL3
EPAS1,KLHL4
REL,SSH2
RORA,GIMAP8
NOTCH1,ABHD4
ZBTB38,SPNS3
GATA2,CD200R1
NFE2,IL18RAP
PML,MEF2C
RAD51,PROCR
CBFB,PDGFRB
TTF2,MAN1A
FOXO1,LTB
TSC22D3,RAD51
VDR,FKBP9
CLOCK,MAP4K2
MCM5,PPIC
H1F0,POR
PBX3,KLF10
EPAS1,IFI213
NR3C2,EEPD1
NR3C2,ARL8B
MEIS1,KIF23
HLF,NDST2
MAPK11,FUT8
CTR9,MYCT1
REL,DHFR
E2F8,MAML2
E2F8,NAV1
NAP1L3,MYLK
NFKB1,PRKCQ
RAI14,UBA7
CTR9,TLR7
PGR,SLC5A6
EYA2,RUNX2
ZBTB20,CBX7
RUNX2,GM10384
CTR9,PDGFRB
RORC,DTL
NFKB1,ABHD4
VDR,PREP
KLF6,PLCG2
HIST1H1C,MAN1A
HIST1H1C,PGLYRP2
NFATC1,TOM1L1
HNF4A,OTULINL
PRDM16,NFAM1
RUNX2,INSL6
ID1,TOM1L1
TLE2,CDC45
KLF6,2810468N07RIK
ETS1,CSAD
SATB1,MAGED2
ELF1,SLC18A1
SPI1,H2-AA
MYC,ITGB2
E2F8,ARID5A
CD7,SATB1
KLF8,SSH2
BTG2,MEF2A
ID1,HDAC7
IRF6,LHCGR
ARNTL,ZFP248
PBX1,PLD4
SOX18,PTGS1
ARID3B,PLXNC1
PRDM16,ENDOD1
CENPK,CLIP3
CD7,AFF3
ESR1,RASAL3
HNF4A,ARHGAP18
LDB2,NFKBIA
CREB5,CAV2
ID1,CBFB
CD7,INPP5K
HIST1H1C,CDCA5
RBL2,ELANE
SOX6,SEMA3D
MEF2C,SLC31A2
ID1,PIRB
SATB1,GMFB
GFI1B,ARHGEF18
YBX1,RGL1
IRF7,CASTOR1
NDN,IL1R1
NAP1L3,SLC37A1
EGR1,MCM4
KLF3,F2RL3
SPI1,FGFR1OP
HMGB2,TSPAN3
NFATC1,ARHGEF39
RORA,DEK
MECOM,OAT
