TF,Target
CITED2,GM33051
ZBTB10,GM10052
KLF3,GM24315
HSPB1,CCNE1
TFCP2L1,SERPINE2
FOXQ1,NUP62CL
DAB2,SHKBP1
KLF6,GM26073
BHLHE40,SOX2
UTF1,MYBL2
DAB2,BMPER
BHLHE40,TUBB2B
UTF1,LIFR
MYBL2,HS3ST1
HMGA1,MIR3082
BHLHE40,GLDC
TCF7L2,MIR466O
CREB3,MIR7003
TRP53,ASAH1
HMGA1,SNORA65
NFXL1,GM28900
TRIM28,CDCA7
ID2,MYO1C
KLF4,SNORA68
FOXH1,GGTA1
SMARCA2,HS3ST1
MSC,NUP62CL
EGR1,MIR669E
NANOG,2210409E12RIK
NANOG,SLC38A4
NANOG,MYH9
RLIM,SERPING1
TCEA3,GM23569
DNMT3B,HIST1H3H
ID1,GM26229
DAB2,GM24339
ILK,ALG13
DAB2,GAS6
TGIF1,MIR669A-3
ETV5,GM23288
RBPJ,GM37917
PEG3,GM20721
ZBTB10,CALR
NR0B1,MYMX
ZFP42,HIP1
HSPB1,CLCN5
ESRRB,GM25787
MYCN,NUSAP1
CITED2,CTSD
PARP1,SELENOW
NFXL1,GM42413
ETS1,SNORA31
ZFP42,MCM10
CITED2,ALPL
PHC1,SETX
SOX7,TCF7L2
SUZ12,SNORA62
UTF1,DNMT3B
SOX17,PIPOX
FOXQ1,GM10925
ID2,GM26109
FOXQ1,IFRD1
DAB2,PLK1
TGIF1,LNCENC1
ELF3,GM44335
DAB2,GM23542
NR0B1,LGMN
PML,DNMT3L
NR0B1,IFRD1
HIST1H1D,MIR186
DAB2,TSPAN9
CCND1,HSPH1
AKT1,HDLBP
ZFP42,RIAN
JARID2,TDGF1
DNMT3L,GM25040
TRP53,CR1L
KLF3,GM44380
RLIM,HIST1H2AI
BCL3,CITED2
JARID2,TENM4
NFXL1,HMMR
PML,GM22411
EGR1,GM27640
EGR1,SNORA73B
DTX1,PNRC2
TGIF1,NXF7
SOX7,NDRG4
MCM6,SMS-PS
PCBD1,SNORD11
JARID2,MFSD1
MYBL2,GM25057
DNMT3A,RNU73B
CREB3,GM42429
ZFPM1,CARMIL1
KLF2,AQP8
KDM5B,SLC7A3
RBPJ,HSPA5
SMAD7,FNDC3B
BHLHE40,EPHA2
ID1,VILL
ETS1,SLC26A10
CREB3L2,CDH1
HNF1B,FOXH1
NR0B1,DAB2
KAT2B,KLB
DNMT3L,MARCKS
PEG3,WDR1
HMGA1,LMF2
POU5F1,CLCN5
EPAS1,PTH1R
CCND1,NSD2
RUNX1,GM14567
MYCN,CDC20
KLF6,TCL1
ETV5,ZFP57
BMP4,PEG3
HMGA1,GALK1
NFXL1,CSRP1
POU5F1,ATP6V0A1
NANOG,GM43521
JARID2,SNORA3
TCF7L2,CTH
SOX2,RBPMS2
CBX7,GHR
EHMT2,APAF1
UTF1,SNHG3
FOXQ1,GM10182
KDM5B,PGAM1-PS2
CBX7,ODC1
CCND1,GM24494
KLF2,WDFY1
SOX2,GM27743
AKT1,NDRG1
ZFPM1,GM15899
SMARCA2,GM17538
ZFP42,GM9531
ELF3,ACTG1
MDM2,RPS27RT
MSC,FAM102A
ETV5,ARIH2
ELF3,PLEKHA7
SOX17,CTSL
RLIM,MYO5B
CBX7,MYCN
TGIF1,MSI2
RBBP7,GM10259
EHMT2,SPOCK1
JARID2,GM24494
RBBP7,ETS1
ESRRB,TDGF1
KLF2,PLATR14
TAX1BP3,CFC1
ILK,FRRS1
BHLHE40,GM22858
HNF1B,LIFR
RBPJ,PATJ
DAB2,CCND1
POU5F1,SNORD72
DNMT3L,SLC38A4
BCL3,MIR669G
DNMT3B,MIR763
