TF,Target
MYBL2,GM4735
UTF1,MME
ZFP42,LAMA1
ELF3,BMPER
JARID2,MYO5B
HSPB1,TUBB6
ETV5,LOXL2
TAX1BP3,MIR669I
GATA6,CTBP2
NANOG,GM22571
SMARCA2,GM24523
HMGA1,GM25701
SOX2,GM26287
RBPJ,GM43002
ILK,GM22411
HSPB1,NUP62CL
MYBL2,PLAUR
MDM2,LAMB1
CITED2,BHLHE40
SUZ12,SNORD83B
ZFP42,SNORD32A
ILK,GM25263
JARID2,CDCA7
ESRRB,ETS1
ZBTB10,MIR295
AKT1,PLOD1
TCEA3,GM28960
MSC,BTG2
KLF6,NUSAP1
JARID2,SNORD34
SOX2,ESRRB
FOXH1,GM23344
DNMT3L,CTBP2
TAX1BP3,SNORA31
DNMT3B,SPRY2
HIST1H1D,HIST1H2AI
KAT2B,GOT1
CITED2,GM25057
CITED2,GM3788
RLIM,SMAD7
RLIM,SNORD58B
RBBP7,APOBEC3
XBP1,SNORD93
KDM5B,PDIA3
ZFP42,BNC2
BCL3,CHCHD10
UTF1,MIR669E
MSC,KLF3
DNMT3B,VAMP8
ZFPM1,TAGLN2
UTF1,MIR186
PCBD1,DENND2C
DNMT3L,COL4A1
FOXQ1,AURKA
SOX17,ZFP710
RUNX1,EGR1
NFATC2IP,GM28960
UTF1,ZFP710
PHC1,MPP1
KDM5B,HIST1H2AL
SOX2,KDM3A
FOXQ1,GFPT2
MCM6,CSRP1
NR0B1,PCOLCE
ILK,MDM2
SOX7,STXBP2
ETV5,PTH1R
KPNA2,SNORA21
SOX2,GLDC
CCND1,NID1
FOXH1,SDF2L1
NR0B1,ULK1
NR0B1,SETX
DTX1,GM22678
HIST1H1B,D230025D16RIK
AKT1,MIR669A-2
MYCN,KHDC3
BHLHE40,GM44335
DNMT3A,SNORA81
ETV5,GM44320
KLF4,GM10052
ELF3,SMARCA2
MCM6,TCF7L2
EGR1,LAMB1
TCF7L2,MIR3535
PARP1,GM24497
BMP4,HIST1H2AF
ETS1,SUZ12
RBPJ,HIST1H2BL
SMAD7,GM42413
DNMT3B,CSRP1
DNMT3B,MFSD1
NR0B1,GM15446
KLF2,GM27390
ZFP42,HIST1H4D
JARID2,FKBP11
RUNX1,DKC1
ETV5,ATP6V0A1
KLF2,GM23833
NANOG,HYOU1
TGIF1,GPX3
TCF7L2,PODXL
TRIM28,STAG3
SOX2,SOX17
DNMT3A,GM25193
HIST1H1B,L1TD1
ETS1,NFXL1
ID1,GM28010
BHLHE40,GM47315
HIST1H1B,LAMC1
EGR1,GM10108
SOX2,MT2
SOX2,APOE
SOX17,CD81
PHC1,SNORA26
PCBD1,ST5
BTG2,MIR7005
ZFPM1,DKC1
MYBL2,GM22677
CREB3L2,CDCA7
EGR1,HSP90B1
CCND1,GM27743
GATA6,ITGA6
RLIM,F2R
KPNA2,HIST1H2BN
PHC1,UTF1
KLF6,GM15446
HMGA1,GM22571
DNMT3A,GM24346
ELF3,SPRY2
CBX7,EDA2R
SOX17,GM26287
DTX1,PDIA5
ILK,SMS
GATA6,LY6E
SOX2,GM23344
SMAD7,SFI1
ZBTB10,GJB5
ID2,GLIPR1
SMAD7,MIR3473F
EED,TDGF1-PS1
FOXQ1,SUZ12
NFXL1,UBE2C
PARP1,ZFPM1
DTX1,TFEB
PCBD1,SNORA28
CCND1,PLK2
SMAD7,SNURF
TRIM28,CDC20
PEG3,PODXL
ZBTB10,IFI30
TRIM28,GM25535
KLF6,TYRO3
TFCP2L1,GJA1
EHMT2,SNX1
RBBP7,CALM1
TGIF1,GLDC
KAT2B,RBM38
DAB2,GM26491
SMARCA2,FBXO5
TFCP2L1,RPS27RT
BCL3,GALK1
TCEA3,RPL23A-PS3
ID1,MYLPF
ZFP42,ANP32A
BMP4,HMMR
SMARCA2,DKC1
ID1,CD81
HIST1H1B,MIR466B-4
AKT1,KLF2
RBBP7,GM26426
DNMT3B,ALPL
DTX1,STARD10
TRP53,CTDSPL
HMGA1,EMB
DNMT3B,ATP13A3
SOX7,F2R
RBPJ,CDC42SE2
KLF6,SNHG5
GATA6,EED
NFATC2IP,GM27640
AKT1,MIR291B
EGR1,GM24564
CREB3L2,SPARC
ZFP42,PLAUR
BMP4,UBALD2
ELF3,GM15452
CITED2,BCAT1
DNMT3A,PLEKHA7
BTG2,CARMIL1
ILK,CALU
BMP4,PFKP
KAT2B,FXYD3
NFXL1,GM44206
GATA6,BNC2
HIST1H1D,GM6158
PEG3,HIP1
GATA4,GM25117
RLIM,PARVA
ID1,GM26156
TCF7L2,EIF2S2
KAT2B,TRIM28
CITED2,GM10259
DAB2,SNORA73A
MYBL2,IL33
ESRRB,UTF1
KDM5B,SGK1
GATA6,RBMS1
GATA4,MSI2
DTX1,HIP1
POU5F1,GM24488
RLIM,GM25787
BHLHE40,GM37917
BTG2,HIST1H1B
DNMT3L,JPT1
BCL3,HIST1H2AN
TAX1BP3,GM25500
HIST1H1D,MSC
EED,CENPF
ETS1,SNORD49A
EPAS1,XBP1
TGIF1,NR0B1
CREB3L2,UCHL1
EHMT2,AMPD2
MYCN,CDH1
SOX7,GPA33
ZBTB10,KIT
ZBTB10,GM22051
PARP1,UNG
PHC1,FLRT3
RBPJ,SNORA68
TAX1BP3,MCM6
TGIF1,RBBP7
TFCP2L1,KRT8
KLF6,GM25316
CREB3L2,GM4322
NANOG,GM43940
NR0B1,CKAP4
ZFPM1,TXNDC5
ETV5,RUNX1
TRIM28,GM25195
MSC,GASK1B
ID1,CDC20
NANOG,GM25636
ID1,PLAT
ETS1,CCND3
ZBTB10,SHKBP1
TGIF1,TMEM144
NANOG,AQP3
KLF2,PDGFRA
ID2,KLB
UTF1,GM28960
SOX17,ZFP979
PCBD1,GM26491
SOX7,PDCD6IP
RBBP7,GM23571
KLF6,CCNF
PML,SNORA41
DTX1,ODC1
JARID2,RSRP1
SOX17,ENAH
TCF7L2,GM12112
DNMT3B,SLC16A1
TGIF1,DKC1
SOX2,GM28030
ZFPM1,EFEMP2
DAB2,GM24523
DNMT3A,ISYNA1
FOXQ1,LRRC2
DNMT3L,BMP4
ZFP42,GM26431
UTF1,SNORA3
ID1,RPL22L1
ID2,GM12276
HIST1H1D,UBE2C
KLF6,TMEM150A
EHMT2,CALD1
KLF3,MIR5117
CITED2,SMS-PS
POU5F1,GM26491
TRP53,MAGED1
CREB3L2,SNORA23
KLF3,GM24315
KPNA2,GM25451
RBBP7,LY6E
HSPB1,GM43535
BCL3,GM26387
RBPJ,GM44380
HSPB1,DNMT3L
PML,DNAJC10
KPNA2,GM26073
FOXH1,SNORA74A
SOX2,TXNDC5
PML,FST
PHC1,GM26917
RBPJ,NUP62CL
HNF1B,GM22620
BMP4,TCF7L2
PCBD1,PTH1R
UTF1,GM27773
SOX2,PLXNA1
RBBP7,PLA2G1B
PARP1,COLGALT1
DAB2,PDCD6IP
SUZ12,GM23158
DTX1,FST
DTX1,GM26229
PEG3,SLC26A10
TFCP2L1,SNORD70
TCEA3,CLIC1
PML,EPS8
GATA6,DDAH2
GATA4,HIRIP3
TRP53,MYO18A
BTG2,PNRC2
EGR1,MCM10
CCND1,GM24455
SOX17,GLIPR1
JARID2,TRH
AKT1,GHR
PARP1,HMMR
FOXQ1,GM22862
PCBD1,CDH1
KAT2B,CAR2
DNMT3A,GM23651
MDM2,APOE
CREB3,HIST1H2AI
RLIM,MRPL23-PS1
GATA4,AMPD2
HNF1B,PRC1
XBP1,SHKBP1
MSC,SFI1
ID1,NDRG4
CITED2,MSL3
DTX1,GM22988
EED,GM44170
ZFP42,NSD2
KAT2B,GM26083
ETS1,CKB
DTX1,P3H2
BMP4,GM24201
PEG3,KDELR2
DNMT3A,ILK
MCM6,SNORD35B
RBPJ,SNORD43
HNF1B,TPD52
EPAS1,GM8818
TFCP2L1,RAB11A
CCND1,2810025M15RIK
BHLHE40,GM25117
EHMT2,CDH1
DNMT3B,PLXNB2
HMGA1,GABARAPL2
TRIM28,WDR45
RBPJ,GM6594
MYBL2,TDGF1-PS1
ETS1,SNORD70
MYCN,MAGED1
ZFP42,GM26156
DTX1,DKC1
GATA6,CREB3
EGR1,KLB
FOXQ1,GM26448
EHMT2,TRP53
SMAD7,NOTUM
TGIF1,MGST3
ESRRB,GM22200
DNMT3B,GM7329
SOX7,KDELR2
FOXQ1,GM43238
TAX1BP3,PDIA4
SUZ12,GM22353
DAB2,GM24451
TAX1BP3,GM22925
MSC,CNN2
CBX7,MIR291B
EED,PRPS2
KLF3,PLAT
PCBD1,ENO1B
HIST1H1B,TET2
RUNX1,P3H4
RUNX1,BTG2
TRIM28,GM10039
DNMT3A,PRSS35
KAT2B,EVA1A
NR0B1,PLK2
EPAS1,GM27406
ID2,MIR669H
