TF,Target
JARID2,KPNA2
CREB3,HIST1H2BG
PML,GM6136
PCBD1,CST3
CCND1,NDRG1
HIST1H1B,GM25500
RBPJ,BMPER
DNMT3B,UTF1
MYBL2,MEG3
KAT2B,KPNA2
PEG3,GM10052
NFXL1,GM12350
BCL3,TRP53
TFCP2L1,KDM5B
SOX17,GM24497
RBPJ,BEND5
TRP53,RPL23A-PS3
FOXQ1,GM6136
JARID2,FAM25C
CCND1,TPD52
JARID2,GM49347
GATA6,ZFAS1
JARID2,TGIF1
ELF3,GM49450
RBPJ,TFCP2L1
HIST1H1D,LEFTY2
SOX17,PHLDA3
EPAS1,LAMB1
TGIF1,APOE
GATA6,PHLDB2
TGIF1,SNORD110
EPAS1,SNORD49A
BCL3,HIST1H4K
NFXL1,PLOD2
HIST1H1D,TET2
PCBD1,GM22571
TFCP2L1,LMF2
HIST1H1D,GATA6
KLF2,KRT8
BHLHE40,GM24916
ETV5,ASS1
ESRRB,GM25791
HIST1H1D,GM22884
PML,MIR3082
PHC1,MIR5117
ESRRB,CCND1
DNMT3L,TFCP2L1
HIST1H1B,RCN3
FOXQ1,THBD
DNMT3A,RHOX5
UTF1,GM28030
GATA6,HIST1H2BF
NR0B1,NSD2
DNMT3L,GM22884
KAT2B,ITGA3
GATA6,HIP1
HMGA1,PDGFRA
BCL3,TUBB2B
BHLHE40,SEC24D
CCND1,PHC1
DNMT3A,PEG3
ETV5,TFRC
BHLHE40,LAMC1
ZFP42,MIR3473F
KLF2,FRMD4A
DNMT3L,GM26073
GATA4,GM24488
XBP1,PRXL2A
BHLHE40,GM23651
PML,UNG
EPAS1,GM25701
GATA6,TDH
DNMT3B,TFRC
MYBL2,GM26917
RBPJ,RRBP1
KAT2B,GM23344
TRP53,AURKA
DNMT3L,CREB3
ZFPM1,CMKLR1
PML,GM24564
ZFPM1,ESRRB
RBPJ,MYMX
ELF3,ASS1
FOXQ1,APOE
XBP1,TXNDC5
PEG3,ANXA2
DNMT3A,PTH1R
PML,HSPB1
BHLHE40,APP
FOXQ1,GM24564
JARID2,2810025M15RIK
DNMT3B,FAM25C
MYBL2,SEC24D
PEG3,P4HA2
ESRRB,GM28439
ETV5,KLF2
XBP1,SNORD65
FOXQ1,PCBD1
SOX17,RASGRP2
CREB3,GM12350
GATA6,LY6G6E
XBP1,IGF2
NANOG,SNORA74A
FOXQ1,MT-TP
RBPJ,GM23413
SOX17,ETV5
DNMT3B,FAM129B
DNMT3L,MT2
HIST1H1B,GM23988
DNMT3B,SNORA3
HSPB1,PODXL
TGIF1,AY036118
HMGA1,MIR677
KDM5B,SDC4
ZFP42,GM24564
TRP53,GM22925
TRP53,GM9531
HIST1H1B,TGIF1
RBPJ,GM23639
DNMT3L,GM23158
CCND1,ADAM19
ELF3,LAMB2
XBP1,ABHD5
TAX1BP3,PTH1R
ZFP42,GM23833
HIST1H1D,GM20721
SOX17,SLC6A8
GATA6,MARC2
PCBD1,UNG
DNMT3A,GM24044
JARID2,LY6G6E
NANOG,GM43107
ZFPM1,PLOD2
ZFPM1,GNAS
TRP53,MIR3473F
BHLHE40,GM25791
DNMT3B,SNORD32A
HIST1H1D,CHCHD10
POU5F1,GM23130
GATA4,MIR3473F
DNMT3B,ITGA3
UTF1,GM22862
HSPB1,SHKBP1
BCL3,DUSP9
TGIF1,GM26073
TRP53,MIR3082
ZFPM1,TENM4
KDM5B,LAPTM5
PCBD1,HSPB1
DAB2,GJB3
HIST1H1B,HSP90B1
DNMT3B,GM28900
SOX7,MT1
HMGA1,TNS4
DNMT3B,LTBP4
ZFPM1,BMPER
PML,ZFP42
NFXL1,GM23571
RBPJ,GM24916
KLF2,MEG3
NANOG,GM13597
PEG3,P3H1
DNMT3B,HIST1H2AP
CREB3,BMPER
RBPJ,HIST1H2AH
NR0B1,CRIP2
