TF,Target
TAX1BP3,LOXL2
HMGA1,ETV5
CREB3L2,PODXL
HIST1H1B,CLDN6
HIST1H1B,KAT6B
TAX1BP3,FDPS
TFCP2L1,TFRC
HSPB1,GM24616
HSPB1,HIST1H2AL
NFXL1,TUBB2B
XBP1,BNIP3
DAB2,COL4A2
PML,DNMT3L
PML,GM25943
FOXQ1,GM24315
KAT2B,GASK1B
KDM5B,TFRC
TRP53,SPP1
SOX17,GM24497
GATA6,2200002D01RIK
ZFP42,GM25316
SOX7,KLF2
KAT2B,IFI30
CREB3L2,P4HA1
KLF2,SPARC
TFCP2L1,SPRY2
SOX17,CALU
XBP1,MT1
NR0B1,GM23569
PHC1,GSTA4
HMGA1,MIR8094
TGIF1,GM22411
HMGA1,SNORA41
PCBD1,CDC20
NFXL1,JAM2
HSPB1,GM9531
ELF3,SNHG12
HMGA1,GM28010
HMGA1,GM22620
SOX7,UAP1L1
NFXL1,RAB11A
NR0B1,HKDC1
DAB2,CSRP2
NFXL1,DNMT3L
NFXL1,RIAN
BHLHE40,GM26156
HMGA1,UTF1
HMGA1,GM6136
TGIF1,SNORA65
KAT2B,HKDC1
SOX2,GM42845
POU5F1,GASK1B
ETV5,HIST1H4N
TRP53,HIST1H1D
FOXQ1,DNAJC10
PCBD1,GM26447
GATA6,SPARC
TFCP2L1,RCN3
KPNA2,ZFP57
CCND1,TGIF1
ELF3,SOX17
NR0B1,SNORD33
PEG3,HKDC1
NFXL1,HIST1H3H
TGIF1,LRPAP1
HSPB1,GM28030
POU5F1,ME1
NR0B1,HMGA1B
FOXQ1,HMGA1B
HMGA1,SPP1
POU5F1,GM15452
JARID2,GM26287
KAT2B,SNORD33
SOX7,IFITM2
XBP1,SOX7
TFCP2L1,AMOTL2
CREB3L2,GM27743
ESRRB,GM44429
GATA4,AF357399
DAB2,ULK1
EPAS1,AURKA
SOX17,TRP53
NFXL1,COL4A1
BCL3,GM23571
CCND1,GM9385
HSPB1,TINAGL1
GATA6,SLC25A5
GATA4,LAMB1
XBP1,POU5F1
JARID2,PCBD1
ELF3,RHOX5
NR0B1,LTBP4
PCBD1,TDGF1
SOX7,HIST1H2AI
ETV5,CCNG1
KDM5B,STARD8
GATA6,ITPK1
DAB2,GM22091
TRP53,GM23833
PEG3,GM27406
TRP53,GM42845
GATA4,DKC1
SOX2,BMPER
NFXL1,BHLHE40
KAT2B,HIST1H4D
DNMT3B,HIST1H2BG
POU5F1,2210409E12RIK
KPNA2,CDC20
ZFPM1,PCBD1
PEG3,LTBP4
ESRRB,LRP2
PCBD1,GM26092
HIST1H1D,HSPG2
DNMT3A,HKDC1
SOX2,GM22072
ELF3,GM13597
XBP1,TPM4
ELF3,LOXL2
FOXQ1,CREB3
PHC1,PRXL2A
CREB3,GM25835
SOX2,PWWP3B
ETV5,HSP90B1
SOX7,ASS1
CREB3L2,GLDC
NANOG,CUBN
XBP1,FXYD3
CREB3,GM26287
FOXQ1,SOX17
HSPB1,SGK1
NFXL1,GM23130
SOX2,GM2399
NANOG,SLC26A10
KPNA2,GM26447
TAX1BP3,GM6136
RBPJ,CSRP2
KAT2B,HIST1H4N
NANOG,MIR466O
DNMT3L,MT1
TGIF1,NSD2
HIST1H1D,TAX1BP3
TGIF1,CTSA
DNMT3A,SNORD33
NR0B1,GM26491
BHLHE40,SLC16A1
XBP1,SNORD33
BHLHE40,MME
ESRRB,HIST1H3H
PEG3,CREB3
PML,ADAM23
NR0B1,GM7329
NR0B1,AURKA
DNMT3A,GM44390
EPAS1,ASS1
HIST1H1B,GNPDA1
CCND1,GM23651
DNMT3B,EPS8
XBP1,GM44390
ZFP42,GM37376
DNMT3B,ESRRB
GATA6,AY036118
HIST1H1B,DKC1
MYBL2,LAMB1
NANOG,GM44390
FOXQ1,INSIG1
XBP1,GM10184
ZFPM1,B2M
ELF3,FRMD4A
DNMT3B,GM44429
NANOG,GM27406
TFCP2L1,HIST1H3H
TAX1BP3,FST
FOXQ1,LAMB2
CREB3,CHST15
KAT2B,CEMIP
HSPB1,KDM5B
HMGA1,MEG3
GATA4,GPX3
ELF3,SNORD32A
TGIF1,COTL1
SOX7,GM25701
CREB3L2,BCAT1
DNMT3A,MIR8091
POU5F1,SNORA26
BCL3,BEX1
TRP53,GM10719
MYBL2,UBE2C
DNMT3L,SOX7
CREB3L2,MIR5117
BCL3,UTF1
DNMT3B,P4HA2
NR0B1,RCC2
SOX7,AF357399
FOXQ1,LOXL2
SOX7,FABP3
ZFPM1,GM7329
RBPJ,RNF157
KPNA2,CCNG1
EPAS1,GM43558
DNMT3A,HIST1H4N
NFXL1,NUP210
GATA6,GM2399
UTF1,GM43107
DNMT3A,CREB3
CREB3,SOX17
ZFPM1,INSIG1
NFXL1,ERP29
GATA6,GM44346
DNMT3B,KHDC3
ETV5,LDHB
PEG3,TIMP2
HSPB1,CCN2
TRP53,FAM25C
SOX7,PLTP
PHC1,MIR677
PHC1,SNHG12
ETV5,GM33051
PEG3,GM13597
KPNA2,KRT8
DNMT3A,GM24916
CREB3L2,GM10169
PCBD1,MT-TP
CREB3,GM14519
ESRRB,NRG1
EPAS1,HIST1H3I
RBPJ,TPD52
ELF3,HIST1H3I
CCND1,PHC1
TAX1BP3,SLC16A1
ETV5,VIM
DAB2,FAM129B
HIST1H1D,GM22455
PHC1,RPL22L1
JARID2,GM44335
GATA6,DUSP9
BCL3,FST
KPNA2,SNORD35A
RBPJ,RPL23A-PS3
BHLHE40,NSD2
DNMT3B,GM47315
GATA4,GM28960
HMGA1,SFI1
CREB3,CCNG1
PCBD1,LNCENC1
CREB3,GM24044
PHC1,SOX17
PML,NID1
CREB3,INSIG1
DAB2,TMEM144
DNMT3L,2210409E12RIK
TRP53,CST3
FOXQ1,SAT1
ZFP42,SNORD65
KPNA2,PODXL
EPAS1,DKC1
KDM5B,GM8355
TAX1BP3,GM28960
FOXQ1,ANXA2
DAB2,DNAJC10
EPAS1,UBE2C
SOX7,CTSD
UTF1,AU018091
DNMT3A,BEND5
EPAS1,GM22468
RBPJ,HIST1H2BF
ELF3,SNURF
ZFPM1,MT2
HIST1H1B,DPP4
GATA6,PGAM1-PS2
PCBD1,MIR466B-6
NR0B1,IL33
DAB2,ANXA5
DNMT3L,ABHD5
XBP1,CAR2
PCBD1,TET2
DNMT3B,SLC7A6
TFCP2L1,GM26092
HMGA1,COTL1
ELF3,XBP1
DNMT3A,TIMP2
HSPB1,GM24201
DAB2,TCL1
KPNA2,APOE
KPNA2,P4HA1
MYBL2,GM22411
PHC1,INSIG1
TGIF1,RCN3
HSPB1,PGAM1-PS2
NR0B1,LMF2
SOX2,SNORD70
EPAS1,CTSD
PEG3,GM4322
DNMT3L,SLC7A6
ZFPM1,FRMD4A
HIST1H1D,GM14519
RBPJ,PFKP
EPAS1,SPP1
DNMT3L,GM26447
ESRRB,CALCOCO2
RBPJ,MYLPF
XBP1,PODXL
CREB3L2,DPPA2
TGIF1,MAN1A2
BHLHE40,GM49347
CCND1,HSP90AA1
EPAS1,FST
RBPJ,PRXL2A
CCND1,SLC25A5
SOX7,KIT
PEG3,LMF2
NFXL1,MIR466B-6
PHC1,LOXL2
NANOG,MIR669J
FOXQ1,GM43535
GATA4,CTSA
ETV5,BCL3
DNMT3B,CCNB1
KAT2B,VIM
SOX2,RPL23A-PS3
CCND1,MIR3082
BHLHE40,PLK1
XBP1,HIST1H2BN
ESRRB,GM29397
NFXL1,CKB
TFCP2L1,ERP29
PCBD1,CTSZ
TFCP2L1,PDGFRA
KAT2B,CD63
SOX7,DPP4
KAT2B,GM43535
TAX1BP3,CTSA
PHC1,GM38312
KDM5B,SNORD35A
CCND1,NXF7
SOX17,NDRG1
CREB3L2,GM2399
DNMT3L,TDGF1
KAT2B,APP
ETV5,SPARC
TAX1BP3,MIR5121
TAX1BP3,GM25500
HMGA1,SLC6A8
DNMT3A,SAT1
SOX17,PFKP
PEG3,MKRN1
CREB3,GM4322
BCL3,GM43107
GATA4,GM27326
CCND1,HIST1H2AF
DNMT3A,GM4322
HSPB1,KAT2B
HIST1H1D,HIST1H2AI
CCND1,JARID2
PHC1,GM23571
CREB3L2,GM37746
PCBD1,GNPDA1
PCBD1,BCL3
CCND1,GM23632
ETV5,SOAT1
CCND1,KPNA2
SOX17,PRXL2A
PEG3,GM44310
TRP53,RBPJ
NFXL1,PLAT
SOX7,LRPAP1
GATA6,GSTA4
SOX7,GM10259
HSPB1,DPPA4
HIST1H1D,GM44335
XBP1,ELF3
KPNA2,GM44310
RBPJ,PCBD1
PCBD1,SPARC
DAB2,F3
TGIF1,KHDC3
DNMT3B,ADAM23
KLF2,FGF4
TGIF1,RIAN
TGIF1,GM25943
TRP53,RPL23A-PS3
RBPJ,TCL1
PEG3,GM10925
KPNA2,SDC4
DNMT3A,GM27743
CREB3,VIM
BHLHE40,NFXL1
CREB3,MKRN1
PCBD1,HSP90AA1
TGIF1,2210409E12RIK
DNMT3B,ERP29
KLF2,FAM234A
ETV5,GM23988
PHC1,LMF2
KLF2,CRIP2
PML,HSP90AA1
GATA4,GM37784
GATA6,SOX2
MYBL2,GM25500
HIST1H1B,MT-TF
DNMT3L,NR0B1
