TF,Target
NFXL1,KIT
SOX2,MIR466B-4
PHC1,HTRA1
CREB3,TENM4
EPAS1,B2M
GATA4,CRIP2
ETV5,SNORD110
ETV5,POU5F1
TFCP2L1,ZFP989
SOX17,LGMN
UTF1,GM3788
HIST1H1B,TNS4
TGIF1,UCHL1
SOX17,EIF4A-PS4
ZFPM1,SGK1
CREB3,GM23158
KLF2,TINAGL1
HMGA1,STARD10
KPNA2,GM26917
ELF3,PDCD4
KDM5B,PLK1
DNMT3L,GM12350
TGIF1,ULK1
KAT2B,BEX1
GATA4,GM44346
KLF2,HTRA1
TAX1BP3,GJB3
BHLHE40,HIST1H2BN
ESRRB,PWWP3B
GATA4,GM21962
BHLHE40,SERPINH1
XBP1,NDRG4
TGIF1,GM10925
KLF2,MOV10
PCBD1,GM23639
GATA6,SLC26A10
GATA6,GM14519
TGIF1,GM8355
KAT2B,TUBB2B
KLF2,SLC7A3
CREB3,HMGA1
PHC1,GM27592
NANOG,GLIPR2
HSPB1,ARHGEF40
DAB2,KPNA2
TFCP2L1,RNF157
PML,GM38312
MYBL2,GM23130
JARID2,CHST15
BHLHE40,FAM234A
DAB2,CKB
PCBD1,LAPTM5
TGIF1,ATP6V0A1
GATA4,TNS4
KPNA2,BEX1
NANOG,GM24916
UTF1,INSIG1
HSPB1,CUBN
XBP1,FOLR1
CREB3,ZFPM1
KDM5B,GM24488
ZFPM1,GM44390
DNMT3L,GM26287
CCND1,MIR669A-3
SOX17,GM13597
ESRRB,CCND1
ZFPM1,AMOTL2
FOXQ1,SLC2A1
ESRRB,PDK1
JARID2,COL27A1
DAB2,TINAGL1
KDM5B,COMMD3
XBP1,CREB3
KAT2B,GM25673
MYBL2,2410141K09RIK
TRP53,GM3788
PHC1,GM25040
KDM5B,AU018091
GATA6,GM42429
DNMT3A,COTL1
SOX7,HIST1H1A
EPAS1,HSP90AA1
CCND1,PDK1
KPNA2,GM23268
DNMT3B,FXYD3
PHC1,COTL1
PML,GM26318
DAB2,CUBN
TRP53,GM29397
KDM5B,PCOLCE
TFCP2L1,GM44346
SOX2,RPL17-PS10
PHC1,GM27743
NFXL1,TDGF1
ZFPM1,PLOD3
DNMT3B,FOLR1
HMGA1,BNIP3
BCL3,MIR677
KLF2,GM49450
HMGA1,KDELR2
NFXL1,UTF1
HIST1H1B,PGAM1-PS2
SOX7,HSPG2
PML,GM3788
JARID2,GM26491
EPAS1,MIR8091
NR0B1,GM10052
HIST1H1B,MEG3
TFCP2L1,MT2
JARID2,PLOD2
ESRRB,TGIF1
GATA4,SLC16A1
DNMT3L,INSIG1
DAB2,GM25451
CREB3L2,ATP6V0A1
PEG3,GM10169
UTF1,MIR5121
MYBL2,RPL17-PS10
GATA4,GM8355
POU5F1,AMPD2
HIST1H1D,HIST1H2BL
TRP53,DNMT3B
CREB3,RNF157
NFXL1,PODXL
RBPJ,MIR5121
TGIF1,PSRC1
TFCP2L1,GM28010
XBP1,HSPG2
HIST1H1D,AMOTL2
BCL3,ALG13
TGIF1,ASS1
KLF2,GM43107
XBP1,FGFR3
TGIF1,ZFP989
SOX2,FAM129B
KLF2,BNIP3
SOX17,AURKA
PML,MRAS
XBP1,GM22862
ESRRB,MT2
XBP1,GM27326
NFXL1,CSRP2
POU5F1,PMM1
DNMT3A,GM44206
ZFPM1,B2M
DNMT3B,PML
CCND1,GM43107
DNMT3A,KAT2B
NR0B1,TDH
TAX1BP3,GDPD5
CREB3L2,PMM1
TGIF1,MT-TF
SOX17,GM10169
DNMT3L,UTF1
DNMT3L,NSD2
ZFPM1,GM22858
KDM5B,SAT1
SOX2,SNORD110
ZFPM1,GM25316
DNMT3A,RPS27RT
XBP1,CKB
TAX1BP3,CREB3
PML,MAN1A2
KDM5B,GM23571
PHC1,TOP2A
SOX2,HIST2H2BB
EPAS1,CTSA
KLF2,GM15452
NFXL1,GM43521
GATA4,GM25673
POU5F1,RIAN
KPNA2,PEG3
SOX17,GM24494
DNMT3B,ADAMTS9
DNMT3L,MIR3082
JARID2,GM24497
KLF2,FBLIM1
SOX17,HIST1H4N
DAB2,SNORD85
ZFPM1,UAP1L1
PML,P4HA1
HIST1H1D,MT-TF
EPAS1,VSIR
ZFPM1,MRPL23-PS1
ELF3,TGIF1
JARID2,AKR1B8
TGIF1,LAMA1
PCBD1,2200002D01RIK
HMGA1,MIR669A-1
TRP53,GM8355
JARID2,NXF7
HSPB1,KPNA2
DNMT3L,NUP210
ELF3,GM23569
XBP1,KHDC3
POU5F1,HKDC1
CREB3L2,PEG3
PCBD1,HMGA1B
CCND1,SAT1
NANOG,AMPD2
GATA6,MANF
FOXQ1,HIST1H3H
KAT2B,GM24289
BHLHE40,LMF2
HIST1H1D,MT2
DNMT3B,PRC1
FOXQ1,SERPINE2
KAT2B,MIR5117
KLF2,TDGF1-PS1
SOX7,GM25753
ELF3,NRG1
CCND1,PODXL
XBP1,PEG3
PML,GM2399
GATA4,GM24488
SOX2,GM14870
POU5F1,GM25535
XBP1,GM44429
XBP1,GM14519
TRP53,GM27326
ETV5,PDK1
JARID2,RNF157
ELF3,PSRC1
PEG3,PHLDA3
