TF,Target
BHLHE40,TRP53
DAB2,SNHG5
PCBD1,GM25535
CCND1,HMCES
ETV5,TET1
ETV5,FAM25C
TAX1BP3,LOXL2
KDM5B,GM23130
DNMT3A,SOAT1
PML,ITPK1
EPAS1,2410141K09RIK
RBPJ,PHC1
FOXQ1,SEC24D
PHC1,APOE
SOX2,GM26491
KLF2,LRPAP1
ESRRB,TAX1BP3
HIST1H1D,LOXL2
KPNA2,RPL23A-PS3
DNMT3B,P4HB
ETV5,DNMT3B
KAT2B,CTSA
JARID2,GM27592
CREB3,MANF
ZFPM1,GM10719
ETV5,RPL15-PS3
GATA4,ZFAS1
XBP1,VIM
DAB2,ZFP57
TAX1BP3,GM26156
DNMT3L,KDM5B
TFCP2L1,GM22862
SOX2,FOXQ1
BCL3,HSP90AA1
RBPJ,GM43521
RBPJ,GM22678
FOXQ1,SNORD93
GATA6,PDCD4
KLF2,NR0B1
GATA6,LGMN
DNMT3L,NUTF2-PS2
KAT2B,GM14303
KLF2,RRM2
PML,GM24761
TGIF1,CREB3L2
BHLHE40,GM4322
DNMT3L,GM22925
GATA4,MIR8091
POU5F1,NSD2
HIST1H1D,RHOX5
ELF3,STXBP2
HIST1H1B,LAMB1
SOX2,LAMA5
XBP1,GM37746
ELF3,GM22411
ELF3,HIST1H3I
DNMT3L,CEMIP
SOX2,HIST2H2BB
KAT2B,2210409E12RIK
NFXL1,SNORD65
KAT2B,F3
HMGA1,GM22925
HIST1H1D,SOAT1
CCND1,PRSS35
NFXL1,NR0B1
ETV5,GM24044
POU5F1,LTBP4
SOX2,TDGF1-PS1
ELF3,NID1
ESRRB,HIST1H2BL
PEG3,MIR669J
PML,GM22678
KDM5B,MME
KAT2B,TDH
GATA6,HIST1H3I
BHLHE40,SNORD93
ZFPM1,HTRA1
UTF1,GM37746
UTF1,GM25673
POU5F1,GM8355
GATA4,ANXA2
PML,PMM1
NR0B1,TENM4
DNMT3B,TAX1BP3
ESRRB,MIR677
HIST1H1D,SPINK1
DNMT3L,FXYD3
HMGA1,GM25535
NFXL1,RRBP1
HMGA1,GM25472
TFCP2L1,PCBD1
RBPJ,SPINK1
HSPB1,GM10259
DAB2,HIST1H2AH
DNMT3A,GM27743
GATA4,CCNB1
EPAS1,MIR466B-4
TAX1BP3,GM20721
TRP53,SNORD93
PCBD1,GM4322
DAB2,PLAT
PML,GM27501
CCND1,NRG1
PML,RPL23A-PS3
NR0B1,MYLPF
NFXL1,PTH1R
TGIF1,LOXL2
TFCP2L1,IFITM2
XBP1,SPARC
POU5F1,GM14303
HIST1H1D,GATA6
ELF3,MANF
MYBL2,TFCP2L1
TAX1BP3,LRP2
HMGA1,ASS1
DNMT3A,GRB10
HIST1H1B,LGMN
XBP1,GM23158
GATA4,MIR669J
NR0B1,SERPINH1
SOX2,LDHB
TGIF1,TPM4
HIST1H1D,GM22468
NANOG,OPLAH
BCL3,GM10925
BHLHE40,GM27406
TAX1BP3,INSIG1
DNMT3B,AU018091
NANOG,HIST1H3I
EPAS1,ME1
KPNA2,BCAT1
FOXQ1,GM43535
SOX17,IFITM3
ZFPM1,SNORD65
BCL3,BMPER
HIST1H1D,SNORA3
SOX7,XBP1
BCL3,SLC26A10
MYBL2,MIR3473F
ZFPM1,PATJ
DNMT3B,STXBP2
PHC1,RPL23A-PS3
ETV5,GM44390
KDM5B,CDC20
ZFPM1,FLRT3
ESRRB,LOXL2
MYBL2,GM37376
MYBL2,MIR466B-6
CCND1,NSD2
TFCP2L1,MAN1A2
RBPJ,GM4322
ELF3,TFRC
DNMT3B,GM24451
SOX2,GM25040
NFXL1,MIR669G
POU5F1,LEFTY2
HSPB1,GATA4
SOX17,HIST1H4N
CREB3,HMGA1
GATA4,FGF4
NFXL1,SNORD85
MYBL2,PCOLCE
HMGA1,GM10259
DAB2,MT2
POU5F1,PMM1
PCBD1,TYRO3
BHLHE40,GLIPR2
RBPJ,SPRY2
DAB2,GM23130
ZFPM1,MIR669G
TAX1BP3,ITGA3
JARID2,HTRA1
GATA6,GM23262
ZFP42,GM26318
HSPB1,RHOX5
BHLHE40,GM24916
EPAS1,LEFTY2
ETV5,GM24488
ZFPM1,MIR7005
ELF3,PMM1
TGIF1,RCC2
KLF2,GNAS
GATA4,SNORD32A
PCBD1,PDPN
GATA6,NPHS1
HSPB1,UAP1L1
HMGA1,GM29397
ZFP42,TET1
PML,GM24289
PEG3,AY036118
TFCP2L1,FLRT3
KLF2,GM3788
TGIF1,RNU73B
PCBD1,CCN2
KDM5B,HSP90AA1
TAX1BP3,STARD8
BCL3,GM43107
ESRRB,P4HB
BHLHE40,GM44335
ZFP42,SURF4
KAT2B,GM22988
HIST1H1B,GM23344
PEG3,ZFAS1
CREB3L2,ARHGAP29
HMGA1,KAT6B
EPAS1,CCNG1
HIST1H1D,NID1
TGIF1,HIST1H3I
HIST1H1B,AKR1B8
ETV5,IGF2
CREB3,GM25673
NANOG,GM28900
DNMT3A,TFCP2L1
ZFPM1,CLDN6
NR0B1,COL4A2
KDM5B,GM24564
TRP53,TNS4
ETV5,MIR677
ELF3,CAR2
EPAS1,HIST1H2AF
ZFP42,MIR669J
SOX7,PTH1R
MYBL2,CEMIP
HMGA1,PODXL
