TF,Target
JUN,JAK1
HDAC7,TSPAN6
MCM4,SERPINA3G
XPC,CKAP2
REL,CTNNAL1
MCM5,ZFP248
PRDM5,SPNS2
HDAC11,SLFN2
SMARCA2,MYO1G
JUN,IL10RA
NFATC1,ACSS1
MCM6,ARNTL
PGR,SLC39A13
MED16,CD68
TCF19,NDOR1
MCM4,NDRG2
GFI1B,CYP51
JUN,ORC6
CBFB,CAD
MEF2C,HCFC1
MCM5,SPI1
VDR,TBXAS1
GFI1B,NHP2
KLF6,ELOVL6
BTG2,PECAM1
TLR4,UQCRFS1
REL,MAP2K1
MCM6,PCMTD1
RPS6KA5,CSF2RB
SATB1,MAML3
TSC22D3,MPZL1
VEZF1,HACD4
SPI1,IGTP
EYA2,MUC13
PHC1,GM7694
CLOCK,MCM4
HDAC11,PGLYRP2
MLLT3,EGR1
MCM2,SELENOP
RUNX2,GORASP1
PHC1,AZIN1
IRF6,USP3
MCM7,HOXA9
ZBTB20,PGM2L1
RORA,ZFP62
SLA2,TYROBP
CBX7,FUT8
NDN,CD96
ETS1,KLHL4
BTG2,ELF1
NFATC1,NWD1
MLLT3,HSPH1
ELF1,MYCT1
GATA2,VAV3
CBFB,SQLE
IKZF1,PIK3CG
MLLT3,OASL1
XRCC6,STAM2
ESR1,HSPA1A
MCM5,SERPINA3G
TAF12,SLC7A4
CBX7,PAFAH1B2
CENPK,PDE7A
SPI1,HSD3B7
BTG2,SGCE
H1F0,CDK6
BTG2,SLFN8
MCM6,ARHGEF18
TAF12,STXBP1
DACH1,SLA
CENPK,FRMD6
ELF1,SSH2
PGR,4930555A03RIK
TAF12,CDT1
TRIB3,SNHG5
TLR4,NCKAP1L
NOTCH1,DUSP6
SATB1,ZFP422
KLF6,UBA7
KLF10,ARFGEF2
PHC1,RCC1
IRF8,INPP1
NFKB1,ICE1
XPC,ZFP949
HIST1H1C,MPL
EGR1,ANXA4
REL,STXBP1
RPS6KA5,MPRIP
MAML3,WDFY3
TTF2,CYP51
SPI1,GALM
NOTCH1,ENPP4
NFAT5,FBXO30
KLF6,ARHGEF18
ESR1,CTR9
TSC22D3,PDE1B
MYCN,OSGIN1
IKZF1,IL15
NOTCH1,MYO5A
H1F0,ITM2A
ETS1,DACH1
MED16,SDF2L1
EYA2,IL1R1
ZBTB38,CTLA2B
MCM6,CDK18
GATA2,TRMT6
TRIB3,TCIRG1
RAD51,INPP1
PGR,SCARF1
XPC,CD53
ELF1,TBC1D10C
HDAC11,DOCK10
TLR4,B230219D22RIK
TLE2,GCLM
TTF2,ALDH1A1
CBX7,PQLC1
MECOM,TFEC
TCF19,MNDAL
TTF2,PRELID3B
MYC,RAB37
NFATC1,TESPA1
HNF4A,B3GNT5
MEF2A,H2-OB
ARNTL,NUP93
SLA2,SSH2
VEZF1,GEM
SMARCA2,ENG
CLOCK,HID1
TTF2,SEPT8
ELF1,ZFP120
MAML3,SSH3
SLA2,NFKBIA
MCM6,PAFAH1B2
CBX7,ASAH1
IRF6,RMND5A
H1F0,TTF2
MAML3,PLA2G4A
PRDM16,FUT8
ETS1,SLC37A1
PRDM5,RBPMS
KLF10,MPO
XRCC6,JPT1
VEZF1,ITGB2
RPS6KA5,CD244A
PRDM5,NAIP5
VEZF1,ADSSL1
MLLT3,TEX10
IRF7,WFDC2
PHC1,CBX5
TTF2,IRF7
ZBTB38,POMGNT2
CTR9,SEPT6
CTR9,RPA2
HDAC7,VLDLR
EGR1,GPR160
MEF2C,BC016579
SATB1,DENND2D
ETS1,FLT3
NFKBIA,EIF3A
KLF6,ITGAL
ZBTB20,GIMAP1OS
HOXA9,PRSS57
SMARCA2,PSEN1
MYCN,RAB38
CTR9,MICAL1
CENPK,IDH1
H1F0,TBXA2R
PBX1,GM10384
KLF3,TMEM268
H1F0,CTPS
IKZF1,RASAL3
PRDM5,FHL1
REL,PAFAH2
KLF10,IER3
CENPK,FGD2
IKZF1,MMP2
PML,ERP29
MYCN,CKAP5
VEZF1,CBX5
NFKB1,LRRFIP1
GFI1B,H2-OB
H1F0,ARL6IP6
XPC,GIMAP8
NFATC1,SAMSN1
TAF12,TMEM147
PHC1,RGL1
NFATC1,TOP3B
NFATC1,CTPS
ZBTB38,LGALS3BP
CLOCK,RAI14
CTR9,AURKB
PBX1,SLC25A53
KLF3,RPTOR
DACH1,DOK2
RBL2,ARHGEF3
JUN,NAGA
RAI14,POR
HDAC7,NCKAP1L
TCF19,TIMP2
MYCN,ZFP367
RAD51,ZFP53
ARNTL,IL17RE
PGR,GPR65
CBX7,SAMSN1
IRF8,SYK
GATA2,WDFY3
GFI1B,SLBP
CBFB,ELAC1
HDAC11,HEATR5A
MEF2C,F11R
PRDM5,PWWP3A
MECOM,IL17RA
DACH1,NEURL3
KLF10,FILIP1L
ZFP467,MAP2K1
MEF2C,SLC29A1
MEF2A,PRODH
NFATC1,MECOM
HIST1H1C,CEP70
HDAC11,FUCA2
RBL2,IL1R1
IRF6,PDE12
VDR,DUSP1
CLOCK,CCNB2
XPC,SSH2
CENPK,RAD51AP1
RPS6KA5,EPB41L3
IRF6,INSL6
HDAC7,TFPI
IRF6,WLS
KLF3,SEMA3D
MYCN,PRDM16
HNF4A,TBXA2R
TRIB3,ESR1
SATB1,RPTOR
SMARCA2,GSTM1
MCM5,NCEH1
MYCN,MAP3K2
GFI1B,HEXA
GFI1B,CDKN1C
TLE2,SLCO3A1
HDAC7,SEPT8
IRF7,MGAT5
PA2G4,SARAF
RORA,KIF21B
HNF4A,TEK
IRF8,LTB
PBX1,PDE12
RBL2,TMEM268
MECOM,C030034L19RIK
NFKBIA,USP11
MED16,PHF8
EYA2,H2-Q6
ZFP467,PDLIM5
NFKBIA,RNF13
JUN,RNF213
KLF3,KAZALD1
TLR4,PRIM1
PBX1,WLS
CENPK,IGHM
HCFC1,PPM1G
NFKB1,SARAF
RAI14,SNAP47
TSC22D3,RORA
MYC,PRR5
NDN,MMP2
ELF1,PRNP
ZBTB38,MTCH2
RORA,CD48
HLF,ANXA4
RAI14,COPB1
HDAC11,CTSS
SPI1,ITSN1
EGR1,UNC119B
PRDM16,CD33
SPI1,CDKN1C
RORA,SH2D3C
MEF2C,FSTL1
MAML3,IL10RA
VDR,GALM
SLA2,MAN1A
IRF7,GOLM1
PA2G4,PTP4A3
NDN,RRM2
ARNTL,LHCGR
PRDM5,GIMAP1OS
BTG2,CDC45
HIST1H1C,PGM1
TRPS1,RBM18
XPC,NCF1
CENPK,BC005561
TAF12,RPA2
TAF12,PTPRC
PRDM16,TMEM176A
EGR1,LY9
MECOM,ACSS2
MED16,MC5R
MLLT3,PSTPIP1
KLF10,H2AFX
TTF2,USP3
KLF6,PDE4B
TCF19,HELLS
PRDM5,ENG
GATA2,ARFGEF2
CTR9,TRPS1
ELF1,NAGA
ZBTB38,TFEC
VDR,ALS2CL
PA2G4,LPCAT2
RBL2,CD300A
MCM5,TK1
CENPK,COPB1
KLF6,PCNA
TAF12,S1PR1
MCM7,OCRL
MCM6,F11R
TCF19,B4GALT4
NOTCH1,VAMP5
PML,ADSSL1
HDAC11,FUT7
SPI1,GNG2
XPC,CCRL2
TLR4,PAFAH2
GFI1B,SLFN2
MYCN,ADA
DACH1,PKIB
EGR1,5430427O19RIK
KLF10,C030034L19RIK
PA2G4,ITGA5
ESR1,KBTBD11
HNF4A,H2-OB
PBX1,BC035044
MYC,TMEM37
TAF12,FSTL1
ELF1,TFEC
REL,GBP9
PRDM16,MEF2A
MYCN,CSF3R
TLR4,TGFBR1
RPS6KA5,GBP2
